Feature, Importance
timestamp,0.003281343
0x,0.002650127
0y,0.000757448
0z,0.002505965
1x,0.001924519
1y,0.003667749
1z,0.003054279
2x,0.005693409
2y,0.013711638
2z,0.001348163
3x,0.002222422
3y,0.00030657
3z,0.001286841
4x,0.001071652
4y,0.000791738
4z,0.001322338
5x,0.001545694
5y,0.001229164
5z,0.001623978
6x,0.001592442
6y,0.004009796
6z,0.001906075
7x,0.008353276
7y,0.00262779
7z,0.001799218
8x,0.002522307
8y,0.006940438
8z,0.00120755
9x,0.003937299
9y,0.00317155
9z,0.00098361
10x,0.002004617
10y,0.003950749
10z,0.004376691
11x,0.00152818
11y,0.005167733
11z,0.00486728
12x,0.005649051
12y,0.009707735
12z,0.002271939
13x,0.000595785
13y,0.002107432
13z,0.00495136
14x,0.001940032
14y,0.00150799
14z,0.001795269
15x,0.003220058
15y,0.00328173
15z,0.003172286
16x,0.000962334
16y,0.003048393
16z,0.001269285
17x,0.001554987
17y,0.003277492
17z,0.001034225
18x,0.001926804
18y,0.002916538
18z,0.002068963
19x,0.001919461
19y,0.004312272
19z,0.000854016
20x,0.001038244
20y,0.00566699
20z,0.001722697
21x,0.00181261
21y,0.006767052
21z,0.001995643
22x,0.002875286
22y,0.009386527
22z,0.000323196
23x,0.003004166
23y,0.007867454
23z,0.000773823
24x,0.00219217
24y,0.001409393
24z,0.000624357
25x,0.001301827
25y,0.005979869
25z,0.002691763
26x,0.006239569
26y,0.00324195
26z,0.002746987
27x,0.002563465
27y,0.003196161
27z,0.001833837
28x,0.003242959
28y,0.006280652
28z,0.001873453
29x,0.002588979
29y,0.01431167
29z,0.001549353
30x,0.000301562
30y,0.019580188
30z,0.005836732
31x,0.000881313
31y,0.001939452
31z,0.000423391
32x,0.001162418
32y,0.002293092
32z,0.000596819
33x,0.003316453
33y,0.006531386
33z,0.001187891
34x,0.002365668
34y,0.005277976
34z,0.004390425
35x,0.001779129
35y,0.005770245
35z,0.001514794
36x,0.002600732
36y,0.001855718
36z,0.001005187
37x,0.010135006
37y,0.003274805
37z,0.001097463
38x,0.006807406
38y,0.002849363
38z,0.001071146
39x,0.001585758
39y,0.013540079
39z,0.003209945
40x,0.002208743
40y,0.009898
40z,0.001098527
41x,0.000991169
41y,0.006775328
41z,0.005433612
42x,0.006286174
42y,0.007091078
42z,0.002503956
43x,0.000763277
43y,0.008605109
43z,0.0017387
44x,0.001224088
44y,0.006382698
44z,0.002557132
45x,0.015231306
45y,0.006225377
45z,0.000631011
46x,0.002123354
46y,0.000511446
46z,0.002340973
47x,0.001118396
47y,0.002607559
47z,0.000914348
48x,0.000618787
48y,0.001742473
48z,0.003132651
49x,0.001057442
49y,0.006093124
49z,0.000931327
50x,0.002170694
50y,0.002663296
50z,0.001272558
51x,0.001608676
51y,0.005505332
51z,0.001967019
52x,0.001769841
52y,0.001281873
52z,0.00100751
53x,0.002418334
53y,0.010727737
53z,0.000972131
54x,0.001882907
54y,0.005299623
54z,0.000734694
55x,0.002077404
55y,0.006649931
55z,0.000985531
56x,0.013566179
56y,0.001096855
56z,0.001652662
57x,0.002197656
57y,0.002465691
57z,0.001065894
58x,0.001198397
58y,0.001335869
58z,0.000810967
59x,0.003349542
59y,0.014454549
59z,0.00211774
60x,0.003115282
60y,0.006859135
60z,0.004353411
61x,0.003233582
61y,0.003646517
61z,0.001895992
62x,0.001385872
62y,0.003226968
62z,0.002268968
63x,0.001184576
63y,0.00473841
63z,0.001743933
64x,0.003427915
64y,0.004657722
64z,0.001809632
65x,0.009019312
65y,0.00308207
65z,0.001226011
66x,0.01178951
66y,0.003873234
66z,0.002193741
67x,0.00728526
67y,0.001847873
67z,0.002532296
68x,0.001918597
68y,0.002701144
68z,0.000899
69x,0.00110279
69y,0.001092253
69z,0.001129215
70x,0.001918588
70y,0.010191685
70z,0.004571412
71x,0.001495521
71y,0.003053812
71z,0.004862884
72x,0.002172208
72y,0.003711372
72z,0.002157952
73x,0.003159175
73y,0.003951636
73z,0.00272908
74x,0.003780577
74y,0.004704687
74z,0.001267516
75x,0.003695962
75y,0.019272759
75z,0.000253485
76x,0.005672033
76y,0.001374748
76z,0.002629968
77x,0.006747641
77y,0.001903674
77z,0.000964614
78x,0.000803132
78y,0.007095248
78z,0.001059021
79x,0.005026943
79y,0.003143448
79z,0.002412087
80x,0.008984222
80y,0.000178738
80z,0.000908856
81x,0.002314671
81y,0.00116352
81z,0.000926674
82x,0.001457993
82y,0.000617737
82z,0.00214443
83x,0.000821035
83y,0.003624127
83z,0.001092747
84x,0.001918779
84y,0.002057627
84z,0.001392548
85x,0.001496442
85y,0.001674711
85z,0.000416605
86x,0.001331364
86y,0.002904269
86z,0.005438768
87x,0.001713545
87y,0.00102531
87z,0.000297179
88x,0.002194412
88y,0.013928225
88z,0.00200581
89x,0.004130785
89y,0.002365289
89z,0.003442183
90x,0.001970756
90y,0.00240946
90z,0.001578062
91x,0.007613063
91y,0.007126235
91z,0.00200249
92x,0.001172941
92y,0.003555858
92z,0.002177152
93x,0.001223177
93y,0.005221245
93z,0.000511302
94x,0.001381623
94y,0.010445114
94z,0.001812732
95x,0.001226717
95y,0.004272294
95z,0.001236965
96x,0.000969319
96y,0.004656986
96z,0.004824509
97x,0.002334475
97y,0.002641925
97z,0.001581878
98x,0.002350489
98y,0.00679364
98z,0.006196359
99x,0.003060884
99y,0.01220725
99z,0.003738434
