Feature, Importance
timestamp,0.031300726
0x,0.003467831
0y,0.0028374
0z,0.001028906
1x,0.001186161
1y,0.001566555
1z,0.000611433
2x,0.001054221
2y,0.001875426
2z,0.001227511
3x,0.001115591
3y,0.002249073
3z,0.001335933
4x,0.000826822
4y,0.000469385
4z,0.002026553
5x,0.001527008
5y,0.001070189
5z,0.000906307
6x,0.000620833
6y,0.000775927
6z,0.001055797
7x,0.016094361
7y,0.003373814
7z,0.00113603
8x,0.002711401
8y,0.008943054
8z,0.001151714
9x,0.002184747
9y,0.011448095
9z,0.001242968
10x,0.001881545
10y,0.001533496
10z,0.000463397
11x,0.001280244
11y,0.001165405
11z,0.011203997
12x,0.001764594
12y,0.009667519
12z,0.001022718
13x,0.000949759
13y,0.001850552
13z,0.001270079
14x,0.000536813
14y,0.000986382
14z,0.001558745
15x,0.000804864
15y,0.001744464
15z,0.0013879
16x,0.002338939
16y,0.002601481
16z,0.005016116
17x,0.000610227
17y,0.006504299
17z,0.000543233
18x,0.001608141
18y,0.006974331
18z,0.008730123
19x,0.002320334
19y,0.002195901
19z,0.00358788
20x,0.001043367
20y,0.006113031
20z,0.002124371
21x,0.001100293
21y,0.00284605
21z,0.001375724
22x,0.002110041
22y,0.002147946
22z,0.001503646
23x,0.001928313
23y,0.000790589
23z,0.001252618
24x,0.002569669
24y,0.003147434
24z,0.002165644
25x,0.001865923
25y,0.008860386
25z,0.005442966
26x,0.002188858
26y,0.012359055
26z,0.002217444
27x,0.000683163
27y,0.004677248
27z,0.001292183
28x,0.002624861
28y,0.003425854
28z,0.002486221
29x,0.001588379
29y,0.002771518
29z,0.000989642
30x,0.001157306
30y,0.004548167
30z,0.001229026
31x,0.00209344
31y,0.002673349
31z,0.001253736
32x,0.001251422
32y,0.002209441
32z,0.007333728
33x,0.000856895
33y,0.007115734
33z,0.000748705
34x,0.008866247
34y,0.006031787
34z,0.000711396
35x,0.002400836
35y,0.002999295
35z,0.001715867
36x,0.001412919
36y,0.000450853
36z,0.001449274
37x,0.001903788
37y,0.00366389
37z,0.002382495
38x,0.001134852
38y,0.001788426
38z,0.001383017
39x,0.003448676
39y,0.0070651
39z,0.004803254
40x,0.000903451
40y,0.007837838
40z,0.000734649
41x,0.001300274
41y,0.003016535
41z,0.000679021
42x,0.000768519
42y,0.003565691
42z,0.000955922
43x,0.002495507
43y,0.002644312
43z,0.001114993
44x,0.001024339
44y,0.003372355
44z,0.000764871
45x,0.001289816
45y,0.004402827
45z,0.001707216
46x,0.001067852
46y,0.001178521
46z,0.001135455
47x,0.00113287
47y,0.001646526
47z,0.000563378
48x,0.000448488
48y,0.002847941
48z,0.001617188
49x,0.003469745
49y,0.009432957
49z,0.000933062
50x,0.004047311
50y,0.009374831
50z,0.000495101
51x,0.015411441
51y,0.001390461
51z,0.001148729
52x,0.00114442
52y,0.010763698
52z,0.00095297
53x,0.001059427
53y,0.01507201
53z,0.001757517
54x,0.001177075
54y,0.015658907
54z,0.002491538
55x,0.00249956
55y,0.051208216
55z,0.00101118
56x,0.006342406
56y,0.004992191
56z,0.000880815
57x,0.001545959
57y,0.017786076
57z,0.001232682
58x,0.000860779
58y,0.003667735
58z,0.001382416
59x,0.02041803
59y,0.003086094
59z,0.001211479
60x,0.00108401
60y,0.001796518
60z,0.000919951
61x,0.002932011
61y,0.002019523
61z,0.001130926
62x,0.001923652
62y,0.004502456
62z,0.002507593
63x,0.001438276
63y,0.004747744
63z,0.000677169
64x,0.00200476
64y,0.00744818
64z,0.001731264
65x,0.001106946
65y,0.004732701
65z,0.002009472
66x,0.001728446
66y,0.018795334
66z,0.001921621
67x,0.00153028
67y,0.004780891
67z,0.000792601
68x,0.000858083
68y,0.001867873
68z,0.000664294
69x,0.001369527
69y,0.001094154
69z,0.001573922
70x,0.001143399
70y,0.00204538
70z,0.001513378
71x,0.001246805
71y,0.000832519
71z,0.016408167
72x,0.0020071
72y,0.003096892
72z,0.001182234
73x,0.001463228
73y,0.00135925
73z,0.002604003
74x,0.016797742
74y,0.001429894
74z,0.003090283
75x,0.001251739
75y,0.001730638
75z,0.000886197
76x,0.001269072
76y,0.001004864
76z,0.001124513
77x,0.002139191
77y,0.001470022
77z,0.001026214
78x,0.003592988
78y,0.009463486
78z,0.002009591
79x,0.014485614
79y,0.002183029
79z,0.003639341
80x,0.007807952
80y,0.002994176
80z,0.001161679
81x,0.025069657
81y,0.000472366
81z,0.000649351
82x,0.002873813
82y,0.001524528
82z,0.001653416
83x,0.001717142
83y,0.001720132
83z,0.001247602
84x,0.001730383
84y,0.001097587
84z,0.001277757
85x,0.001179555
85y,0.000733322
85z,0.000917291
86x,0.002837748
86y,0.001179917
86z,0.001054563
87x,0.000871032
87y,0.002560945
87z,0.002438053
88x,0.000869624
88y,0.002311458
88z,0.001357923
89x,0.000859849
89y,0.018939848
89z,0.002448541
90x,0.000613724
90y,0.006941383
90z,0.002082854
91x,0.001027862
91y,0.004282941
91z,0.001659412
92x,0.001329593
92y,0.002015587
92z,0.01229935
93x,0.001580527
93y,0.004062729
93z,0.001827884
94x,0.002327784
94y,0.001608694
94z,0.000972222
95x,0.000636885
95y,0.005294385
95z,0.000750622
96x,0.00024765
96y,0.006323487
96z,0.001841519
97x,0.000206023
97y,0.003588386
97z,0.001446985
98x,0.001972273
98y,0.015866243
98z,0.000865375
99x,0.001461929
99y,0.001619089
99z,0.006078663
