Feature, Importance
timestamp,0.005364791
0x,0.001163653
0y,0.001735533
0z,0.000469781
1x,0.001248618
1y,0.004821824
1z,0.00027639
2x,0.00069004
2y,0.022782801
2z,0.000785828
3x,0.000705984
3y,0.005242852
3z,0.000588268
4x,0.001933101
4y,0.001206324
4z,0.000679743
5x,0.001441999
5y,0.003111912
5z,0.000481729
6x,0.000266717
6y,0.020387043
6z,0.000896035
7x,0.000242918
7y,0.0098153
7z,0.00043745
8x,0.001106752
8y,0.004081245
8z,0.001120281
9x,0.001598405
9y,0.000884541
9z,0.001114
10x,0.002477881
10y,0.000802226
10z,0.001614923
11x,0.001643937
11y,0.003671202
11z,0.001286891
12x,0.008310227
12y,0.000823122
12z,0.000303249
13x,0.000542206
13y,0.001050864
13z,0.000743077
14x,0.001233779
14y,0.013876986
14z,0.001209817
15x,0.000584944
15y,0.003709499
15z,0.001356769
16x,0.001087593
16y,0.003705217
16z,0.000813562
17x,0.001620144
17y,0.010077082
17z,0.00210393
18x,0.001291743
18y,0.009477148
18z,0.001121029
19x,0.002754017
19y,0.040160219
19z,0.000938191
20x,0.003468603
20y,0.003355578
20z,0.000968555
21x,0.001584706
21y,0.002281342
21z,0.000514879
22x,0.000788177
22y,0.002405619
22z,0.004032002
23x,0.001847994
23y,0.002431167
23z,0.00199345
24x,0.000929358
24y,0.018104161
24z,0.001329617
25x,0.001255164
25y,0.003637776
25z,0.001443759
26x,0.00082234
26y,0.003957801
26z,0.000951287
27x,0.000632331
27y,0.002907343
27z,0.001022196
28x,0.002742051
28y,0.00364635
28z,0.001156471
29x,0.002549052
29y,0.002893084
29z,0.001401807
30x,0.001021398
30y,0.0033789
30z,0.000827642
31x,0.007597072
31y,0.011216952
31z,0.000950641
32x,0.001572308
32y,0.025210857
32z,0.000816523
33x,0.000586285
33y,0.005720717
33z,0.000718463
34x,0.001021549
34y,0.004620835
34z,0.000823401
35x,0.0007284
35y,0.00368804
35z,0.000649352
36x,0.002794084
36y,0.002788693
36z,0.000774215
37x,0.000139988
37y,0.000546225
37z,0.001077897
38x,0.000432547
38y,0.001818386
38z,0.000681539
39x,0.000397917
39y,0.005858419
39z,0.000801516
40x,0.00116359
40y,0.005838574
40z,0.001321079
41x,0.000349972
41y,0.001129512
41z,0.001388315
42x,0.001061306
42y,0.002161428
42z,0.000382271
43x,0.000997373
43y,0.021066314
43z,0.001133651
44x,0.001044498
44y,0.001070379
44z,0.000829332
45x,0.002335758
45y,0.001527087
45z,0.000936441
46x,0.001788256
46y,0.003622601
46z,0.00106669
47x,0.001192007
47y,0.000557694
47z,0.000858323
48x,0.001055209
48y,0.006974571
48z,0.005366754
49x,0.001160409
49y,0.004102435
49z,0.00171181
50x,0.001069784
50y,0.017077286
50z,0.000657624
51x,0.00127049
51y,0.009911893
51z,0.000724098
52x,0.001059109
52y,0.019516853
52z,0.000425051
53x,0.003408831
53y,0.014814678
53z,0.001078398
54x,0.00215213
54y,0.00226584
54z,0.001609029
55x,0.001356368
55y,0.001326109
55z,0.000375636
56x,0.000930408
56y,0.0020842
56z,0.000843236
57x,0.004261427
57y,0.000749763
57z,0.001330092
58x,0.001006937
58y,0.002798176
58z,0.000583946
59x,0.001109655
59y,0.001313219
59z,0.000503915
60x,0.001969366
60y,0.003738939
60z,0.001563958
61x,0.002849593
61y,0.00101237
61z,0.001327629
62x,0.001390887
62y,0.002375677
62z,0.001755986
63x,0.002125399
63y,0.001484754
63z,0.002179928
64x,0.001091456
64y,0.024122094
64z,0.000591023
65x,0.002128503
65y,0.000531716
65z,0.001378713
66x,0.001135697
66y,0.020166737
66z,0.000407968
67x,0.001509061
67y,0.008510861
67z,0.001343559
68x,0.003739779
68y,0.001080316
68z,0.002401275
69x,0.002356761
69y,0.00113414
69z,0.000429829
70x,0.001892136
70y,0.001741785
70z,0.002405564
71x,0.001136129
71y,0.002044324
71z,0.001258994
72x,0.000351375
72y,0.008782166
72z,0.000319184
73x,0.009322266
73y,0.016008284
73z,0.001354409
74x,0.00162331
74y,0.002212048
74z,0.000885032
75x,0.002832512
75y,0.002334103
75z,0.00102389
76x,0.001066037
76y,0.002765974
76z,0.000627429
77x,0.009837515
77y,0.001575181
77z,0.001210286
78x,0.001586477
78y,0.001610542
78z,0.001572639
79x,0.001433371
79y,0.004300353
79z,0.001210279
80x,0.001323026
80y,0.000791749
80z,0.001394663
81x,0.002581582
81y,0.010090658
81z,0.000840563
82x,0.002179198
82y,0.000949116
82z,0.000301335
83x,0.006487832
83y,0.00105753
83z,0.000580327
84x,0.0022859
84y,0.001863564
84z,0.002830592
85x,0.000536006
85y,0.002126687
85z,0.042574621
86x,0.001265332
86y,0.002936144
86z,0.009305492
87x,0.000295293
87y,0.002281529
87z,0.001259166
88x,0.000919401
88y,0.000507935
88z,0.002961418
89x,0.000765676
89y,0.00686102
89z,0.001001907
90x,0.001153855
90y,0.026781791
90z,0.000572952
91x,0.001019016
91y,0.004980541
91z,0.002809971
92x,0.001842734
92y,0.001867107
92z,0.001145807
93x,0.00184133
93y,0.008187789
93z,0.00180341
94x,0.00246851
94y,0.004997987
94z,0.000414129
95x,0.001304086
95y,0.007730907
95z,0.000948021
96x,0.000573101
96y,0.008311198
96z,0.0010568
97x,0.001811808
97y,0.007722405
97z,0.000867169
98x,0.000530361
98y,0.0295519
98z,0.001706943
99x,0.000959822
99y,0.002091691
99z,0.021438096
