Feature, Importance
timestamp,0.000388826
0x,0.000939581
0y,0.001935918
0z,0.000458959
1x,0.00146495
1y,0.001227888
1z,0.001969278
2x,0.000839244
2y,0.001002585
2z,0.000659146
3x,0.000951428
3y,0.001038571
3z,0.005775294
4x,0.002563918
4y,0.00160941
4z,0.001219637
5x,0.000900341
5y,0.002114481
5z,0.007195929
6x,0.000146611
6y,0.001530671
6z,0.001383745
7x,0.00234332
7y,0.002536789
7z,0.000559016
8x,0.000968749
8y,0.001740798
8z,0.009926412
9x,0.00789573
9y,0.004493749
9z,0.000726795
10x,0.000318985
10y,0.002803433
10z,0.000640024
11x,0.007363936
11y,0.000434302
11z,0.000917744
12x,0.001630952
12y,0.000423306
12z,0.001940108
13x,0.000757051
13y,0.001457414
13z,0.001579224
14x,0.000507083
14y,0.002500876
14z,0.00508068
15x,0.000873755
15y,0.011164307
15z,0.00522472
16x,0.001430892
16y,0.00784084
16z,0.00158359
17x,0.004577144
17y,0.008854936
17z,0.00277481
18x,0.002327601
18y,0.008153724
18z,0.000455881
19x,0.001431241
19y,0.007298492
19z,0.000276049
20x,0.002083808
20y,0.006854411
20z,0.000684135
21x,0.000851506
21y,0.009848353
21z,0.000841268
22x,0.001368331
22y,0.008146102
22z,0.000836837
23x,0.002628701
23y,0.009588221
23z,0.001520319
24x,0.002843062
24y,0.038091799
24z,0.008676412
25x,0.000384408
25y,0.018382355
25z,0.002368598
26x,0.001969778
26y,0.010778976
26z,0.012815912
27x,0.001348641
27y,0.010969459
27z,0.001352387
28x,0.0021606
28y,0.03542024
28z,0.000445543
29x,0.00171259
29y,0.003667178
29z,0.000927047
30x,0.000844285
30y,0.016230335
30z,0.000646637
31x,0.001659588
31y,0.005709636
31z,0.001523906
32x,0.000313728
32y,0.006358092
32z,0.021345669
33x,0.006981434
33y,0.010547135
33z,0.000393797
34x,0.000995999
34y,0.005837595
34z,0.001040738
35x,0.00174601
35y,0.01107592
35z,0.002512363
36x,0.00085617
36y,0.003398052
36z,0.00087498
37x,0.000524892
37y,0.000601718
37z,0.000940308
38x,0.000589443
38y,0.002030892
38z,0.000697086
39x,0.000685709
39y,0.002906401
39z,0.00090054
40x,0.002248381
40y,0.001853102
40z,0.002108819
41x,0.000314166
41y,0.001504998
41z,0.00124261
42x,0.002262335
42y,0.004753855
42z,0.000742316
43x,0.000460831
43y,0.005064223
43z,0.000647585
44x,0.009302805
44y,0.00628127
44z,0.009860524
45x,0.001040917
45y,0.000572736
45z,0.000317095
46x,0.001553883
46y,0.000858905
46z,0.001843283
47x,0.000472582
47y,0.004151378
47z,0.000652512
48x,0.002161377
48y,0.002228895
48z,0.00113389
49x,0.000528428
49y,0.003007487
49z,0.000807215
50x,0.00073088
50y,0.00217592
50z,0.0010059
51x,0.000259543
51y,0.006052692
51z,0.000937255
52x,0.000871871
52y,0.00111093
52z,0.00063204
53x,0.002912555
53y,0.007472629
53z,0.001320512
54x,0.000806555
54y,0.010752133
54z,0.000953445
55x,0.000698223
55y,0.004943939
55z,0.003552909
56x,0.002510983
56y,0.004361177
56z,0.000267136
57x,0.004958272
57y,0.0045553
57z,0.021134393
58x,0.008431312
58y,0.01834214
58z,0.0001976
59x,0.004521947
59y,0.0061302
59z,0.001383997
60x,0.006946269
60y,0.00311479
60z,0.000192703
61x,0.001059823
61y,0.009928243
61z,0.013803093
62x,0.000546068
62y,0.008347146
62z,0.0003278
63x,0.003003055
63y,0.005838662
63z,0.000180914
64x,0.001511773
64y,0.019446835
64z,0.000927192
65x,0.001353892
65y,0.003928105
65z,0.000845831
66x,0.001299589
66y,0.004687838
66z,0.003828285
67x,0.001035749
67y,0.002737744
67z,0.001421247
68x,0.001010007
68y,0.001773736
68z,0.000683814
69x,0.001409261
69y,0.001442086
69z,0.0015274
70x,0.001829606
70y,0.003210993
70z,0.002195773
71x,0.001129453
71y,0.001150461
71z,0.00196926
72x,0.002563175
72y,0.000949318
72z,0.001300956
73x,0.001173458
73y,0.001230879
73z,0.001510921
74x,0.002359679
74y,0.001346395
74z,0.016078688
75x,0.002893912
75y,0.003833253
75z,6.52E-05
76x,0.003507185
76y,0.00150746
76z,0.001634042
77x,0.004314669
77y,0.001854572
77z,0.000448182
78x,0.001350452
78y,0.002143331
78z,0.00811472
79x,0.002794386
79y,0.001267762
79z,0.0011662
80x,0.001456039
80y,0.003109001
80z,0.001996343
81x,0.000284763
81y,0.000894208
81z,0.001358499
82x,0.001332826
82y,0.000823939
82z,0.001291523
83x,0.002561393
83y,0.000763877
83z,0.001436891
84x,0.002843283
84y,0.002137934
84z,0.001819746
85x,0.000958814
85y,0.002980285
85z,0.00087346
86x,0.001531783
86y,0.00087027
86z,0.006977464
87x,0.000702076
87y,0.000865191
87z,0.005653106
88x,0.001849656
88y,0.00272895
88z,0.00250012
89x,0.001122496
89y,0.001612394
89z,0.002148077
90x,0.001936942
90y,0.003558733
90z,0.002421599
91x,0.001168556
91y,0.004832132
91z,0.000836276
92x,0.001537706
92y,0.007620143
92z,0.000677448
93x,0.001575171
93y,0.005119764
93z,0.001479188
94x,0.001345111
94y,0.003228058
94z,0.001485418
95x,0.001481603
95y,0.007257911
95z,0.001576564
96x,0.000968317
96y,0.022318601
96z,0.000562948
97x,0.002189196
97y,0.007343832
97z,0.000959806
98x,0.000531532
98y,0.003399922
98z,0.001056077
99x,0.002865995
99y,0.004127087
99z,0.000570936
