Feature, Importance
timestamp,0.00369604
0x,0.001367765
0y,0.001570534
0z,0.001745088
1x,0.002389267
1y,0.002215561
1z,0.002131466
2x,0.003915487
2y,0.001247942
2z,0.003723304
3x,0.003619214
3y,0.003845139
3z,0.000617761
4x,0.001362283
4y,0.001217916
4z,0.006071682
5x,0.001344481
5y,0.001439813
5z,0.004521191
6x,0.002020889
6y,0.001695388
6z,0.005528287
7x,0.001771078
7y,0.002184589
7z,0.002055237
8x,0.001412035
8y,0.001466612
8z,0.001250183
9x,0.000607997
9y,0.002546486
9z,0.00072222
10x,0.002813652
10y,0.003384739
10z,0.00147588
11x,0.003559164
11y,0.001523247
11z,0.003514718
12x,0.001628041
12y,0.001484924
12z,0.001445224
13x,0.004256661
13y,0.000443613
13z,0.002482026
14x,0.000499504
14y,0.00075774
14z,0.001859444
15x,0.001774217
15y,0.003054585
15z,0.001322241
16x,0.001511895
16y,0.001960414
16z,0.002686664
17x,0.0054426
17y,0.002150687
17z,0.00306205
18x,0.003189739
18y,0.001461032
18z,0.005625758
19x,0.003465673
19y,0.001384613
19z,0.004424326
20x,0.001261057
20y,0.001642571
20z,0.007452798
21x,0.002043291
21y,0.000851649
21z,0.002266284
22x,0.005742675
22y,0.001769727
22z,0.001583459
23x,0.001291147
23y,0.005353758
23z,0.000756555
24x,0.001114888
24y,0.002613602
24z,0.001477061
25x,0.001988766
25y,0.002205959
25z,0.001268404
26x,0.000799069
26y,0.001895543
26z,0.000527785
27x,0.001011044
27y,0.002792053
27z,0.007711694
28x,0.000905208
28y,0.002707916
28z,0.007782612
29x,0.00239648
29y,0.003713631
29z,0.001630173
30x,0.000996765
30y,0.004526631
30z,0.010719478
31x,0.001510587
31y,0.001403041
31z,0.001481544
32x,0.002253153
32y,0.001374836
32z,0.001444719
33x,0.002768744
33y,0.003695088
33z,0.004995349
34x,0.002597946
34y,0.000524364
34z,0.001051786
35x,0.000768431
35y,0.004311843
35z,0.001687532
36x,0.001939875
36y,0.004531229
36z,0.002628066
37x,0.002148305
37y,0.010183298
37z,0.003931813
38x,0.002916403
38y,0.009365404
38z,0.001937188
39x,0.020686179
39y,0.001403766
39z,0.001104623
40x,0.002599953
40y,0.001571404
40z,0.000372564
41x,0.002153875
41y,0.002559862
41z,0.002620253
42x,0.004095897
42y,0.001443348
42z,0.001358289
43x,0.000796524
43y,0.002225812
43z,0.000858575
44x,0.001035898
44y,0.002245089
44z,0.000476579
45x,0.000975955
45y,0.002177563
45z,0.001774645
46x,0.001243812
46y,0.004712632
46z,0.01137745
47x,0.007014304
47y,0.001148892
47z,0.001622417
48x,0.002705263
48y,0.00486759
48z,0.01231931
49x,0.01273453
49y,0.003193377
49z,0.000876772
50x,0.003330456
50y,0.001721166
50z,0.000743683
51x,0.001653152
51y,0.00217368
51z,0.008280719
52x,0.001173101
52y,0.002122093
52z,0.001791623
53x,0.007269686
53y,0.002950799
53z,0.000714826
54x,0.003491246
54y,0.001528634
54z,0.001721713
55x,0.003177328
55y,0.001684417
55z,0.004627826
56x,0.007057746
56y,0.000925897
56z,0.010511132
57x,0.004655795
57y,0.002807994
57z,0.001004432
58x,0.001995257
58y,0.004903321
58z,0.001507072
59x,0.013739496
59y,0.002048164
59z,0.001816871
60x,0.00366056
60y,0.002573263
60z,0.005228761
61x,0.012585021
61y,0.00259596
61z,0.001526264
62x,0.016714066
62y,0.010163569
62z,0.002528919
63x,0.002366028
63y,0.008653628
63z,0.009603592
64x,0.006878087
64y,0.005856208
64z,0.004103706
65x,0.005045571
65y,0.00247501
65z,0.00131569
66x,0.017411231
66y,0.002253666
66z,0.006369675
67x,0.002873744
67y,0.001789198
67z,0.010275628
68x,0.004779014
68y,0.008431584
68z,0.001109904
69x,0.001061912
69y,0.00132154
69z,0.000607125
70x,0.004605046
70y,0.002910401
70z,0.002935765
71x,0.010304643
71y,0.002058621
71z,0.004466745
72x,0.005029161
72y,0.00253884
72z,0.001145413
73x,0.001688231
73y,0.002786237
73z,0.002312926
74x,0.007195007
74y,0.004764618
74z,0.00115246
75x,0.013559634
75y,0.001742413
75z,0.001242237
76x,0.0174861
76y,0.009470048
76z,0.000683447
77x,0.006531073
77y,0.001927007
77z,0.004217143
78x,0.003136764
78y,0.003890311
78z,0.004263341
79x,0.002532237
79y,0.001969668
79z,0.00113489
80x,0.002854493
80y,0.003272184
80z,0.004439832
81x,0.002463625
81y,0.00208175
81z,0.00157246
82x,0.001725943
82y,0.002919656
82z,0.001272185
83x,0.001107636
83y,0.002267265
83z,0.004384058
84x,0.001869751
84y,0.001433354
84z,0.009259457
85x,0.003745492
85y,0.002600312
85z,0.001017572
86x,0.003589944
86y,0.001766851
86z,0.001291495
87x,0.008637266
87y,0.001331944
87z,0.005210202
88x,0.019368523
88y,0.002550478
88z,0.004418243
89x,0.002404523
89y,0.001214006
89z,0.003566359
90x,0.001575105
90y,0.00218086
90z,0.004523905
91x,0.002333685
91y,0.00096375
91z,0.000911066
92x,0.001709021
92y,0.001460294
92z,0.000783531
93x,0.003400179
93y,0.002539824
93z,0.001925511
94x,0.007645188
94y,0.00249415
94z,0.004424719
95x,0.001294784
95y,0.00179335
95z,0.001004891
96x,0.001531675
96y,0.001806794
96z,0.000846207
97x,0.001406293
97y,0.004379205
97z,0.001653456
98x,0.000995165
98y,0.001954085
98z,0.008953876
99x,0.001078256
99y,0.002354208
99z,0.001920943
