Feature, Importance
timestamp,0.000202712
0x,0.000325651
0y,0.000265194
0z,0.000223879
1x,0.001036897
1y,0.008744043
1z,0.004874632
2x,0.000208335
2y,0.001758
2z,0.000888645
3x,0.001048461
3y,0.001349126
3z,0.000353599
4x,0.001471776
4y,0.004636168
4z,0.000842355
5x,0.001952683
5y,0.033830737
5z,0.000295348
6x,0.001863387
6y,0.002525926
6z,0.000858116
7x,0.00068783
7y,0.001319068
7z,0.000580005
8x,0.000466002
8y,0.016246616
8z,0.000840641
9x,0.000276507
9y,0.000834624
9z,0.001086659
10x,0.000318643
10y,0.000503213
10z,0.000799146
11x,0.001251258
11y,0.004349799
11z,0.010043255
12x,0.001342907
12y,0.000416928
12z,0.00162376
13x,0.000796725
13y,0.009128907
13z,0.002325545
14x,0.000585781
14y,0.000621153
14z,0.014336837
15x,0.000667703
15y,0.000621804
15z,0.001608432
16x,0.000594669
16y,0.001931213
16z,0.001374103
17x,0.001904738
17y,0.003044007
17z,0.000301088
18x,0.02046855
18y,0.003405901
18z,0.000163416
19x,0.001134686
19y,0.003844762
19z,0.000603359
20x,0.000874223
20y,0.002544853
20z,0.00556308
21x,0.001518345
21y,0.003544185
21z,0.001050931
22x,0.002342651
22y,0.003413259
22z,0.001536696
23x,0.000687724
23y,0.006236359
23z,0.001090359
24x,0.001683696
24y,0.00325921
24z,0.002109293
25x,0.001507738
25y,0.002397617
25z,0.00110734
26x,0.000395022
26y,0.003415077
26z,0.000701399
27x,0.000583715
27y,0.004529952
27z,0.00110118
28x,0.001870821
28y,0.003817223
28z,0.001454333
29x,0.002449361
29y,0.002291694
29z,0.002386584
30x,0.001048211
30y,0.001571485
30z,0.00105078
31x,0.000875007
31y,0.002775645
31z,0.001536269
32x,0.000459651
32y,0.004243799
32z,0.000727359
33x,0.000304864
33y,0.003407532
33z,0.00730188
34x,0.000796419
34y,0.003706534
34z,0.002635458
35x,0.000461155
35y,0.008414908
35z,0.003372168
36x,0.001118122
36y,0.011283456
36z,0.00061327
37x,0.001975203
37y,0.000563778
37z,0.000368306
38x,0.005558031
38y,0.002377668
38z,0.021953573
39x,0.001474333
39y,0.005285885
39z,9.22E-05
40x,0.003727858
40y,0.001860314
40z,0.003960739
41x,0.000571762
41y,0.005400598
41z,0.002471499
42x,0.001024881
42y,0.002069498
42z,0.000489997
43x,0.001554784
43y,0.010141091
43z,0.001622585
44x,0.001462168
44y,0.007116002
44z,0.000441907
45x,0.002966306
45y,0.003523883
45z,0.000912063
46x,0.002449346
46y,0.001245452
46z,0.000807108
47x,0.000157256
47y,0.002045624
47z,0.001680549
48x,0.000362282
48y,0.003492094
48z,0.001378108
49x,0.00217925
49y,0.010790276
49z,0.000979984
50x,0.002446738
50y,0.020961441
50z,0.001150865
51x,0.001388864
51y,0.012992354
51z,0.002643497
52x,0.001365484
52y,0.026690224
52z,0.000833866
53x,0.000907986
53y,0.022599995
53z,0.00120083
54x,0.001248943
54y,0.004395563
54z,0.000253336
55x,0.02175877
55y,0.001956119
55z,0.001031297
56x,0.000433199
56y,0.003620872
56z,0.000484281
57x,0.000420833
57y,0.004689677
57z,0.001565254
58x,0.000611062
58y,0.001498827
58z,0.000555858
59x,0.001407891
59y,0.004886215
59z,0.000453628
60x,0.01490192
60y,0.007088823
60z,0.001404687
61x,0.006172428
61y,0.021379865
61z,0.000499855
62x,0.00066474
62y,0.010575242
62z,0.000401644
63x,0.002408314
63y,0.005659683
63z,0.000842912
64x,0.021790585
64y,0.004156109
64z,0.000996991
65x,0.000505459
65y,0.009197889
65z,0.00071062
66x,0.001198441
66y,0.003143813
66z,0.000528022
67x,0.000545115
67y,0.016250489
67z,0.004845199
68x,0.000702206
68y,0.000815238
68z,0.000671741
69x,0.001195092
69y,0.001886559
69z,0.000922711
70x,0.000496854
70y,0.002030257
70z,0.000205854
71x,0.001341534
71y,0.00149012
71z,0.000741662
72x,0.000875988
72y,0.001204823
72z,0.001256105
73x,0.000618311
73y,0.00243084
73z,0.001420409
74x,0.000751863
74y,0.002027125
74z,9.16E-05
75x,0.001033547
75y,0.00231696
75z,0.00039825
76x,0.000531299
76y,0.0029674
76z,0.002423789
77x,0.001832416
77y,0.018239846
77z,0.000929657
78x,0.003979616
78y,0.001013623
78z,0.000886597
79x,0.000708539
79y,0.007678801
79z,0.000735219
80x,0.001219995
80y,0.011643919
80z,0.000637097
81x,0.001629473
81y,0.00086045
81z,0.001210658
82x,0.017942003
82y,0.006550736
82z,0.000666073
83x,0.000923979
83y,0.002441054
83z,0.001314887
84x,0.000945416
84y,0.025728331
84z,0.000330265
85x,0.001162067
85y,0.003362411
85z,0.002693184
86x,0.000970034
86y,0.000500392
86z,0.010815443
87x,0.008456865
87y,0.002173129
87z,0.001476464
88x,0.003932868
88y,0.000832181
88z,0.005255155
89x,0.001037728
89y,0.021261667
89z,0.000261805
90x,0.000661592
90y,0.003109141
90z,0.000894753
91x,0.000344036
91y,0.004238817
91z,0.000377769
92x,0.001408207
92y,0.006320443
92z,0.001890004
93x,0.015203623
93y,0.007112537
93z,0.001814405
94x,8.75E-05
94y,0.003035652
94z,0.001346184
95x,0.000742688
95y,0.001847304
95z,0.000995953
96x,0.0006096
96y,0.004381429
96z,0.000310258
97x,0.002767324
97y,0.003186298
97z,0.000763403
98x,0.000817442
98y,0.011751738
98z,0.000253762
99x,0.000439647
99y,0.002708771
99z,0.005460913
