Feature, Importance
timestamp,0.00108149
0x,0.000697458
0y,0.001526925
0z,0.00044754
1x,0.000949725
1y,0.001398666
1z,0.002022759
2x,0.000635784
2y,0.000398446
2z,0.008193106
3x,0.000953225
3y,0.010164621
3z,0.001502645
4x,0.000655321
4y,0.00166969
4z,0.000842901
5x,0.001530421
5y,0.001380134
5z,0.000724609
6x,0.000607383
6y,0.001057957
6z,0.002988259
7x,0.000565639
7y,0.009442085
7z,0.001314453
8x,0.000582746
8y,0.001629161
8z,0.001967702
9x,0.000998333
9y,0.001953403
9z,0.001344235
10x,0.001816617
10y,0.011810728
10z,0.000926764
11x,0.001496289
11y,0.000599408
11z,0.000369848
12x,0.002940091
12y,0.001038177
12z,0.001192772
13x,0.013630535
13y,0.003169287
13z,0.000803432
14x,0.003927137
14y,0.000908602
14z,0.002245138
15x,0.000908139
15y,0.00188477
15z,0.000779378
16x,0.000682206
16y,0.002775429
16z,0.001915875
17x,0.000327827
17y,0.002369053
17z,0.002465241
18x,0.001394679
18y,0.004478331
18z,0.001139856
19x,0.002247995
19y,0.006114291
19z,0.002420639
20x,0.001727995
20y,0.003922677
20z,0.001432719
21x,0.001192982
21y,0.002135678
21z,0.002137853
22x,0.001441798
22y,0.017683631
22z,0.003315481
23x,0.00084847
23y,0.00643869
23z,0.00138711
24x,0.000438812
24y,0.00393148
24z,0.000995919
25x,0.00052832
25y,0.002362991
25z,0.000609636
26x,0.000749239
26y,0.001741225
26z,0.000747443
27x,0.00229995
27y,0.003341019
27z,0.001964414
28x,0.000792958
28y,0.004685654
28z,0.002601364
29x,0.00098217
29y,0.003989341
29z,0.000938364
30x,0.000937622
30y,0.005053369
30z,0.025487709
31x,0.00148386
31y,0.002287611
31z,0.00134294
32x,0.000650346
32y,0.003736678
32z,0.001617624
33x,0.000713082
33y,0.003186156
33z,0.002344427
34x,0.00130981
34y,0.003966367
34z,0.003042605
35x,0.00061646
35y,0.00307877
35z,0.001033557
36x,0.001053023
36y,0.006851675
36z,0.001364142
37x,0.00096245
37y,0.010656345
37z,0.003001504
38x,0.001006136
38y,0.00543751
38z,0.002007606
39x,0.001306899
39y,0.019980832
39z,0.001218548
40x,0.001489074
40y,0.023403784
40z,0.002593472
41x,0.000413918
41y,0.012870881
41z,0.001900998
42x,0.003264377
42y,0.001763839
42z,0.000209342
43x,0.017938826
43y,0.010058214
43z,0.001411684
44x,0.000301403
44y,0.008396276
44z,0.000480263
45x,0.001127997
45y,0.001492275
45z,0.001559949
46x,0.000644646
46y,0.00287484
46z,0.020111055
47x,0.000950406
47y,0.002268948
47z,0.002884107
48x,0.000731754
48y,0.027740328
48z,0.00050881
49x,0.000774215
49y,0.003546784
49z,0.000919187
50x,0.001219281
50y,0.015826678
50z,0.001909645
51x,0.002800972
51y,0.019650936
51z,0.001539647
52x,0.000621256
52y,0.007001312
52z,0.00106638
53x,0.00220872
53y,0.01912701
53z,0.002146796
54x,0.001415779
54y,0.007832076
54z,0.000790936
55x,0.003755748
55y,0.014418113
55z,0.003859313
56x,0.001176956
56y,0.001116342
56z,0.002197536
57x,0.001551138
57y,0.030597183
57z,0.002732139
58x,0.000913512
58y,0.006714106
58z,0.001550808
59x,0.001402245
59y,0.027520543
59z,0.000865145
60x,0.000498212
60y,0.003762689
60z,0.001175644
61x,0.002429434
61y,0.008563047
61z,0.002305732
62x,0.000516792
62y,0.004368984
62z,0.000579983
63x,0.001945805
63y,0.007571702
63z,0.002107378
64x,0.001775826
64y,0.002969992
64z,0.003047249
65x,0.003357831
65y,0.004801346
65z,0.001268298
66x,0.002030271
66y,0.003507947
66z,0.0008227
67x,0.001245534
67y,0.015078682
67z,0.00071929
68x,0.001796014
68y,0.000875265
68z,0.000790069
69x,0.000739383
69y,0.001322722
69z,0.00075284
70x,0.001256158
70y,0.001856319
70z,0.000715583
71x,0.000570355
71y,0.000579091
71z,0.001316744
72x,0.002011324
72y,0.009816648
72z,0.002953396
73x,0.001836479
73y,0.002096235
73z,0.002537566
74x,0.001570596
74y,0.013138316
74z,0.002064768
75x,0.001035547
75y,0.000987235
75z,0.001384785
76x,0.002782772
76y,0.001190878
76z,0.002508259
77x,0.000841867
77y,0.007713765
77z,0.00180969
78x,0.001326784
78y,0.014996926
78z,0.001353529
79x,0.001408702
79y,0.001527398
79z,0.000679448
80x,0.001363027
80y,0.004601693
80z,0.001612096
81x,0.001034818
81y,0.00944458
81z,0.00062082
82x,0.002098387
82y,0.001724685
82z,0.000975715
83x,0.002299913
83y,0.002757771
83z,0.001539394
84x,0.001527895
84y,0.001271306
84z,0.014857298
85x,0.002522978
85y,0.001840252
85z,0.005434942
86x,0.00089526
86y,0.001201181
86z,0.005196723
87x,0.000988914
87y,0.001091414
87z,0.00309117
88x,0.001965887
88y,0.001095069
88z,0.001448675
89x,0.001608679
89y,0.010706972
89z,0.000944732
90x,0.001572582
90y,0.00183065
90z,0.001721065
91x,0.001330296
91y,0.005741171
91z,0.003158449
92x,0.000710275
92y,0.007868506
92z,0.001718712
93x,0.000777467
93y,0.003027039
93z,0.001092258
94x,0.001099181
94y,0.00552528
94z,0.002548938
95x,0.000735374
95y,0.003671105
95z,0.001026919
96x,0.001428587
96y,0.00186988
96z,0.001023147
97x,0.002069972
97y,0.004283222
97z,0.001331221
98x,0.00051376
98y,0.005022847
98z,0.000854633
99x,0.001573145
99y,0.002937511
99z,0.00131444
