Feature, Importance
timestamp,0.001741133
0x,1.82E-05
0y,0.001076458
0z,0.003888938
1x,0.002148956
1y,0.00089179
1z,0.001043821
2x,0.000380456
2y,0.010628562
2z,0.003923302
3x,0.001738907
3y,0.005049257
3z,0.00077778
4x,0.010973188
4y,0.000806191
4z,0.004463108
5x,0.001480967
5y,0.001634106
5z,0.00145025
6x,0.0013556
6y,0.019172104
6z,0.000160248
7x,0.001649231
7y,0.002655155
7z,0.008382997
8x,0.000734675
8y,0.002184571
8z,0.047118719
9x,0.000657778
9y,0.009587438
9z,0.000511622
10x,0.000975922
10y,0.019364285
10z,0.000980299
11x,0.000348199
11y,0.001295159
11z,0.001451264
12x,0.001548849
12y,0.002980268
12z,0.0008991
13x,0.00079795
13y,0.001994314
13z,0.001765422
14x,0.001600524
14y,0.013212729
14z,0.004865032
15x,0.00107559
15y,0.001164988
15z,0.002483605
16x,0.001123286
16y,0.013270605
16z,0.003292336
17x,0.000912956
17y,0.002945223
17z,0.001552518
18x,0.000502183
18y,0.004584454
18z,0.003334751
19x,0.000954628
19y,0.001494583
19z,0.002193937
20x,0.000980843
20y,0.002959117
20z,0.004425152
21x,0.000544028
21y,0.002439977
21z,0.002766275
22x,0.001082067
22y,0.00212871
22z,0.000644309
23x,0.002148344
23y,0.001794203
23z,0.00106918
24x,0.001659535
24y,0.005877793
24z,0.00154982
25x,0.001085602
25y,0.004764805
25z,0.003621129
26x,0.002946588
26y,0.013228138
26z,0.004746357
27x,0.000704131
27y,0.001699916
27z,0.000985212
28x,0.000698955
28y,0.00279519
28z,0.00175217
29x,0.000973197
29y,0.003170257
29z,0.000997468
30x,0.002272336
30y,0.011870399
30z,0.001752882
31x,0.001443251
31y,0.002484636
31z,0.001100727
32x,0.001807835
32y,0.011047366
32z,0.000742339
33x,0.000817381
33y,0.00781206
33z,0.001903375
34x,0.001338547
34y,0.001419937
34z,0.002632229
35x,0.00040486
35y,0.001568884
35z,0.000585617
36x,0.002680511
36y,0.010164229
36z,0.002464165
37x,0.000700699
37y,0.007089192
37z,0.000426967
38x,0.00142013
38y,0.004498001
38z,0.000588998
39x,0.000438505
39y,0.00402423
39z,0.001782657
40x,0.001813981
40y,0.006843208
40z,0.00075191
41x,0.001134106
41y,0.007273698
41z,0.001280816
42x,0.001503841
42y,0.002006376
42z,0.00053509
43x,0.008315125
43y,0.013579828
43z,0.000977164
44x,0.001062132
44y,0.004571236
44z,0.001549356
45x,0.001523439
45y,0.005368262
45z,0.004986813
46x,0.001110309
46y,0.003703935
46z,0.001433095
47x,0.001018497
47y,0.012074817
47z,0.000220716
48x,0.002464488
48y,0.001810588
48z,0.000457742
49x,0.001167004
49y,0.011095941
49z,0.001149877
50x,0.000467962
50y,0.01648064
50z,0.000431497
51x,0.001619333
51y,0.003186946
51z,0.000629263
52x,0.001519101
52y,0.003382951
52z,0.000546304
53x,6.03E-05
53y,0.004490322
53z,0.003481787
54x,0.000662806
54y,0.009161356
54z,0.001128259
55x,0.000812677
55y,0.017435841
55z,0.001652304
56x,0.002490397
56y,0.003846627
56z,0.002816787
57x,0.000768269
57y,0.002093214
57z,0.000597038
58x,0.002883166
58y,0.001543104
58z,0.002871327
59x,0.001434753
59y,0.004043529
59z,0.001594167
60x,0.000897167
60y,0.001990779
60z,0.000294119
61x,0.004083168
61y,0.062362761
61z,0.00070692
62x,0.001280674
62y,0.003181389
62z,0.003071263
63x,0.001139411
63y,0.001753032
63z,0.001482452
64x,0.000987409
64y,0.001170394
64z,0.001559729
65x,0.001656383
65y,0.015159238
65z,0.001130832
66x,0.001228902
66y,0.00956161
66z,0.001698142
67x,0.000942672
67y,0.006324932
67z,0.003778005
68x,0.000452356
68y,0.009438357
68z,0.000750106
69x,0.000965388
69y,0.001901837
69z,0.000758331
70x,0.001441447
70y,0.00138535
70z,0.001739598
71x,0.001426992
71y,0.002480092
71z,0.00140722
72x,0.000468024
72y,0.003784508
72z,0.00116293
73x,0.00187968
73y,0.001169485
73z,0.000544402
74x,0.001115133
74y,0.001990902
74z,0.000676565
75x,0.001544443
75y,0.002363339
75z,0.00080403
76x,0.001536881
76y,0.001031389
76z,0.001953477
77x,0.000455234
77y,0.001014556
77z,0.000959606
78x,0.000881396
78y,0.000822948
78z,0.001012663
79x,0.001362616
79y,0.001020583
79z,0.002609191
80x,0.002294681
80y,0.001327858
80z,0.000868847
81x,0.000553313
81y,0.000762458
81z,0.002094443
82x,0.000981354
82y,0.001262515
82z,0.000289424
83x,0.002527772
83y,0.001593818
83z,0.001276927
84x,0.000540624
84y,0.018503149
84z,0.000494809
85x,0.000572134
85y,0.021253017
85z,0.001318048
86x,0.00159618
86y,0.001239132
86z,0.002950448
87x,0.003061826
87y,0.002792888
87z,0.000352052
88x,0.001618076
88y,0.001806791
88z,0.001364104
89x,0.001054783
89y,0.040681229
89z,0.005686341
90x,0.011450295
90y,0.00189014
90z,0.000963373
91x,0.001946569
91y,0.004749084
91z,0.000627493
92x,0.000777885
92y,0.000583608
92z,0.00071962
93x,0.001123239
93y,0.001070295
93z,0.004949905
94x,0.001141293
94y,0.016628053
94z,0.002661958
95x,0.001293837
95y,0.001696838
95z,0.000703038
96x,0.001279697
96y,0.015790756
96z,0.001611918
97x,0.002120569
97y,0.001736684
97z,0.002569673
98x,0.00071986
98y,0.002137811
98z,0.000649964
99x,0.0009809
99y,0.001788797
99z,0.001478097
