Feature, Importance
timestamp,0.004965785
0x,0.001962358
0y,0.002985544
0z,0.001253454
1x,0.001217233
1y,0.00085465
1z,0.001027338
2x,0.001607814
2y,0.013912471
2z,0.010757945
3x,0.00139331
3y,0.002318252
3z,0.001296935
4x,0.000872289
4y,0.001205221
4z,0.001478008
5x,0.001508906
5y,0.001857179
5z,0.001576988
6x,0.000994237
6y,0.002404918
6z,0.001149757
7x,0.001473596
7y,0.018282093
7z,0.001040344
8x,0.003435113
8y,0.00188583
8z,0.001546353
9x,0.001425305
9y,0.003225867
9z,0.000353891
10x,0.000777766
10y,0.00041252
10z,0.001174665
11x,0.000912322
11y,0.00570588
11z,0.008839976
12x,0.000896448
12y,0.005762744
12z,0.000895023
13x,0.000709954
13y,0.001203198
13z,0.000994968
14x,0.00077407
14y,0.001296342
14z,0.000982765
15x,0.001113779
15y,0.01060927
15z,0.000537851
16x,0.001272813
16y,0.01094346
16z,0.000912164
17x,0.001568989
17y,0.0077536
17z,0.00104002
18x,0.001821281
18y,0.00276243
18z,0.017721279
19x,0.000725327
19y,0.002201175
19z,0.005501764
20x,0.002222426
20y,0.002041561
20z,0.000301893
21x,0.002136671
21y,0.010648902
21z,0.001156722
22x,0.000837069
22y,0.004678959
22z,0.0254975
23x,0.001245117
23y,0.005323065
23z,0.00056052
24x,0.000856492
24y,0.002198509
24z,0.004389326
25x,0.000908302
25y,0.001089475
25z,0.00220221
26x,0.001322286
26y,0.002106978
26z,0.001394434
27x,0.001104207
27y,0.002445393
27z,0.00136213
28x,0.00078799
28y,0.00227997
28z,0.001467308
29x,0.002252878
29y,0.003959681
29z,0.001442735
30x,0.003632029
30y,0.002275045
30z,0.000839499
31x,0.000661947
31y,0.003001107
31z,0.001120629
32x,0.000970343
32y,0.004655237
32z,0.001178107
33x,0.000551147
33y,0.000854896
33z,0.001825058
34x,0.00130462
34y,0.00374639
34z,0.000777266
35x,0.001792623
35y,0.005819686
35z,0.002117248
36x,0.000574938
36y,0.002155741
36z,0.010109354
37x,0.00115057
37y,0.001768422
37z,0.000944258
38x,0.003032909
38y,0.011664492
38z,0.001234269
39x,0.001874357
39y,0.029260847
39z,0.000686977
40x,0.001779289
40y,0.00456245
40z,0.002432099
41x,0.001126831
41y,0.004717504
41z,0.000777352
42x,0.001217176
42y,0.003096433
42z,0.000403137
43x,0.000774067
43y,0.003386304
43z,0.001645065
44x,0.0009723
44y,0.009025164
44z,0.000591679
45x,0.006143195
45y,0.009597177
45z,0.000830259
46x,0.000752275
46y,0.001446084
46z,0.001064797
47x,0.000585095
47y,0.001081668
47z,0.001396329
48x,0.005997376
48y,0.00101476
48z,0.000706037
49x,0.002824655
49y,0.005276381
49z,0.002389386
50x,0.021903644
50y,0.02228914
50z,0.001718805
51x,0.001828411
51y,0.009130918
51z,0.001031524
52x,0.000601918
52y,0.012474625
52z,0.001047644
53x,0.002712452
53y,0.000730354
53z,0.001773276
54x,0.00207415
54y,0.00479689
54z,0.001721579
55x,0.000746005
55y,0.009965359
55z,0.000423904
56x,0.001656833
56y,0.002671895
56z,0.001318288
57x,0.001860699
57y,0.001992666
57z,0.003910797
58x,0.003915783
58y,0.022631394
58z,0.000945597
59x,0.002696675
59y,0.022079382
59z,0.00111495
60x,0.005677604
60y,0.004032807
60z,0.001698859
61x,0.002676334
61y,0.002651209
61z,0.00081388
62x,0.002467976
62y,0.002085461
62z,0.001132364
63x,0.001576037
63y,0.019261461
63z,0.000877749
64x,0.000389164
64y,0.006554464
64z,0.000521749
65x,0.001636901
65y,0.004665554
65z,0.000822751
66x,0.000305272
66y,0.004049672
66z,0.002385185
67x,0.002026908
67y,0.024722957
67z,0.001944892
68x,0.001281637
68y,0.002356194
68z,0.001335424
69x,0.001887272
69y,0.015404018
69z,0.000395763
70x,0.001282528
70y,0.016366683
70z,0.002058601
71x,0.001698037
71y,0.002752492
71z,0.000739694
72x,0.002000081
72y,0.003022527
72z,0.001477435
73x,0.001088713
73y,0.001609492
73z,0.001515102
74x,0.002340031
74y,0.003445826
74z,0.001007299
75x,0.001379665
75y,0.004064395
75z,0.000960635
76x,0.004771229
76y,0.003089501
76z,0.000991185
77x,0.001714142
77y,0.002051719
77z,0.000559235
78x,0.005362966
78y,0.002110516
78z,0.001533102
79x,0.002358494
79y,0.002851555
79z,0.001697915
80x,0.007083188
80y,0.002116209
80z,0.002233904
81x,0.00501676
81y,0.000933818
81z,0.000933867
82x,0.002214944
82y,0.001968278
82z,0.001882102
83x,0.001584481
83y,0.001124178
83z,0.000702242
84x,0.001288599
84y,0.003301343
84z,0.001664375
85x,0.000954976
85y,0.003269239
85z,0.000559529
86x,0.002520876
86y,0.005287914
86z,0.009204854
87x,0.001004366
87y,0.001748809
87z,0.002136403
88x,0.001456555
88y,0.005010121
88z,0.000788735
89x,0.002648209
89y,0.005000709
89z,0.00128511
90x,0.000331873
90y,0.001293348
90z,0.001697301
91x,0.000807465
91y,0.005809966
91z,0.001611448
92x,0.001853902
92y,0.004321944
92z,0.020450242
93x,0.003639978
93y,0.004406875
93z,0.002431361
94x,0.000932749
94y,0.003191005
94z,0.001203468
95x,0.000822874
95y,0.02391973
95z,0.001498061
96x,0.000926836
96y,0.004035191
96z,0.000853939
97x,0.002842245
97y,0.002856984
97z,0.000905943
98x,0.000983189
98y,0.003428373
98z,0.000762101
99x,0.001376138
99y,0.004899104
99z,0.00117194
