inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,1.0,3.37793543069e-16,1.0
2.0,0.0,0.0,1.0,2.53255048491e-66
3.0,0.0,0.0,1.0,1.66857947175e-78
4.0,1.0,1.0,6.20604862538e-205,1.0
5.0,1.0,1.0,1.66301571209e-179,1.0
6.0,1.0,0.0,1.0,3.10501033749e-97
7.0,1.0,1.0,1.2218744065e-166,1.0
8.0,0.0,0.0,1.0,6.15289575575e-94
9.0,0.0,0.0,1.0,2.06105450153e-82
10.0,1.0,1.0,6.10799994287e-223,1.0
11.0,1.0,0.0,1.0,4.09880779727e-80
12.0,0.0,0.0,1.0,1.70076905686e-99
13.0,0.0,0.0,1.0,1.51580769033e-35
14.0,0.0,0.0,1.0,2.43714524418e-95
15.0,0.0,1.0,4.90909601187e-104,1.0
16.0,0.0,0.0,1.0,1.61835496313e-87
17.0,0.0,0.0,1.0,4.7929225169e-38
18.0,1.0,1.0,2.76583543526e-59,1.0
19.0,0.0,0.0,1.0,4.02857317255e-64
20.0,1.0,1.0,7.55885261533e-175,1.0
21.0,1.0,1.0,7.86654554472e-169,1.0
22.0,0.0,0.0,1.0,1.96794891996e-27
23.0,0.0,0.0,1.0,2.97110061754e-82
24.0,0.0,0.0,1.0,2.53255048491e-66
25.0,0.0,0.0,1.0,2.06566155563e-85
26.0,1.0,1.0,1.27280318618e-61,1.0
27.0,0.0,0.0,1.0,5.12237424886e-86
28.0,1.0,1.0,2.71211971547e-147,1.0
29.0,0.0,0.0,1.0,4.83950530875e-64
30.0,1.0,1.0,6.57867005418e-34,1.0
31.0,0.0,0.0,1.0,1.08619259066e-76
32.0,0.0,0.0,1.0,2.13518877644e-100
33.0,0.0,1.0,4.20728106301e-35,1.0
34.0,0.0,0.0,1.0,8.96207930052e-86
35.0,0.0,0.0,1.0,2.35931494987e-97
36.0,0.0,0.0,1.0,6.12249394969e-62
37.0,1.0,0.0,1.0,1.35844880202e-79
38.0,1.0,1.0,6.36083106042e-219,1.0
39.0,0.0,0.0,1.0,6.31775776663e-98
40.0,0.0,1.0,4.38934914417e-29,1.0
41.0,0.0,0.0,1.0,7.70773222464e-88
42.0,0.0,0.0,1.0,2.15241868841e-73
43.0,1.0,1.0,8.03007940678e-114,1.0
44.0,0.0,0.0,1.0,4.14811104092e-60
45.0,1.0,1.0,1.72504191408e-47,1.0
46.0,0.0,0.0,1.0,7.62115350752e-98
47.0,0.0,0.0,1.0,3.32349271565e-69
48.0,1.0,0.0,1.0,6.69796656991e-82
49.0,1.0,1.0,1.11042548879e-187,1.0
50.0,0.0,0.0,1.0,4.24413146381e-27
51.0,0.0,0.0,1.0,6.31861021445e-44
52.0,1.0,1.0,1.4683119118e-161,1.0
53.0,0.0,0.0,1.0,1.38544180963e-41
54.0,1.0,1.0,4.06104595269e-180,1.0
55.0,1.0,1.0,1.17971909231e-151,1.0
56.0,0.0,1.0,5.51474270579e-20,1.0
57.0,0.0,0.0,1.0,7.93248744551e-99
58.0,0.0,0.0,1.0,4.9551298267e-75
59.0,0.0,1.0,5.60197478417e-11,0.999999999944
60.0,0.0,0.0,1.0,1.39051142466e-78
61.0,1.0,1.0,8.63940562871e-76,1.0
62.0,1.0,0.0,1.0,2.76401837781e-72
63.0,1.0,1.0,5.62964937058e-223,1.0
64.0,0.0,0.0,1.0,6.06131615155e-53
65.0,0.0,0.0,1.0,3.11051531233e-100
66.0,1.0,1.0,9.72194647544e-186,1.0
67.0,0.0,0.0,1.0,3.82834473301e-89
68.0,1.0,1.0,2.31973186777e-116,1.0
69.0,0.0,0.0,1.0,1.06961399573e-84
70.0,0.0,0.0,1.0,2.02142056915e-95
71.0,0.0,0.0,1.0,6.87205091824e-29
72.0,0.0,0.0,1.0,1.73624204136e-98
73.0,1.0,1.0,3.23067622439e-207,1.0
74.0,1.0,1.0,3.37104354368e-181,1.0
75.0,1.0,1.0,4.53028966244e-76,1.0
76.0,1.0,0.0,1.0,2.53715711224e-43
77.0,0.0,0.0,1.0,1.1365656518e-86
78.0,1.0,0.0,0.999999999999,1.07799178596e-12
79.0,0.0,0.0,1.0,9.26224265967e-20
80.0,0.0,0.0,1.0,2.15189053618e-67
81.0,0.0,0.0,1.0,2.58337196955e-73
82.0,0.0,0.0,1.0,1.58767174705e-63
83.0,0.0,0.0,1.0,6.01479775803e-97
84.0,0.0,0.0,1.0,3.0612222181e-99
85.0,0.0,0.0,1.0,1.38517177188e-58
86.0,1.0,0.0,1.0,3.90941078321e-42
87.0,0.0,0.0,1.0,2.15887155042e-87
88.0,0.0,0.0,1.0,1.56846088623e-98
89.0,1.0,1.0,1.51557800223e-95,1.0
90.0,0.0,0.0,1.0,2.61302022829e-73
91.0,0.0,0.0,0.999999301916,6.98084080069e-07
92.0,0.0,0.0,1.0,6.64583061514e-70
