inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.9,0.1
2.0,0.0,0.0,1.0,0.0
3.0,0.0,0.0,1.0,0.0
4.0,1.0,1.0,0.07,0.93
5.0,1.0,1.0,0.0,1.0
6.0,1.0,0.0,0.93,0.07
7.0,1.0,1.0,0.03,0.97
8.0,0.0,0.0,0.92,0.08
9.0,0.0,0.0,1.0,0.0
10.0,1.0,1.0,0.05,0.95
11.0,1.0,1.0,0.26,0.74
12.0,0.0,0.0,1.0,0.0
13.0,0.0,0.0,0.96,0.04
14.0,0.0,0.0,1.0,0.0
15.0,0.0,1.0,0.41,0.59
16.0,0.0,0.0,0.95,0.05
17.0,0.0,0.0,0.94,0.06
18.0,1.0,1.0,0.16,0.84
19.0,0.0,0.0,0.92,0.08
20.0,1.0,1.0,0.0,1.0
21.0,1.0,1.0,0.01,0.99
22.0,0.0,0.0,0.9,0.1
23.0,0.0,0.0,0.83,0.17
24.0,0.0,0.0,1.0,0.0
25.0,0.0,0.0,0.63,0.37
26.0,1.0,1.0,0.08,0.92
27.0,0.0,0.0,0.93,0.07
28.0,1.0,1.0,0.03,0.97
29.0,0.0,0.0,0.92,0.08
30.0,1.0,0.0,0.72,0.28
31.0,0.0,0.0,0.95,0.05
32.0,0.0,0.0,0.95,0.05
33.0,0.0,0.0,0.86,0.14
34.0,0.0,0.0,0.93,0.07
35.0,0.0,0.0,0.99,0.01
36.0,0.0,0.0,0.74,0.26
37.0,1.0,1.0,0.21,0.79
38.0,1.0,1.0,0.03,0.97
39.0,0.0,0.0,0.96,0.04
40.0,0.0,0.0,0.83,0.17
41.0,0.0,0.0,0.71,0.29
42.0,0.0,0.0,0.99,0.01
43.0,1.0,1.0,0.14,0.86
44.0,0.0,0.0,0.99,0.01
45.0,1.0,1.0,0.46,0.54
46.0,0.0,0.0,0.98,0.02
47.0,0.0,0.0,0.88,0.12
48.0,1.0,1.0,0.33,0.67
49.0,1.0,1.0,0.01,0.99
50.0,0.0,0.0,0.91,0.09
51.0,0.0,0.0,0.98,0.02
52.0,1.0,1.0,0.02,0.98
53.0,0.0,0.0,0.96,0.04
54.0,1.0,1.0,0.0,1.0
55.0,1.0,1.0,0.02,0.98
56.0,0.0,0.0,0.76,0.24
57.0,0.0,0.0,1.0,0.0
58.0,0.0,0.0,0.79,0.21
59.0,0.0,0.0,0.72,0.28
60.0,0.0,0.0,0.89,0.11
61.0,1.0,1.0,0.06,0.94
62.0,1.0,0.0,0.72,0.28
63.0,1.0,1.0,0.01,0.99
64.0,0.0,0.0,0.8,0.2
65.0,0.0,0.0,0.84,0.16
66.0,1.0,1.0,0.0,1.0
67.0,0.0,0.0,0.89,0.11
68.0,1.0,1.0,0.1,0.9
69.0,0.0,0.0,0.97,0.03
70.0,0.0,0.0,0.92,0.08
71.0,0.0,0.0,0.72,0.28
72.0,0.0,0.0,0.99,0.01
73.0,1.0,1.0,0.04,0.96
74.0,1.0,1.0,0.0,1.0
75.0,1.0,1.0,0.25,0.75
76.0,1.0,0.0,0.83,0.17
77.0,0.0,0.0,0.68,0.32
78.0,1.0,0.0,0.83,0.17
79.0,0.0,0.0,0.94,0.06
80.0,0.0,0.0,0.96,0.04
81.0,0.0,0.0,0.95,0.05
82.0,0.0,0.0,0.8,0.2
83.0,0.0,0.0,0.94,0.06
84.0,0.0,0.0,0.99,0.01
85.0,0.0,0.0,0.78,0.22
86.0,1.0,0.0,0.65,0.35
87.0,0.0,0.0,0.91,0.09
88.0,0.0,0.0,0.73,0.27
89.0,1.0,1.0,0.17,0.83
90.0,0.0,0.0,0.97,0.03
91.0,0.0,0.0,0.62,0.38
92.0,0.0,0.0,0.94,0.06
93.0,0.0,0.0,0.92,0.08
94.0,0.0,0.0,0.94,0.06
95.0,1.0,1.0,0.0,1.0
96.0,1.0,1.0,0.06,0.94
97.0,0.0,0.0,0.99,0.01
98.0,1.0,1.0,0.01,0.99
99.0,0.0,0.0,0.95,0.05
100.0,0.0,0.0,0.83,0.17
