inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,0.0126440021315,0.987355997869
2.0,1.0,1.0,0.48284166337,0.51715833663
3.0,1.0,1.0,0.456086278191,0.543913721809
4.0,1.0,1.0,0.393366342115,0.606633657885
5.0,0.0,0.0,0.932210920292,0.0677890797082
6.0,0.0,0.0,0.932210920292,0.0677890797082
7.0,1.0,1.0,0.158687086745,0.841312913255
8.0,0.0,0.0,0.932210920292,0.0677890797082
9.0,0.0,0.0,0.934918466557,0.0650815334432
10.0,1.0,1.0,0.166426140667,0.833573859333
11.0,0.0,0.0,0.761048088521,0.238951911479
12.0,1.0,1.0,0.158687086745,0.841312913255
13.0,0.0,0.0,0.932210920292,0.0677890797082
14.0,1.0,1.0,0.442020159087,0.557979840913
15.0,1.0,1.0,0.442020159087,0.557979840913
16.0,0.0,0.0,0.982980341222,0.017019658778
17.0,0.0,0.0,0.991735797896,0.00826420210428
18.0,0.0,0.0,0.773775938456,0.226224061544
19.0,1.0,1.0,0.0324168823254,0.967583117675
20.0,1.0,1.0,0.0126440021315,0.987355997869
21.0,1.0,1.0,0.0324168823254,0.967583117675
22.0,0.0,0.0,0.916313424556,0.0836865754444
23.0,0.0,0.0,0.997581941208,0.00241805879153
24.0,0.0,1.0,0.393366342115,0.606633657885
25.0,1.0,1.0,0.0324168823254,0.967583117675
26.0,1.0,1.0,0.493750372874,0.506249627126
27.0,1.0,0.0,0.982980341222,0.017019658778
28.0,0.0,0.0,0.890679942236,0.109320057764
29.0,1.0,1.0,0.188457861878,0.811542138122
30.0,1.0,1.0,0.177791270466,0.822208729534
31.0,1.0,1.0,0.0324168823254,0.967583117675
32.0,0.0,0.0,0.967583117675,0.0324168823254
33.0,1.0,1.0,0.00932661815004,0.99067338185
34.0,0.0,0.0,0.932210920292,0.0677890797082
35.0,1.0,1.0,0.357945474933,0.642054525067
36.0,1.0,1.0,0.330416102408,0.669583897592
37.0,0.0,1.0,0.357945474933,0.642054525067
38.0,0.0,0.0,0.997581941208,0.00241805879153
39.0,0.0,0.0,0.982980341222,0.017019658778
40.0,0.0,0.0,0.731427720388,0.268572279612
41.0,0.0,0.0,0.982980341222,0.017019658778
42.0,0.0,0.0,0.932210920292,0.0677890797082
43.0,0.0,0.0,0.932210920292,0.0677890797082
44.0,1.0,1.0,0.188457861878,0.811542138122
45.0,0.0,0.0,0.746237966913,0.253762033087
46.0,1.0,1.0,0.12335238562,0.87664761438
47.0,0.0,0.0,0.796798181109,0.203201818891
48.0,0.0,1.0,0.393366342115,0.606633657885
49.0,1.0,0.0,0.722764843785,0.277235156215
50.0,1.0,1.0,0.0126440021315,0.987355997869
51.0,1.0,0.0,0.761048088521,0.238951911479
52.0,1.0,1.0,0.442020159087,0.557979840913
53.0,0.0,0.0,0.916313424556,0.0836865754444
