inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,1.68487258247e-76,1.0
2.0,1.0,1.0,8.52360555539e-74,1.0
3.0,1.0,1.0,6.56057786952e-31,1.0
4.0,1.0,0.0,1.0,1.29639057478e-18
5.0,0.0,0.0,1.0,1.88426070643e-43
6.0,0.0,0.0,1.0,3.55603377807e-21
7.0,1.0,0.0,1.0,1.04866620105e-17
8.0,0.0,0.0,1.0,1.15649538762e-37
9.0,0.0,0.0,1.0,2.2106933308e-57
10.0,1.0,1.0,2.52815029122e-79,1.0
11.0,0.0,0.0,1.0,4.50061588022e-57
12.0,1.0,0.0,1.0,7.22056342688e-17
13.0,0.0,0.0,1.0,2.54875428548e-23
14.0,1.0,0.0,1.0,7.35296557199e-53
15.0,1.0,0.0,1.0,8.79516203398e-57
16.0,0.0,0.0,1.0,1.9224642369e-57
17.0,0.0,0.0,1.0,4.35723985645e-26
18.0,0.0,1.0,0.000513631043297,0.999486368957
19.0,1.0,1.0,3.87759563313e-112,1.0
20.0,1.0,1.0,8.78379909567e-45,1.0
21.0,1.0,1.0,6.24204953184e-168,1.0
22.0,0.0,0.0,1.0,4.06492823232e-75
23.0,0.0,0.0,1.0,2.50419686725e-83
24.0,0.0,0.0,1.0,1.09899364717e-35
25.0,1.0,1.0,1.96726615053e-96,1.0
26.0,1.0,1.0,3.12375993503e-47,1.0
27.0,1.0,0.0,1.0,1.50801669116e-24
28.0,0.0,1.0,1.62420378261e-34,1.0
29.0,1.0,1.0,1.3733196261e-62,1.0
30.0,1.0,1.0,7.0534522755e-12,0.999999999993
31.0,1.0,1.0,8.67624212482e-163,1.0
32.0,0.0,0.0,1.0,4.73453522901e-26
33.0,1.0,1.0,1.23371995609e-121,1.0
34.0,0.0,0.0,1.0,9.64450184116e-46
35.0,1.0,1.0,2.58773301285e-27,1.0
36.0,1.0,1.0,7.40665864107e-32,1.0
37.0,0.0,1.0,1.00201684772e-17,1.0
38.0,0.0,0.0,1.0,1.74002709639e-84
39.0,0.0,1.0,0.00195512961894,0.998044870381
40.0,0.0,0.0,1.0,7.8313047933e-45
41.0,0.0,0.0,1.0,3.68289457638e-52
42.0,0.0,0.0,1.0,1.22169092785e-61
43.0,0.0,1.0,0.000487217004014,0.999512782996
44.0,1.0,1.0,4.75019601815e-39,1.0
45.0,0.0,0.0,0.999999996826,3.17400400273e-09
46.0,1.0,1.0,1.51634738262e-121,1.0
47.0,0.0,1.0,8.36692573119e-14,1.0
48.0,0.0,0.0,1.0,4.61778267266e-37
49.0,1.0,0.0,1.0,1.08955745219e-32
50.0,1.0,1.0,4.6779492554e-71,1.0
51.0,1.0,0.0,1.0,1.87342981626e-74
52.0,1.0,0.0,1.0,1.21534882409e-39
53.0,0.0,0.0,1.0,4.75006908874e-64
54.0,1.0,1.0,7.03811802199e-77,1.0
55.0,0.0,0.0,1.0,5.4700711561e-68
56.0,0.0,0.0,1.0,7.6888041015e-49
57.0,0.0,0.0,1.0,7.57634691573e-43
58.0,0.0,0.0,1.0,3.17408918447e-52
59.0,1.0,1.0,2.48398324528e-20,1.0
60.0,0.0,0.0,1.0,1.11896521526e-34
61.0,1.0,1.0,2.5837602148e-69,1.0
62.0,1.0,0.0,1.0,3.02778807197e-41
63.0,0.0,1.0,9.09603544986e-36,1.0
64.0,0.0,0.0,1.0,3.71170592316e-86
65.0,1.0,1.0,3.01146135565e-92,1.0
66.0,1.0,0.0,1.0,3.42718570428e-21
67.0,1.0,0.0,0.999999999936,6.36107797198e-11
68.0,0.0,0.0,1.0,3.48317716007e-52
69.0,1.0,0.0,1.0,5.25753028394e-38
70.0,1.0,1.0,5.96277159955e-24,1.0
71.0,0.0,1.0,0.0883795061135,0.911620493887
72.0,1.0,1.0,3.28362829072e-144,1.0
73.0,1.0,1.0,1.6257913788e-151,1.0
74.0,0.0,0.0,1.0,1.09420264483e-52
75.0,1.0,1.0,5.54452936086e-138,1.0
76.0,0.0,0.0,1.0,2.11152043106e-79
77.0,0.0,0.0,1.0,1.87639777589e-63
78.0,0.0,0.0,1.0,2.24613791308e-39
79.0,1.0,0.0,1.0,1.97807323893e-42
80.0,0.0,0.0,1.0,3.4009423973e-79
81.0,1.0,1.0,5.30120492103e-34,1.0
82.0,1.0,1.0,8.56533570831e-11,0.999999999914
