inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,0.03,0.97
2.0,1.0,1.0,0.1,0.9
3.0,1.0,0.0,0.54,0.46
4.0,1.0,1.0,0.48,0.52
5.0,0.0,0.0,0.97,0.03
6.0,0.0,0.0,0.9,0.1
7.0,1.0,1.0,0.2,0.8
8.0,0.0,0.0,0.94,0.06
9.0,0.0,0.0,0.98,0.02
10.0,1.0,1.0,0.04,0.96
11.0,0.0,0.0,0.52,0.48
12.0,1.0,1.0,0.08,0.92
13.0,0.0,0.0,0.92,0.08
14.0,1.0,0.0,0.65,0.35
15.0,1.0,1.0,0.16,0.84
16.0,0.0,0.0,0.99,0.01
17.0,0.0,0.0,0.87,0.13
18.0,0.0,0.0,0.54,0.46
19.0,1.0,1.0,0.01,0.99
20.0,1.0,1.0,0.08,0.92
21.0,1.0,1.0,0.01,0.99
22.0,0.0,0.0,1.0,0.0
23.0,0.0,0.0,0.99,0.01
24.0,0.0,0.0,0.73,0.27
25.0,1.0,1.0,0.06,0.94
26.0,1.0,1.0,0.13,0.87
27.0,1.0,0.0,0.76,0.24
28.0,0.0,0.0,0.87,0.13
29.0,1.0,1.0,0.04,0.96
30.0,1.0,1.0,0.17,0.83
31.0,1.0,1.0,0.01,0.99
32.0,0.0,0.0,0.92,0.08
33.0,1.0,1.0,0.0,1.0
34.0,0.0,0.0,0.96,0.04
35.0,1.0,0.0,0.67,0.33
36.0,1.0,1.0,0.2,0.8
37.0,0.0,0.0,0.81,0.19
38.0,0.0,0.0,1.0,0.0
39.0,0.0,0.0,0.73,0.27
40.0,0.0,0.0,0.88,0.12
41.0,0.0,0.0,0.87,0.13
42.0,0.0,0.0,1.0,0.0
43.0,0.0,0.0,0.7,0.3
44.0,1.0,1.0,0.06,0.94
45.0,0.0,0.0,0.89,0.11
46.0,1.0,1.0,0.04,0.96
47.0,0.0,0.0,0.62,0.38
48.0,0.0,0.0,0.78,0.22
49.0,1.0,0.0,0.94,0.06
50.0,1.0,1.0,0.07,0.93
51.0,1.0,0.0,0.98,0.02
52.0,1.0,1.0,0.3,0.7
53.0,0.0,0.0,0.64,0.36
54.0,1.0,1.0,0.11,0.89
55.0,0.0,0.0,0.97,0.03
56.0,0.0,0.0,0.98,0.02
57.0,0.0,0.0,0.88,0.12
58.0,0.0,0.0,0.93,0.07
59.0,1.0,1.0,0.29,0.71
60.0,0.0,0.0,0.81,0.19
61.0,1.0,1.0,0.12,0.88
62.0,1.0,1.0,0.34,0.66
63.0,0.0,0.0,0.74,0.26
64.0,0.0,0.0,1.0,0.0
65.0,1.0,1.0,0.12,0.88
66.0,1.0,0.0,0.86,0.14
67.0,1.0,1.0,0.19,0.81
68.0,0.0,0.0,0.91,0.09
69.0,1.0,0.0,0.95,0.05
70.0,1.0,1.0,0.21,0.79
71.0,0.0,0.0,0.59,0.41
72.0,1.0,1.0,0.01,0.99
73.0,1.0,1.0,0.01,0.99
74.0,0.0,0.0,0.93,0.07
75.0,1.0,1.0,0.02,0.98
76.0,0.0,0.0,1.0,0.0
77.0,0.0,0.0,0.9,0.1
78.0,0.0,0.0,0.84,0.16
79.0,1.0,0.0,0.57,0.43
80.0,0.0,0.0,0.99,0.01
81.0,1.0,1.0,0.26,0.74
82.0,1.0,0.0,0.6,0.4
83.0,1.0,1.0,0.0,1.0
84.0,0.0,0.0,0.92,0.08
85.0,1.0,1.0,0.13,0.87
86.0,1.0,0.0,0.56,0.44
87.0,1.0,1.0,0.12,0.88
88.0,1.0,1.0,0.33,0.67
89.0,0.0,0.0,0.89,0.11
90.0,0.0,0.0,0.96,0.04
91.0,0.0,1.0,0.2,0.8
92.0,0.0,0.0,0.99,0.01
93.0,1.0,1.0,0.07,0.93
94.0,1.0,1.0,0.02,0.98
95.0,0.0,0.0,0.87,0.13
96.0,1.0,1.0,0.32,0.68
97.0,1.0,0.0,0.67,0.33
98.0,1.0,1.0,0.02,0.98
99.0,1.0,1.0,0.01,0.99
100.0,0.0,0.0,0.9,0.1
101.0,0.0,0.0,0.92,0.08
102.0,0.0,0.0,0.98,0.02
103.0,1.0,0.0,0.52,0.48
104.0,0.0,0.0,0.95,0.05
105.0,0.0,0.0,0.99,0.01
106.0,1.0,1.0,0.13,0.87
107.0,1.0,1.0,0.23,0.77
108.0,0.0,0.0,0.74,0.26
109.0,1.0,1.0,0.09,0.91
110.0,1.0,1.0,0.17,0.83
111.0,1.0,1.0,0.03,0.97
112.0,1.0,1.0,0.18,0.82
113.0,1.0,1.0,0.01,0.99
114.0,0.0,0.0,0.91,0.09
115.0,0.0,0.0,1.0,0.0
116.0,1.0,1.0,0.17,0.83
117.0,0.0,0.0,0.69,0.31
118.0,1.0,1.0,0.33,0.67
119.0,0.0,0.0,0.99,0.01
120.0,1.0,0.0,0.58,0.42
121.0,1.0,1.0,0.13,0.87
122.0,1.0,1.0,0.27,0.73
123.0,1.0,1.0,0.18,0.82
124.0,1.0,1.0,0.07,0.93
125.0,0.0,0.0,1.0,0.0
126.0,0.0,0.0,0.89,0.11
127.0,1.0,1.0,0.48,0.52
128.0,1.0,1.0,0.42,0.58
129.0,1.0,1.0,0.0,1.0
130.0,0.0,0.0,0.96,0.04
131.0,0.0,0.0,0.82,0.18
132.0,0.0,0.0,0.54,0.46
133.0,1.0,1.0,0.02,0.98
134.0,0.0,0.0,0.83,0.17
135.0,0.0,0.0,1.0,0.0
136.0,0.0,0.0,0.97,0.03
137.0,0.0,0.0,0.63,0.37
138.0,1.0,1.0,0.06,0.94
139.0,1.0,1.0,0.21,0.79
140.0,1.0,1.0,0.02,0.98
141.0,1.0,1.0,0.11,0.89
142.0,0.0,0.0,0.69,0.31
143.0,0.0,0.0,1.0,0.0
144.0,1.0,1.0,0.13,0.87
145.0,0.0,0.0,0.84,0.16
146.0,1.0,1.0,0.45,0.55
147.0,1.0,1.0,0.08,0.92
