inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,9.62845128068e-21
2.0,0.0,0.0,0.999999973721,2.62789660537e-08
3.0,0.0,0.0,1.0,3.5070036009e-91
4.0,0.0,1.0,8.82773158707e-54,1.0
5.0,0.0,1.0,2.51114816793e-23,1.0
6.0,1.0,1.0,3.51937190193e-174,1.0
7.0,0.0,1.0,1.49843397337e-44,1.0
8.0,0.0,1.0,1.64464623936e-06,0.999998355354
9.0,1.0,1.0,7.05954102535e-99,1.0
10.0,1.0,0.0,1.0,1.76779699613e-18
11.0,0.0,0.0,1.0,3.0505757897e-59
12.0,0.0,0.0,1.0,1.79296992563e-118
13.0,0.0,1.0,3.10172681912e-08,0.999999968983
14.0,1.0,1.0,7.4994057006e-68,1.0
15.0,0.0,0.0,0.999933076462,6.69235378097e-05
16.0,0.0,0.0,1.0,7.01520351328e-91
17.0,1.0,1.0,7.38993663185e-79,1.0
18.0,1.0,0.0,1.0,3.73711283313e-61
19.0,1.0,1.0,2.56449972312e-77,1.0
20.0,0.0,0.0,1.0,3.45846789993e-108
21.0,1.0,1.0,6.89572150457e-183,1.0
22.0,1.0,1.0,1.96113195303e-43,1.0
23.0,0.0,0.0,1.0,6.99576648312e-107
24.0,1.0,1.0,1.72041634101e-57,1.0
25.0,0.0,1.0,3.26303974496e-51,1.0
26.0,1.0,1.0,1.4518730675e-132,1.0
27.0,0.0,0.0,1.0,1.52728457327e-35
28.0,0.0,0.0,1.0,1.93230156324e-56
29.0,1.0,1.0,1.07647370313e-68,1.0
30.0,0.0,0.0,1.0,3.54938919166e-45
31.0,0.0,0.0,1.0,9.83015115115e-89
32.0,0.0,0.0,0.999999699124,3.00875763829e-07
33.0,0.0,0.0,1.0,2.88007941235e-27
34.0,1.0,1.0,2.12483810941e-41,1.0
35.0,0.0,0.0,0.999974196222,2.58037783842e-05
36.0,1.0,1.0,1.36259403269e-140,1.0
37.0,0.0,0.0,0.999998480656,1.51934416593e-06
38.0,1.0,0.0,1.0,4.56626625626e-88
39.0,1.0,1.0,5.60232147237e-94,1.0
40.0,0.0,1.0,9.12353750319e-96,1.0
41.0,1.0,1.0,1.91988848476e-77,1.0
42.0,1.0,1.0,2.66370733996e-72,1.0
43.0,0.0,0.0,1.0,4.65427832451e-68
44.0,0.0,1.0,4.95402375136e-99,1.0
45.0,1.0,0.0,1.0,6.63286891015e-94
46.0,0.0,0.0,1.0,5.75994814999e-35
47.0,0.0,1.0,7.91537484212e-15,1.0
48.0,0.0,0.0,1.0,9.92771022441e-116
49.0,1.0,1.0,2.47389832972e-12,0.999999999998
50.0,0.0,0.0,1.0,1.38922588333e-115
51.0,0.0,1.0,1.00917667108e-15,1.0
52.0,0.0,1.0,1.51065009765e-32,1.0
53.0,0.0,0.0,1.0,1.68725204522e-102
54.0,0.0,0.0,0.999465896252,0.000534103748031
55.0,0.0,0.0,1.0,1.98888545913e-40
56.0,0.0,0.0,1.0,5.40108381749e-64
57.0,0.0,0.0,1.0,8.9342701098e-81
58.0,0.0,0.0,1.0,8.3609352662e-24
59.0,0.0,0.0,0.999988012461,1.19875392739e-05
60.0,1.0,1.0,5.27240963007e-174,1.0
61.0,0.0,0.0,1.0,5.57666134457e-100
62.0,0.0,0.0,1.0,6.94129849972e-38
63.0,1.0,0.0,0.99999999999,1.03676127306e-11
64.0,1.0,1.0,1.24986062441e-136,1.0
65.0,1.0,1.0,5.62966853132e-79,1.0
66.0,1.0,0.0,1.0,3.16274797159e-117
67.0,1.0,1.0,5.83132346972e-53,1.0
68.0,0.0,0.0,1.0,3.47307972094e-110
69.0,1.0,1.0,6.22090134314e-129,1.0
70.0,0.0,1.0,3.29659821497e-25,1.0
71.0,1.0,1.0,6.59439063955e-123,1.0
72.0,1.0,0.0,1.0,2.19195799425e-23
73.0,1.0,1.0,4.77509958312e-94,1.0
74.0,1.0,1.0,2.75687421597e-77,1.0
75.0,0.0,0.0,1.0,3.01715230167e-29
76.0,0.0,0.0,1.0,3.35598687001e-13
77.0,0.0,0.0,1.0,5.29535097448e-119
78.0,0.0,0.0,1.0,2.36821876463e-13
79.0,0.0,1.0,3.85360002569e-19,1.0
80.0,0.0,0.0,1.0,2.84668051839e-97
81.0,1.0,1.0,0.390623254211,0.609376745789
82.0,0.0,0.0,1.0,2.34327551128e-75
83.0,1.0,1.0,3.18339159893e-64,1.0
84.0,0.0,0.0,1.0,1.04186940874e-106
85.0,1.0,1.0,8.1996950893e-56,1.0
86.0,0.0,1.0,1.35075891679e-94,1.0
87.0,0.0,0.0,1.0,2.89663336221e-73
88.0,1.0,1.0,6.47651183767e-150,1.0
89.0,1.0,1.0,9.94749559106e-47,1.0
90.0,1.0,1.0,5.43227146659e-153,1.0
91.0,0.0,0.0,1.0,1.6515291473e-88
92.0,0.0,0.0,1.0,4.66382566908e-86
93.0,1.0,1.0,1.51935223323e-121,1.0
94.0,0.0,0.0,1.0,1.1212239155e-107
95.0,1.0,1.0,2.70242336511e-181,1.0
96.0,0.0,0.0,1.0,2.9382986214e-66
97.0,0.0,0.0,1.0,8.12639763264e-90
98.0,0.0,0.0,1.0,1.13533186077e-94
99.0,0.0,0.0,1.0,4.0569736305e-85
100.0,1.0,1.0,0.000847901525846,0.999152098474
101.0,0.0,1.0,2.3955689223e-28,1.0
102.0,0.0,0.0,1.0,2.52209404188e-121
103.0,0.0,0.0,1.0,1.1992022756e-118
104.0,0.0,1.0,0.217431815495,0.782568184505
105.0,0.0,0.0,0.999999999865,1.35249211563e-10
106.0,1.0,1.0,0.00172744307873,0.998272556921
