inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.93,0.07
2.0,0.0,0.0,0.56,0.44
3.0,0.0,0.0,0.89,0.11
4.0,0.0,1.0,0.19,0.81
5.0,0.0,0.0,0.68,0.32
6.0,1.0,1.0,0.01,0.99
7.0,0.0,0.0,0.59,0.41
8.0,0.0,0.0,0.93,0.07
9.0,1.0,1.0,0.04,0.96
10.0,1.0,1.0,0.4,0.6
11.0,0.0,0.0,1.0,0.0
12.0,0.0,0.0,0.99,0.01
13.0,0.0,0.0,0.77,0.23
14.0,1.0,1.0,0.03,0.97
15.0,0.0,1.0,0.48,0.52
16.0,0.0,0.0,0.93,0.07
17.0,1.0,1.0,0.0,1.0
18.0,1.0,0.0,0.9,0.1
19.0,1.0,1.0,0.04,0.96
20.0,0.0,0.0,0.95,0.05
21.0,1.0,1.0,0.01,0.99
22.0,1.0,1.0,0.08,0.92
23.0,0.0,0.0,0.85,0.15
24.0,1.0,1.0,0.03,0.97
25.0,0.0,0.0,0.86,0.14
26.0,1.0,1.0,0.0,1.0
27.0,0.0,0.0,0.79,0.21
28.0,0.0,0.0,1.0,0.0
29.0,1.0,1.0,0.09,0.91
30.0,0.0,0.0,0.97,0.03
31.0,0.0,0.0,0.98,0.02
32.0,0.0,0.0,0.93,0.07
33.0,0.0,0.0,0.93,0.07
34.0,1.0,1.0,0.19,0.81
35.0,0.0,0.0,0.68,0.32
36.0,1.0,1.0,0.0,1.0
37.0,0.0,0.0,0.83,0.17
38.0,1.0,0.0,0.88,0.12
39.0,1.0,1.0,0.2,0.8
40.0,0.0,1.0,0.39,0.61
41.0,1.0,1.0,0.27,0.73
42.0,1.0,1.0,0.01,0.99
43.0,0.0,0.0,0.94,0.06
44.0,0.0,1.0,0.4,0.6
45.0,1.0,1.0,0.25,0.75
46.0,0.0,0.0,0.92,0.08
47.0,0.0,0.0,0.93,0.07
48.0,0.0,0.0,0.83,0.17
49.0,1.0,1.0,0.1,0.9
50.0,0.0,0.0,0.96,0.04
51.0,0.0,0.0,0.71,0.29
52.0,0.0,0.0,0.79,0.21
53.0,0.0,0.0,0.87,0.13
54.0,0.0,0.0,0.96,0.04
55.0,0.0,0.0,1.0,0.0
56.0,0.0,0.0,0.95,0.05
57.0,0.0,0.0,0.99,0.01
58.0,0.0,0.0,0.94,0.06
59.0,0.0,0.0,0.96,0.04
60.0,1.0,1.0,0.0,1.0
61.0,0.0,0.0,0.96,0.04
62.0,0.0,0.0,0.99,0.01
63.0,1.0,1.0,0.37,0.63
64.0,1.0,1.0,0.0,1.0
65.0,1.0,1.0,0.06,0.94
66.0,1.0,0.0,0.52,0.48
67.0,1.0,1.0,0.22,0.78
68.0,0.0,0.0,0.92,0.08
69.0,1.0,1.0,0.01,0.99
70.0,0.0,0.0,0.86,0.14
71.0,1.0,1.0,0.08,0.92
72.0,1.0,1.0,0.03,0.97
73.0,1.0,1.0,0.07,0.93
74.0,1.0,1.0,0.05,0.95
75.0,0.0,0.0,1.0,0.0
76.0,0.0,0.0,0.98,0.02
77.0,0.0,0.0,0.78,0.22
78.0,0.0,0.0,0.98,0.02
79.0,0.0,0.0,0.98,0.02
80.0,0.0,0.0,0.95,0.05
81.0,1.0,1.0,0.17,0.83
82.0,0.0,0.0,0.94,0.06
83.0,1.0,1.0,0.1,0.9
84.0,0.0,0.0,1.0,0.0
85.0,1.0,1.0,0.03,0.97
86.0,0.0,1.0,0.08,0.92
87.0,0.0,0.0,0.84,0.16
88.0,1.0,1.0,0.0,1.0
89.0,1.0,1.0,0.16,0.84
90.0,1.0,1.0,0.01,0.99
91.0,0.0,0.0,0.97,0.03
92.0,0.0,0.0,0.92,0.08
93.0,1.0,1.0,0.03,0.97
94.0,0.0,0.0,1.0,0.0
95.0,1.0,1.0,0.0,1.0
96.0,0.0,0.0,0.84,0.16
97.0,0.0,0.0,0.98,0.02
98.0,0.0,0.0,0.56,0.44
99.0,0.0,0.0,0.89,0.11
100.0,1.0,1.0,0.17,0.83
101.0,0.0,0.0,0.96,0.04
102.0,0.0,0.0,1.0,0.0
103.0,0.0,0.0,1.0,0.0
104.0,0.0,0.0,0.82,0.18
105.0,0.0,0.0,0.89,0.11
106.0,1.0,1.0,0.16,0.84
107.0,1.0,1.0,0.15,0.85
108.0,1.0,1.0,0.39,0.61
109.0,1.0,1.0,0.26,0.74
110.0,0.0,0.0,0.99,0.01
111.0,1.0,0.0,0.79,0.21
112.0,1.0,1.0,0.14,0.86
113.0,0.0,0.0,0.94,0.06
114.0,0.0,0.0,0.62,0.38
115.0,1.0,1.0,0.3,0.7
116.0,0.0,0.0,0.98,0.02
117.0,1.0,1.0,0.37,0.63
118.0,1.0,1.0,0.0,1.0
119.0,1.0,1.0,0.04,0.96
120.0,1.0,0.0,0.97,0.03
121.0,1.0,1.0,0.36,0.64
122.0,0.0,0.0,0.83,0.17
123.0,0.0,0.0,0.83,0.17
124.0,0.0,0.0,1.0,0.0
125.0,0.0,0.0,0.95,0.05
126.0,0.0,0.0,0.79,0.21
