inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,1.1567472059e-251
2.0,1.0,1.0,2.51538719911e-210,1.0
3.0,0.0,0.0,1.0,1.26313192196e-244
4.0,0.0,0.0,1.0,1.68761824943e-135
5.0,0.0,0.0,1.0,1.51743893871e-277
6.0,1.0,1.0,1.76844127555e-258,1.0
7.0,0.0,0.0,1.0,1.63555607194e-296
8.0,0.0,0.0,1.0,1.09459309178e-153
9.0,1.0,0.0,1.0,1.93676439067e-56
10.0,0.0,0.0,1.0,1.92496764792e-171
11.0,1.0,1.0,1.4649191145e-297,1.0
12.0,0.0,0.0,1.0,9.36197377734e-200
13.0,0.0,0.0,1.0,8.38819985761e-119
14.0,1.0,1.0,6.98778696919e-247,1.0
15.0,0.0,0.0,1.0,1.26601011133e-243
16.0,0.0,0.0,1.0,2.19496962738e-173
17.0,1.0,1.0,1.52538710489e-271,1.0
18.0,0.0,0.0,1.0,3.82694791156e-81
19.0,1.0,1.0,9.06423401167e-243,1.0
20.0,0.0,0.0,1.0,3.58196685182e-183
21.0,0.0,0.0,1.0,3.82201114828e-186
22.0,0.0,1.0,1.72146049742e-34,1.0
23.0,1.0,1.0,2.57789821092e-139,1.0
24.0,1.0,0.0,1.0,7.24850694561e-238
25.0,0.0,0.0,1.0,9.48773973475e-253
26.0,0.0,0.0,1.0,1.99731225392e-208
27.0,1.0,1.0,8.69107228599e-172,1.0
28.0,0.0,0.0,1.0,8.6982918102e-215
29.0,0.0,0.0,1.0,2.70016360795e-63
30.0,0.0,0.0,1.0,6.36463179346e-210
31.0,1.0,1.0,1.97899449733e-220,1.0
32.0,1.0,1.0,4.41478258616e-314,1.0
33.0,0.0,0.0,1.0,2.78561135271e-146
34.0,0.0,0.0,1.0,1.22774075241e-119
35.0,0.0,0.0,1.0,1.58349062112e-219
36.0,1.0,1.0,3.70525681422e-114,1.0
37.0,0.0,0.0,1.0,8.83527690764e-53
38.0,0.0,0.0,1.0,1.55090934187e-277
39.0,1.0,1.0,3.63370701314e-242,1.0
40.0,0.0,0.0,1.0,5.3026411264e-256
41.0,1.0,1.0,3.86498561575e-299,1.0
42.0,1.0,1.0,4.51447834795e-284,1.0
43.0,1.0,1.0,3.9248799601e-276,1.0
44.0,0.0,0.0,1.0,4.51586169758e-302
45.0,0.0,0.0,1.0,8.58659426013e-94
46.0,0.0,0.0,1.0,5.50726777878e-62
47.0,0.0,0.0,1.0,1.57187984597e-253
48.0,0.0,0.0,1.0,2.36392038453e-127
49.0,0.0,0.0,1.0,8.23043508449e-52
50.0,0.0,1.0,4.88658735911e-78,1.0
51.0,0.0,0.0,1.0,4.37126185128e-79
52.0,0.0,0.0,1.0,3.65884170064e-197
53.0,0.0,0.0,1.0,1.33807273661e-265
54.0,1.0,1.0,7.40125634804e-261,1.0
55.0,0.0,0.0,1.0,3.4551504594e-260
56.0,0.0,0.0,1.0,2.05329107066e-174
57.0,0.0,0.0,1.0,1.40857793995e-228
58.0,0.0,0.0,1.0,5.20928382976e-63
59.0,0.0,0.0,1.0,4.46685181041e-213
60.0,0.0,0.0,1.0,7.37172003689e-164
61.0,0.0,0.0,1.0,2.87649376545e-257
62.0,0.0,0.0,1.0,1.23893661092e-140
63.0,1.0,1.0,3.63461669227e-144,1.0
64.0,1.0,1.0,1.94365411459e-286,1.0
65.0,0.0,0.0,1.0,1.39158588561e-273
66.0,0.0,0.0,1.0,4.91913126584e-186
67.0,0.0,0.0,1.0,6.28901434471e-226
68.0,1.0,0.0,1.0,8.0718198156e-14
69.0,0.0,0.0,1.0,5.38925799014e-292
70.0,0.0,0.0,1.0,3.38807016525e-203
71.0,0.0,0.0,1.0,2.11465278766e-172
72.0,0.0,0.0,1.0,2.7615140518e-187
73.0,0.0,0.0,1.0,3.66201980313e-258
74.0,0.0,0.0,1.0,1.00528225337e-197
75.0,0.0,0.0,1.0,2.5635625845e-160
76.0,1.0,1.0,4.730720833e-83,1.0
77.0,1.0,1.0,3.74473254081e-149,1.0
78.0,0.0,0.0,1.0,5.31199230971e-292
79.0,0.0,0.0,1.0,6.14558529513e-171
80.0,0.0,0.0,1.0,1.96667133093e-243
81.0,1.0,1.0,1.77572457556e-197,1.0
82.0,0.0,1.0,7.18291128208e-89,1.0
83.0,0.0,1.0,9.0302362376e-05,0.999909697638
84.0,1.0,1.0,1.16179141367e-316,1.0
85.0,0.0,0.0,1.0,1.01427832276e-219
86.0,1.0,1.0,1.17382696081e-300,1.0
87.0,1.0,0.0,1.0,7.13475780182e-30
88.0,0.0,0.0,1.0,8.71617307797e-278
89.0,0.0,0.0,1.0,1.17075256408e-131
90.0,0.0,0.0,1.0,7.04575811066e-62
91.0,1.0,1.0,9.18962101265e-322,1.0
92.0,0.0,0.0,1.0,5.97955019312e-194
93.0,0.0,0.0,1.0,5.32946808413e-200
94.0,0.0,0.0,1.0,4.86478223096e-241
95.0,0.0,0.0,1.0,8.45533935011e-240
96.0,1.0,1.0,2.34856547026e-188,1.0
97.0,0.0,0.0,1.0,3.75798477176e-207
98.0,0.0,0.0,1.0,2.67295108005e-249
99.0,0.0,0.0,1.0,7.78094967264e-194
100.0,0.0,0.0,1.0,3.03248764349e-250
101.0,0.0,0.0,1.0,2.17548894485e-208
102.0,1.0,1.0,2.81483879588e-309,1.0
103.0,0.0,0.0,1.0,3.35615008055e-197
104.0,0.0,0.0,1.0,6.63582704431e-228
105.0,0.0,0.0,1.0,8.83802839172e-190
