inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,7.77490988013e-148
2.0,0.0,0.0,1.0,6.17987079361e-40
3.0,1.0,1.0,3.3093310075e-08,0.999999966907
4.0,0.0,1.0,4.50005561299e-74,1.0
5.0,0.0,0.0,1.0,1.38169624639e-71
6.0,0.0,0.0,1.0,1.37564231823e-99
7.0,1.0,1.0,3.57503571888e-130,1.0
8.0,1.0,1.0,1.60092507283e-143,1.0
9.0,0.0,1.0,5.55558719058e-53,1.0
10.0,0.0,0.0,1.0,5.57615049996e-100
11.0,0.0,0.0,1.0,1.24076246757e-76
12.0,0.0,0.0,1.0,2.66728073057e-98
13.0,0.0,1.0,7.81116323105e-59,1.0
14.0,1.0,0.0,1.0,3.81678938779e-96
15.0,1.0,1.0,4.2697926411e-30,1.0
16.0,0.0,0.0,1.0,1.31051228262e-83
17.0,0.0,0.0,1.0,2.5020097942e-69
18.0,0.0,0.0,1.0,3.08568514552e-121
19.0,0.0,1.0,9.12233603306e-65,1.0
20.0,0.0,0.0,1.0,5.60356164822e-69
21.0,0.0,0.0,1.0,5.49121470752e-92
22.0,1.0,1.0,3.35667638796e-20,1.0
23.0,0.0,0.0,1.0,1.46107873799e-80
24.0,0.0,1.0,3.05988650655e-69,1.0
25.0,1.0,0.0,1.0,9.19557828941e-82
26.0,1.0,1.0,6.3471999062e-86,1.0
27.0,0.0,0.0,1.0,3.92059622982e-92
28.0,0.0,0.0,1.0,7.90908127204e-65
29.0,0.0,0.0,1.0,4.7969836574e-112
30.0,0.0,0.0,1.0,6.3313795221e-112
31.0,0.0,0.0,1.0,2.13183567848e-122
32.0,1.0,0.0,1.0,2.69676103574e-60
33.0,0.0,0.0,1.0,2.60745162777e-118
34.0,0.0,1.0,1.43633443189e-58,1.0
35.0,0.0,0.0,1.0,1.28672696482e-100
36.0,0.0,1.0,5.67001168011e-123,1.0
37.0,1.0,1.0,1.95115145035e-172,1.0
38.0,0.0,1.0,6.32746628666e-07,0.999999367253
39.0,0.0,0.0,1.0,9.41582452072e-131
40.0,0.0,0.0,0.999743828943,0.000256171056571
41.0,1.0,0.0,1.0,4.03151196971e-32
42.0,0.0,0.0,1.0,5.53742243764e-96
43.0,0.0,0.0,1.0,9.26099314966e-134
44.0,0.0,0.0,1.0,7.12446834472e-83
45.0,0.0,0.0,1.0,1.58205491167e-91
46.0,1.0,1.0,6.46588475531e-13,0.999999999999
47.0,0.0,0.0,1.0,2.80673958115e-63
48.0,0.0,0.0,1.0,1.57466724371e-91
49.0,1.0,0.0,1.0,2.3530661917e-93
50.0,1.0,1.0,8.60151552879e-98,1.0
51.0,1.0,1.0,0.000400024872,0.999599975128
52.0,0.0,0.0,1.0,5.81529305417e-60
53.0,0.0,0.0,1.0,8.05583260921e-82
54.0,1.0,1.0,7.31798401992e-160,1.0
55.0,1.0,1.0,0.0175630824476,0.982436917552
56.0,1.0,1.0,1.91595398334e-131,1.0
57.0,1.0,0.0,1.0,2.16742890087e-73
58.0,0.0,0.0,1.0,6.74453260541e-27
59.0,0.0,0.0,0.999994821464,5.17853552209e-06
60.0,1.0,1.0,6.70618886799e-84,1.0
61.0,0.0,1.0,2.71188147765e-52,1.0
62.0,1.0,0.0,1.0,5.30280562684e-55
63.0,0.0,0.0,1.0,2.2358853979e-98
64.0,0.0,0.0,1.0,1.1281047186e-69
65.0,1.0,1.0,5.27939771474e-88,1.0
66.0,0.0,0.0,1.0,8.01050500804e-133
67.0,0.0,0.0,1.0,6.81888080688e-69
68.0,1.0,0.0,1.0,8.63806153917e-129
69.0,1.0,0.0,0.574957627704,0.425042372296
70.0,0.0,0.0,1.0,3.74066672832e-75
71.0,0.0,0.0,1.0,1.58176502854e-104
72.0,1.0,1.0,0.00139582938631,0.998604170614
73.0,0.0,0.0,1.0,1.0083122942e-98
74.0,1.0,1.0,4.20636356896e-63,1.0
75.0,0.0,0.0,1.0,1.83224558016e-67
76.0,1.0,0.0,0.977426161259,0.022573838741
77.0,1.0,1.0,1.06036705721e-65,1.0
78.0,1.0,1.0,4.4678760642e-57,1.0
79.0,0.0,1.0,4.36821990402e-120,1.0
80.0,0.0,0.0,1.0,3.60502779723e-122
81.0,1.0,0.0,0.993600930873,0.0063990691271
82.0,1.0,1.0,2.04898883779e-88,1.0
83.0,1.0,1.0,3.13520126853e-104,1.0
84.0,0.0,0.0,1.0,2.24706437286e-122
85.0,0.0,1.0,8.28946771002e-129,1.0
86.0,0.0,0.0,1.0,5.72606966577e-91
87.0,1.0,1.0,3.28776886755e-131,1.0
88.0,0.0,1.0,1.11866192412e-06,0.999998881338
89.0,0.0,0.0,1.0,6.7005010686e-23
90.0,0.0,0.0,1.0,1.85462283112e-79
91.0,1.0,0.0,1.0,7.01198539159e-30
92.0,1.0,0.0,1.0,7.70927110483e-56
93.0,1.0,0.0,1.0,3.26170317119e-34
94.0,1.0,1.0,6.49186610974e-75,1.0
95.0,0.0,0.0,1.0,1.36829594527e-63
96.0,0.0,1.0,1.30277758246e-55,1.0
97.0,0.0,0.0,1.0,3.43186143094e-52
98.0,0.0,0.0,1.0,7.85338619048e-115
99.0,0.0,0.0,1.0,6.02002069056e-121
100.0,1.0,0.0,1.0,6.03491314996e-23
101.0,1.0,1.0,2.66255476255e-122,1.0
102.0,1.0,0.0,1.0,1.40266275268e-49
103.0,0.0,0.0,1.0,1.08130037665e-109
104.0,0.0,1.0,3.26039157569e-18,1.0
105.0,0.0,0.0,1.0,6.81123926775e-73
106.0,1.0,1.0,4.92405930754e-170,1.0
