inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.877924397391,0.122075602609
2.0,0.0,0.0,0.999087416919,0.000912583080883
3.0,1.0,0.0,0.544832624892,0.455167375108
4.0,0.0,0.0,0.994890428378,0.00510957162161
5.0,0.0,0.0,0.998782775198,0.00121722480239
6.0,0.0,0.0,0.975260435973,0.0247395640273
7.0,1.0,1.0,0.0498695267234,0.950130473277
8.0,1.0,0.0,0.987051151207,0.0129488487934
9.0,0.0,0.0,0.993141351744,0.00685864825608
10.0,0.0,0.0,0.996796812378,0.00320318762208
11.0,0.0,0.0,0.985737824156,0.0142621758442
12.0,0.0,0.0,0.999987974788,1.20252121387e-05
13.0,0.0,0.0,0.9999988492,1.1507997638e-06
14.0,1.0,0.0,0.941792289785,0.0582077102149
15.0,1.0,1.0,0.287806807431,0.712193192569
16.0,0.0,0.0,0.999696854718,0.00030314528194
17.0,0.0,0.0,0.886189200237,0.113810799763
18.0,0.0,0.0,0.999613936778,0.000386063221646
19.0,0.0,0.0,0.660458020138,0.339541979862
20.0,0.0,0.0,0.998359094481,0.00164090551871
21.0,0.0,0.0,0.999438714283,0.000561285716746
22.0,1.0,1.0,0.0128923214519,0.987107678548
23.0,0.0,0.0,0.999995973093,4.02690719418e-06
24.0,0.0,0.0,0.813726015008,0.186273984992
25.0,1.0,0.0,0.892230347301,0.107769652699
26.0,1.0,1.0,0.00166698662643,0.998333013374
27.0,0.0,0.0,0.974480933021,0.025519066979
28.0,0.0,0.0,0.999841852608,0.000158147391943
29.0,0.0,0.0,0.999940244304,5.97556960552e-05
30.0,0.0,0.0,0.999999725164,2.74836254639e-07
31.0,0.0,0.0,0.999601560062,0.0003984399376
32.0,1.0,1.0,0.219869888228,0.780130111772
33.0,0.0,0.0,0.999956953995,4.3046004989e-05
34.0,0.0,0.0,0.999983036846,1.69631544039e-05
35.0,0.0,0.0,0.961973678289,0.0380263217112
36.0,0.0,0.0,0.921302584215,0.0786974157848
37.0,1.0,0.0,0.867405606588,0.132594393412
38.0,0.0,0.0,0.989119476336,0.010880523664
39.0,0.0,0.0,0.999242496096,0.000757503904285
40.0,0.0,0.0,0.99795736957,0.00204263042999
41.0,1.0,1.0,0.00104037887233,0.998959621128
42.0,0.0,0.0,0.999991454478,8.54552241589e-06
43.0,0.0,0.0,0.999730055562,0.000269944437548
44.0,0.0,0.0,0.999985543686,1.44563144944e-05
45.0,0.0,0.0,0.99999577829,4.22171014885e-06
46.0,1.0,0.0,0.526922707985,0.473077292015
47.0,0.0,0.0,0.99984215735,0.000157842650492
48.0,0.0,0.0,0.98784654853,0.0121534514695
49.0,1.0,1.0,0.00630755433851,0.993692445661
50.0,1.0,1.0,0.0305098284322,0.969490171568
51.0,1.0,1.0,0.452869896987,0.547130103013
52.0,0.0,0.0,0.994180418609,0.00581958139115
53.0,0.0,0.0,0.999139115083,0.00086088491739
54.0,1.0,1.0,0.0277450131394,0.972254986861
55.0,1.0,0.0,0.702371133366,0.297628866634
56.0,1.0,1.0,0.0854409035215,0.914559096478
57.0,1.0,0.0,0.999910951002,8.9048998493e-05
58.0,0.0,0.0,0.99998331044,1.66895597792e-05
59.0,0.0,0.0,0.999970841789,2.91582114601e-05
60.0,1.0,1.0,0.420431513522,0.579568486478
61.0,0.0,0.0,0.999999967712,3.22875681233e-08
62.0,1.0,1.0,0.103651513931,0.896348486069
63.0,0.0,0.0,0.999447551432,0.000552448568378
64.0,0.0,0.0,0.999976760054,2.32399459631e-05
65.0,1.0,1.0,0.0292895613802,0.97071043862
66.0,0.0,0.0,0.998337068481,0.00166293151878
67.0,0.0,0.0,0.734811417156,0.265188582844
68.0,1.0,0.0,0.995120810482,0.00487918951781
69.0,1.0,1.0,0.118269899226,0.881730100774
70.0,0.0,0.0,0.999983034713,1.69652869943e-05
71.0,0.0,0.0,0.999998919283,1.08071741893e-06
72.0,1.0,1.0,0.000286383896098,0.999713616104
73.0,0.0,0.0,0.999995420619,4.57938104631e-06
74.0,1.0,1.0,9.7506180992e-05,0.999902493819
75.0,0.0,0.0,0.995644875756,0.00435512424449
76.0,1.0,1.0,0.116677626699,0.883322373301
77.0,1.0,1.0,0.0163122413817,0.983687758618
78.0,1.0,0.0,0.797112787879,0.202887212121
79.0,0.0,0.0,0.915140323284,0.0848596767163
80.0,0.0,0.0,0.999685826556,0.00031417344422
81.0,1.0,1.0,0.0312212911628,0.968778708837
82.0,1.0,1.0,0.0295267634802,0.97047323652
83.0,1.0,1.0,0.00554314718904,0.994456852811
84.0,0.0,0.0,0.999996160308,3.83969223365e-06
85.0,0.0,1.0,0.0978599477209,0.902140052279
86.0,0.0,0.0,0.94780572962,0.0521942703802
87.0,1.0,1.0,0.0301862268242,0.969813773176
88.0,0.0,0.0,0.960343749897,0.0396562501031
89.0,0.0,0.0,0.999919841924,8.01580756384e-05
90.0,0.0,0.0,0.992271003176,0.00772899682399
91.0,1.0,1.0,0.458530869342,0.541469130658
92.0,1.0,1.0,0.00443361227406,0.995566387726
93.0,1.0,1.0,0.0378576333945,0.962142366605
94.0,1.0,1.0,0.0268986956786,0.973101304321
95.0,0.0,0.0,0.999687006299,0.000312993700594
96.0,0.0,0.0,0.999197121519,0.000802878480526
97.0,0.0,0.0,0.995691709301,0.00430829069869
98.0,0.0,0.0,0.961272331235,0.0387276687654
99.0,0.0,0.0,0.999575695597,0.000424304403204
100.0,1.0,1.0,0.0412476364443,0.958752363556
101.0,1.0,1.0,0.135790319275,0.864209680725
102.0,1.0,1.0,0.00912326656484,0.990876733435
103.0,0.0,0.0,0.999999658837,3.41162787239e-07
104.0,0.0,0.0,0.939125242443,0.0608747575565
105.0,0.0,0.0,0.999994589375,5.41062458507e-06
106.0,1.0,1.0,0.0274026866811,0.972597313319
107.0,0.0,0.0,0.956549555637,0.0434504443634
108.0,0.0,0.0,0.999928771573,7.12284267452e-05
109.0,0.0,0.0,0.711239081024,0.288760918976
110.0,0.0,0.0,0.981632822523,0.0183671774774
111.0,1.0,0.0,0.998548602751,0.00145139724948
112.0,0.0,0.0,0.999993459185,6.54081544478e-06
113.0,1.0,1.0,0.212592217654,0.787407782346
114.0,0.0,0.0,0.999999980362,1.9637804746e-08
115.0,1.0,1.0,0.106594735991,0.893405264009
116.0,0.0,0.0,0.98659552904,0.0134044709599
117.0,1.0,1.0,0.0723542110686,0.927645788931
