inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.94,0.06
2.0,0.0,0.0,0.8,0.2
3.0,1.0,1.0,0.49,0.51
4.0,0.0,1.0,0.29,0.71
5.0,0.0,0.0,0.87,0.13
6.0,0.0,0.0,0.94,0.06
7.0,1.0,1.0,0.13,0.87
8.0,1.0,1.0,0.1,0.9
9.0,0.0,0.0,0.66,0.34
10.0,0.0,0.0,0.98,0.02
11.0,0.0,0.0,1.0,0.0
12.0,0.0,0.0,0.99,0.01
13.0,0.0,0.0,0.68,0.32
14.0,1.0,1.0,0.46,0.54
15.0,1.0,1.0,0.31,0.69
16.0,0.0,0.0,0.95,0.05
17.0,0.0,0.0,0.97,0.03
18.0,0.0,0.0,0.99,0.01
19.0,0.0,0.0,0.78,0.22
20.0,0.0,0.0,0.98,0.02
21.0,0.0,0.0,0.9,0.1
22.0,1.0,1.0,0.27,0.73
23.0,0.0,0.0,0.95,0.05
24.0,0.0,1.0,0.24,0.76
25.0,1.0,0.0,0.86,0.14
26.0,1.0,1.0,0.31,0.69
27.0,0.0,0.0,0.96,0.04
28.0,0.0,0.0,0.77,0.23
29.0,0.0,0.0,1.0,0.0
30.0,0.0,0.0,1.0,0.0
31.0,0.0,0.0,0.99,0.01
32.0,1.0,1.0,0.49,0.51
33.0,0.0,0.0,1.0,0.0
34.0,0.0,0.0,0.51,0.49
35.0,0.0,0.0,0.98,0.02
36.0,0.0,0.0,0.88,0.12
37.0,1.0,0.0,0.5,0.5
38.0,0.0,1.0,0.48,0.52
39.0,0.0,0.0,1.0,0.0
40.0,0.0,0.0,0.81,0.19
41.0,1.0,1.0,0.22,0.78
42.0,0.0,0.0,0.97,0.03
43.0,0.0,0.0,1.0,0.0
44.0,0.0,0.0,0.99,0.01
45.0,0.0,0.0,0.99,0.01
46.0,1.0,1.0,0.44,0.56
47.0,0.0,0.0,0.75,0.25
48.0,0.0,0.0,0.97,0.03
49.0,1.0,1.0,0.43,0.57
50.0,1.0,1.0,0.36,0.64
51.0,1.0,1.0,0.4,0.6
52.0,0.0,0.0,1.0,0.0
53.0,0.0,0.0,1.0,0.0
54.0,1.0,1.0,0.12,0.88
55.0,1.0,1.0,0.36,0.64
56.0,1.0,1.0,0.49,0.51
57.0,1.0,0.0,0.92,0.08
58.0,0.0,0.0,0.98,0.02
59.0,0.0,0.0,0.96,0.04
60.0,1.0,1.0,0.05,0.95
61.0,0.0,0.0,0.86,0.14
