inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.884591592368,0.115408407632
2.0,0.0,0.0,0.884591592368,0.115408407632
3.0,0.0,0.0,0.978580493051,0.0214195069488
4.0,0.0,0.0,0.884591592368,0.115408407632
5.0,0.0,0.0,0.779658285887,0.220341714113
6.0,0.0,0.0,0.779658285887,0.220341714113
7.0,0.0,0.0,0.978580493051,0.0214195069488
8.0,0.0,0.0,0.978580493051,0.0214195069488
9.0,1.0,1.0,0.130145365443,0.869854634557
10.0,0.0,0.0,0.884591592368,0.115408407632
11.0,0.0,0.0,0.888976623544,0.111023376456
12.0,1.0,1.0,0.304005773124,0.695994226876
13.0,0.0,0.0,0.884591592368,0.115408407632
14.0,1.0,1.0,0.304005773124,0.695994226876
15.0,0.0,1.0,0.304005773124,0.695994226876
16.0,0.0,0.0,0.779658285887,0.220341714113
17.0,1.0,1.0,0.304005773124,0.695994226876
18.0,0.0,0.0,0.992558255537,0.00744174446345
19.0,0.0,0.0,0.978580493051,0.0214195069488
20.0,0.0,0.0,0.989996572635,0.0100034273653
21.0,1.0,1.0,0.130145365443,0.869854634557
22.0,1.0,0.0,0.779658285887,0.220341714113
23.0,0.0,1.0,0.304005773124,0.695994226876
24.0,0.0,1.0,0.304005773124,0.695994226876
25.0,1.0,1.0,0.130145365443,0.869854634557
26.0,1.0,1.0,0.304005773124,0.695994226876
27.0,1.0,1.0,0.130145365443,0.869854634557
28.0,0.0,0.0,0.888976623544,0.111023376456
29.0,1.0,1.0,0.130145365443,0.869854634557
30.0,0.0,0.0,0.779658285887,0.220341714113
31.0,0.0,0.0,0.978580493051,0.0214195069488
32.0,0.0,0.0,0.888976623544,0.111023376456
33.0,1.0,1.0,0.130145365443,0.869854634557
34.0,0.0,1.0,0.304005773124,0.695994226876
35.0,0.0,0.0,0.978580493051,0.0214195069488
36.0,1.0,1.0,0.304005773124,0.695994226876
37.0,0.0,0.0,0.978580493051,0.0214195069488
38.0,0.0,0.0,0.978580493051,0.0214195069488
39.0,1.0,0.0,0.779658285887,0.220341714113
40.0,1.0,0.0,0.779658285887,0.220341714113
41.0,0.0,0.0,0.992558255537,0.00744174446345
42.0,0.0,0.0,0.978580493051,0.0214195069488
43.0,0.0,1.0,0.304005773124,0.695994226876
44.0,0.0,0.0,0.884591592368,0.115408407632
45.0,0.0,0.0,0.849390697564,0.150609302436
46.0,0.0,0.0,0.978580493051,0.0214195069488
47.0,1.0,1.0,0.130145365443,0.869854634557
