inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,1.43818619846e-81
2.0,0.0,0.0,1.0,1.07044809114e-114
3.0,0.0,0.0,1.0,3.01190113182e-148
4.0,0.0,0.0,1.0,5.3260546533e-133
5.0,0.0,0.0,1.0,1.28260092565e-98
6.0,0.0,0.0,1.0,4.26494925718e-96
7.0,0.0,0.0,1.0,1.45324715663e-203
8.0,0.0,0.0,1.0,7.54086003463e-192
9.0,1.0,1.0,2.76417312548e-147,1.0
10.0,0.0,0.0,1.0,3.35734064537e-99
11.0,0.0,0.0,1.0,6.10650573088e-172
12.0,1.0,1.0,2.12120370978e-95,1.0
13.0,0.0,0.0,1.0,1.2584822852e-111
14.0,1.0,1.0,5.50295923652e-18,1.0
15.0,0.0,1.0,7.59909597861e-54,1.0
16.0,0.0,0.0,1.0,2.21689699901e-88
17.0,1.0,1.0,1.28677633188e-161,1.0
18.0,0.0,0.0,1.0,1.15706063243e-182
19.0,0.0,0.0,1.0,3.38018370308e-158
20.0,0.0,0.0,1.0,1.14980875799e-210
21.0,1.0,1.0,1.53621304734e-99,1.0
22.0,1.0,0.0,1.0,6.55693959368e-76
23.0,0.0,1.0,5.11470854221e-113,1.0
24.0,0.0,1.0,7.5016758955e-84,1.0
25.0,1.0,1.0,4.99644807646e-35,1.0
26.0,1.0,1.0,7.38693519081e-87,1.0
27.0,1.0,1.0,3.59053638037e-132,1.0
28.0,0.0,0.0,1.0,2.38350072801e-174
29.0,1.0,1.0,1.21579178564e-194,1.0
30.0,0.0,0.0,1.0,1.79460084178e-91
31.0,0.0,0.0,1.0,8.06240047574e-198
32.0,0.0,0.0,1.0,4.26965479798e-163
33.0,1.0,1.0,1.64669379106e-178,1.0
34.0,0.0,1.0,1.50570976871e-125,1.0
35.0,0.0,0.0,1.0,2.61022076447e-176
36.0,1.0,1.0,6.54729510428e-48,1.0
37.0,0.0,0.0,1.0,2.67040961383e-104
38.0,0.0,0.0,1.0,1.7569639172e-196
39.0,1.0,0.0,1.0,1.77736950943e-80
