inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.793965099086,0.206034900914
2.0,0.0,0.0,0.967867968595,0.0321320314049
3.0,0.0,0.0,0.960804734468,0.0391952655322
4.0,0.0,0.0,0.881587858068,0.118412141932
5.0,0.0,0.0,0.785436876795,0.214563123205
6.0,0.0,0.0,0.828877000894,0.171122999106
7.0,0.0,0.0,0.984810187489,0.0151898125108
8.0,0.0,0.0,0.972276147618,0.0277238523819
9.0,1.0,1.0,0.175781785069,0.824218214931
10.0,0.0,0.0,0.820039942519,0.179960057481
11.0,0.0,0.0,0.878947840695,0.121052159305
12.0,1.0,1.0,0.474075206965,0.525924793035
13.0,0.0,0.0,0.865424660317,0.134575339683
14.0,1.0,0.0,0.772997799216,0.227002200784
15.0,0.0,0.0,0.504371320835,0.495628679165
16.0,0.0,0.0,0.81933317543,0.18066682457
17.0,1.0,1.0,0.232278666551,0.767721333449
18.0,0.0,0.0,0.977020480338,0.0229795196619
19.0,0.0,0.0,0.914509871233,0.0854901287668
20.0,0.0,0.0,0.985359484325,0.0146405156748
21.0,1.0,1.0,0.0798807309407,0.920119269059
22.0,1.0,0.0,0.753991875321,0.246008124679
23.0,0.0,0.0,0.557122698135,0.442877301865
24.0,0.0,0.0,0.54065227289,0.45934772711
25.0,1.0,1.0,0.251547056135,0.748452943865
26.0,1.0,0.0,0.917559794593,0.0824402054066
27.0,1.0,1.0,0.169293912142,0.830706087858
28.0,0.0,0.0,0.933622800493,0.0663771995072
29.0,1.0,1.0,0.220898237552,0.779101762448
30.0,0.0,0.0,0.816558955611,0.183441044389
31.0,0.0,0.0,0.94358727927,0.0564127207304
32.0,0.0,0.0,0.86623243355,0.13376756645
33.0,1.0,1.0,0.163070490695,0.836929509305
34.0,0.0,0.0,0.974245436807,0.0257545631933
35.0,0.0,0.0,0.92484199881,0.0751580011902
36.0,1.0,1.0,0.471163192796,0.528836807204
37.0,0.0,0.0,0.893689093828,0.106310906172
38.0,0.0,0.0,0.950711253797,0.0492887462027
39.0,1.0,0.0,0.931262247765,0.0687377522353
40.0,1.0,0.0,0.591663926739,0.408336073261
41.0,0.0,0.0,0.982666809086,0.0173331909141
42.0,0.0,0.0,0.964108299692,0.0358917003077
43.0,0.0,0.0,0.640374634089,0.359625365911
44.0,0.0,0.0,0.964772526498,0.0352274735021
45.0,0.0,0.0,0.981263668849,0.0187363311509
46.0,0.0,0.0,0.959160796447,0.0408392035528
47.0,1.0,1.0,0.0960150755737,0.903984924426
48.0,0.0,0.0,0.71939132723,0.28060867277
49.0,1.0,1.0,0.295401999314,0.704598000686
50.0,0.0,1.0,0.431409523014,0.568590476986
51.0,0.0,0.0,0.765051915652,0.234948084348
52.0,0.0,0.0,0.639135680728,0.360864319272
53.0,0.0,0.0,0.975124767631,0.0248752323689
54.0,1.0,1.0,0.190606027845,0.809393972155
55.0,0.0,0.0,0.98903008636,0.01096991364
56.0,0.0,0.0,0.871406335779,0.128593664221
57.0,0.0,1.0,0.311251925516,0.688748074484
58.0,0.0,0.0,0.962877254912,0.0371227450877
59.0,0.0,0.0,0.932587990143,0.0674120098571
60.0,0.0,0.0,0.87289041857,0.12710958143
61.0,1.0,0.0,0.629335686152,0.370664313848
62.0,1.0,0.0,0.612416640131,0.387583359869
