inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.67,0.33
2.0,0.0,0.0,0.99,0.01
3.0,0.0,0.0,1.0,0.0
4.0,0.0,0.0,1.0,0.0
5.0,0.0,0.0,0.94,0.06
6.0,0.0,0.0,1.0,0.0
7.0,0.0,0.0,1.0,0.0
8.0,0.0,0.0,1.0,0.0
9.0,1.0,1.0,0.04,0.96
10.0,0.0,0.0,0.94,0.06
11.0,0.0,0.0,0.97,0.03
12.0,1.0,1.0,0.03,0.97
13.0,0.0,0.0,0.98,0.02
14.0,1.0,1.0,0.35,0.65
15.0,0.0,0.0,0.78,0.22
16.0,0.0,0.0,0.98,0.02
17.0,1.0,1.0,0.21,0.79
18.0,0.0,0.0,1.0,0.0
19.0,0.0,0.0,1.0,0.0
20.0,0.0,0.0,1.0,0.0
21.0,1.0,1.0,0.01,0.99
22.0,1.0,1.0,0.38,0.62
23.0,0.0,0.0,0.83,0.17
24.0,0.0,0.0,0.83,0.17
25.0,1.0,1.0,0.13,0.87
26.0,1.0,1.0,0.25,0.75
27.0,1.0,1.0,0.01,0.99
28.0,0.0,0.0,0.96,0.04
29.0,1.0,1.0,0.01,0.99
30.0,0.0,0.0,0.92,0.08
31.0,0.0,0.0,1.0,0.0
32.0,0.0,0.0,0.93,0.07
33.0,1.0,1.0,0.0,1.0
34.0,0.0,0.0,0.9,0.1
35.0,0.0,0.0,1.0,0.0
36.0,1.0,1.0,0.28,0.72
37.0,0.0,0.0,0.99,0.01
38.0,0.0,0.0,0.99,0.01
39.0,1.0,1.0,0.22,0.78
40.0,1.0,1.0,0.2,0.8
41.0,0.0,0.0,1.0,0.0
42.0,0.0,0.0,1.0,0.0
43.0,0.0,0.0,0.61,0.39
44.0,0.0,0.0,0.99,0.01
45.0,0.0,0.0,1.0,0.0
46.0,0.0,0.0,1.0,0.0
47.0,1.0,1.0,0.02,0.98
48.0,0.0,0.0,0.79,0.21
49.0,1.0,1.0,0.27,0.73
50.0,0.0,0.0,0.83,0.17
51.0,0.0,0.0,0.99,0.01
52.0,0.0,0.0,0.79,0.21
53.0,0.0,0.0,1.0,0.0
54.0,1.0,1.0,0.0,1.0
55.0,0.0,0.0,0.96,0.04
56.0,0.0,1.0,0.48,0.52
57.0,0.0,1.0,0.33,0.67
58.0,0.0,0.0,1.0,0.0
59.0,0.0,0.0,0.99,0.01
60.0,0.0,0.0,1.0,0.0
61.0,1.0,1.0,0.23,0.77
62.0,1.0,1.0,0.14,0.86
63.0,0.0,0.0,1.0,0.0
64.0,1.0,1.0,0.18,0.82
65.0,1.0,1.0,0.03,0.97
66.0,0.0,0.0,0.97,0.03
67.0,1.0,1.0,0.04,0.96
68.0,1.0,1.0,0.38,0.62
69.0,0.0,0.0,0.99,0.01
70.0,0.0,0.0,1.0,0.0
71.0,1.0,1.0,0.35,0.65
72.0,1.0,0.0,0.8,0.2
73.0,1.0,1.0,0.16,0.84
74.0,0.0,0.0,0.97,0.03
75.0,0.0,0.0,0.98,0.02
76.0,0.0,0.0,0.99,0.01
77.0,1.0,1.0,0.21,0.79
78.0,0.0,0.0,1.0,0.0
79.0,0.0,0.0,0.85,0.15
80.0,0.0,0.0,1.0,0.0
81.0,0.0,0.0,0.96,0.04
82.0,0.0,0.0,1.0,0.0
83.0,1.0,1.0,0.09,0.91
84.0,0.0,0.0,0.98,0.02
85.0,1.0,1.0,0.38,0.62
86.0,0.0,0.0,1.0,0.0
87.0,1.0,1.0,0.0,1.0
88.0,0.0,0.0,0.9,0.1
89.0,0.0,0.0,0.91,0.09
90.0,1.0,1.0,0.15,0.85
91.0,0.0,0.0,1.0,0.0
92.0,0.0,0.0,0.92,0.08
93.0,0.0,0.0,1.0,0.0
94.0,1.0,1.0,0.0,1.0
