inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,0.0
2.0,0.0,0.0,0.9,0.1
3.0,1.0,1.0,0.12,0.88
4.0,0.0,0.0,1.0,0.0
5.0,1.0,1.0,0.02,0.98
6.0,1.0,1.0,0.04,0.96
7.0,0.0,0.0,0.95,0.05
8.0,1.0,1.0,0.0,1.0
9.0,0.0,0.0,0.71,0.29
10.0,0.0,0.0,1.0,0.0
11.0,0.0,0.0,0.87,0.13
12.0,0.0,0.0,0.91,0.09
13.0,0.0,0.0,0.99,0.01
14.0,0.0,0.0,0.99,0.01
15.0,1.0,1.0,0.12,0.88
16.0,1.0,1.0,0.03,0.97
17.0,1.0,1.0,0.09,0.91
18.0,1.0,1.0,0.01,0.99
19.0,0.0,0.0,1.0,0.0
20.0,0.0,0.0,0.97,0.03
21.0,0.0,0.0,0.98,0.02
22.0,0.0,0.0,0.99,0.01
23.0,0.0,0.0,1.0,0.0
24.0,0.0,0.0,0.99,0.01
25.0,1.0,1.0,0.25,0.75
26.0,0.0,0.0,0.99,0.01
27.0,0.0,0.0,0.92,0.08
28.0,0.0,0.0,1.0,0.0
29.0,1.0,1.0,0.1,0.9
30.0,0.0,0.0,0.69,0.31
31.0,1.0,0.0,1.0,0.0
32.0,0.0,0.0,0.69,0.31
33.0,0.0,0.0,0.95,0.05
34.0,1.0,1.0,0.0,1.0
35.0,0.0,0.0,0.98,0.02
36.0,0.0,0.0,1.0,0.0
37.0,0.0,0.0,0.96,0.04
38.0,1.0,1.0,0.08,0.92
39.0,0.0,0.0,0.97,0.03
40.0,0.0,1.0,0.46,0.54
41.0,0.0,0.0,0.9,0.1
42.0,1.0,1.0,0.13,0.87
43.0,0.0,1.0,0.13,0.87
44.0,1.0,1.0,0.19,0.81
45.0,0.0,0.0,1.0,0.0
46.0,0.0,0.0,0.53,0.47
47.0,0.0,0.0,0.99,0.01
48.0,0.0,0.0,0.94,0.06
49.0,0.0,0.0,1.0,0.0
