inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,0.0
2.0,0.0,0.0,1.0,4.28057049754e-126
3.0,1.0,1.0,7.07425121616e-239,1.0
4.0,1.0,0.0,1.0,1.84057653521e-99
5.0,0.0,1.0,1.05299881394e-152,1.0
6.0,0.0,0.0,1.0,1.00395520084e-153
7.0,1.0,1.0,0.0,1.0
8.0,0.0,0.0,1.0,0.0
9.0,0.0,0.0,1.0,5.97978351029e-289
10.0,0.0,0.0,1.0,6.4051504157e-272
11.0,1.0,1.0,1.90845324688e-11,0.999999999981
12.0,1.0,1.0,0.0,1.0
13.0,0.0,1.0,1.15615502654e-40,1.0
14.0,0.0,0.0,1.0,3.29432002621e-51
15.0,0.0,0.0,1.0,0.0
16.0,1.0,1.0,1.37252014397e-313,1.0
17.0,0.0,0.0,1.0,3.07851688263e-159
18.0,1.0,1.0,0.0,1.0
19.0,0.0,0.0,1.0,0.0
20.0,1.0,1.0,6.75515464321e-164,1.0
21.0,1.0,1.0,0.0,1.0
22.0,1.0,1.0,1.67317498945e-271,1.0
23.0,1.0,1.0,5.94579356408e-167,1.0
24.0,0.0,0.0,1.0,0.0
25.0,1.0,1.0,0.0,1.0
26.0,0.0,1.0,6.09604227484e-104,1.0
27.0,0.0,0.0,1.0,0.0
28.0,1.0,1.0,1.87739045596e-239,1.0
29.0,0.0,0.0,1.0,6.15673559836e-260
30.0,1.0,1.0,7.46107807539e-49,1.0
31.0,0.0,0.0,1.0,7.12112015507e-56
32.0,0.0,0.0,1.0,0.0
33.0,0.0,0.0,1.0,3.88903489036e-315
34.0,1.0,1.0,1.07760368344e-287,1.0
35.0,1.0,1.0,0.0,1.0
36.0,1.0,1.0,0.0,1.0
37.0,1.0,1.0,1.17159848611e-277,1.0
38.0,1.0,1.0,2.33176348794e-160,1.0
39.0,1.0,1.0,0.0,1.0
40.0,1.0,1.0,1.52993998146e-12,0.999999999998
41.0,1.0,1.0,4.31435156252e-219,1.0
42.0,1.0,1.0,1.22203321872e-08,0.99999998778
43.0,1.0,0.0,1.0,1.94978798247e-14
44.0,1.0,1.0,0.0,1.0
45.0,0.0,0.0,1.0,0.0
46.0,1.0,0.0,1.0,3.08003673152e-98
47.0,1.0,1.0,1.59718407655e-160,1.0
48.0,0.0,0.0,1.0,1.67863384639e-147
49.0,1.0,1.0,5.61178179314e-315,1.0
50.0,1.0,1.0,5.58903597203e-219,1.0
51.0,0.0,1.0,4.17405904031e-102,1.0
52.0,1.0,1.0,4.99080222816e-27,1.0
53.0,0.0,0.0,1.0,1.15747967009e-237
54.0,0.0,0.0,1.0,0.0
55.0,1.0,1.0,3.0946248926e-249,1.0
56.0,0.0,0.0,1.0,3.36829754223e-128
57.0,1.0,0.0,1.0,6.49564724069e-74
58.0,0.0,1.0,8.79077224746e-73,1.0
59.0,1.0,1.0,1.2120931746e-281,1.0
60.0,1.0,1.0,3.74939842761e-218,1.0
61.0,1.0,1.0,0.0,1.0
62.0,0.0,0.0,1.0,4.66503725492e-284
63.0,0.0,0.0,1.0,9.1252666651e-140
