inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.923052142557,0.0769478574433
2.0,0.0,0.0,0.88353105786,0.11646894214
3.0,1.0,1.0,0.155497100008,0.844502899992
4.0,1.0,1.0,0.496363284712,0.503636715288
5.0,0.0,1.0,0.374665872518,0.625334127482
6.0,0.0,0.0,0.932684750402,0.0673152495975
7.0,1.0,1.0,0.0183226959944,0.981677304006
8.0,0.0,0.0,0.976151977102,0.0238480228977
9.0,0.0,0.0,0.923052142557,0.0769478574433
10.0,0.0,0.0,0.932684750402,0.0673152495975
11.0,1.0,1.0,0.183791153821,0.816208846179
12.0,1.0,1.0,0.0183226959944,0.981677304006
13.0,0.0,0.0,0.936479309286,0.0635206907139
14.0,0.0,0.0,0.870433546773,0.129566453227
15.0,0.0,0.0,0.976151977102,0.0238480228977
16.0,1.0,1.0,0.0269299570045,0.973070042996
17.0,0.0,0.0,0.740329743593,0.259670256407
18.0,1.0,1.0,0.0183226959944,0.981677304006
19.0,0.0,0.0,0.976151977102,0.0238480228977
20.0,1.0,1.0,0.155497100008,0.844502899992
21.0,1.0,1.0,0.0183226959944,0.981677304006
22.0,1.0,1.0,0.0598744888201,0.94012551118
23.0,1.0,1.0,0.0282027666844,0.971797233316
24.0,0.0,0.0,0.923052142557,0.0769478574433
25.0,1.0,1.0,0.0183226959944,0.981677304006
26.0,0.0,1.0,0.374665872518,0.625334127482
27.0,0.0,0.0,0.923052142557,0.0769478574433
28.0,1.0,1.0,0.0598744888201,0.94012551118
29.0,0.0,0.0,0.923052142557,0.0769478574433
30.0,1.0,1.0,0.374665872518,0.625334127482
31.0,0.0,0.0,0.936479309286,0.0635206907139
32.0,0.0,0.0,0.976151977102,0.0238480228977
33.0,0.0,0.0,0.976151977102,0.0238480228977
34.0,1.0,1.0,0.0511989383227,0.948801061677
35.0,1.0,1.0,0.0269299570045,0.973070042996
36.0,1.0,1.0,0.0269299570045,0.973070042996
37.0,1.0,1.0,0.0598744888201,0.94012551118
38.0,1.0,1.0,0.17166208324,0.82833791676
39.0,1.0,1.0,0.0511989383227,0.948801061677
40.0,1.0,1.0,0.0263017564694,0.973698243531
41.0,1.0,1.0,0.155497100008,0.844502899992
42.0,1.0,1.0,0.0963076131286,0.903692386871
43.0,1.0,1.0,0.0930597844208,0.906940215579
44.0,1.0,1.0,0.0183226959944,0.981677304006
45.0,0.0,0.0,0.976151977102,0.0238480228977
46.0,1.0,1.0,0.496363284712,0.503636715288
47.0,1.0,1.0,0.0647221728437,0.935277827156
48.0,0.0,0.0,0.943335068808,0.0566649311916
49.0,1.0,1.0,0.0269299570045,0.973070042996
50.0,1.0,1.0,0.155497100008,0.844502899992
51.0,0.0,1.0,0.214465463104,0.785534536896
52.0,1.0,1.0,0.214465463104,0.785534536896
53.0,0.0,0.0,0.976151977102,0.0238480228977
54.0,0.0,0.0,0.976151977102,0.0238480228977
55.0,1.0,1.0,0.155497100008,0.844502899992
56.0,0.0,0.0,0.847114040331,0.152885959669
57.0,1.0,1.0,0.496363284712,0.503636715288
58.0,0.0,0.0,0.936479309286,0.0635206907139
59.0,1.0,1.0,0.155497100008,0.844502899992
60.0,1.0,1.0,0.155497100008,0.844502899992
61.0,1.0,1.0,0.0183226959944,0.981677304006
62.0,0.0,0.0,0.976151977102,0.0238480228977
63.0,0.0,0.0,0.943335068808,0.0566649311916
64.0,0.0,0.0,0.936479309286,0.0635206907139
65.0,0.0,0.0,0.976151977102,0.0238480228977
66.0,0.0,0.0,0.923052142557,0.0769478574433
67.0,0.0,0.0,0.976151977102,0.0238480228977
68.0,1.0,1.0,0.0183226959944,0.981677304006
69.0,1.0,1.0,0.077408832388,0.922591167612
70.0,0.0,0.0,0.88353105786,0.11646894214
71.0,0.0,0.0,0.870433546773,0.129566453227
72.0,1.0,1.0,0.0263017564694,0.973698243531
73.0,1.0,1.0,0.0511989383227,0.948801061677
74.0,1.0,1.0,0.0183226959944,0.981677304006
75.0,0.0,0.0,0.973591326791,0.0264086732088
76.0,1.0,1.0,0.077408832388,0.922591167612
77.0,1.0,1.0,0.155497100008,0.844502899992
78.0,0.0,0.0,0.870433546773,0.129566453227
79.0,1.0,1.0,0.0647221728437,0.935277827156
80.0,0.0,0.0,0.599110611614,0.400889388386
81.0,0.0,0.0,0.951062124442,0.0489378755577
82.0,0.0,0.0,0.976151977102,0.0238480228977
83.0,0.0,0.0,0.936479309286,0.0635206907139
84.0,1.0,0.0,0.923052142557,0.0769478574433
85.0,1.0,1.0,0.0862854291261,0.913714570874
86.0,1.0,1.0,0.0598744888201,0.94012551118
87.0,0.0,1.0,0.155497100008,0.844502899992
88.0,1.0,1.0,0.155497100008,0.844502899992
89.0,0.0,1.0,0.374665872518,0.625334127482
