inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.99,0.01
2.0,0.0,0.0,0.98,0.02
3.0,1.0,1.0,0.01,0.99
4.0,1.0,1.0,0.41,0.59
5.0,0.0,0.0,0.56,0.44
6.0,0.0,0.0,0.96,0.04
7.0,1.0,1.0,0.01,0.99
8.0,0.0,0.0,1.0,0.0
9.0,0.0,0.0,1.0,0.0
10.0,0.0,0.0,0.99,0.01
11.0,1.0,1.0,0.21,0.79
12.0,1.0,1.0,0.0,1.0
13.0,0.0,0.0,0.92,0.08
14.0,0.0,0.0,0.86,0.14
15.0,0.0,0.0,1.0,0.0
16.0,1.0,1.0,0.01,0.99
17.0,0.0,0.0,0.97,0.03
18.0,1.0,1.0,0.01,0.99
19.0,0.0,0.0,1.0,0.0
20.0,1.0,1.0,0.11,0.89
21.0,1.0,1.0,0.03,0.97
22.0,1.0,1.0,0.01,0.99
23.0,1.0,1.0,0.0,1.0
24.0,0.0,0.0,1.0,0.0
25.0,1.0,1.0,0.0,1.0
26.0,0.0,1.0,0.42,0.58
27.0,0.0,0.0,0.92,0.08
28.0,1.0,1.0,0.0,1.0
29.0,0.0,0.0,0.91,0.09
30.0,1.0,1.0,0.24,0.76
31.0,0.0,0.0,0.88,0.12
32.0,0.0,0.0,1.0,0.0
33.0,0.0,0.0,1.0,0.0
34.0,1.0,1.0,0.0,1.0
35.0,1.0,1.0,0.0,1.0
36.0,1.0,1.0,0.01,0.99
37.0,1.0,1.0,0.01,0.99
38.0,1.0,1.0,0.2,0.8
39.0,1.0,1.0,0.06,0.94
40.0,1.0,1.0,0.02,0.98
41.0,1.0,1.0,0.33,0.67
42.0,1.0,1.0,0.15,0.85
43.0,1.0,1.0,0.11,0.89
44.0,1.0,1.0,0.0,1.0
45.0,0.0,0.0,1.0,0.0
46.0,1.0,1.0,0.29,0.71
47.0,1.0,1.0,0.0,1.0
48.0,0.0,0.0,0.92,0.08
49.0,1.0,1.0,0.04,0.96
50.0,1.0,1.0,0.01,0.99
51.0,0.0,1.0,0.49,0.51
52.0,1.0,1.0,0.11,0.89
53.0,0.0,0.0,0.92,0.08
54.0,0.0,0.0,1.0,0.0
55.0,1.0,1.0,0.18,0.82
56.0,0.0,0.0,0.91,0.09
57.0,1.0,1.0,0.42,0.58
58.0,0.0,0.0,0.79,0.21
59.0,1.0,1.0,0.01,0.99
60.0,1.0,1.0,0.17,0.83
61.0,1.0,1.0,0.01,0.99
62.0,0.0,0.0,0.99,0.01
63.0,0.0,0.0,0.88,0.12
64.0,0.0,0.0,0.77,0.23
65.0,0.0,0.0,1.0,0.0
66.0,0.0,0.0,0.88,0.12
67.0,0.0,0.0,1.0,0.0
68.0,1.0,1.0,0.03,0.97
69.0,1.0,1.0,0.12,0.88
70.0,0.0,0.0,0.92,0.08
71.0,0.0,0.0,0.76,0.24
72.0,1.0,1.0,0.06,0.94
73.0,1.0,1.0,0.05,0.95
74.0,1.0,1.0,0.0,1.0
75.0,0.0,0.0,0.96,0.04
76.0,1.0,1.0,0.02,0.98
77.0,1.0,1.0,0.01,0.99
78.0,0.0,0.0,0.94,0.06
79.0,1.0,1.0,0.0,1.0
80.0,0.0,0.0,0.65,0.35
81.0,0.0,0.0,1.0,0.0
82.0,0.0,0.0,1.0,0.0
83.0,0.0,0.0,0.95,0.05
84.0,1.0,0.0,0.87,0.13
85.0,1.0,1.0,0.05,0.95
86.0,1.0,1.0,0.0,1.0
87.0,0.0,1.0,0.39,0.61
88.0,1.0,1.0,0.16,0.84
89.0,0.0,0.0,0.52,0.48
90.0,1.0,1.0,0.12,0.88
91.0,0.0,0.0,1.0,0.0
92.0,1.0,1.0,0.0,1.0
93.0,1.0,1.0,0.01,0.99
94.0,1.0,0.0,0.57,0.43
95.0,1.0,1.0,0.11,0.89
96.0,1.0,1.0,0.07,0.93
97.0,0.0,0.0,0.96,0.04
98.0,1.0,1.0,0.09,0.91
99.0,1.0,1.0,0.12,0.88
100.0,0.0,0.0,0.75,0.25
101.0,1.0,1.0,0.03,0.97
102.0,1.0,1.0,0.46,0.54
103.0,1.0,1.0,0.15,0.85
104.0,0.0,0.0,1.0,0.0
105.0,0.0,0.0,0.97,0.03
106.0,1.0,0.0,0.57,0.43
107.0,0.0,0.0,0.98,0.02
108.0,0.0,0.0,1.0,0.0
109.0,1.0,1.0,0.01,0.99
110.0,1.0,1.0,0.23,0.77
111.0,0.0,1.0,0.42,0.58
112.0,0.0,0.0,1.0,0.0
113.0,0.0,0.0,1.0,0.0
114.0,1.0,1.0,0.05,0.95
115.0,0.0,0.0,0.91,0.09
116.0,0.0,0.0,1.0,0.0
117.0,1.0,1.0,0.02,0.98
118.0,0.0,0.0,0.96,0.04
119.0,1.0,0.0,0.59,0.41
120.0,1.0,1.0,0.29,0.71
121.0,1.0,1.0,0.09,0.91
122.0,0.0,0.0,0.91,0.09
123.0,1.0,1.0,0.0,1.0
124.0,1.0,1.0,0.11,0.89
125.0,1.0,1.0,0.14,0.86
126.0,1.0,1.0,0.01,0.99
127.0,1.0,1.0,0.03,0.97
128.0,1.0,1.0,0.0,1.0
