inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,1.0,2.15087426301e-31,1.0
2.0,0.0,0.0,0.99999999983,1.69744330055e-10
3.0,1.0,1.0,1.02080113998e-286,1.0
4.0,1.0,1.0,1.56839493784e-149,1.0
5.0,0.0,0.0,1.0,1.14355294837e-113
6.0,0.0,0.0,1.0,5.44065261481e-82
7.0,1.0,0.0,1.0,2.88609812523e-79
8.0,0.0,0.0,1.0,2.01292780247e-74
9.0,1.0,0.0,1.0,2.52492590869e-16
10.0,0.0,0.0,1.0,9.16125456881e-77
11.0,0.0,0.0,0.999999999046,9.53561039375e-10
12.0,0.0,0.0,1.0,1.2357294369e-154
13.0,0.0,0.0,1.0,3.899736263e-78
14.0,0.0,0.0,1.0,3.60690373306e-99
15.0,1.0,1.0,5.81112069078e-268,1.0
16.0,1.0,1.0,1.89255276703e-168,1.0
17.0,1.0,1.0,1.48282468958e-213,1.0
18.0,0.0,0.0,1.0,1.05112779402e-67
19.0,0.0,1.0,4.90394581407e-125,1.0
20.0,1.0,0.0,1.0,1.30934067271e-101
21.0,1.0,1.0,1.59836975258e-182,1.0
22.0,0.0,0.0,1.0,1.54205998407e-112
23.0,1.0,1.0,6.60193988272e-291,1.0
24.0,0.0,0.0,1.0,1.1402280662e-68
25.0,0.0,0.0,1.0,8.71638599837e-154
26.0,0.0,0.0,1.0,1.35694361646e-126
27.0,1.0,1.0,2.91199879893e-165,1.0
28.0,0.0,0.0,1.0,7.68982244448e-132
29.0,0.0,1.0,3.39960866734e-94,1.0
30.0,1.0,1.0,2.56530828829e-219,1.0
31.0,0.0,0.0,1.0,5.46938858275e-51
32.0,0.0,0.0,1.0,1.47178422551e-115
33.0,0.0,0.0,1.0,1.99673477132e-108
34.0,0.0,0.0,1.0,2.67583465668e-13
35.0,0.0,1.0,3.5156748788e-100,1.0
36.0,0.0,0.0,1.0,1.46337945647e-138
37.0,0.0,0.0,1.0,8.53976766299e-136
38.0,0.0,0.0,1.0,1.87640237254e-99
39.0,0.0,0.0,1.0,8.45804451838e-145
40.0,0.0,0.0,1.0,2.81428257058e-134
41.0,0.0,0.0,1.0,9.97154317958e-53
42.0,0.0,0.0,1.0,2.48937744592e-94
43.0,0.0,0.0,1.0,4.63567091827e-79
44.0,0.0,0.0,1.0,8.04253884777e-109
45.0,1.0,1.0,4.33801124685e-76,1.0
46.0,0.0,0.0,1.0,7.49431732501e-100
47.0,0.0,1.0,4.41315151569e-40,1.0
48.0,0.0,0.0,1.0,5.28450465096e-43
49.0,1.0,1.0,2.58189168321e-67,1.0
50.0,1.0,0.0,1.0,7.37589773336e-89
51.0,0.0,0.0,1.0,1.23087952182e-66
52.0,0.0,0.0,1.0,2.24760519905e-93
53.0,0.0,0.0,1.0,3.8561232186e-69
54.0,0.0,0.0,1.0,1.19075562867e-106
55.0,0.0,0.0,1.0,5.56630871176e-126
56.0,0.0,0.0,1.0,2.70413035818e-154
57.0,0.0,0.0,1.0,6.56972626091e-106
58.0,0.0,0.0,1.0,2.07642930775e-154
59.0,0.0,0.0,1.0,3.45218985731e-126
60.0,0.0,0.0,1.0,2.32402405077e-123
61.0,1.0,1.0,7.47369824486e-288,1.0
62.0,1.0,0.0,1.0,1.17723853342e-26
63.0,0.0,1.0,9.83663509796e-94,1.0
64.0,1.0,0.0,0.997683673317,0.00231632668277
65.0,0.0,0.0,1.0,2.72542466513e-69
66.0,0.0,0.0,1.0,2.90917764874e-137
67.0,0.0,0.0,1.0,1.23511887515e-90
68.0,0.0,0.0,1.0,1.00932807647e-81
69.0,0.0,0.0,1.0,2.30531037379e-101
70.0,1.0,1.0,5.59363588126e-90,1.0
71.0,0.0,0.0,1.0,7.2713847708e-83
72.0,1.0,1.0,1.51678927583e-203,1.0
73.0,0.0,0.0,1.0,2.44869531269e-110
74.0,0.0,0.0,1.0,1.02525206928e-91
75.0,0.0,0.0,1.0,4.83179056792e-116
76.0,0.0,0.0,1.0,1.59251456251e-155
77.0,0.0,0.0,1.0,9.10861500655e-120
78.0,0.0,0.0,1.0,4.32502596524e-120
79.0,0.0,0.0,1.0,5.22623165871e-152
80.0,1.0,1.0,2.00743883297e-255,1.0
81.0,0.0,0.0,1.0,8.27999923517e-118
82.0,1.0,1.0,6.06978537417e-108,1.0
83.0,0.0,0.0,1.0,3.21320695833e-86
84.0,0.0,0.0,1.0,3.9359338183e-36
85.0,1.0,1.0,1.58083088232e-288,1.0
86.0,0.0,0.0,1.0,4.60058129502e-128
87.0,0.0,0.0,1.0,2.74712614696e-110
88.0,0.0,0.0,1.0,2.70117802493e-122
89.0,0.0,0.0,1.0,1.86242576661e-142
90.0,0.0,0.0,1.0,1.92798344156e-154
91.0,0.0,1.0,4.33842422872e-13,1.0
