inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.987522856138,0.0124771438617
2.0,1.0,1.0,0.178959358179,0.821040641821
3.0,0.0,0.0,0.988607351065,0.0113926489346
4.0,0.0,0.0,0.572096425265,0.427903574735
5.0,0.0,0.0,0.988499612346,0.0115003876543
6.0,1.0,1.0,0.0116836174699,0.98831638253
7.0,1.0,1.0,0.126686986245,0.873313013755
8.0,0.0,0.0,0.987522856138,0.0124771438617
9.0,1.0,0.0,0.972686040629,0.0273139593709
10.0,0.0,0.0,0.994833381809,0.00516661819064
11.0,0.0,0.0,0.987522856138,0.0124771438617
12.0,1.0,1.0,0.127744160268,0.872255839732
13.0,0.0,0.0,0.981653944347,0.0183460556535
14.0,1.0,1.0,0.0567803422606,0.943219657739
15.0,0.0,0.0,0.895698378329,0.104301621671
16.0,0.0,1.0,0.356466371995,0.643533628005
17.0,0.0,0.0,0.996517049889,0.00348295011093
18.0,0.0,1.0,0.0567803422606,0.943219657739
19.0,1.0,1.0,0.0279562649628,0.972043735037
20.0,0.0,0.0,0.97272877479,0.0272712252103
21.0,0.0,1.0,0.356466371995,0.643533628005
22.0,1.0,0.0,0.936619989272,0.0633800107278
23.0,0.0,0.0,0.97272877479,0.0272712252103
24.0,0.0,0.0,0.97040640803,0.0295935919697
25.0,0.0,0.0,0.981653944347,0.0183460556535
26.0,0.0,1.0,0.356466371995,0.643533628005
27.0,0.0,0.0,0.895698378329,0.104301621671
28.0,1.0,1.0,0.0567803422606,0.943219657739
29.0,0.0,0.0,0.987522856138,0.0124771438617
30.0,0.0,1.0,0.127744160268,0.872255839732
31.0,0.0,0.0,0.987522856138,0.0124771438617
32.0,0.0,1.0,0.0567803422606,0.943219657739
33.0,1.0,1.0,0.0567803422606,0.943219657739
34.0,1.0,1.0,0.0567803422606,0.943219657739
35.0,0.0,0.0,0.968841439617,0.0311585603832
36.0,1.0,1.0,0.127744160268,0.872255839732
37.0,1.0,1.0,0.127744160268,0.872255839732
38.0,1.0,1.0,0.0567803422606,0.943219657739
39.0,0.0,0.0,0.667291611956,0.332708388044
40.0,1.0,1.0,0.0567803422606,0.943219657739
41.0,0.0,0.0,0.936619989272,0.0633800107278
42.0,1.0,1.0,0.0567803422606,0.943219657739
43.0,1.0,1.0,0.356466371995,0.643533628005
44.0,0.0,0.0,0.988607351065,0.0113926489346
45.0,0.0,0.0,0.987522856138,0.0124771438617
46.0,0.0,0.0,0.988607351065,0.0113926489346
47.0,0.0,0.0,0.987522856138,0.0124771438617
48.0,1.0,1.0,0.0567803422606,0.943219657739
49.0,1.0,0.0,0.93339096663,0.0666090333701
50.0,0.0,0.0,0.987503006552,0.0124969934478
51.0,1.0,1.0,0.0279562649628,0.972043735037
52.0,0.0,0.0,0.996517049889,0.00348295011093
53.0,1.0,1.0,0.0567803422606,0.943219657739
54.0,0.0,0.0,0.987522856138,0.0124771438617
55.0,1.0,1.0,0.127744160268,0.872255839732
56.0,0.0,0.0,0.895698378329,0.104301621671
57.0,0.0,0.0,0.994784211171,0.0052157888288
58.0,1.0,1.0,0.344370091187,0.655629908813
59.0,0.0,1.0,0.127744160268,0.872255839732
60.0,0.0,0.0,0.988499612346,0.0115003876543
61.0,0.0,0.0,0.574032112039,0.425967887961
62.0,0.0,0.0,0.987522856138,0.0124771438617
63.0,1.0,1.0,0.0279562649628,0.972043735037
64.0,0.0,0.0,0.994784211171,0.0052157888288
65.0,1.0,1.0,0.0567803422606,0.943219657739
66.0,0.0,0.0,0.972686040629,0.0273139593709
67.0,0.0,0.0,0.93339096663,0.0666090333701
68.0,0.0,1.0,0.356466371995,0.643533628005
69.0,0.0,0.0,0.667291611956,0.332708388044
70.0,1.0,1.0,0.0981066970218,0.901893302978
71.0,0.0,0.0,0.996517049889,0.00348295011093
72.0,1.0,1.0,0.127744160268,0.872255839732
73.0,0.0,0.0,0.97040640803,0.0295935919697
74.0,1.0,1.0,0.0567803422606,0.943219657739
75.0,0.0,0.0,0.987522856138,0.0124771438617
76.0,1.0,1.0,0.356466371995,0.643533628005
77.0,0.0,0.0,0.992316510386,0.00768348961387
78.0,0.0,0.0,0.968841439617,0.0311585603832
79.0,0.0,0.0,0.987522856138,0.0124771438617
80.0,0.0,1.0,0.0567803422606,0.943219657739
81.0,0.0,0.0,0.921045605116,0.0789543948838
82.0,0.0,0.0,0.987503006552,0.0124969934478
83.0,0.0,0.0,0.994784211171,0.0052157888288
84.0,0.0,0.0,0.667291611956,0.332708388044
85.0,0.0,1.0,0.344370091187,0.655629908813
86.0,0.0,0.0,0.994784211171,0.0052157888288
87.0,0.0,0.0,0.574032112039,0.425967887961
88.0,0.0,0.0,0.994784211171,0.0052157888288
89.0,1.0,1.0,0.0567803422606,0.943219657739
90.0,0.0,1.0,0.356466371995,0.643533628005
91.0,0.0,0.0,0.574032112039,0.425967887961
92.0,0.0,0.0,0.994784211171,0.0052157888288
93.0,1.0,1.0,0.0567803422606,0.943219657739
94.0,0.0,0.0,0.992304227478,0.00769577252177
95.0,0.0,0.0,0.987522856138,0.0124771438617
96.0,1.0,1.0,0.0567803422606,0.943219657739
97.0,1.0,1.0,0.0567803422606,0.943219657739
98.0,1.0,1.0,0.0567803422606,0.943219657739
99.0,0.0,0.0,0.987522856138,0.0124771438617
100.0,1.0,1.0,0.0567803422606,0.943219657739
101.0,0.0,1.0,0.126686986245,0.873313013755
102.0,0.0,0.0,0.994784211171,0.0052157888288
103.0,0.0,0.0,0.994833381809,0.00516661819064
104.0,0.0,0.0,0.987522856138,0.0124771438617
105.0,0.0,0.0,0.667291611956,0.332708388044
106.0,0.0,0.0,0.994784211171,0.0052157888288
107.0,0.0,0.0,0.936619989272,0.0633800107278
108.0,1.0,1.0,0.0567803422606,0.943219657739
109.0,1.0,1.0,0.126686986245,0.873313013755
110.0,1.0,1.0,0.0279562649628,0.972043735037
