inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,2.40592672885e-160
2.0,1.0,1.0,2.41135807923e-137,1.0
3.0,0.0,0.0,1.0,3.93355921357e-143
4.0,0.0,0.0,1.0,3.59139630647e-69
5.0,0.0,0.0,1.0,1.26453364872e-120
6.0,1.0,1.0,1.0750756438e-86,1.0
7.0,1.0,1.0,9.69211020401e-92,1.0
8.0,0.0,0.0,1.0,2.77886916963e-161
9.0,1.0,0.0,1.0,2.2685235828e-96
10.0,0.0,0.0,1.0,1.05841868605e-116
11.0,0.0,0.0,1.0,4.26114892641e-158
12.0,1.0,1.0,7.32812318662e-85,1.0
13.0,0.0,0.0,1.0,5.07201054144e-141
14.0,1.0,1.0,6.52833061716e-80,1.0
15.0,0.0,0.0,1.0,1.60967128551e-126
16.0,0.0,1.0,1.6713913271e-122,1.0
17.0,0.0,0.0,1.0,3.49956413844e-166
18.0,0.0,1.0,1.47102566347e-134,1.0
19.0,1.0,1.0,2.41266623879e-139,1.0
20.0,0.0,0.0,1.0,4.50422787797e-16
21.0,0.0,1.0,3.17713465004e-72,1.0
22.0,1.0,1.0,3.40345753728e-57,1.0
23.0,0.0,0.0,1.0,1.59528420936e-28
24.0,0.0,1.0,1.62725321875e-19,1.0
25.0,0.0,0.0,1.0,2.45304704688e-48
26.0,0.0,1.0,4.84612702177e-69,1.0
27.0,0.0,0.0,1.0,1.43648614452e-126
28.0,1.0,1.0,4.36310049258e-139,1.0
29.0,0.0,0.0,1.0,1.18956306321e-18
30.0,0.0,1.0,7.242345637e-114,1.0
31.0,0.0,0.0,1.0,1.16126313546e-43
32.0,0.0,1.0,1.75176827792e-123,1.0
33.0,1.0,1.0,9.1419931631e-110,1.0
34.0,1.0,1.0,7.5909990746e-117,1.0
35.0,0.0,0.0,1.0,1.90272411386e-136
36.0,1.0,0.0,1.0,1.19233328382e-45
37.0,1.0,1.0,3.4766105313e-133,1.0
38.0,1.0,1.0,1.6686231223e-105,1.0
39.0,0.0,0.0,1.0,1.5441255742e-124
40.0,1.0,1.0,1.86074884745e-80,1.0
41.0,0.0,0.0,1.0,1.5041059931e-127
42.0,1.0,0.0,1.0,1.97663702281e-40
43.0,1.0,0.0,1.0,1.87520341641e-42
44.0,0.0,0.0,1.0,1.02529741006e-101
45.0,0.0,0.0,1.0,1.97961468398e-129
46.0,0.0,0.0,0.99999999318,6.81967606427e-09
47.0,0.0,0.0,1.0,2.39887512632e-118
48.0,1.0,1.0,5.90350074761e-131,1.0
49.0,1.0,0.0,1.0,6.22882750685e-109
50.0,0.0,0.0,1.0,1.98671088729e-85
51.0,1.0,1.0,2.7556870816e-120,1.0
52.0,0.0,0.0,1.0,3.34009842563e-161
53.0,1.0,1.0,1.28747011858e-77,1.0
54.0,0.0,0.0,1.0,3.77769859509e-110
55.0,1.0,1.0,2.37187411747e-134,1.0
56.0,0.0,0.0,1.0,3.03395716205e-109
57.0,0.0,0.0,1.0,3.12739374507e-130
58.0,1.0,0.0,1.0,6.51791305125e-54
59.0,0.0,1.0,4.73165218505e-96,1.0
60.0,0.0,0.0,1.0,8.01752903837e-117
61.0,0.0,1.0,1.76113097156e-103,1.0
62.0,0.0,0.0,1.0,1.5502386861e-117
63.0,1.0,1.0,4.47300168612e-127,1.0
64.0,0.0,0.0,1.0,2.98550958151e-124
65.0,1.0,1.0,6.42548358478e-100,1.0
66.0,0.0,0.0,1.0,4.43012523308e-52
67.0,0.0,0.0,1.0,5.68356096372e-113
68.0,0.0,1.0,0.000244899322647,0.999755100677
69.0,0.0,1.0,8.60211267244e-67,1.0
70.0,1.0,1.0,1.18708831129e-117,1.0
71.0,0.0,0.0,1.0,1.41901974795e-162
72.0,1.0,1.0,2.0082972772e-150,1.0
73.0,0.0,1.0,1.08447438544e-18,1.0
74.0,1.0,1.0,5.33016067092e-54,1.0
75.0,0.0,0.0,1.0,3.82295016611e-157
76.0,1.0,1.0,1.07775061992e-09,0.999999998922
77.0,0.0,0.0,1.0,1.87035385932e-62
78.0,0.0,0.0,1.0,1.73383625958e-136
79.0,0.0,0.0,1.0,8.09061312366e-159
80.0,0.0,1.0,2.26827732185e-11,0.999999999977
81.0,0.0,0.0,1.0,1.72488141698e-103
82.0,0.0,0.0,1.0,1.27672161213e-51
83.0,0.0,0.0,1.0,3.53223871991e-134
84.0,0.0,1.0,5.27897165807e-34,1.0
85.0,0.0,0.0,1.0,7.21010933298e-92
86.0,0.0,0.0,1.0,3.41432431372e-50
