inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.948497095356,0.0515029046439
2.0,1.0,1.0,0.0587130177862,0.941286982214
3.0,0.0,0.0,0.985585591915,0.0144144080847
4.0,0.0,1.0,0.227716560016,0.772283439984
5.0,0.0,0.0,0.981513435563,0.0184865644368
6.0,1.0,1.0,0.0073529040831,0.992647095917
7.0,1.0,1.0,0.145439592433,0.854560407567
8.0,0.0,0.0,0.948497095356,0.0515029046439
9.0,1.0,0.0,0.98213135006,0.0178686499398
10.0,0.0,0.0,0.996479235252,0.00352076474821
11.0,0.0,0.0,0.948497095356,0.0515029046439
12.0,1.0,1.0,0.179775366268,0.820224633732
13.0,0.0,0.0,0.985144700588,0.0148552994117
14.0,1.0,1.0,0.055743484607,0.944256515393
15.0,0.0,0.0,0.974539961994,0.0254600380056
16.0,0.0,1.0,0.0669048587712,0.933095141229
17.0,0.0,0.0,0.974539961994,0.0254600380056
18.0,0.0,1.0,0.0669048587712,0.933095141229
19.0,1.0,1.0,0.0323232620314,0.967676737969
20.0,0.0,0.0,0.98705201923,0.0129479807702
21.0,0.0,0.0,0.514567770262,0.485432229738
22.0,1.0,0.0,0.786650623659,0.213349376341
23.0,0.0,0.0,0.948497095356,0.0515029046439
24.0,0.0,0.0,0.786650623659,0.213349376341
25.0,0.0,0.0,0.987737045421,0.0122629545785
26.0,0.0,1.0,0.19637684501,0.80362315499
27.0,0.0,0.0,0.974539961994,0.0254600380056
28.0,1.0,1.0,0.0669048587712,0.933095141229
29.0,0.0,0.0,0.98705201923,0.0129479807702
30.0,0.0,1.0,0.475687247113,0.524312752887
31.0,0.0,0.0,0.948497095356,0.0515029046439
32.0,0.0,1.0,0.468067619684,0.531932380316
33.0,1.0,1.0,0.19637684501,0.80362315499
34.0,1.0,1.0,0.0170270566505,0.982972943349
35.0,0.0,0.0,0.974539961994,0.0254600380056
36.0,1.0,1.0,0.179775366268,0.820224633732
37.0,1.0,1.0,0.210241822371,0.789758177629
38.0,1.0,1.0,0.055743484607,0.944256515393
39.0,0.0,0.0,0.981129083834,0.0188709161662
40.0,1.0,1.0,0.055743484607,0.944256515393
41.0,0.0,0.0,0.985144700588,0.0148552994117
42.0,1.0,1.0,0.055743484607,0.944256515393
43.0,1.0,1.0,0.055743484607,0.944256515393
44.0,0.0,0.0,0.996479235252,0.00352076474821
45.0,0.0,0.0,0.985144700588,0.0148552994117
46.0,0.0,0.0,0.985585591915,0.0144144080847
47.0,0.0,0.0,0.98705201923,0.0129479807702
48.0,1.0,1.0,0.0170270566505,0.982972943349
