inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.999635316128,0.000364683872046
2.0,1.0,1.0,0.0574860734054,0.942513926595
3.0,0.0,0.0,0.999915576184,8.44238157087e-05
4.0,0.0,0.0,0.828270568336,0.171729431664
5.0,0.0,0.0,0.998963298056,0.00103670194439
6.0,1.0,1.0,0.0056313824992,0.994368617501
7.0,1.0,1.0,0.00857048801736,0.991429511983
8.0,0.0,0.0,0.994314449384,0.00568555061646
9.0,1.0,0.0,0.970770719547,0.0292292804528
10.0,0.0,0.0,0.998735272802,0.00126472719784
11.0,0.0,0.0,0.971210935424,0.0287890645762
12.0,1.0,1.0,0.000903867158109,0.999096132842
13.0,0.0,0.0,0.9268171618,0.0731828382001
14.0,1.0,1.0,0.00442952242177,0.995570477578
15.0,0.0,0.0,0.993612949049,0.00638705095146
16.0,0.0,1.0,0.0506411625934,0.949358837407
17.0,0.0,0.0,0.999779019122,0.000220980877606
18.0,0.0,1.0,0.357928297827,0.642071702173
19.0,1.0,1.0,0.0330870706159,0.966912929384
20.0,0.0,0.0,0.992033303291,0.00796669670875
21.0,0.0,1.0,0.299966114089,0.700033885911
22.0,1.0,0.0,0.852937096134,0.147062903866
23.0,0.0,0.0,0.999308031438,0.000691968562132
24.0,0.0,0.0,0.980829752143,0.019170247857
25.0,0.0,0.0,0.983584287676,0.0164157123241
26.0,0.0,0.0,0.991553753718,0.00844624628194
27.0,0.0,0.0,0.999260099205,0.000739900795092
28.0,1.0,1.0,0.202711033737,0.797288966263
29.0,0.0,0.0,0.999421661753,0.000578338247291
30.0,0.0,1.0,0.369345498366,0.630654501634
31.0,0.0,0.0,0.998303238486,0.00169676151391
32.0,0.0,0.0,0.533777057106,0.466222942894
33.0,1.0,1.0,0.00826365653759,0.991736343462
34.0,1.0,1.0,0.0219012712582,0.978098728742
35.0,0.0,0.0,0.980613629743,0.019386370257
36.0,1.0,1.0,0.00915640285483,0.990843597145
37.0,1.0,1.0,0.033722581018,0.966277418982
38.0,1.0,1.0,0.0180149786307,0.981985021369
39.0,0.0,0.0,0.984607729287,0.0153922707128
40.0,1.0,1.0,0.00639492311141,0.993605076889
41.0,0.0,0.0,0.989660062945,0.0103399370553
42.0,1.0,1.0,0.00446074024244,0.995539259758
43.0,1.0,1.0,0.0389846660342,0.961015333966
44.0,0.0,0.0,0.99842205516,0.00157794483978
45.0,0.0,0.0,0.997783930321,0.00221606967945
46.0,0.0,0.0,0.989381544038,0.0106184559617
47.0,0.0,0.0,0.999996792543,3.20745716882e-06
48.0,1.0,1.0,0.179619524731,0.820380475269
49.0,1.0,0.0,0.926571888813,0.0734281111871
50.0,0.0,0.0,0.993337958425,0.00666204157523
51.0,1.0,1.0,0.0676597450674,0.932340254933
52.0,0.0,0.0,0.99970826319,0.000291736809767
53.0,1.0,1.0,0.0340172241103,0.96598277589
54.0,0.0,0.0,0.994949877065,0.00505012293453
55.0,1.0,1.0,0.0068157840522,0.993184215948
56.0,0.0,0.0,0.995922874653,0.00407712534662
57.0,0.0,0.0,0.998918814304,0.00108118569639
58.0,1.0,1.0,0.0691652254676,0.930834774532
59.0,0.0,0.0,0.944195455535,0.055804544465
60.0,0.0,0.0,0.998230784671,0.00176921532907
61.0,0.0,0.0,0.858714478578,0.141285521422
62.0,0.0,0.0,0.999996966906,3.03309444389e-06
63.0,1.0,1.0,0.319653854765,0.680346145235
64.0,0.0,0.0,0.999832138249,0.00016786175084
65.0,1.0,0.0,0.635450619473,0.364549380527
66.0,0.0,0.0,0.749725402828,0.250274597172
67.0,0.0,0.0,0.948410367293,0.0515896327072
68.0,0.0,0.0,0.565592227675,0.434407772325
69.0,0.0,0.0,0.997622421366,0.00237757863386
70.0,1.0,1.0,0.0259383363196,0.97406166368
71.0,0.0,0.0,0.997897045589,0.00210295441066
72.0,1.0,1.0,0.00778813493244,0.992211865068
73.0,0.0,0.0,0.99968996697,0.000310033029766
74.0,1.0,1.0,0.00134322261957,0.99865677738
75.0,0.0,0.0,0.997471279315,0.00252872068492
76.0,1.0,1.0,0.0185313138263,0.981468686174
77.0,0.0,0.0,0.966518257102,0.033481742898
78.0,0.0,0.0,0.970375858113,0.029624141887
79.0,0.0,0.0,0.998764814657,0.00123518534341
80.0,0.0,1.0,0.398835789379,0.601164210621
81.0,0.0,0.0,0.999116807483,0.000883192517411
82.0,0.0,0.0,0.995365465927,0.00463453407281
83.0,0.0,0.0,0.999775497479,0.000224502521474
84.0,0.0,0.0,0.987907775926,0.0120922240742
85.0,0.0,0.0,0.809863192456,0.190136807544
86.0,0.0,0.0,0.99885239257,0.00114760742972
87.0,0.0,0.0,0.977701867133,0.0222981328667
88.0,0.0,0.0,0.99944684267,0.000553157330227
89.0,1.0,1.0,0.0002955329404,0.99970446706
90.0,0.0,1.0,0.13047382823,0.86952617177
91.0,0.0,0.0,0.761099396851,0.238900603149
92.0,0.0,0.0,0.994709894986,0.00529010501412
93.0,1.0,1.0,0.00348017878844,0.996519821212
94.0,0.0,0.0,0.99065364505,0.00934635495037
95.0,0.0,0.0,0.999822271531,0.000177728469437
96.0,1.0,0.0,0.667649299958,0.332350700042
97.0,1.0,1.0,0.0477940353128,0.952205964687
