inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,0.0
2.0,1.0,1.0,0.09,0.91
3.0,0.0,0.0,0.98,0.02
4.0,0.0,0.0,0.87,0.13
5.0,0.0,0.0,1.0,0.0
6.0,1.0,1.0,0.13,0.87
7.0,1.0,1.0,0.02,0.98
8.0,0.0,0.0,0.99,0.01
9.0,1.0,0.0,0.74,0.26
10.0,0.0,0.0,1.0,0.0
11.0,0.0,0.0,0.99,0.01
12.0,1.0,1.0,0.04,0.96
13.0,0.0,0.0,1.0,0.0
14.0,1.0,1.0,0.1,0.9
15.0,0.0,0.0,1.0,0.0
16.0,0.0,1.0,0.31,0.69
17.0,0.0,0.0,1.0,0.0
18.0,0.0,1.0,0.46,0.54
19.0,1.0,1.0,0.04,0.96
20.0,0.0,0.0,0.95,0.05
21.0,0.0,0.0,0.52,0.48
22.0,1.0,0.0,0.62,0.38
23.0,0.0,0.0,0.95,0.05
24.0,0.0,0.0,0.82,0.18
25.0,0.0,0.0,0.92,0.08
26.0,0.0,0.0,0.82,0.18
27.0,0.0,0.0,1.0,0.0
28.0,1.0,1.0,0.04,0.96
29.0,0.0,0.0,0.96,0.04
30.0,0.0,0.0,0.6,0.4
31.0,0.0,0.0,0.94,0.06
32.0,0.0,0.0,0.62,0.38
33.0,1.0,1.0,0.1,0.9
34.0,1.0,1.0,0.01,0.99
35.0,0.0,0.0,1.0,0.0
36.0,1.0,1.0,0.07,0.93
37.0,1.0,1.0,0.2,0.8
38.0,1.0,1.0,0.05,0.95
39.0,0.0,0.0,0.95,0.05
40.0,1.0,1.0,0.03,0.97
41.0,0.0,0.0,1.0,0.0
42.0,1.0,1.0,0.19,0.81
43.0,1.0,1.0,0.03,0.97
44.0,0.0,0.0,0.99,0.01
45.0,0.0,0.0,1.0,0.0
46.0,0.0,0.0,0.95,0.05
47.0,0.0,0.0,0.98,0.02
48.0,1.0,1.0,0.16,0.84
49.0,1.0,0.0,0.94,0.06
50.0,0.0,0.0,1.0,0.0
51.0,1.0,1.0,0.28,0.72
52.0,0.0,0.0,1.0,0.0
53.0,1.0,1.0,0.1,0.9
54.0,0.0,0.0,1.0,0.0
55.0,1.0,1.0,0.07,0.93
56.0,0.0,0.0,0.94,0.06
57.0,0.0,0.0,1.0,0.0
58.0,1.0,1.0,0.17,0.83
59.0,0.0,0.0,0.72,0.28
60.0,0.0,0.0,1.0,0.0
61.0,0.0,0.0,0.8,0.2
62.0,0.0,0.0,0.97,0.03
63.0,1.0,1.0,0.07,0.93
64.0,0.0,0.0,1.0,0.0
65.0,1.0,1.0,0.08,0.92
66.0,0.0,0.0,0.89,0.11
67.0,0.0,0.0,0.85,0.15
68.0,0.0,0.0,0.59,0.41
69.0,0.0,1.0,0.49,0.51
70.0,1.0,1.0,0.1,0.9
71.0,0.0,0.0,1.0,0.0
72.0,1.0,1.0,0.07,0.93
73.0,0.0,0.0,0.78,0.22
74.0,1.0,1.0,0.02,0.98
75.0,0.0,0.0,1.0,0.0
