inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,6.09618079804e-131
2.0,0.0,0.0,1.0,9.50224341828e-81
3.0,0.0,0.0,1.0,1.88505500104e-98
4.0,0.0,0.0,1.0,1.96686774209e-65
5.0,0.0,0.0,1.0,6.16253194268e-84
6.0,0.0,0.0,1.0,3.0066409436e-63
7.0,1.0,1.0,1.52107931187e-20,1.0
8.0,1.0,1.0,1.04288975029e-96,1.0
9.0,1.0,1.0,6.01183531181e-70,1.0
10.0,0.0,0.0,1.0,1.51911010038e-58
11.0,0.0,0.0,1.0,4.80118890569e-56
12.0,1.0,1.0,9.55812144808e-26,1.0
13.0,1.0,1.0,2.53992553208e-70,1.0
14.0,1.0,1.0,2.11005530921e-217,1.0
15.0,0.0,1.0,0.0503714260375,0.949628573963
16.0,1.0,0.0,1.0,9.9720158843e-62
17.0,0.0,1.0,5.83483449116e-168,1.0
18.0,0.0,0.0,1.0,1.74850586009e-116
19.0,1.0,1.0,1.17297766611e-103,1.0
20.0,0.0,0.0,1.0,2.23924883595e-123
21.0,1.0,1.0,2.21406460547e-137,1.0
22.0,0.0,0.0,1.0,4.42476737937e-80
23.0,1.0,0.0,1.0,1.33909673412e-34
24.0,0.0,0.0,1.0,5.28939822227e-142
25.0,0.0,0.0,1.0,2.77553172279e-127
26.0,0.0,1.0,2.15739355542e-31,1.0
27.0,0.0,0.0,1.0,3.9230765313e-39
28.0,0.0,0.0,1.0,2.28926244243e-62
29.0,0.0,1.0,3.41038205339e-90,1.0
30.0,0.0,0.0,1.0,1.44678034988e-22
31.0,1.0,1.0,5.0225673824e-145,1.0
32.0,0.0,0.0,1.0,5.90894106898e-125
33.0,0.0,0.0,1.0,5.56294596711e-142
34.0,0.0,0.0,1.0,9.29768827699e-149
35.0,0.0,0.0,1.0,5.29892594242e-122
36.0,0.0,0.0,1.0,1.44710982546e-129
37.0,0.0,1.0,1.11898673485e-140,1.0
38.0,0.0,0.0,1.0,1.1032660429e-140
39.0,1.0,1.0,2.10239544596e-101,1.0
40.0,0.0,0.0,1.0,6.75635097007e-105
41.0,0.0,0.0,1.0,1.27143875849e-144
42.0,1.0,1.0,8.25454224273e-211,1.0
43.0,0.0,0.0,1.0,2.71356784796e-35
44.0,0.0,0.0,1.0,1.38416505638e-31
45.0,0.0,0.0,1.0,3.51206809483e-41
46.0,1.0,0.0,1.0,7.14920751488e-15
47.0,0.0,0.0,1.0,5.22148918129e-122
48.0,0.0,0.0,1.0,9.61784322978e-74
49.0,1.0,0.0,1.0,2.67898809742e-114
50.0,0.0,0.0,1.0,8.25674368871e-126
51.0,0.0,0.0,1.0,1.50120364696e-107
52.0,0.0,0.0,1.0,3.33627689768e-63
53.0,0.0,0.0,1.0,7.21610696575e-50
54.0,1.0,1.0,8.10711348282e-08,0.999999918929
55.0,0.0,1.0,5.46380655992e-140,1.0
56.0,0.0,0.0,1.0,5.389997208e-113
57.0,1.0,1.0,6.77827423429e-85,1.0
58.0,0.0,0.0,1.0,6.19985766503e-19
59.0,1.0,1.0,1.33211016091e-81,1.0
60.0,0.0,0.0,1.0,1.13953834828e-58
61.0,0.0,0.0,1.0,6.23165868879e-121
62.0,0.0,0.0,1.0,1.45158039544e-153
63.0,1.0,1.0,1.62408765279e-16,1.0
64.0,0.0,0.0,1.0,1.03656933511e-86
65.0,0.0,0.0,1.0,7.56261105327e-149
66.0,0.0,1.0,2.01524950251e-07,0.999999798475
67.0,0.0,0.0,1.0,1.953530202e-120
68.0,0.0,1.0,7.9301371611e-59,1.0
69.0,1.0,1.0,6.94973943337e-91,1.0
70.0,1.0,0.0,0.999999993989,6.01100284136e-09
71.0,0.0,1.0,3.70973830343e-18,1.0
72.0,0.0,0.0,1.0,8.84705777726e-151
73.0,1.0,1.0,1.61488709936e-113,1.0
74.0,1.0,0.0,1.0,2.44031873532e-54
75.0,1.0,1.0,2.97785118806e-11,0.99999999997
76.0,0.0,1.0,4.18596238354e-81,1.0
77.0,0.0,1.0,8.74426482437e-08,0.999999912557
78.0,1.0,1.0,4.25595275731e-130,1.0
79.0,0.0,0.0,1.0,1.0111195744e-50
80.0,1.0,1.0,6.01497179644e-23,1.0
81.0,0.0,0.0,1.0,8.64925566214e-86
82.0,1.0,1.0,7.25661131534e-118,1.0
83.0,0.0,0.0,1.0,1.69211662416e-83
84.0,0.0,1.0,1.88745263791e-60,1.0
85.0,0.0,1.0,3.83687769862e-132,1.0
86.0,0.0,0.0,1.0,6.14651463045e-111
87.0,1.0,1.0,1.48016672578e-20,1.0
88.0,0.0,0.0,1.0,7.31635517035e-145
89.0,0.0,0.0,1.0,1.10047125044e-49
90.0,0.0,0.0,1.0,3.30768163172e-86
91.0,0.0,0.0,1.0,5.54878716991e-38
92.0,0.0,0.0,1.0,2.22082260427e-128
93.0,1.0,0.0,0.965475116832,0.0345248831678
94.0,0.0,0.0,1.0,4.13116336522e-51
95.0,0.0,1.0,6.49494182867e-111,1.0
96.0,0.0,0.0,1.0,2.40191518764e-49
97.0,1.0,1.0,6.51451344007e-149,1.0
98.0,0.0,0.0,1.0,6.60936732461e-124
