inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.95,0.05
2.0,0.0,0.0,0.99,0.01
3.0,0.0,0.0,0.99,0.01
4.0,0.0,0.0,0.98,0.02
5.0,0.0,0.0,1.0,0.0
6.0,0.0,0.0,0.87,0.13
7.0,1.0,1.0,0.19,0.81
8.0,1.0,1.0,0.14,0.86
9.0,1.0,1.0,0.22,0.78
10.0,0.0,0.0,1.0,0.0
11.0,0.0,0.0,1.0,0.0
12.0,1.0,1.0,0.17,0.83
13.0,1.0,1.0,0.05,0.95
14.0,1.0,1.0,0.04,0.96
15.0,0.0,1.0,0.41,0.59
16.0,1.0,1.0,0.14,0.86
17.0,0.0,0.0,0.51,0.49
18.0,0.0,0.0,0.99,0.01
19.0,1.0,1.0,0.1,0.9
20.0,0.0,0.0,0.99,0.01
21.0,1.0,1.0,0.08,0.92
22.0,0.0,0.0,1.0,0.0
23.0,1.0,1.0,0.49,0.51
24.0,0.0,0.0,1.0,0.0
25.0,0.0,0.0,0.91,0.09
26.0,0.0,0.0,0.76,0.24
27.0,0.0,0.0,0.95,0.05
28.0,0.0,0.0,0.91,0.09
29.0,0.0,0.0,0.76,0.24
30.0,0.0,0.0,0.95,0.05
31.0,1.0,1.0,0.04,0.96
32.0,0.0,0.0,0.98,0.02
33.0,0.0,0.0,1.0,0.0
34.0,0.0,0.0,1.0,0.0
35.0,0.0,0.0,1.0,0.0
36.0,0.0,0.0,0.99,0.01
37.0,0.0,1.0,0.38,0.62
38.0,0.0,0.0,0.99,0.01
39.0,1.0,1.0,0.05,0.95
40.0,0.0,0.0,1.0,0.0
41.0,0.0,0.0,0.99,0.01
42.0,1.0,1.0,0.01,0.99
43.0,0.0,0.0,0.9,0.1
44.0,0.0,0.0,0.99,0.01
45.0,0.0,0.0,0.98,0.02
46.0,1.0,1.0,0.3,0.7
47.0,0.0,0.0,0.99,0.01
48.0,0.0,0.0,0.87,0.13
49.0,1.0,1.0,0.44,0.56
50.0,0.0,0.0,0.98,0.02
51.0,0.0,0.0,0.96,0.04
52.0,0.0,0.0,1.0,0.0
53.0,0.0,0.0,0.95,0.05
54.0,1.0,1.0,0.21,0.79
55.0,0.0,0.0,0.87,0.13
56.0,0.0,0.0,1.0,0.0
57.0,1.0,1.0,0.09,0.91
58.0,0.0,0.0,0.91,0.09
59.0,1.0,1.0,0.08,0.92
60.0,0.0,0.0,1.0,0.0
61.0,0.0,0.0,0.97,0.03
62.0,0.0,0.0,1.0,0.0
63.0,1.0,1.0,0.24,0.76
64.0,0.0,0.0,0.94,0.06
65.0,0.0,0.0,0.97,0.03
66.0,0.0,0.0,0.94,0.06
67.0,0.0,0.0,1.0,0.0
68.0,0.0,0.0,0.71,0.29
69.0,1.0,1.0,0.16,0.84
70.0,1.0,0.0,0.87,0.13
71.0,0.0,0.0,0.95,0.05
72.0,0.0,0.0,0.97,0.03
73.0,1.0,1.0,0.11,0.89
74.0,1.0,0.0,0.92,0.08
75.0,1.0,1.0,0.0,1.0
76.0,0.0,0.0,0.54,0.46
77.0,0.0,0.0,0.84,0.16
78.0,1.0,1.0,0.14,0.86
79.0,0.0,0.0,0.99,0.01
80.0,1.0,1.0,0.08,0.92
81.0,0.0,0.0,0.98,0.02
82.0,1.0,1.0,0.17,0.83
83.0,0.0,0.0,0.99,0.01
84.0,0.0,0.0,0.85,0.15
85.0,0.0,1.0,0.43,0.57
86.0,0.0,0.0,0.93,0.07
87.0,1.0,1.0,0.09,0.91
88.0,0.0,0.0,1.0,0.0
89.0,0.0,0.0,0.97,0.03
90.0,0.0,0.0,1.0,0.0
91.0,0.0,0.0,0.92,0.08
92.0,0.0,0.0,1.0,0.0
93.0,1.0,1.0,0.25,0.75
94.0,0.0,0.0,0.98,0.02
95.0,0.0,1.0,0.16,0.84
96.0,0.0,0.0,0.94,0.06
97.0,1.0,1.0,0.0,1.0
98.0,0.0,0.0,1.0,0.0
99.0,0.0,0.0,0.52,0.48
100.0,1.0,1.0,0.08,0.92
101.0,0.0,0.0,0.64,0.36
102.0,1.0,1.0,0.0,1.0
103.0,1.0,1.0,0.01,0.99
104.0,0.0,0.0,0.6,0.4
105.0,0.0,0.0,1.0,0.0
106.0,0.0,0.0,0.97,0.03
107.0,0.0,0.0,1.0,0.0
108.0,1.0,1.0,0.26,0.74
109.0,1.0,1.0,0.1,0.9
110.0,0.0,0.0,1.0,0.0
