inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,3.96523857147e-85
2.0,1.0,1.0,1.93824914032e-240,1.0
3.0,0.0,0.0,1.0,1.28858336467e-101
4.0,0.0,1.0,5.33711225694e-34,1.0
5.0,0.0,1.0,2.11400007864e-37,1.0
6.0,0.0,0.0,1.0,1.36959336164e-80
7.0,0.0,1.0,2.53857807376e-48,1.0
8.0,1.0,1.0,7.25421117152e-89,1.0
9.0,1.0,1.0,4.22962235395e-146,1.0
10.0,1.0,1.0,6.70164541606e-97,1.0
11.0,1.0,0.0,1.0,7.17711562086e-62
12.0,0.0,0.0,1.0,3.10183995058e-83
13.0,0.0,0.0,1.0,5.14672754311e-131
14.0,0.0,0.0,1.0,1.25077669996e-87
15.0,1.0,1.0,1.77873442391e-69,1.0
16.0,0.0,0.0,1.0,6.09844385613e-76
17.0,1.0,0.0,1.0,6.28315482807e-97
18.0,0.0,0.0,1.0,1.26746353037e-76
19.0,0.0,0.0,1.0,4.25502653853e-103
20.0,0.0,0.0,1.0,9.16954540962e-94
21.0,0.0,0.0,1.0,1.04236930747e-105
22.0,1.0,1.0,1.66226145696e-83,1.0
23.0,1.0,1.0,8.77214802621e-269,1.0
24.0,1.0,1.0,6.95741988041e-96,1.0
25.0,0.0,0.0,1.0,1.12932205995e-96
26.0,0.0,0.0,1.0,5.75349947795e-88
27.0,0.0,1.0,1.70199579413e-34,1.0
28.0,1.0,1.0,1.02032285992e-97,1.0
29.0,1.0,1.0,4.02462148432e-58,1.0
30.0,0.0,1.0,1.95121378236e-38,1.0
31.0,0.0,0.0,1.0,7.27185495971e-85
32.0,1.0,1.0,1.02669124433e-140,1.0
33.0,1.0,1.0,5.69347560127e-109,1.0
34.0,0.0,0.0,1.0,1.61520482646e-97
35.0,1.0,1.0,2.20053103351e-230,1.0
36.0,1.0,1.0,6.23539792672e-119,1.0
37.0,1.0,0.0,1.0,3.90233443176e-28
38.0,0.0,1.0,7.52857671505e-37,1.0
39.0,0.0,0.0,1.0,6.62823188313e-86
40.0,0.0,0.0,1.0,9.51123145987e-91
41.0,1.0,1.0,1.87603011882e-230,1.0
42.0,1.0,1.0,6.36562470605e-37,1.0
43.0,0.0,0.0,1.0,4.23354024953e-96
44.0,0.0,0.0,1.0,4.23766447897e-85
45.0,0.0,1.0,1.89716593199e-22,1.0
46.0,1.0,1.0,1.36022738602e-142,1.0
47.0,0.0,0.0,1.0,4.37612347166e-89
48.0,1.0,1.0,7.15784408868e-13,0.999999999999
49.0,0.0,0.0,1.0,1.47721512981e-109
50.0,0.0,0.0,1.0,1.09158139379e-103
51.0,0.0,1.0,4.81003025973e-19,1.0
52.0,1.0,1.0,2.16713390451e-99,1.0
53.0,0.0,0.0,1.0,2.1335540874e-52
54.0,0.0,0.0,1.0,6.32039149086e-90
55.0,0.0,1.0,2.2259570935e-10,0.999999999777
56.0,1.0,0.0,1.0,8.86710320958e-62
57.0,0.0,0.0,1.0,1.01649593957e-105
58.0,1.0,1.0,2.96909284755e-141,1.0
59.0,1.0,0.0,1.0,4.82820658848e-20
60.0,1.0,0.0,1.0,5.06730025681e-35
61.0,0.0,0.0,1.0,2.97060118157e-71
62.0,0.0,0.0,1.0,2.69025638535e-106
63.0,0.0,0.0,1.0,1.21496753347e-69
64.0,0.0,0.0,1.0,1.07052639328e-136
65.0,1.0,1.0,6.24634443893e-89,1.0
66.0,1.0,1.0,1.28424632691e-57,1.0
67.0,0.0,0.0,1.0,2.48571610723e-94
68.0,1.0,1.0,5.40798398273e-86,1.0
69.0,0.0,0.0,0.999664245333,0.000335754667231
70.0,0.0,1.0,2.443229121e-11,0.999999999976
71.0,0.0,1.0,4.03423979067e-68,1.0
72.0,0.0,0.0,0.813022691311,0.186977308689
73.0,0.0,0.0,1.0,1.45525566434e-91
74.0,1.0,1.0,8.47245366431e-37,1.0
75.0,1.0,1.0,4.85516525779e-39,1.0
76.0,0.0,0.0,1.0,1.20783575055e-96
77.0,0.0,1.0,3.74013982611e-12,0.999999999996
78.0,0.0,0.0,1.0,2.82555844493e-69
79.0,1.0,0.0,1.0,6.43777888853e-65
80.0,0.0,0.0,1.0,1.64168552939e-101
81.0,1.0,1.0,3.90455351676e-69,1.0
82.0,1.0,0.0,1.0,1.19684741147e-52
83.0,0.0,0.0,1.0,1.350974704e-86
84.0,0.0,0.0,1.0,4.20281600616e-70
85.0,0.0,0.0,1.0,7.46027778325e-93
86.0,1.0,1.0,9.77223992994e-42,1.0
87.0,0.0,1.0,7.04999570335e-13,0.999999999999
88.0,0.0,0.0,1.0,2.63828632764e-102
89.0,1.0,1.0,4.67989320007e-97,1.0
90.0,0.0,1.0,1.03026341981e-40,1.0
91.0,0.0,0.0,1.0,1.02397760116e-80
92.0,1.0,1.0,2.20901401437e-86,1.0
93.0,1.0,1.0,7.13532191152e-196,1.0
94.0,1.0,1.0,1.4498519789e-109,1.0
95.0,1.0,0.0,1.0,1.50636656682e-64
96.0,0.0,0.0,1.0,7.34225631097e-97
97.0,1.0,1.0,8.81737709036e-102,1.0
98.0,1.0,1.0,6.07002468614e-61,1.0
99.0,0.0,0.0,1.0,9.21232183391e-61
100.0,0.0,0.0,1.0,1.31089729582e-33
101.0,1.0,0.0,1.0,1.70000189112e-64
102.0,0.0,0.0,1.0,1.60806024731e-103
103.0,1.0,1.0,1.35528650911e-73,1.0
104.0,0.0,0.0,1.0,4.92113796068e-98
105.0,0.0,0.0,1.0,1.95780865704e-85
106.0,0.0,0.0,1.0,1.8301593604e-99
107.0,1.0,1.0,3.04413172014e-235,1.0
108.0,1.0,1.0,6.75442749246e-75,1.0
109.0,1.0,1.0,7.67762419494e-52,1.0
110.0,1.0,1.0,1.79515781346e-243,1.0
111.0,0.0,0.0,1.0,6.74100216079e-89
112.0,0.0,0.0,1.0,5.13556618105e-85
113.0,1.0,1.0,1.60616376717e-07,0.999999839384
114.0,1.0,1.0,8.48821992362e-130,1.0
115.0,1.0,1.0,1.97135325458e-111,1.0
116.0,0.0,0.0,1.0,1.03253754524e-102
117.0,0.0,0.0,1.0,6.2390162424e-55
118.0,1.0,1.0,1.39480350084e-57,1.0
119.0,1.0,0.0,1.0,4.0932695197e-21
120.0,1.0,0.0,1.0,4.29437072889e-19
121.0,0.0,0.0,1.0,1.00200973628e-19
122.0,1.0,1.0,2.59756666353e-238,1.0
123.0,0.0,1.0,5.93193567242e-18,1.0
124.0,0.0,0.0,1.0,3.70961591658e-77
125.0,0.0,0.0,1.0,3.71322472197e-85
126.0,1.0,1.0,1.98143374803e-143,1.0
127.0,0.0,0.0,1.0,9.12190650097e-72
128.0,0.0,0.0,1.0,1.87904037347e-96
129.0,0.0,0.0,1.0,5.26988537874e-74
130.0,0.0,0.0,1.0,1.01715898491e-105
131.0,1.0,1.0,2.19030698187e-109,1.0
132.0,1.0,1.0,1.70130158836e-79,1.0
133.0,1.0,1.0,3.77704794298e-70,1.0
134.0,0.0,0.0,1.0,4.42050629628e-83
135.0,1.0,1.0,1.11131802361e-132,1.0
136.0,1.0,1.0,3.90473324123e-232,1.0
137.0,1.0,1.0,4.13050861619e-197,1.0
138.0,0.0,0.0,1.0,4.9632663416e-71
139.0,1.0,0.0,1.0,3.98611670882e-91
140.0,0.0,0.0,1.0,6.61496717693e-97
141.0,0.0,0.0,1.0,2.61525801868e-76
142.0,0.0,0.0,0.999996813045,3.18695485965e-06
143.0,0.0,1.0,1.93234616112e-83,1.0
144.0,0.0,1.0,8.1127454821e-77,1.0
145.0,0.0,0.0,1.0,2.78547478526e-60
146.0,1.0,1.0,1.4337211572e-20,1.0
147.0,0.0,0.0,1.0,3.26380209191e-99
148.0,0.0,0.0,1.0,5.62423169888e-98
149.0,0.0,0.0,1.0,3.45368858542e-92
150.0,0.0,1.0,3.08267650776e-64,1.0
151.0,1.0,1.0,5.65154438113e-161,1.0
152.0,0.0,0.0,1.0,7.071219597e-133
153.0,1.0,1.0,1.55627798862e-65,1.0
154.0,0.0,0.0,1.0,2.8206660913e-80
155.0,1.0,1.0,3.80484812935e-13,1.0
156.0,1.0,1.0,2.37100675159e-83,1.0
157.0,1.0,1.0,2.02659329565e-239,1.0
158.0,1.0,0.0,1.0,1.39136051303e-88
159.0,0.0,0.0,1.0,1.12645969816e-86
160.0,0.0,0.0,1.0,9.34849081958e-109
161.0,0.0,0.0,1.0,4.41897338765e-76
162.0,0.0,0.0,1.0,1.29036532567e-87
163.0,1.0,1.0,5.26552853604e-47,1.0
164.0,1.0,1.0,1.40275347711e-203,1.0
165.0,1.0,0.0,1.0,8.48463038243e-30
166.0,0.0,0.0,1.0,1.68923111367e-59
167.0,0.0,0.0,1.0,2.68322884935e-82
168.0,0.0,0.0,0.999999972761,2.72392232784e-08
169.0,0.0,1.0,3.24751954615e-83,1.0
170.0,1.0,1.0,3.88068097029e-66,1.0
171.0,1.0,1.0,7.25358475e-248,1.0
172.0,0.0,0.0,1.0,1.97331309805e-89
173.0,1.0,0.0,1.0,9.18790402669e-93
174.0,0.0,0.0,1.0,2.46161910082e-78
175.0,1.0,1.0,4.1871457493e-208,1.0
176.0,0.0,0.0,1.0,1.37063780731e-87
177.0,1.0,1.0,5.63194189401e-94,1.0
178.0,1.0,1.0,6.837605645e-203,1.0
179.0,1.0,1.0,2.04381465517e-113,1.0
180.0,1.0,1.0,1.04507988736e-203,1.0
181.0,1.0,1.0,1.07445192666e-103,1.0
182.0,0.0,0.0,1.0,1.03002605916e-78
183.0,1.0,1.0,1.3604691536e-54,1.0
184.0,1.0,1.0,1.79342196625e-54,1.0
185.0,0.0,0.0,1.0,3.24722726872e-68
186.0,0.0,0.0,1.0,2.51007835387e-99
187.0,0.0,0.0,1.0,4.97918665294e-91
188.0,1.0,1.0,1.46564873207e-197,1.0
189.0,0.0,0.0,1.0,3.60807067713e-104
190.0,1.0,1.0,1.38978211017e-101,1.0
191.0,1.0,1.0,6.21755353334e-92,1.0
192.0,0.0,0.0,1.0,1.39724219405e-36
193.0,0.0,0.0,1.0,8.52459499262e-92
194.0,0.0,0.0,1.0,2.15146543539e-91
195.0,1.0,1.0,3.89076272513e-69,1.0
196.0,0.0,0.0,1.0,4.23405938194e-96
197.0,0.0,0.0,1.0,2.67132443748e-67
198.0,1.0,1.0,6.66579470075e-91,1.0
199.0,0.0,0.0,1.0,5.1212374591e-93
200.0,1.0,0.0,0.999999981787,1.82131830086e-08
201.0,0.0,0.0,1.0,6.74100216079e-89
202.0,0.0,0.0,1.0,7.43400021388e-60
203.0,1.0,1.0,2.541400681e-75,1.0
204.0,1.0,1.0,2.98903039662e-91,1.0
205.0,1.0,0.0,1.0,6.17232985398e-73
206.0,1.0,1.0,3.05839576841e-226,1.0
207.0,1.0,1.0,4.23307783554e-86,1.0
208.0,1.0,1.0,7.1328592969e-20,1.0
209.0,0.0,0.0,1.0,1.10554266233e-96
210.0,0.0,0.0,1.0,1.96845553863e-58
211.0,0.0,0.0,1.0,3.14461243245e-107
212.0,1.0,1.0,2.42790946559e-94,1.0
213.0,0.0,0.0,1.0,2.98073118991e-101
214.0,0.0,0.0,1.0,1.08800542544e-81
215.0,0.0,0.0,1.0,6.03440067157e-80
216.0,0.0,1.0,3.36741246944e-61,1.0
217.0,1.0,1.0,1.98709581628e-55,1.0
218.0,0.0,0.0,1.0,1.89445319486e-99
219.0,0.0,0.0,1.0,2.3849480936e-93
220.0,0.0,0.0,1.0,3.16986074113e-75
221.0,1.0,1.0,1.11706051395e-107,1.0
222.0,0.0,0.0,1.0,1.9771447649e-104
223.0,1.0,1.0,2.51258095391e-83,1.0
224.0,1.0,1.0,2.13953981454e-118,1.0
225.0,0.0,0.0,1.0,4.33102481076e-95
226.0,1.0,1.0,8.85378606696e-92,1.0
227.0,1.0,1.0,2.40241077824e-66,1.0
228.0,1.0,1.0,3.69636266143e-32,1.0
229.0,0.0,0.0,1.0,5.47505673022e-80
230.0,1.0,1.0,9.93252797809e-63,1.0
231.0,1.0,0.0,1.0,7.23327503644e-78
232.0,1.0,1.0,2.02977900508e-246,1.0
233.0,0.0,1.0,1.45552932354e-63,1.0
234.0,0.0,0.0,1.0,6.31578206649e-100
235.0,1.0,0.0,1.0,1.8723541361e-87
