inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.762044652621,0.237955347379
2.0,1.0,1.0,0.10464774376,0.89535225624
3.0,0.0,0.0,0.950383543555,0.0496164564453
4.0,0.0,0.0,0.8582818083,0.1417181917
5.0,0.0,1.0,0.343209946925,0.656790053075
6.0,0.0,1.0,0.308890420318,0.691109579682
7.0,0.0,0.0,0.72096429949,0.27903570051
8.0,1.0,1.0,0.052438413566,0.947561586434
9.0,1.0,1.0,0.236351887442,0.763648112558
10.0,1.0,1.0,0.0957380922376,0.904261907762
11.0,1.0,0.0,0.546337442908,0.453662557092
12.0,0.0,0.0,0.911087625119,0.0889123748807
13.0,0.0,0.0,0.903655616189,0.0963443838111
14.0,0.0,0.0,0.915361251015,0.0846387489848
15.0,1.0,1.0,0.166581155539,0.833418844461
16.0,0.0,0.0,0.824223921378,0.175776078622
17.0,1.0,0.0,0.745563333746,0.254436666254
18.0,0.0,0.0,0.920049455156,0.0799505448441
19.0,0.0,0.0,0.949434934277,0.0505650657233
20.0,0.0,0.0,0.873257972887,0.126742027113
21.0,0.0,0.0,0.850812029,0.149187971
22.0,1.0,1.0,0.148972061213,0.851027938787
23.0,1.0,1.0,0.0933432715431,0.906656728457
24.0,1.0,1.0,0.220220674778,0.779779325222
25.0,0.0,0.0,0.913772519053,0.0862274809473
26.0,0.0,0.0,0.943103309406,0.0568966905937
27.0,0.0,0.0,0.616837721794,0.383162278206
28.0,1.0,1.0,0.167689218754,0.832310781246
29.0,1.0,1.0,0.131368128381,0.868631871619
30.0,0.0,0.0,0.53808964704,0.46191035296
31.0,0.0,0.0,0.89589078829,0.10410921171
32.0,1.0,1.0,0.0060753383501,0.99392466165
33.0,1.0,1.0,0.0854782215018,0.914521778498
34.0,0.0,0.0,0.682220116724,0.317779883276
35.0,1.0,1.0,0.0303488292868,0.969651170713
36.0,1.0,1.0,0.187638917222,0.812361082778
37.0,1.0,1.0,0.32574331002,0.67425668998
38.0,0.0,0.0,0.765550714112,0.234449285888
39.0,0.0,0.0,0.715809933271,0.284190066729
40.0,0.0,0.0,0.881336900152,0.118663099848
41.0,1.0,1.0,0.218832849066,0.781167150934
42.0,1.0,1.0,0.251352121389,0.748647878611
43.0,0.0,0.0,0.942088972297,0.0579110277031
44.0,0.0,0.0,0.880855158993,0.119144841007
45.0,0.0,1.0,0.441345787424,0.558654212576
46.0,1.0,1.0,0.226270028856,0.773729971144
47.0,0.0,0.0,0.926021888752,0.0739781112485
48.0,1.0,1.0,0.301516664781,0.698483335219
49.0,0.0,0.0,0.954602040546,0.0453979594545
50.0,0.0,0.0,0.935233820078,0.0647661799217
51.0,0.0,0.0,0.817863972725,0.182136027275
52.0,1.0,1.0,0.0655229153545,0.934477084645
53.0,0.0,0.0,0.70572084772,0.29427915228
54.0,0.0,0.0,0.9336397679,0.0663602320996
55.0,0.0,0.0,0.602208381433,0.397791618567
56.0,1.0,1.0,0.461956546622,0.538043453378
57.0,0.0,0.0,0.930222914645,0.0697770853548
58.0,1.0,1.0,0.0163717358601,0.98362826414
59.0,1.0,1.0,0.383423338988,0.616576661012
60.0,1.0,0.0,0.901537054347,0.0984629456531
61.0,0.0,0.0,0.852679312148,0.147320687852
62.0,0.0,0.0,0.968644042439,0.0313559575614
63.0,0.0,0.0,0.888906637564,0.111093362436
64.0,0.0,0.0,0.815970866815,0.184029133185
65.0,1.0,1.0,0.260814201429,0.739185798571
66.0,1.0,1.0,0.123991393706,0.876008606294
67.0,0.0,0.0,0.972027015968,0.0279729840318
68.0,1.0,1.0,0.100072076119,0.899927923881
69.0,0.0,0.0,0.808681491347,0.191318508653
70.0,0.0,0.0,0.684032173941,0.315967826059
71.0,0.0,0.0,0.651443447798,0.348556552202
72.0,0.0,0.0,0.804946149579,0.195053850421
73.0,0.0,0.0,0.808271302805,0.191728697195
74.0,1.0,1.0,0.190188607147,0.809811392853
75.0,1.0,1.0,0.172983852489,0.827016147511
76.0,0.0,0.0,0.918437157309,0.0815628426911
77.0,0.0,0.0,0.744756100732,0.255243899268
78.0,0.0,0.0,0.894505849541,0.105494150459
79.0,1.0,1.0,0.49447396829,0.50552603171
80.0,0.0,0.0,0.921183481295,0.0788165187046
81.0,1.0,1.0,0.21688774925,0.78311225075
82.0,1.0,1.0,0.328590760958,0.671409239042
83.0,0.0,0.0,0.908124924649,0.0918750753512
84.0,0.0,0.0,0.907425395122,0.0925746048783
85.0,0.0,0.0,0.942187961336,0.0578120386642
86.0,1.0,1.0,0.281520737082,0.718479262918
87.0,0.0,0.0,0.753096331657,0.246903668343
88.0,0.0,0.0,0.599890952025,0.400109047975
89.0,1.0,1.0,0.230388468537,0.769611531463
90.0,0.0,1.0,0.499799209943,0.500200790057
91.0,0.0,1.0,0.461959778832,0.538040221168
92.0,1.0,1.0,0.0589166891992,0.941083310801
93.0,1.0,1.0,0.259309499086,0.740690500914
94.0,1.0,1.0,0.0506926860841,0.949307313916
95.0,1.0,0.0,0.608037775803,0.391962224197
96.0,0.0,0.0,0.937101391498,0.0628986085018
97.0,1.0,1.0,0.18426302882,0.81573697118
