inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.96,0.04
2.0,1.0,1.0,0.0,1.0
3.0,0.0,0.0,0.95,0.05
4.0,0.0,0.0,0.87,0.13
5.0,0.0,0.0,0.63,0.37
6.0,0.0,0.0,0.73,0.27
7.0,0.0,0.0,0.91,0.09
8.0,1.0,1.0,0.15,0.85
9.0,1.0,1.0,0.12,0.88
10.0,1.0,1.0,0.11,0.89
11.0,1.0,0.0,0.61,0.39
12.0,0.0,0.0,0.92,0.08
13.0,0.0,0.0,0.99,0.01
14.0,0.0,0.0,0.96,0.04
15.0,1.0,1.0,0.11,0.89
16.0,0.0,0.0,0.92,0.08
17.0,1.0,0.0,0.93,0.07
18.0,0.0,0.0,0.98,0.02
19.0,0.0,0.0,0.88,0.12
20.0,0.0,0.0,0.88,0.12
21.0,0.0,0.0,0.99,0.01
22.0,1.0,1.0,0.06,0.94
23.0,1.0,1.0,0.0,1.0
24.0,1.0,1.0,0.06,0.94
25.0,0.0,0.0,0.95,0.05
26.0,0.0,0.0,0.97,0.03
27.0,0.0,0.0,0.59,0.41
28.0,1.0,1.0,0.01,0.99
29.0,1.0,1.0,0.01,0.99
30.0,0.0,0.0,0.52,0.48
31.0,0.0,0.0,0.97,0.03
32.0,1.0,1.0,0.02,0.98
33.0,1.0,1.0,0.01,0.99
34.0,0.0,0.0,0.95,0.05
35.0,1.0,1.0,0.0,1.0
36.0,1.0,1.0,0.06,0.94
37.0,1.0,1.0,0.24,0.76
38.0,0.0,0.0,0.81,0.19
39.0,0.0,0.0,0.81,0.19
40.0,0.0,0.0,1.0,0.0
41.0,1.0,1.0,0.0,1.0
42.0,1.0,1.0,0.14,0.86
43.0,0.0,0.0,0.83,0.17
44.0,0.0,0.0,0.81,0.19
45.0,0.0,0.0,0.84,0.16
46.0,1.0,1.0,0.13,0.87
47.0,0.0,0.0,0.97,0.03
48.0,1.0,1.0,0.27,0.73
49.0,0.0,0.0,1.0,0.0
50.0,0.0,0.0,0.98,0.02
51.0,0.0,0.0,0.72,0.28
52.0,1.0,1.0,0.05,0.95
53.0,0.0,0.0,1.0,0.0
54.0,0.0,0.0,0.96,0.04
55.0,0.0,0.0,0.63,0.37
56.0,1.0,1.0,0.38,0.62
57.0,0.0,0.0,0.99,0.01
58.0,1.0,1.0,0.0,1.0
59.0,1.0,0.0,0.5,0.5
60.0,1.0,0.0,0.57,0.43
61.0,0.0,0.0,0.95,0.05
62.0,0.0,0.0,1.0,0.0
63.0,0.0,0.0,1.0,0.0
64.0,0.0,0.0,0.98,0.02
65.0,1.0,1.0,0.03,0.97
66.0,1.0,1.0,0.09,0.91
67.0,0.0,0.0,1.0,0.0
68.0,1.0,1.0,0.04,0.96
69.0,0.0,0.0,0.86,0.14
70.0,0.0,0.0,0.63,0.37
71.0,0.0,1.0,0.47,0.53
72.0,0.0,0.0,0.73,0.27
73.0,0.0,0.0,0.99,0.01
74.0,1.0,1.0,0.15,0.85
75.0,1.0,1.0,0.06,0.94
76.0,0.0,0.0,0.95,0.05
77.0,0.0,0.0,0.86,0.14
78.0,0.0,0.0,0.96,0.04
79.0,1.0,0.0,0.51,0.49
80.0,0.0,0.0,1.0,0.0
81.0,1.0,1.0,0.05,0.95
82.0,1.0,1.0,0.29,0.71
83.0,0.0,0.0,0.96,0.04
84.0,0.0,0.0,0.98,0.02
85.0,0.0,0.0,0.81,0.19
86.0,1.0,0.0,0.56,0.44
87.0,0.0,0.0,0.87,0.13
88.0,0.0,0.0,0.97,0.03
89.0,1.0,1.0,0.27,0.73
90.0,0.0,0.0,0.61,0.39
91.0,0.0,0.0,0.77,0.23
92.0,1.0,1.0,0.01,0.99
93.0,1.0,1.0,0.04,0.96
94.0,1.0,1.0,0.0,1.0
95.0,1.0,1.0,0.29,0.71
96.0,0.0,0.0,0.99,0.01
97.0,1.0,1.0,0.2,0.8
98.0,1.0,1.0,0.09,0.91
99.0,0.0,1.0,0.46,0.54
100.0,0.0,0.0,0.62,0.38
101.0,1.0,1.0,0.45,0.55
102.0,0.0,0.0,0.92,0.08
103.0,1.0,1.0,0.01,0.99
104.0,0.0,0.0,0.97,0.03
105.0,0.0,0.0,0.97,0.03
106.0,0.0,0.0,1.0,0.0
107.0,1.0,1.0,0.0,1.0
108.0,1.0,1.0,0.19,0.81
109.0,1.0,1.0,0.12,0.88
110.0,1.0,1.0,0.01,0.99
111.0,0.0,0.0,1.0,0.0
112.0,0.0,0.0,0.97,0.03
113.0,1.0,1.0,0.44,0.56
114.0,1.0,1.0,0.0,1.0
115.0,1.0,1.0,0.02,0.98
116.0,0.0,0.0,0.97,0.03
117.0,0.0,0.0,0.9,0.1
118.0,1.0,1.0,0.26,0.74
119.0,1.0,1.0,0.23,0.77
120.0,1.0,1.0,0.27,0.73
121.0,0.0,1.0,0.39,0.61
122.0,1.0,1.0,0.0,1.0
123.0,0.0,0.0,0.78,0.22
124.0,0.0,0.0,0.63,0.37
125.0,0.0,0.0,0.97,0.03
126.0,1.0,1.0,0.0,1.0
127.0,0.0,0.0,0.87,0.13
128.0,0.0,0.0,0.95,0.05
129.0,0.0,0.0,0.94,0.06
130.0,0.0,0.0,0.99,0.01
131.0,1.0,1.0,0.05,0.95
132.0,1.0,1.0,0.0,1.0
133.0,1.0,1.0,0.32,0.68
134.0,0.0,0.0,0.9,0.1
135.0,1.0,1.0,0.03,0.97
136.0,1.0,1.0,0.02,0.98
137.0,1.0,1.0,0.1,0.9
138.0,0.0,0.0,0.93,0.07
139.0,1.0,0.0,0.82,0.18
140.0,0.0,0.0,0.96,0.04
141.0,0.0,0.0,0.95,0.05
142.0,0.0,0.0,0.56,0.44
143.0,0.0,1.0,0.08,0.92
144.0,0.0,1.0,0.06,0.94
145.0,0.0,0.0,0.58,0.42
146.0,1.0,0.0,0.64,0.36
147.0,0.0,0.0,0.93,0.07
148.0,0.0,0.0,0.99,0.01
149.0,0.0,0.0,0.99,0.01
150.0,0.0,0.0,0.69,0.31
151.0,1.0,1.0,0.01,0.99
152.0,0.0,0.0,0.99,0.01
153.0,1.0,1.0,0.06,0.94
154.0,0.0,0.0,0.73,0.27
155.0,1.0,1.0,0.13,0.87
156.0,1.0,1.0,0.24,0.76
157.0,1.0,1.0,0.02,0.98
158.0,1.0,0.0,0.59,0.41
159.0,0.0,0.0,0.99,0.01
160.0,0.0,0.0,1.0,0.0
161.0,0.0,0.0,0.98,0.02
162.0,0.0,0.0,0.92,0.08
163.0,1.0,1.0,0.02,0.98
164.0,1.0,1.0,0.01,0.99
165.0,1.0,1.0,0.47,0.53
166.0,0.0,0.0,0.97,0.03
167.0,0.0,0.0,0.91,0.09
168.0,0.0,0.0,0.84,0.16
169.0,0.0,1.0,0.22,0.78
170.0,1.0,1.0,0.05,0.95
171.0,1.0,1.0,0.0,1.0
172.0,0.0,0.0,0.97,0.03
173.0,1.0,0.0,0.87,0.13
174.0,0.0,0.0,0.95,0.05
175.0,1.0,1.0,0.11,0.89
176.0,0.0,0.0,0.95,0.05
177.0,1.0,1.0,0.11,0.89
178.0,1.0,1.0,0.03,0.97
179.0,1.0,1.0,0.04,0.96
180.0,1.0,1.0,0.02,0.98
181.0,1.0,1.0,0.06,0.94
182.0,0.0,0.0,0.85,0.15
