inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,7.58167622525e-149
2.0,0.0,0.0,1.0,5.06784564106e-50
3.0,0.0,0.0,1.0,2.89485306098e-56
4.0,1.0,1.0,2.21209016292e-135,1.0
5.0,0.0,0.0,1.0,1.08230510155e-72
6.0,1.0,1.0,1.60443836913e-128,1.0
7.0,1.0,1.0,6.78867528931e-237,1.0
8.0,1.0,1.0,3.74789440643e-126,1.0
9.0,1.0,1.0,6.39246349907e-155,1.0
10.0,0.0,0.0,1.0,1.62079708925e-84
11.0,0.0,0.0,1.0,9.27514889423e-162
12.0,0.0,0.0,1.0,1.74432154364e-25
13.0,1.0,1.0,3.57864445367e-258,1.0
14.0,1.0,1.0,2.98795494627e-178,1.0
15.0,1.0,1.0,7.71739742957e-206,1.0
16.0,0.0,0.0,1.0,8.49643102306e-163
17.0,1.0,1.0,1.52131454654e-244,1.0
18.0,1.0,1.0,2.97735509572e-33,1.0
19.0,0.0,0.0,1.0,1.98018452305e-54
20.0,0.0,0.0,1.0,2.75300381896e-63
21.0,0.0,0.0,1.0,1.95209543147e-155
22.0,0.0,0.0,1.0,3.50402823289e-77
23.0,0.0,0.0,1.0,4.70211375249e-74
24.0,0.0,0.0,1.0,4.28851622472e-148
25.0,0.0,0.0,1.0,2.74978020897e-163
26.0,0.0,0.0,1.0,6.87491476721e-86
27.0,0.0,0.0,1.0,5.03479676605e-161
28.0,1.0,1.0,1.34797710362e-70,1.0
29.0,0.0,0.0,1.0,2.45483802332e-69
30.0,1.0,1.0,1.68460812277e-167,1.0
31.0,0.0,0.0,1.0,1.22823657808e-38
32.0,1.0,1.0,3.68975436364e-64,1.0
33.0,0.0,0.0,1.0,5.1732880246e-64
34.0,1.0,0.0,0.869401088024,0.130598911976
35.0,1.0,1.0,6.47056145206e-08,0.999999935294
36.0,0.0,0.0,1.0,1.40297080646e-71
37.0,1.0,1.0,3.64840156233e-159,1.0
38.0,0.0,0.0,1.0,4.61908652131e-72
39.0,0.0,1.0,3.0582521883e-128,1.0
40.0,0.0,0.0,1.0,2.63846249862e-75
41.0,0.0,0.0,1.0,1.18395663276e-59
42.0,0.0,0.0,1.0,3.73334794838e-68
43.0,1.0,1.0,1.41577629963e-137,1.0
44.0,0.0,0.0,1.0,3.26568722815e-58
45.0,0.0,0.0,1.0,3.31488252685e-64
46.0,1.0,1.0,1.72594184198e-104,1.0
47.0,0.0,0.0,1.0,4.96104488634e-152
48.0,0.0,0.0,1.0,3.44831326503e-60
49.0,0.0,0.0,1.0,1.19614976421e-77
50.0,1.0,1.0,1.60549913933e-146,1.0
51.0,1.0,1.0,1.03717495275e-223,1.0
52.0,0.0,0.0,1.0,1.62529953302e-66
53.0,0.0,0.0,1.0,3.2394043353e-68
54.0,0.0,0.0,1.0,1.58573173161e-152
55.0,0.0,0.0,1.0,8.86911363347e-60
56.0,0.0,0.0,1.0,2.92144772646e-139
57.0,1.0,1.0,1.79678363292e-215,1.0
58.0,1.0,1.0,3.86407098723e-163,1.0
59.0,1.0,1.0,1.83268706564e-137,1.0
60.0,1.0,1.0,2.3401073219e-63,1.0
61.0,0.0,0.0,1.0,4.27217053834e-70
62.0,0.0,0.0,1.0,5.3086708255e-151
63.0,1.0,1.0,9.27622713771e-45,1.0
64.0,1.0,1.0,1.22126433931e-40,1.0
65.0,0.0,0.0,1.0,2.06542573977e-76
66.0,0.0,0.0,1.0,3.08170944641e-156
67.0,1.0,1.0,1.93393456691e-83,1.0
68.0,0.0,0.0,1.0,1.58455886133e-62
69.0,0.0,0.0,1.0,4.20521373788e-75
70.0,0.0,1.0,5.67933816276e-39,1.0
71.0,0.0,0.0,1.0,7.54605293237e-150
72.0,1.0,1.0,1.90108965288e-22,1.0
73.0,1.0,0.0,0.974125147811,0.0258748521885
74.0,0.0,0.0,1.0,2.62598557438e-145
75.0,1.0,0.0,1.0,6.7298455515e-62
76.0,1.0,1.0,9.85496160734e-190,1.0
77.0,1.0,1.0,3.12930064577e-185,1.0
78.0,0.0,0.0,1.0,5.6528335448e-77
79.0,1.0,1.0,7.38259611238e-94,1.0
80.0,0.0,0.0,1.0,1.56355034183e-77
81.0,0.0,1.0,0.00575456539469,0.994245434605
82.0,0.0,0.0,1.0,1.70857502177e-76
83.0,0.0,0.0,1.0,1.66179904896e-75
84.0,0.0,1.0,3.36013688258e-39,1.0
85.0,1.0,0.0,0.999999836438,1.6356246889e-07
86.0,0.0,0.0,1.0,4.20618476604e-134
87.0,1.0,1.0,7.28997342832e-101,1.0
88.0,1.0,1.0,2.57252968976e-93,1.0
89.0,0.0,0.0,1.0,2.65071685983e-75
90.0,0.0,0.0,1.0,6.09786046895e-76
91.0,1.0,1.0,4.01516364645e-185,1.0
92.0,0.0,0.0,1.0,1.08795813946e-73
93.0,1.0,1.0,2.12129098604e-119,1.0
94.0,0.0,1.0,2.22675134451e-53,1.0
95.0,1.0,1.0,7.05651043457e-242,1.0
96.0,1.0,1.0,1.15219374666e-194,1.0
97.0,1.0,1.0,7.34510437604e-114,1.0
98.0,1.0,1.0,1.13349581153e-64,1.0
99.0,0.0,0.0,1.0,2.22942017625e-70
100.0,0.0,0.0,1.0,4.10152757442e-81
101.0,0.0,0.0,1.0,3.8283664211e-156
102.0,1.0,0.0,1.0,3.33806742593e-79
103.0,0.0,1.0,4.89131863543e-71,1.0
104.0,0.0,0.0,1.0,9.20996672522e-66
105.0,1.0,1.0,4.48462746859e-13,1.0
106.0,0.0,0.0,1.0,1.09137238208e-131
107.0,1.0,1.0,1.1370423912e-195,1.0
108.0,0.0,0.0,1.0,1.77665392296e-69
109.0,1.0,0.0,0.999999999992,7.91605181041e-12
110.0,1.0,0.0,1.0,1.31612340429e-19
111.0,0.0,0.0,1.0,3.03323253678e-64
112.0,0.0,0.0,1.0,6.9242940622e-82
113.0,1.0,1.0,3.80299094609e-177,1.0
114.0,1.0,1.0,3.30152148614e-171,1.0
115.0,0.0,0.0,1.0,2.30991034074e-78
116.0,0.0,0.0,1.0,7.14350527829e-46
117.0,1.0,1.0,2.01807550271e-111,1.0
