inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.938914198021,0.0610858019787
2.0,0.0,0.0,0.996962050159,0.0030379498406
3.0,0.0,0.0,0.917608163905,0.0823918360953
4.0,1.0,1.0,0.151372408314,0.848627591686
5.0,0.0,0.0,0.713362393659,0.286637606341
6.0,1.0,1.0,0.0253086126116,0.974691387388
7.0,1.0,1.0,0.105660518317,0.894339481683
8.0,1.0,0.0,0.831197284589,0.168802715411
9.0,1.0,1.0,5.54021516579e-05,0.999944597848
10.0,0.0,0.0,0.995232992894,0.00476700710623
11.0,0.0,0.0,0.995263003518,0.00473699648174
12.0,0.0,0.0,0.994971249612,0.00502875038835
13.0,1.0,1.0,0.00139079154426,0.998609208456
14.0,1.0,1.0,0.0785690953267,0.921430904673
15.0,1.0,1.0,0.00212757725947,0.997872422741
16.0,0.0,0.0,0.998875381233,0.00112461876727
17.0,1.0,1.0,0.00310963312618,0.996890366874
18.0,1.0,1.0,0.329684880197,0.670315119803
19.0,0.0,0.0,0.718373917401,0.281626082599
20.0,0.0,0.0,0.656044870054,0.343955129946
21.0,0.0,0.0,0.980654935963,0.0193450640375
22.0,0.0,0.0,0.996627945336,0.0033720546645
23.0,0.0,0.0,0.53639079234,0.46360920766
24.0,0.0,0.0,0.981031874086,0.0189681259135
25.0,0.0,0.0,0.998883654185,0.00111634581495
26.0,0.0,0.0,0.984891606907,0.0151083930931
27.0,0.0,0.0,0.998073002385,0.00192699761507
28.0,1.0,1.0,2.5909627672e-05,0.999974090372
29.0,0.0,0.0,0.992284321478,0.00771567852232
30.0,1.0,1.0,0.000169719193506,0.999830280806
31.0,0.0,0.0,0.995258935489,0.00474106451114
32.0,1.0,1.0,0.0885783161345,0.911421683866
33.0,0.0,0.0,0.999494713687,0.000505286312775
34.0,1.0,0.0,0.96044209784,0.0395579021605
35.0,1.0,0.0,0.886669133414,0.113330866586
36.0,0.0,0.0,0.819010915229,0.180989084771
37.0,1.0,1.0,0.00204465284715,0.997955347153
38.0,0.0,0.0,0.802312208898,0.197687791102
39.0,0.0,1.0,0.0253655448324,0.974634455168
40.0,0.0,0.0,0.99989167563,0.000108324369534
41.0,0.0,0.0,0.975575466705,0.0244245332955
42.0,0.0,0.0,0.927200225003,0.0727997749971
43.0,1.0,1.0,0.00426855574193,0.995731444258
44.0,0.0,0.0,0.962450272109,0.0375497278914
45.0,0.0,0.0,0.875086017929,0.124913982071
46.0,1.0,1.0,0.0221583837385,0.977841616261
47.0,0.0,0.0,0.992195492238,0.00780450776223
48.0,0.0,0.0,0.978302708828,0.0216972911719
49.0,0.0,0.0,0.999581933086,0.000418066913675
50.0,1.0,1.0,0.03551215453,0.96448784547
51.0,1.0,1.0,0.118206492183,0.881793507817
52.0,0.0,0.0,0.980716065327,0.0192839346734
53.0,0.0,0.0,0.841113573098,0.158886426902
54.0,0.0,0.0,0.934509727977,0.0654902720234
55.0,0.0,0.0,0.985049880372,0.0149501196278
56.0,0.0,0.0,0.97388537691,0.0261146230904
57.0,1.0,1.0,0.0963795698924,0.903620430108
58.0,1.0,1.0,0.00229009489307,0.997709905107
59.0,1.0,1.0,0.248508652587,0.751491347413
60.0,1.0,1.0,0.0258174008316,0.974182599168
61.0,0.0,0.0,0.956066562604,0.0439334373963
62.0,0.0,0.0,0.924433765839,0.0755662341609
63.0,1.0,0.0,0.662687621703,0.337312378297
64.0,1.0,1.0,0.0332568116932,0.966743188307
65.0,0.0,0.0,0.940200761212,0.0597992387879
66.0,0.0,0.0,0.902066584002,0.0979334159979
67.0,1.0,1.0,0.120771868531,0.879228131469
68.0,0.0,0.0,0.954848685414,0.0451513145862
69.0,0.0,0.0,0.942094954136,0.0579050458637
70.0,0.0,0.0,0.918694401707,0.0813055982934
71.0,0.0,0.0,0.998583246742,0.00141675325777
72.0,1.0,1.0,0.0305626837191,0.969437316281
73.0,1.0,0.0,0.681984804619,0.318015195381
74.0,0.0,0.0,0.93815328062,0.0618467193805
75.0,1.0,0.0,0.892580917682,0.107419082318
76.0,1.0,1.0,0.00222185973814,0.997778140262
77.0,1.0,1.0,0.00232283602407,0.997677163976
78.0,0.0,0.0,0.988680137889,0.0113198621106
79.0,1.0,1.0,0.00723135253495,0.992768647465
80.0,0.0,0.0,0.998266031262,0.00173396873761
81.0,0.0,0.0,0.996143585935,0.00385641406483
82.0,0.0,0.0,0.991409845247,0.00859015475264
83.0,0.0,0.0,0.995987134064,0.00401286593555
84.0,0.0,1.0,0.433718921369,0.566281078631
85.0,1.0,1.0,0.0367159022499,0.96328409775
86.0,0.0,0.0,0.988132330351,0.0118676696492
87.0,1.0,1.0,0.00229774004384,0.997702259956
88.0,1.0,0.0,0.598578567298,0.401421432702
89.0,0.0,1.0,0.340125257032,0.659874742968
90.0,0.0,0.0,0.945710096441,0.0542899035585
91.0,1.0,1.0,0.0427077824111,0.957292217589
92.0,0.0,0.0,0.987509016326,0.0124909836736
93.0,1.0,1.0,0.0180075183269,0.981992481673
94.0,0.0,0.0,0.956274959948,0.0437250400518
95.0,1.0,1.0,0.0023854569535,0.997614543046
96.0,1.0,1.0,0.00161270723702,0.998387292763
97.0,1.0,1.0,7.8185094607e-05,0.999921814905
98.0,1.0,1.0,1.20694384942e-06,0.999998793056
99.0,0.0,0.0,0.897739537957,0.102260462043
100.0,0.0,0.0,0.991159715902,0.00884028409847
101.0,0.0,0.0,0.990126996994,0.00987300300615
102.0,1.0,0.0,0.989166091956,0.0108339080443
103.0,0.0,0.0,0.681512914694,0.318487085306
104.0,0.0,0.0,0.955963523848,0.044036476152
105.0,1.0,1.0,0.123761865355,0.876238134645
106.0,0.0,0.0,0.97913240531,0.0208675946899
107.0,1.0,0.0,0.903298762972,0.0967012370285
108.0,0.0,0.0,0.888645754028,0.111354245972
109.0,1.0,1.0,0.180089388585,0.819910611415
110.0,1.0,1.0,0.170846749154,0.829153250846
111.0,0.0,0.0,0.978442720789,0.0215572792113
112.0,0.0,0.0,0.981138545679,0.0188614543212
113.0,1.0,1.0,0.0027041249267,0.997295875073
114.0,1.0,1.0,0.0790014960475,0.920998503952
115.0,0.0,0.0,0.997253636914,0.00274636308636
116.0,0.0,0.0,0.979765481128,0.020234518872
117.0,1.0,1.0,0.00550694886226,0.994493051138
118.0,0.0,0.0,0.749251550732,0.250748449268
119.0,1.0,1.0,0.00519770623062,0.994802293769
