inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,7.2153978908e-51
2.0,1.0,1.0,6.46292577773e-51,1.0
3.0,1.0,0.0,1.0,1.60557100407e-23
4.0,1.0,0.0,1.0,1.35803455869e-65
5.0,0.0,0.0,1.0,1.14917638429e-115
6.0,0.0,0.0,0.999999996932,3.06797550364e-09
7.0,1.0,1.0,3.20657368047e-100,1.0
8.0,0.0,1.0,1.69694581381e-07,0.999999830305
9.0,0.0,1.0,3.19246580784e-101,1.0
10.0,0.0,0.0,1.0,2.93093996182e-68
11.0,0.0,0.0,1.0,1.31038672785e-31
12.0,0.0,0.0,1.0,1.26652855792e-76
13.0,1.0,1.0,4.65152833775e-70,1.0
14.0,0.0,0.0,1.0,2.71703982421e-115
15.0,0.0,0.0,1.0,8.62226446007e-69
16.0,1.0,0.0,1.0,1.25263899045e-35
17.0,0.0,0.0,0.999999873441,1.2655902988e-07
18.0,1.0,1.0,9.36163409561e-138,1.0
19.0,1.0,1.0,1.9040676895e-67,1.0
20.0,1.0,1.0,2.57119442672e-11,0.999999999974
21.0,1.0,0.0,1.0,4.05851323112e-62
22.0,1.0,0.0,1.0,1.96172884449e-62
23.0,0.0,0.0,0.999999999995,4.75533739308e-12
24.0,1.0,1.0,1.09465007845e-17,1.0
25.0,1.0,1.0,8.14816570393e-147,1.0
26.0,1.0,0.0,1.0,1.7671824862e-24
27.0,1.0,1.0,7.53470473258e-12,0.999999999992
28.0,0.0,0.0,1.0,2.0087378696e-44
29.0,1.0,1.0,1.31281958568e-85,1.0
30.0,1.0,1.0,9.63955335819e-173,1.0
31.0,1.0,1.0,2.66555060967e-43,1.0
32.0,1.0,1.0,3.89217469682e-159,1.0
33.0,0.0,0.0,1.0,1.86043834762e-38
34.0,0.0,0.0,1.0,1.48922692939e-38
35.0,1.0,0.0,1.0,6.48808313157e-39
36.0,0.0,0.0,1.0,8.85334165633e-92
37.0,0.0,0.0,1.0,4.42013632783e-66
38.0,1.0,1.0,4.05924828053e-24,1.0
39.0,1.0,0.0,1.0,4.41162752279e-27
40.0,1.0,1.0,6.12186620453e-159,1.0
41.0,0.0,0.0,1.0,2.06002225328e-117
42.0,1.0,1.0,9.49860000897e-52,1.0
43.0,0.0,1.0,4.6266693961e-05,0.999953733306
44.0,0.0,0.0,1.0,1.39696054433e-112
45.0,0.0,0.0,1.0,6.22179295493e-39
46.0,1.0,1.0,1.83397236209e-272,1.0
47.0,1.0,1.0,2.85998853223e-98,1.0
48.0,1.0,1.0,2.12044537902e-12,0.999999999998
49.0,0.0,0.0,1.0,3.4360402502e-62
50.0,1.0,1.0,7.42741236409e-147,1.0
51.0,0.0,0.0,1.0,3.86618111518e-19
52.0,0.0,1.0,6.25106452127e-62,1.0
53.0,1.0,0.0,1.0,3.18103272694e-29
54.0,0.0,0.0,1.0,1.31824992134e-33
55.0,0.0,0.0,1.0,1.65283760872e-111
56.0,0.0,0.0,1.0,3.5561104474e-76
57.0,0.0,0.0,1.0,3.28090627272e-67
58.0,1.0,0.0,1.0,6.09210514278e-52
59.0,0.0,0.0,1.0,5.14216954593e-67
60.0,1.0,1.0,5.64160943433e-161,1.0
61.0,0.0,0.0,1.0,9.82603460622e-68
62.0,0.0,0.0,1.0,2.08791400146e-61
63.0,1.0,0.0,1.0,5.52932241537e-41
64.0,1.0,0.0,1.0,5.89488895781e-25
65.0,0.0,0.0,1.0,5.57853773677e-22
66.0,1.0,1.0,3.32267082736e-166,1.0
67.0,1.0,0.0,1.0,1.26437366469e-26
68.0,1.0,1.0,3.60771991678e-55,1.0
69.0,1.0,1.0,2.37979132684e-115,1.0
70.0,1.0,1.0,7.16893694147e-13,0.999999999999
71.0,1.0,1.0,1.7942607888e-30,1.0
72.0,0.0,0.0,1.0,1.06342355421e-64
73.0,1.0,1.0,3.13277462632e-162,1.0
74.0,0.0,1.0,0.000176683368533,0.999823316631
75.0,0.0,1.0,1.41480771524e-15,1.0
76.0,0.0,0.0,1.0,5.97798390069e-112
77.0,0.0,0.0,1.0,4.96853523874e-59
78.0,0.0,0.0,0.998361031517,0.00163896848302
79.0,0.0,0.0,1.0,1.32229888526e-52
80.0,0.0,0.0,1.0,1.45076667798e-54
81.0,0.0,0.0,1.0,7.90545702158e-69
82.0,0.0,0.0,1.0,6.21555456426e-61
83.0,0.0,0.0,1.0,1.21801914687e-73
84.0,0.0,0.0,1.0,3.83148003991e-111
85.0,1.0,0.0,1.0,3.82552838456e-32
86.0,1.0,1.0,1.62647870777e-140,1.0
87.0,1.0,1.0,4.44499419006e-115,1.0
88.0,0.0,0.0,1.0,2.13103584786e-57
89.0,1.0,1.0,9.97206637177e-07,0.999999002793
90.0,1.0,1.0,1.78907219372e-179,1.0
91.0,0.0,0.0,1.0,1.35922061818e-115
92.0,1.0,1.0,1.59462807677e-112,1.0
93.0,1.0,1.0,1.18615820769e-11,0.999999999988
94.0,1.0,1.0,7.23484237209e-156,1.0
95.0,1.0,1.0,3.3715765096e-36,1.0
96.0,0.0,0.0,0.99999999994,5.98089048083e-11
97.0,1.0,0.0,1.0,2.45368304364e-15
98.0,1.0,1.0,4.77621626419e-08,0.999999952238
99.0,0.0,0.0,1.0,7.65224637122e-76
100.0,1.0,1.0,0.000792799516714,0.999207200483
101.0,0.0,0.0,1.0,2.00979036825e-123
102.0,1.0,1.0,5.41799535278e-28,1.0
103.0,0.0,0.0,1.0,4.9137628717e-123
104.0,0.0,0.0,1.0,2.4679032629e-64
105.0,0.0,1.0,7.44700802877e-22,1.0
106.0,0.0,0.0,1.0,3.22243484654e-78
107.0,1.0,1.0,1.54767071803e-103,1.0
108.0,0.0,0.0,1.0,1.66752128275e-75
109.0,1.0,1.0,2.16833103757e-164,1.0
110.0,0.0,0.0,0.999999850106,1.49893969369e-07
111.0,0.0,0.0,1.0,8.66212141439e-42
112.0,1.0,0.0,1.0,1.42489671036e-67
113.0,0.0,0.0,1.0,7.21879519319e-113
114.0,0.0,0.0,1.0,1.89776152715e-76
115.0,0.0,0.0,1.0,9.55412748219e-65
116.0,0.0,0.0,1.0,8.53512523744e-107
117.0,0.0,0.0,1.0,1.95214483665e-40
118.0,1.0,1.0,8.802450105e-80,1.0
119.0,1.0,1.0,3.19919971476e-61,1.0
120.0,1.0,1.0,2.18379361942e-169,1.0
121.0,0.0,0.0,1.0,7.09027123387e-75
122.0,0.0,0.0,1.0,1.53126308037e-114
123.0,0.0,0.0,1.0,2.09616233978e-33
124.0,0.0,0.0,1.0,5.93030105834e-67
125.0,0.0,0.0,1.0,1.21184727813e-75
126.0,0.0,0.0,1.0,5.62042164845e-58
127.0,0.0,0.0,1.0,4.46463101429e-73
128.0,1.0,1.0,2.67866904574e-179,1.0
129.0,0.0,0.0,1.0,5.71813176243e-74
130.0,0.0,0.0,1.0,3.6288977396e-57
131.0,0.0,1.0,1.36761498297e-131,1.0
132.0,1.0,1.0,5.17941116819e-145,1.0
133.0,1.0,1.0,6.37693642933e-05,0.999936230636
134.0,1.0,1.0,3.86072469105e-142,1.0
135.0,0.0,0.0,1.0,1.43866408068e-68
136.0,1.0,1.0,1.94137726885e-24,1.0
137.0,1.0,0.0,1.0,4.0692971981e-62
138.0,1.0,1.0,1.64164610851e-10,0.999999999836
139.0,0.0,0.0,0.999999999874,1.26251908185e-10
140.0,0.0,0.0,1.0,8.25030806423e-107
141.0,1.0,1.0,3.74726561673e-143,1.0
142.0,0.0,0.0,1.0,1.15447116007e-57
143.0,1.0,0.0,0.98694804165,0.0130519583504
144.0,0.0,0.0,1.0,4.6717792301e-60
145.0,1.0,1.0,3.98915872484e-36,1.0
146.0,1.0,1.0,9.34658524568e-78,1.0
147.0,1.0,0.0,1.0,2.18669485159e-42
148.0,1.0,1.0,1.82015550536e-62,1.0
149.0,1.0,0.0,1.0,3.25228293595e-29
150.0,1.0,0.0,1.0,6.48139843569e-27
151.0,0.0,0.0,1.0,9.77525907809e-37
152.0,0.0,0.0,1.0,6.13369223814e-103
153.0,1.0,0.0,0.999445816838,0.00055418316202
154.0,0.0,0.0,1.0,1.02532475957e-122
155.0,1.0,1.0,4.42860082979e-133,1.0
156.0,0.0,0.0,1.0,2.81644296845e-65
157.0,1.0,1.0,2.88873916084e-90,1.0
158.0,0.0,0.0,1.0,8.87453636169e-116
159.0,1.0,0.0,1.0,2.08683715282e-32
160.0,1.0,1.0,0.000511718868394,0.999488281132
161.0,1.0,1.0,8.13549874918e-63,1.0
162.0,1.0,1.0,3.13564791256e-126,1.0
163.0,1.0,0.0,1.0,6.40539390174e-21
164.0,0.0,0.0,1.0,3.03420683396e-105
165.0,0.0,0.0,1.0,1.92005070285e-30
166.0,1.0,0.0,0.99999999992,8.0122508007e-11
167.0,1.0,1.0,8.23927098209e-155,1.0
168.0,1.0,0.0,1.0,4.84143377907e-23
169.0,1.0,1.0,2.21298423675e-190,1.0
170.0,0.0,0.0,0.997212039719,0.00278796028055
171.0,1.0,1.0,1.19917058749e-129,1.0
172.0,0.0,1.0,5.48149287236e-26,1.0
173.0,1.0,0.0,1.0,2.81220208288e-75
174.0,0.0,0.0,1.0,7.62424829469e-67
175.0,0.0,0.0,1.0,1.97675817536e-74
176.0,1.0,0.0,0.999977201478,2.27985222942e-05
177.0,0.0,0.0,1.0,1.04289437881e-66
178.0,0.0,0.0,1.0,3.19376443292e-109
179.0,0.0,0.0,1.0,1.3309130826e-123
180.0,0.0,0.0,1.0,5.21373973979e-61
181.0,0.0,0.0,1.0,6.02615779383e-66
182.0,0.0,0.0,1.0,1.9850312664e-72
183.0,1.0,0.0,1.0,1.20921620027e-66
184.0,0.0,0.0,1.0,3.4469434566e-74
185.0,0.0,0.0,0.999999939708,6.02918621398e-08
186.0,1.0,1.0,2.23786304724e-53,1.0
187.0,0.0,0.0,0.97756563919,0.02243436081
188.0,1.0,0.0,1.0,1.19372858203e-74
189.0,1.0,1.0,7.89232582938e-168,1.0
190.0,0.0,0.0,1.0,1.79243436334e-77
191.0,0.0,0.0,1.0,8.54477670473e-77
192.0,0.0,0.0,1.0,1.29146689844e-33
193.0,0.0,0.0,1.0,4.31604445098e-107
194.0,1.0,1.0,7.43249694007e-168,1.0
195.0,0.0,1.0,7.11358483809e-12,0.999999999993
196.0,0.0,0.0,1.0,5.40241399673e-111
197.0,1.0,1.0,4.8085033204e-29,1.0
198.0,0.0,0.0,1.0,1.17674166369e-113
199.0,0.0,1.0,5.99628786456e-93,1.0
200.0,0.0,0.0,1.0,4.05161011316e-63
201.0,1.0,1.0,1.29601957055e-26,1.0
202.0,1.0,0.0,0.99997595159,2.40484095821e-05
203.0,1.0,1.0,3.68886527946e-16,1.0
204.0,0.0,0.0,0.999999999998,1.77682202202e-12
205.0,0.0,0.0,1.0,1.04295279885e-112
206.0,1.0,0.0,0.999999991797,8.20336210198e-09
207.0,0.0,0.0,1.0,1.09085207295e-73
208.0,0.0,0.0,1.0,8.02649088673e-44
209.0,1.0,0.0,1.0,6.88716761942e-29
210.0,1.0,1.0,3.36063699286e-246,1.0
211.0,1.0,0.0,0.999999145499,8.54501428353e-07
212.0,1.0,1.0,3.82904823871e-106,1.0
213.0,1.0,1.0,3.09342649119e-171,1.0
214.0,0.0,1.0,4.75251684754e-17,1.0
215.0,1.0,1.0,1.56092761578e-38,1.0
216.0,1.0,1.0,0.000103481031355,0.999896518969
217.0,0.0,1.0,3.85254636804e-16,1.0
218.0,0.0,0.0,1.0,3.4987062343e-75
219.0,1.0,1.0,1.31270301263e-210,1.0
220.0,1.0,1.0,1.05671783067e-35,1.0
221.0,0.0,0.0,1.0,1.21585937993e-19
222.0,0.0,0.0,1.0,4.25591102535e-64
223.0,0.0,0.0,1.0,2.59420493568e-72
224.0,0.0,0.0,1.0,9.61918694138e-48
225.0,0.0,0.0,1.0,3.7513709615e-110
226.0,0.0,0.0,1.0,4.4913448631e-29
227.0,1.0,1.0,6.26672029109e-27,1.0
228.0,0.0,0.0,1.0,7.97704580479e-56
229.0,0.0,0.0,1.0,2.7632526971e-71
230.0,0.0,0.0,1.0,8.2672708022e-57
231.0,1.0,0.0,1.0,1.82459884402e-27
