inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,1.0,0.196931445751,0.803068554249
2.0,1.0,0.0,0.999672012266,0.000327987734279
3.0,1.0,1.0,0.0579980854243,0.942001914576
4.0,1.0,0.0,0.869820886586,0.130179113414
5.0,0.0,0.0,0.999592965387,0.000407034613058
6.0,0.0,1.0,0.470308911258,0.529691088742
7.0,1.0,1.0,0.00370193716425,0.996298062836
8.0,0.0,0.0,0.989263963171,0.010736036829
9.0,0.0,1.0,0.0641646186578,0.935835381342
10.0,0.0,0.0,0.998759926803,0.00124007319713
11.0,0.0,0.0,0.590856250555,0.409143749445
12.0,0.0,0.0,0.999102709204,0.000897290796426
13.0,1.0,1.0,0.00246689636688,0.997533103633
14.0,0.0,0.0,0.999762954572,0.000237045427871
15.0,0.0,0.0,0.998578747936,0.00142125206376
16.0,1.0,1.0,0.0143097550113,0.985690244989
17.0,0.0,0.0,0.999630523243,0.000369476756547
18.0,1.0,1.0,0.00285886581729,0.997141134183
19.0,1.0,1.0,0.0165914391067,0.983408560893
20.0,1.0,1.0,0.00511366096531,0.994886339035
21.0,1.0,1.0,0.0813472112707,0.918652788729
22.0,1.0,1.0,0.00804045457726,0.991959545423
23.0,0.0,0.0,0.99958847406,0.000411525940191
24.0,1.0,1.0,0.0141335247507,0.985866475249
25.0,1.0,1.0,0.00118248042805,0.998817519572
26.0,1.0,0.0,0.753391160845,0.246608839155
27.0,1.0,1.0,0.287761999498,0.712238000502
28.0,0.0,0.0,0.999782219472,0.000217780528313
29.0,1.0,1.0,0.00179428628086,0.998205713719
30.0,1.0,1.0,0.0109167661488,0.989083233851
31.0,1.0,1.0,0.00139065149747,0.998609348503
32.0,1.0,1.0,5.5104148101e-07,0.999999448959
33.0,0.0,0.0,0.987005266868,0.0129947331324
34.0,0.0,0.0,0.917684716909,0.0823152830911
35.0,1.0,1.0,0.00617150691277,0.993828493087
36.0,0.0,0.0,0.999549444719,0.000450555281334
37.0,0.0,0.0,0.997573523404,0.00242647659603
38.0,1.0,1.0,0.0040592298162,0.995940770184
39.0,1.0,1.0,0.0255111811745,0.974488818826
40.0,1.0,1.0,0.00118440917843,0.998815590822
41.0,0.0,0.0,0.99935776866,0.000642231340321
42.0,1.0,1.0,0.00486435860539,0.995135641395
43.0,0.0,1.0,0.00273954665325,0.997260453347
44.0,0.0,0.0,0.999762243088,0.000237756912144
45.0,0.0,0.0,0.832005079983,0.167994920017
46.0,1.0,0.0,0.766468121668,0.233531878332
47.0,1.0,1.0,0.0834216242487,0.916578375751
48.0,1.0,0.0,0.999741767213,0.000258232786509
49.0,0.0,0.0,0.999280620881,0.000719379118738
50.0,1.0,1.0,0.00118414964322,0.998815850357
51.0,0.0,0.0,0.91050855658,0.0894914434203
52.0,0.0,1.0,0.136606788713,0.863393211287
53.0,1.0,0.0,0.973956705673,0.0260432943269
54.0,0.0,1.0,0.0183358878743,0.981664112126
55.0,0.0,0.0,0.999658582289,0.000341417711328
56.0,0.0,0.0,0.995048520623,0.00495147937672
57.0,0.0,0.0,0.999782234436,0.000217765564469
58.0,1.0,0.0,0.999546069795,0.00045393020492
59.0,0.0,0.0,0.999072137628,0.000927862371933
60.0,1.0,1.0,0.00665539256224,0.993344607438
61.0,0.0,0.0,0.999199993049,0.000800006951467
62.0,0.0,0.0,0.999722537926,0.000277462073914
63.0,1.0,0.0,0.521718063121,0.478281936879
64.0,1.0,1.0,0.0349209822929,0.965079017707
65.0,0.0,0.0,0.991357040591,0.00864295940922
66.0,1.0,1.0,0.00118229005293,0.998817709947
67.0,1.0,0.0,0.859482874586,0.140517125414
68.0,1.0,1.0,0.177198900037,0.822801099963
69.0,1.0,1.0,0.147228988606,0.852771011394
70.0,1.0,0.0,0.596223418787,0.403776581213
71.0,1.0,1.0,0.0132687830395,0.98673121696
