inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.98,0.02
2.0,1.0,1.0,0.39,0.61
3.0,1.0,1.0,0.14,0.86
4.0,1.0,0.0,0.78,0.22
5.0,0.0,0.0,0.99,0.01
6.0,0.0,0.0,0.57,0.43
7.0,1.0,1.0,0.06,0.94
8.0,0.0,0.0,0.81,0.19
9.0,0.0,1.0,0.29,0.71
10.0,0.0,0.0,0.95,0.05
11.0,0.0,0.0,0.82,0.18
12.0,0.0,0.0,0.94,0.06
13.0,1.0,1.0,0.0,1.0
14.0,0.0,0.0,0.99,0.01
15.0,0.0,0.0,1.0,0.0
16.0,1.0,1.0,0.36,0.64
17.0,0.0,0.0,0.75,0.25
18.0,1.0,1.0,0.02,0.98
19.0,1.0,1.0,0.03,0.97
20.0,1.0,1.0,0.27,0.73
21.0,1.0,0.0,0.55,0.45
22.0,1.0,0.0,0.85,0.15
23.0,0.0,0.0,0.98,0.02
24.0,1.0,1.0,0.07,0.93
25.0,1.0,1.0,0.06,0.94
26.0,1.0,1.0,0.34,0.66
27.0,1.0,1.0,0.39,0.61
28.0,0.0,0.0,0.98,0.02
29.0,1.0,1.0,0.01,0.99
30.0,1.0,1.0,0.0,1.0
31.0,1.0,1.0,0.21,0.79
32.0,1.0,1.0,0.01,0.99
33.0,0.0,0.0,0.99,0.01
34.0,0.0,1.0,0.43,0.57
35.0,1.0,0.0,0.66,0.34
36.0,0.0,0.0,1.0,0.0
37.0,0.0,0.0,0.98,0.02
38.0,1.0,1.0,0.04,0.96
39.0,1.0,0.0,0.56,0.44
40.0,1.0,1.0,0.01,0.99
41.0,0.0,0.0,1.0,0.0
42.0,1.0,1.0,0.02,0.98
43.0,0.0,1.0,0.3,0.7
44.0,0.0,0.0,1.0,0.0
45.0,0.0,0.0,0.83,0.17
46.0,1.0,1.0,0.0,1.0
47.0,1.0,1.0,0.08,0.92
48.0,1.0,0.0,0.65,0.35
49.0,0.0,0.0,1.0,0.0
50.0,1.0,1.0,0.07,0.93
51.0,0.0,0.0,0.65,0.35
52.0,0.0,0.0,0.59,0.41
