inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,0.00455659279189,0.995443407208
2.0,1.0,1.0,0.00455659279189,0.995443407208
3.0,0.0,0.0,0.996241855551,0.00375814444861
4.0,0.0,0.0,0.996241855551,0.00375814444861
5.0,1.0,1.0,0.00455659279189,0.995443407208
6.0,0.0,0.0,0.996241855551,0.00375814444861
7.0,0.0,0.0,0.996241855551,0.00375814444861
8.0,0.0,0.0,0.996241855551,0.00375814444861
9.0,1.0,1.0,0.0139775106138,0.986022489386
10.0,0.0,1.0,0.402866343412,0.597133656588
11.0,0.0,0.0,0.716590149436,0.283409850564
12.0,0.0,0.0,0.996241855551,0.00375814444861
13.0,0.0,0.0,0.996241855551,0.00375814444861
14.0,1.0,1.0,0.00455659279189,0.995443407208
15.0,0.0,0.0,0.996241855551,0.00375814444861
16.0,0.0,0.0,0.996241855551,0.00375814444861
17.0,0.0,1.0,0.407840450765,0.592159549235
18.0,0.0,0.0,0.996241855551,0.00375814444861
19.0,0.0,0.0,0.996241855551,0.00375814444861
20.0,0.0,0.0,0.662699479352,0.337300520648
21.0,1.0,1.0,0.00455659279189,0.995443407208
22.0,1.0,0.0,0.530665836893,0.469334163107
23.0,0.0,0.0,0.996241855551,0.00375814444861
24.0,1.0,1.0,0.365306569355,0.634693430645
25.0,0.0,0.0,0.996241855551,0.00375814444861
26.0,0.0,0.0,0.956153571118,0.0438464288816
27.0,0.0,0.0,0.899373486978,0.100626513022
28.0,0.0,0.0,0.710560753762,0.289439246238
29.0,0.0,0.0,0.996241855551,0.00375814444861
30.0,1.0,1.0,0.492514740732,0.507485259268
31.0,0.0,0.0,0.996241855551,0.00375814444861
32.0,1.0,1.0,0.00455659279189,0.995443407208
33.0,0.0,0.0,0.996241855551,0.00375814444861
34.0,0.0,0.0,0.996241855551,0.00375814444861
35.0,0.0,0.0,0.996241855551,0.00375814444861
36.0,0.0,0.0,0.996241855551,0.00375814444861
37.0,1.0,1.0,0.00455659279189,0.995443407208
38.0,1.0,1.0,0.371570567957,0.628429432043
39.0,0.0,0.0,0.977073270233,0.0229267297667
40.0,0.0,0.0,0.996241855551,0.00375814444861
41.0,0.0,0.0,0.996241855551,0.00375814444861
42.0,0.0,0.0,0.60237016664,0.39762983336
