inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,2.55574614687e-307,1.0
2.0,1.0,1.0,1.8252684541e-315,1.0
3.0,0.0,0.0,1.0,5.28125028891e-216
4.0,0.0,0.0,1.0,5.80519297657e-218
5.0,1.0,1.0,8.26240491233e-311,1.0
6.0,0.0,0.0,1.0,1.59544025345e-182
7.0,0.0,0.0,1.0,1.47826154798e-190
8.0,0.0,0.0,1.0,2.66691895446e-186
9.0,1.0,1.0,3.19799708416e-170,1.0
10.0,0.0,1.0,1.60446771339e-121,1.0
11.0,0.0,0.0,1.0,2.54227600017e-106
12.0,0.0,0.0,1.0,1.30905197086e-207
13.0,0.0,0.0,1.0,2.2701380521e-131
14.0,1.0,1.0,1.95552141792e-296,1.0
15.0,0.0,0.0,1.0,2.33028811501e-183
16.0,0.0,0.0,1.0,1.00968337427e-213
17.0,0.0,0.0,0.99999999735,2.65008878741e-09
18.0,0.0,0.0,1.0,1.40284725908e-209
19.0,0.0,0.0,1.0,2.01541137358e-136
20.0,0.0,1.0,3.67303991859e-57,1.0
21.0,1.0,1.0,1.67579815401e-228,1.0
22.0,1.0,0.0,1.0,2.95735941554e-71
23.0,0.0,0.0,1.0,4.71276782434e-109
24.0,1.0,1.0,5.46047153166e-195,1.0
25.0,0.0,0.0,1.0,2.75372138941e-198
26.0,0.0,0.0,1.0,2.07397852508e-33
27.0,0.0,0.0,1.0,2.21285119686e-74
28.0,0.0,0.0,1.0,1.90872215537e-73
29.0,0.0,0.0,1.0,5.39178250719e-204
30.0,1.0,1.0,7.26027605465e-79,1.0
31.0,0.0,0.0,1.0,1.26588113557e-230
32.0,1.0,1.0,2.67770705317e-305,1.0
33.0,0.0,0.0,1.0,1.05828852126e-125
34.0,0.0,0.0,1.0,6.92208642288e-117
35.0,0.0,0.0,1.0,1.84686383519e-124
36.0,0.0,0.0,1.0,2.15717579281e-227
37.0,1.0,1.0,4.09394044019e-316,1.0
38.0,1.0,1.0,1.68812804556e-24,1.0
39.0,0.0,0.0,1.0,1.25357721883e-71
40.0,0.0,0.0,1.0,3.31829182611e-198
41.0,0.0,0.0,1.0,8.82360044412e-170
42.0,0.0,0.0,1.0,2.35560338154e-75
43.0,0.0,0.0,1.0,7.3911052881e-131
44.0,0.0,1.0,1.03459984704e-49,1.0
45.0,1.0,1.0,5.83032858341e-80,1.0
46.0,0.0,0.0,1.0,1.50346628003e-228
47.0,1.0,1.0,4.0054079772e-317,1.0
48.0,0.0,0.0,1.0,9.96619566255e-79
49.0,0.0,0.0,1.0,6.22927856205e-52
50.0,0.0,0.0,1.0,2.14216035555e-129
51.0,0.0,0.0,1.0,6.31644637181e-176
52.0,0.0,0.0,1.0,6.85954227287e-193
53.0,0.0,0.0,1.0,5.87094424418e-154
54.0,0.0,0.0,1.0,1.64699880265e-64
55.0,1.0,1.0,8.95641239503e-126,1.0
56.0,0.0,0.0,1.0,4.85655868128e-151
57.0,0.0,0.0,1.0,9.66650556615e-215
58.0,0.0,0.0,1.0,9.40248164107e-68
59.0,0.0,0.0,1.0,7.70793643166e-38
60.0,0.0,0.0,1.0,7.76930271977e-141
61.0,1.0,1.0,0.0,1.0
62.0,0.0,0.0,1.0,1.27708890844e-140
63.0,0.0,0.0,1.0,1.01103432565e-60
64.0,1.0,1.0,2.54240829683e-131,1.0
65.0,0.0,0.0,1.0,4.94883300671e-101
66.0,1.0,0.0,1.0,1.39781543884e-64
67.0,1.0,1.0,9.03674651391e-60,1.0
68.0,0.0,0.0,1.0,1.53021625477e-202
69.0,1.0,1.0,4.90563473505e-285,1.0
70.0,0.0,0.0,1.0,4.8517401054e-60
71.0,0.0,0.0,1.0,8.96961723792e-213
72.0,0.0,0.0,1.0,5.8836920662e-214
73.0,0.0,0.0,1.0,1.01238581065e-196
74.0,1.0,1.0,3.59843917552e-307,1.0
75.0,0.0,0.0,1.0,8.6428197905e-73
76.0,0.0,0.0,1.0,1.68318713295e-140
77.0,0.0,0.0,1.0,5.84937518203e-169
78.0,0.0,1.0,2.15296949129e-75,1.0
79.0,0.0,0.0,1.0,3.31593669145e-229
80.0,1.0,1.0,0.0,1.0
81.0,1.0,1.0,5.96343422351e-20,1.0
82.0,1.0,1.0,0.0,1.0
83.0,0.0,0.0,1.0,4.53477148608e-177
84.0,0.0,0.0,1.0,1.07604811632e-165
85.0,0.0,0.0,1.0,8.3675548721e-171
86.0,0.0,0.0,1.0,3.42195935965e-143
87.0,0.0,0.0,1.0,6.66318058432e-202
88.0,0.0,0.0,1.0,1.34630267746e-145
89.0,0.0,0.0,1.0,7.10306984355e-141
90.0,1.0,1.0,9.29356073714e-224,1.0
91.0,0.0,1.0,2.3598412024e-52,1.0
92.0,0.0,0.0,1.0,1.8686435406e-171
93.0,1.0,1.0,2.81727778041e-195,1.0
94.0,1.0,0.0,1.0,1.1219386279e-75
95.0,1.0,0.0,0.999999954822,4.51780261429e-08
96.0,1.0,1.0,2.79129303537e-318,1.0
97.0,0.0,0.0,1.0,2.08099377628e-181
98.0,0.0,0.0,1.0,4.07477715644e-179
99.0,0.0,0.0,1.0,1.18047740384e-208
100.0,0.0,0.0,1.0,4.82264838073e-127
101.0,0.0,0.0,1.0,4.65198988573e-102
102.0,0.0,0.0,1.0,9.54208980541e-122
103.0,1.0,1.0,1.11779845254e-166,1.0
104.0,1.0,0.0,1.0,3.52090993634e-35
105.0,0.0,0.0,1.0,1.62405089938e-85
106.0,0.0,0.0,1.0,8.26986491639e-219
107.0,0.0,0.0,1.0,8.02228267959e-196
108.0,0.0,0.0,1.0,1.10247315403e-201
109.0,0.0,0.0,1.0,2.441931516e-208
110.0,1.0,0.0,1.0,2.43965537688e-67
111.0,0.0,0.0,1.0,1.20799261491e-67
112.0,1.0,1.0,3.95136710984e-261,1.0
113.0,0.0,0.0,1.0,3.68892675361e-212
114.0,0.0,0.0,1.0,2.46460720841e-206
115.0,0.0,0.0,1.0,3.12176781361e-45
116.0,0.0,0.0,1.0,8.26339166459e-68
117.0,0.0,0.0,1.0,1.46725934234e-148
118.0,1.0,1.0,1.45286103535e-298,1.0
119.0,0.0,0.0,1.0,7.45816107016e-232
120.0,0.0,0.0,1.0,2.02689601661e-71
121.0,0.0,0.0,1.0,5.80828151489e-263
122.0,1.0,1.0,0.0,1.0
123.0,1.0,0.0,1.0,7.80858734791e-48
124.0,0.0,0.0,1.0,1.35849472874e-213
125.0,0.0,1.0,1.4518876617e-173,1.0
126.0,1.0,0.0,1.0,2.21919937064e-109
127.0,0.0,0.0,1.0,3.36952626139e-180
128.0,0.0,0.0,1.0,1.05188834601e-93
129.0,0.0,0.0,1.0,1.89233727768e-97
130.0,0.0,0.0,1.0,8.99599335575e-196
131.0,0.0,0.0,1.0,1.65841488429e-160
132.0,1.0,1.0,3.12809113371e-164,1.0
133.0,0.0,0.0,1.0,1.29594106411e-62
134.0,1.0,1.0,7.46277198686e-309,1.0
135.0,0.0,0.0,1.0,2.47605822353e-185
136.0,0.0,0.0,1.0,6.34117763856e-145
137.0,0.0,0.0,1.0,3.97648105334e-207
138.0,0.0,0.0,1.0,3.79886701431e-146
139.0,0.0,0.0,1.0,5.64704980876e-124
140.0,1.0,1.0,2.51764458872e-163,1.0
141.0,1.0,1.0,6.97333082758e-121,1.0
142.0,0.0,0.0,1.0,3.6188279783e-200
143.0,0.0,1.0,8.42167474984e-31,1.0
144.0,1.0,1.0,3.01917115783e-255,1.0
145.0,0.0,0.0,1.0,2.64124571195e-217
146.0,0.0,0.0,1.0,1.400687281e-225
147.0,0.0,0.0,1.0,2.10942943621e-134
148.0,0.0,0.0,1.0,1.13124014148e-221
149.0,1.0,1.0,8.12669295996e-309,1.0
150.0,0.0,0.0,1.0,2.39433258511e-209
151.0,0.0,0.0,1.0,9.3738064036e-116
152.0,0.0,1.0,2.95586901563e-144,1.0
153.0,0.0,0.0,1.0,1.68084702006e-93
154.0,0.0,0.0,1.0,5.92962846008e-217
155.0,0.0,0.0,1.0,6.91125303705e-139
156.0,0.0,0.0,1.0,6.34943318429e-79
157.0,0.0,0.0,1.0,8.3813319592e-217
158.0,0.0,0.0,1.0,1.76359601717e-120
159.0,1.0,1.0,1.03126534241e-143,1.0
160.0,1.0,1.0,1.04805458808e-95,1.0
161.0,0.0,0.0,1.0,2.0185057066e-181
162.0,0.0,0.0,1.0,4.43610997258e-220
163.0,1.0,1.0,5.76517925089e-314,1.0
164.0,0.0,0.0,1.0,4.39534320744e-141
165.0,0.0,0.0,1.0,5.62563841048e-73
166.0,0.0,0.0,1.0,6.37233827763e-164
167.0,0.0,0.0,1.0,1.71997247504e-210
168.0,0.0,0.0,1.0,1.0077994059e-29
169.0,0.0,0.0,1.0,7.71649869298e-121
170.0,0.0,0.0,1.0,5.11149515049e-147
171.0,0.0,0.0,1.0,1.79946483424e-89
172.0,0.0,0.0,1.0,5.00854876431e-185
173.0,0.0,0.0,1.0,8.65674553574e-106
174.0,0.0,0.0,1.0,1.49349231605e-27
175.0,0.0,0.0,1.0,3.6793007772e-184
176.0,0.0,1.0,1.0402618743e-08,0.999999989597
177.0,1.0,1.0,5.30353246049e-253,1.0
178.0,0.0,0.0,1.0,5.8716481523e-55
179.0,0.0,0.0,1.0,1.05231689457e-145
180.0,1.0,1.0,0.0,1.0
181.0,0.0,0.0,1.0,1.60967059992e-96
182.0,0.0,0.0,1.0,7.40811433025e-205
183.0,0.0,0.0,1.0,7.7544974402e-265
184.0,0.0,0.0,1.0,1.75402192549e-199
185.0,0.0,0.0,1.0,5.57956267576e-83
186.0,0.0,0.0,1.0,3.20841262155e-113
187.0,0.0,0.0,1.0,9.07191840257e-171
188.0,1.0,1.0,0.0,1.0
189.0,0.0,0.0,1.0,2.27412291841e-161
190.0,1.0,1.0,1.04650132881e-192,1.0
191.0,1.0,1.0,8.32515435212e-319,1.0
192.0,1.0,1.0,1.17542743724e-27,1.0
193.0,0.0,0.0,1.0,2.77105348611e-96
194.0,0.0,0.0,1.0,2.2209596167e-220
195.0,0.0,0.0,1.0,2.31667636133e-186
196.0,0.0,0.0,1.0,6.06235944738e-15
197.0,1.0,1.0,2.42356450541e-249,1.0
198.0,0.0,0.0,1.0,9.96227331895e-83
199.0,0.0,0.0,1.0,2.01960631017e-68
200.0,0.0,0.0,1.0,1.28776461941e-215
201.0,1.0,1.0,4.99961284225e-312,1.0
202.0,0.0,0.0,1.0,1.00180890456e-141
203.0,0.0,0.0,1.0,6.61163142481e-153
204.0,1.0,1.0,1.40846456092e-230,1.0
205.0,1.0,1.0,2.50255474584e-290,1.0
206.0,0.0,0.0,1.0,7.41153459116e-189
207.0,0.0,0.0,1.0,1.51433069007e-87
208.0,0.0,0.0,1.0,2.38275863779e-196
209.0,0.0,0.0,1.0,5.47961850138e-197
210.0,0.0,0.0,1.0,2.84467418373e-159
211.0,0.0,0.0,1.0,3.65439888019e-151
212.0,0.0,0.0,1.0,2.77831177226e-222
213.0,1.0,1.0,7.51992588843e-307,1.0
214.0,1.0,1.0,1.10430737083e-314,1.0
215.0,0.0,0.0,1.0,3.32505943338e-107
216.0,1.0,1.0,3.13408290798e-48,1.0
217.0,1.0,1.0,5.42191386515e-197,1.0
218.0,0.0,0.0,1.0,8.32729334677e-207
219.0,0.0,0.0,1.0,1.35972032418e-112
220.0,0.0,0.0,1.0,3.64572319424e-204
221.0,0.0,0.0,1.0,2.10773737519e-105
222.0,0.0,0.0,1.0,4.39724713776e-214
223.0,0.0,0.0,1.0,2.47291753719e-150
224.0,1.0,1.0,7.8094792335e-268,1.0
225.0,1.0,1.0,1.01652657332e-37,1.0
226.0,1.0,1.0,4.26307065241e-306,1.0
227.0,0.0,0.0,1.0,2.17858140717e-164
228.0,0.0,0.0,1.0,3.24464395731e-118
229.0,1.0,1.0,2.7491070501e-242,1.0
230.0,1.0,1.0,0.0,1.0
231.0,0.0,0.0,1.0,4.17635630558e-197
232.0,0.0,0.0,1.0,2.88823699598e-42
233.0,0.0,0.0,1.0,4.27756375002e-224
234.0,0.0,0.0,1.0,1.26566194394e-143
235.0,0.0,0.0,1.0,1.15723806511e-190
236.0,1.0,0.0,1.0,2.44246401039e-98
237.0,0.0,0.0,1.0,2.2586409976e-121
238.0,1.0,1.0,6.44198787829e-70,1.0
239.0,0.0,0.0,1.0,4.94537779827e-216
240.0,1.0,1.0,1.11671843212e-313,1.0
241.0,0.0,0.0,1.0,1.05326430276e-85
242.0,0.0,0.0,1.0,2.73316561994e-190
243.0,0.0,0.0,1.0,1.45173205059e-209
244.0,0.0,0.0,1.0,2.92681439999e-188
245.0,1.0,1.0,2.18871357283e-272,1.0
246.0,0.0,0.0,1.0,1.56857777064e-162
247.0,0.0,0.0,1.0,2.9185961269e-61
248.0,0.0,0.0,1.0,1.10837897774e-175
249.0,1.0,0.0,0.997923568503,0.00207643149659
250.0,0.0,0.0,1.0,9.62053374167e-222
251.0,0.0,0.0,1.0,1.45952383914e-222
252.0,0.0,0.0,1.0,9.24975247052e-192
253.0,1.0,1.0,7.7903496167e-26,1.0
254.0,1.0,1.0,1.90433619895e-185,1.0
255.0,0.0,0.0,1.0,5.79838184782e-50
256.0,0.0,0.0,1.0,2.18812209265e-217
257.0,0.0,0.0,1.0,1.4266706433e-67
258.0,0.0,0.0,1.0,1.10876363148e-148
259.0,1.0,1.0,2.01164612121e-313,1.0
260.0,1.0,1.0,5.85115589672e-68,1.0
261.0,0.0,0.0,1.0,5.25523419404e-170
262.0,0.0,0.0,1.0,5.45987467805e-57
263.0,1.0,1.0,9.1175372414e-08,0.999999908825
264.0,0.0,0.0,1.0,9.98405583591e-204
265.0,0.0,0.0,1.0,4.87963530293e-191
266.0,0.0,0.0,1.0,8.41968726653e-213
267.0,0.0,0.0,1.0,1.18435202731e-227
268.0,0.0,0.0,1.0,4.64802852182e-212
269.0,0.0,0.0,1.0,2.65122407844e-73
270.0,0.0,0.0,1.0,1.30084235141e-73
271.0,1.0,0.0,1.0,3.54053751823e-54
272.0,0.0,0.0,1.0,7.43511658278e-184
273.0,1.0,1.0,1.03846733581e-134,1.0
274.0,1.0,0.0,1.0,7.73111969701e-20
275.0,0.0,0.0,1.0,1.11446092945e-192
276.0,0.0,0.0,1.0,1.0634890207e-70
277.0,1.0,1.0,0.0,1.0
278.0,1.0,1.0,3.97768570678e-315,1.0
279.0,1.0,1.0,1.09711377117e-305,1.0
280.0,0.0,1.0,6.83052697383e-43,1.0
281.0,0.0,0.0,1.0,1.97104911722e-149
282.0,1.0,1.0,4.85337826292e-301,1.0
283.0,0.0,0.0,1.0,3.81399398933e-208
284.0,0.0,0.0,1.0,1.71608547523e-159
285.0,1.0,1.0,3.51178112452e-259,1.0
286.0,0.0,0.0,1.0,1.55440491038e-205
287.0,1.0,1.0,2.96635045707e-45,1.0
288.0,0.0,0.0,1.0,4.4569689557e-226
289.0,0.0,0.0,1.0,2.56533675761e-80
290.0,0.0,0.0,1.0,9.56953759166e-214
291.0,0.0,0.0,1.0,6.1445157002e-220
292.0,0.0,0.0,1.0,3.39186726198e-212
293.0,0.0,0.0,1.0,9.37589260571e-167
294.0,0.0,0.0,1.0,7.45436481678e-148
295.0,0.0,0.0,1.0,1.39558784909e-182
296.0,0.0,0.0,1.0,3.49751815443e-147
297.0,0.0,0.0,1.0,2.5071286569e-228
298.0,0.0,0.0,1.0,5.42804147771e-75
299.0,0.0,0.0,1.0,2.80669142802e-142
300.0,0.0,0.0,1.0,1.24650746218e-172
301.0,0.0,0.0,1.0,6.16686808059e-155
302.0,0.0,0.0,1.0,6.74410350157e-223
303.0,1.0,1.0,1.23559891948e-171,1.0
304.0,1.0,1.0,1.47286211634e-112,1.0
305.0,0.0,0.0,1.0,2.90835075224e-149
306.0,0.0,0.0,1.0,3.81386619469e-197
307.0,1.0,1.0,2.05835404893e-311,1.0
308.0,1.0,1.0,1.93661618706e-284,1.0
309.0,1.0,1.0,3.85337113227e-318,1.0
310.0,0.0,0.0,1.0,6.58200560805e-190
311.0,0.0,0.0,1.0,1.14939593412e-176
312.0,1.0,1.0,1.94655524445e-312,1.0
313.0,0.0,0.0,1.0,3.74810308135e-219
314.0,1.0,1.0,2.75871043539e-163,1.0
315.0,0.0,0.0,1.0,2.45856056612e-195
316.0,1.0,0.0,1.0,4.69889868147e-58
317.0,0.0,0.0,1.0,2.37559245957e-180
318.0,0.0,0.0,1.0,5.61086992809e-226
319.0,0.0,0.0,1.0,2.05695376787e-162
320.0,0.0,0.0,1.0,3.47845516721e-177
321.0,1.0,1.0,0.0,1.0
322.0,0.0,1.0,9.76292173557e-145,1.0
323.0,0.0,0.0,1.0,4.48727676178e-146
324.0,0.0,0.0,1.0,5.88157224906e-216
325.0,1.0,1.0,2.93155503061e-303,1.0
326.0,0.0,0.0,1.0,2.29209790873e-213
327.0,0.0,0.0,1.0,1.82977275978e-189
328.0,0.0,0.0,1.0,5.13391610845e-213
329.0,0.0,0.0,1.0,2.25931019713e-228
330.0,0.0,0.0,1.0,2.17416418037e-91
331.0,0.0,0.0,1.0,1.43541720855e-189
332.0,0.0,0.0,1.0,1.53996385515e-47
333.0,0.0,1.0,3.07165036972e-23,1.0
334.0,0.0,0.0,1.0,3.54165834913e-151
335.0,0.0,0.0,1.0,4.55771468928e-162
336.0,1.0,1.0,1.86537662147e-163,1.0
337.0,1.0,1.0,8.57426374326e-97,1.0
338.0,0.0,0.0,1.0,9.81776404332e-161
339.0,0.0,0.0,1.0,4.58665543947e-234
340.0,0.0,0.0,1.0,5.27639922371e-229
341.0,0.0,0.0,1.0,5.73066589474e-214
342.0,0.0,0.0,1.0,1.45243757593e-199
343.0,0.0,0.0,1.0,1.44301923744e-215
344.0,0.0,0.0,1.0,2.56146345768e-90
345.0,1.0,1.0,1.73184778025e-176,1.0
346.0,0.0,0.0,1.0,9.70644964731e-172
347.0,1.0,1.0,2.76478418365e-72,1.0
348.0,0.0,0.0,1.0,6.30910689068e-161
349.0,0.0,0.0,1.0,2.15606393146e-150
350.0,0.0,0.0,1.0,5.42582678949e-54
351.0,0.0,0.0,1.0,3.15716060377e-225
352.0,0.0,0.0,1.0,4.44711192906e-99
353.0,1.0,1.0,5.5225775035e-135,1.0
354.0,0.0,0.0,1.0,9.98931071371e-62
355.0,0.0,0.0,1.0,3.5164224724e-178
356.0,0.0,0.0,1.0,8.73502415079e-180
357.0,0.0,1.0,0.000984518583615,0.999015481416
358.0,0.0,0.0,1.0,4.08791038796e-206
359.0,0.0,0.0,1.0,1.04731949276e-215
360.0,1.0,1.0,1.59953893447e-137,1.0
361.0,0.0,0.0,1.0,6.46160144052e-225
362.0,1.0,1.0,1.6377109856e-152,1.0
363.0,1.0,1.0,2.86558074588e-322,1.0
364.0,1.0,0.0,0.997119425905,0.0028805740948
365.0,0.0,0.0,1.0,6.94717319639e-88
366.0,0.0,0.0,1.0,2.17096384605e-225
367.0,0.0,0.0,1.0,5.693459664e-230
368.0,0.0,0.0,1.0,4.89508259069e-112
369.0,1.0,1.0,1.78678494973e-317,1.0
370.0,0.0,0.0,1.0,2.04713707347e-201
