inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,0.499578321854,0.500421678146
2.0,1.0,1.0,0.499372621267,0.500627378733
3.0,0.0,0.0,0.500439453414,0.499560546586
4.0,0.0,0.0,0.500520937004,0.499479062996
5.0,1.0,1.0,0.499540416501,0.500459583499
6.0,0.0,0.0,0.500583544809,0.499416455191
7.0,0.0,0.0,0.500572016234,0.499427983766
8.0,0.0,0.0,0.500381017543,0.499618982457
9.0,1.0,1.0,0.499015360865,0.500984639135
10.0,0.0,0.0,0.500311959698,0.499688040302
11.0,0.0,0.0,0.500180695027,0.499819304973
12.0,0.0,0.0,0.500475556779,0.499524443221
13.0,0.0,0.0,0.500539351537,0.499460648463
14.0,1.0,1.0,0.499433123457,0.500566876543
15.0,0.0,0.0,0.500433771717,0.499566228283
16.0,0.0,0.0,0.500311688103,0.499688311897
17.0,0.0,1.0,0.499617562632,0.500382437368
18.0,0.0,0.0,0.50057296245,0.49942703755
19.0,0.0,0.0,0.500527384972,0.499472615028
20.0,0.0,0.0,0.500409919883,0.499590080117
21.0,1.0,1.0,0.499436741681,0.500563258319
22.0,1.0,1.0,0.499683288154,0.500316711846
23.0,0.0,0.0,0.500298024042,0.499701975958
24.0,1.0,1.0,0.499487987417,0.500512012583
25.0,0.0,0.0,0.500657656946,0.499342343054
26.0,0.0,0.0,0.500314401183,0.499685598817
27.0,0.0,0.0,0.500531175277,0.499468824723
28.0,0.0,0.0,0.500309742411,0.499690257589
29.0,0.0,0.0,0.500707648838,0.499292351162
30.0,1.0,1.0,0.49944656444,0.50055343556
31.0,0.0,0.0,0.500462810143,0.499537189857
32.0,1.0,1.0,0.499686145492,0.500313854508
33.0,0.0,0.0,0.50052486201,0.49947513799
34.0,0.0,0.0,0.500454528067,0.499545471933
35.0,0.0,0.0,0.500253313395,0.499746686605
36.0,0.0,0.0,0.500376140141,0.499623859859
37.0,1.0,1.0,0.499607473001,0.500392526999
38.0,1.0,1.0,0.499726357018,0.500273642982
39.0,0.0,0.0,0.500491853225,0.499508146775
40.0,0.0,0.0,0.500669074184,0.499330925816
41.0,0.0,0.0,0.500488431324,0.499511568676
42.0,0.0,0.0,0.500217338132,0.499782661868
43.0,0.0,0.0,0.500589512255,0.499410487745
44.0,0.0,0.0,0.500440112284,0.499559887716
45.0,1.0,1.0,0.499559578184,0.500440421816
46.0,0.0,0.0,0.500476765447,0.499523234553
47.0,1.0,1.0,0.499463043367,0.500536956633
48.0,0.0,0.0,0.500497586505,0.499502413495
49.0,0.0,0.0,0.500571186821,0.499428813179
50.0,0.0,0.0,0.500485731542,0.499514268458
51.0,0.0,0.0,0.500507443835,0.499492556165
52.0,0.0,0.0,0.500421246577,0.499578753423
53.0,0.0,0.0,0.50052395197,0.49947604803
54.0,0.0,0.0,0.500309238644,0.499690761356
55.0,1.0,1.0,0.499522486146,0.500477513854
56.0,0.0,0.0,0.50053015155,0.49946984845
57.0,0.0,0.0,0.500533185918,0.499466814082
58.0,0.0,0.0,0.500288302653,0.499711697347
59.0,0.0,0.0,0.500767286436,0.499232713564
60.0,0.0,0.0,0.500503792443,0.499496207557
61.0,1.0,1.0,0.499547048012,0.500452951988
62.0,0.0,0.0,0.500479339399,0.499520660601
63.0,0.0,0.0,0.50042411943,0.49957588057
64.0,1.0,1.0,0.499387678237,0.500612321763
65.0,0.0,0.0,0.500500808892,0.499499191108
66.0,1.0,1.0,0.499866838306,0.500133161694
67.0,1.0,1.0,0.499684176551,0.500315823449
68.0,0.0,0.0,0.500414783533,0.499585216467
