inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,0.0,1.0
2.0,1.0,1.0,0.0,1.0
3.0,0.0,0.0,1.0,0.0
4.0,0.0,0.0,1.0,0.0
5.0,1.0,1.0,0.01,0.99
6.0,0.0,0.0,1.0,0.0
7.0,0.0,0.0,0.98,0.02
8.0,0.0,0.0,1.0,0.0
9.0,1.0,1.0,0.01,0.99
10.0,0.0,1.0,0.49,0.51
11.0,0.0,0.0,0.8,0.2
12.0,0.0,0.0,1.0,0.0
13.0,0.0,0.0,1.0,0.0
14.0,1.0,1.0,0.0,1.0
15.0,0.0,0.0,0.99,0.01
16.0,0.0,0.0,0.99,0.01
17.0,0.0,1.0,0.14,0.86
18.0,0.0,0.0,1.0,0.0
19.0,0.0,0.0,1.0,0.0
20.0,0.0,0.0,0.67,0.33
21.0,1.0,1.0,0.01,0.99
22.0,1.0,1.0,0.41,0.59
23.0,0.0,0.0,0.99,0.01
24.0,1.0,1.0,0.46,0.54
25.0,0.0,0.0,1.0,0.0
26.0,0.0,0.0,0.95,0.05
27.0,0.0,0.0,0.95,0.05
28.0,0.0,0.0,0.66,0.34
29.0,0.0,0.0,1.0,0.0
30.0,1.0,0.0,0.53,0.47
31.0,0.0,0.0,1.0,0.0
32.0,1.0,1.0,0.01,0.99
33.0,0.0,0.0,0.98,0.02
34.0,0.0,0.0,1.0,0.0
35.0,0.0,0.0,0.99,0.01
36.0,0.0,0.0,1.0,0.0
37.0,1.0,1.0,0.01,0.99
38.0,1.0,0.0,0.53,0.47
39.0,0.0,0.0,0.92,0.08
40.0,0.0,0.0,1.0,0.0
41.0,0.0,0.0,0.97,0.03
42.0,0.0,0.0,0.75,0.25
43.0,0.0,0.0,1.0,0.0
44.0,0.0,0.0,0.78,0.22
45.0,1.0,1.0,0.17,0.83
46.0,0.0,0.0,1.0,0.0
47.0,1.0,1.0,0.0,1.0
48.0,0.0,0.0,0.72,0.28
49.0,0.0,0.0,0.99,0.01
50.0,0.0,0.0,1.0,0.0
51.0,0.0,0.0,1.0,0.0
52.0,0.0,0.0,0.99,0.01
53.0,0.0,0.0,1.0,0.0
54.0,0.0,0.0,0.95,0.05
55.0,1.0,1.0,0.03,0.97
56.0,0.0,0.0,1.0,0.0
57.0,0.0,0.0,1.0,0.0
58.0,0.0,0.0,0.92,0.08
59.0,0.0,0.0,0.66,0.34
60.0,0.0,0.0,1.0,0.0
61.0,1.0,1.0,0.0,1.0
62.0,0.0,0.0,1.0,0.0
63.0,0.0,0.0,0.92,0.08
64.0,1.0,1.0,0.01,0.99
65.0,0.0,0.0,1.0,0.0
66.0,1.0,0.0,0.53,0.47
67.0,1.0,1.0,0.16,0.84
68.0,0.0,0.0,1.0,0.0
69.0,1.0,1.0,0.0,1.0
70.0,0.0,0.0,0.97,0.03
71.0,0.0,0.0,0.99,0.01
72.0,0.0,0.0,1.0,0.0
73.0,0.0,0.0,1.0,0.0
74.0,1.0,1.0,0.0,1.0
75.0,0.0,1.0,0.37,0.63
76.0,0.0,0.0,1.0,0.0
77.0,0.0,0.0,1.0,0.0
78.0,0.0,0.0,0.66,0.34
79.0,0.0,0.0,1.0,0.0
80.0,1.0,1.0,0.0,1.0
81.0,1.0,1.0,0.43,0.57
82.0,1.0,1.0,0.0,1.0
83.0,0.0,0.0,0.99,0.01
84.0,0.0,0.0,1.0,0.0
85.0,0.0,0.0,1.0,0.0
86.0,0.0,0.0,1.0,0.0
87.0,0.0,0.0,1.0,0.0
88.0,0.0,0.0,0.98,0.02
89.0,0.0,0.0,1.0,0.0
90.0,1.0,1.0,0.01,0.99
91.0,0.0,0.0,0.57,0.43
92.0,0.0,0.0,1.0,0.0
93.0,1.0,1.0,0.09,0.91
94.0,1.0,1.0,0.27,0.73
95.0,1.0,1.0,0.2,0.8
96.0,1.0,1.0,0.0,1.0
97.0,0.0,0.0,1.0,0.0
98.0,0.0,0.0,1.0,0.0
99.0,0.0,0.0,1.0,0.0
100.0,0.0,0.0,1.0,0.0
101.0,0.0,0.0,0.99,0.01
102.0,0.0,0.0,0.89,0.11
103.0,1.0,1.0,0.04,0.96
104.0,1.0,1.0,0.06,0.94
105.0,0.0,0.0,1.0,0.0
106.0,0.0,0.0,1.0,0.0
107.0,0.0,0.0,0.99,0.01
108.0,0.0,0.0,0.99,0.01
109.0,0.0,0.0,1.0,0.0
110.0,1.0,0.0,0.64,0.36
111.0,0.0,0.0,0.91,0.09
112.0,1.0,1.0,0.0,1.0
113.0,0.0,0.0,0.98,0.02
114.0,0.0,0.0,1.0,0.0
115.0,0.0,0.0,0.99,0.01
116.0,0.0,0.0,0.96,0.04
117.0,0.0,0.0,1.0,0.0
118.0,1.0,1.0,0.0,1.0
119.0,0.0,0.0,1.0,0.0
120.0,0.0,0.0,0.97,0.03
121.0,0.0,0.0,1.0,0.0
122.0,1.0,1.0,0.0,1.0
123.0,1.0,1.0,0.09,0.91
124.0,0.0,0.0,1.0,0.0
125.0,0.0,1.0,0.46,0.54
126.0,1.0,1.0,0.28,0.72
127.0,0.0,0.0,1.0,0.0
128.0,0.0,0.0,0.99,0.01
129.0,0.0,0.0,0.94,0.06
130.0,0.0,0.0,1.0,0.0
131.0,0.0,0.0,0.99,0.01
132.0,1.0,1.0,0.2,0.8
133.0,0.0,0.0,0.99,0.01
134.0,1.0,1.0,0.0,1.0
135.0,0.0,0.0,1.0,0.0
136.0,0.0,0.0,1.0,0.0
137.0,0.0,0.0,1.0,0.0
138.0,0.0,0.0,0.99,0.01
139.0,0.0,0.0,1.0,0.0
140.0,1.0,1.0,0.0,1.0
141.0,1.0,1.0,0.05,0.95
142.0,0.0,0.0,1.0,0.0
143.0,0.0,0.0,0.96,0.04
144.0,1.0,1.0,0.01,0.99
145.0,0.0,0.0,1.0,0.0
146.0,0.0,0.0,1.0,0.0
147.0,0.0,0.0,1.0,0.0
148.0,0.0,0.0,1.0,0.0
149.0,1.0,1.0,0.0,1.0
150.0,0.0,0.0,1.0,0.0
151.0,0.0,0.0,0.88,0.12
152.0,0.0,0.0,0.75,0.25
153.0,0.0,0.0,1.0,0.0
154.0,0.0,0.0,1.0,0.0
155.0,0.0,0.0,0.98,0.02
156.0,0.0,0.0,0.92,0.08
157.0,0.0,0.0,1.0,0.0
158.0,0.0,0.0,0.93,0.07
159.0,1.0,1.0,0.02,0.98
160.0,1.0,1.0,0.05,0.95
161.0,0.0,0.0,0.97,0.03
162.0,0.0,0.0,1.0,0.0
163.0,1.0,1.0,0.0,1.0
164.0,0.0,0.0,1.0,0.0
165.0,0.0,0.0,0.98,0.02
166.0,0.0,0.0,0.98,0.02
167.0,0.0,0.0,1.0,0.0
168.0,0.0,0.0,0.92,0.08
169.0,0.0,0.0,1.0,0.0
170.0,0.0,0.0,1.0,0.0
171.0,0.0,0.0,0.85,0.15
172.0,0.0,0.0,1.0,0.0
173.0,0.0,0.0,1.0,0.0
174.0,0.0,0.0,0.86,0.14
175.0,0.0,0.0,1.0,0.0
176.0,0.0,0.0,0.95,0.05
177.0,1.0,1.0,0.01,0.99
178.0,0.0,0.0,0.98,0.02
179.0,0.0,0.0,1.0,0.0
180.0,1.0,1.0,0.01,0.99
