inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,3.12131513242e-56
2.0,0.0,0.0,1.0,1.07895093758e-102
3.0,1.0,1.0,1.50573286364e-69,1.0
4.0,0.0,0.0,1.0,1.82292329087e-66
5.0,0.0,0.0,1.0,2.73287887018e-96
6.0,0.0,1.0,4.44609887542e-46,1.0
7.0,0.0,0.0,1.0,8.61472993783e-55
8.0,0.0,0.0,1.0,2.90924994049e-150
9.0,0.0,1.0,1.57613883398e-144,1.0
10.0,1.0,1.0,1.46716698518e-90,1.0
11.0,0.0,0.0,1.0,9.55999329202e-79
12.0,1.0,1.0,6.66902265905e-174,1.0
13.0,1.0,1.0,1.24283807772e-118,1.0
14.0,0.0,0.0,1.0,2.15638861328e-30
15.0,1.0,1.0,4.8613187444e-98,1.0
16.0,0.0,0.0,1.0,1.12694674069e-107
17.0,1.0,1.0,6.5091804123e-131,1.0
18.0,0.0,0.0,1.0,1.45450552288e-119
19.0,1.0,1.0,2.87285454865e-58,1.0
20.0,0.0,0.0,1.0,3.89816194875e-56
21.0,1.0,1.0,1.10330597226e-113,1.0
22.0,0.0,0.0,1.0,3.74172224977e-82
23.0,0.0,0.0,1.0,1.32173880638e-159
24.0,0.0,0.0,1.0,1.27084650328e-62
25.0,0.0,0.0,1.0,6.24115345925e-154
26.0,0.0,0.0,1.0,3.27490706892e-85
27.0,0.0,0.0,1.0,9.00279962016e-105
28.0,0.0,0.0,1.0,1.35682450703e-60
29.0,1.0,1.0,1.12507209055e-41,1.0
30.0,0.0,1.0,1.14810308081e-63,1.0
31.0,1.0,1.0,1.55108295279e-152,1.0
32.0,0.0,0.0,1.0,3.09960881848e-40
33.0,1.0,1.0,4.78543812337e-119,1.0
34.0,0.0,0.0,1.0,2.71697289982e-33
35.0,0.0,0.0,1.0,1.96643360109e-56
36.0,0.0,0.0,1.0,1.1098918174e-80
37.0,0.0,0.0,1.0,2.59345490796e-125
38.0,0.0,0.0,1.0,3.53046309217e-48
39.0,1.0,1.0,5.69071775685e-105,1.0
40.0,0.0,0.0,1.0,4.60950271581e-51
41.0,0.0,0.0,1.0,7.43833538496e-106
42.0,0.0,0.0,1.0,1.13682813207e-52
43.0,1.0,1.0,6.41949735288e-76,1.0
44.0,1.0,0.0,1.0,1.57393023489e-90
45.0,0.0,0.0,1.0,1.3923449737e-72
46.0,0.0,0.0,1.0,1.06652744431e-47
47.0,1.0,1.0,5.42171088838e-139,1.0
48.0,0.0,0.0,1.0,5.13237849295e-153
49.0,1.0,0.0,1.0,2.21391529628e-29
50.0,0.0,1.0,6.31240793257e-49,1.0
51.0,0.0,0.0,1.0,5.26840597341e-93
52.0,0.0,0.0,1.0,1.00445280635e-88
53.0,0.0,1.0,1.79820033703e-89,1.0
54.0,0.0,0.0,1.0,4.04051510793e-78
55.0,0.0,1.0,7.19213139678e-22,1.0
56.0,1.0,0.0,0.999736938815,0.000263061185285
57.0,0.0,1.0,2.3990336988e-06,0.999997600966
58.0,0.0,1.0,6.58831665861e-35,1.0
59.0,0.0,0.0,1.0,1.06851091744e-44
60.0,1.0,1.0,8.17065460318e-81,1.0
61.0,1.0,1.0,4.6046671741e-07,0.999999539533
62.0,0.0,0.0,1.0,5.84211688586e-97
63.0,1.0,0.0,0.999995471166,4.52883360179e-06
64.0,1.0,0.0,1.0,2.62976001879e-57
65.0,0.0,0.0,1.0,4.45398505018e-42
66.0,0.0,0.0,1.0,6.85400088888e-76
67.0,0.0,0.0,1.0,2.25005647305e-53
68.0,0.0,1.0,3.1841584247e-67,1.0
69.0,0.0,1.0,4.95535803036e-51,1.0
70.0,0.0,0.0,1.0,1.39192804646e-74
71.0,0.0,1.0,4.94840001238e-13,1.0
72.0,0.0,0.0,1.0,7.90794589607e-80
73.0,0.0,0.0,1.0,2.33008803979e-86
74.0,0.0,0.0,1.0,1.59930040542e-93
75.0,0.0,0.0,1.0,1.21904785738e-58
76.0,0.0,0.0,1.0,1.28653784637e-73
77.0,0.0,0.0,1.0,1.66944299784e-46
78.0,0.0,0.0,1.0,1.50117409541e-60
79.0,0.0,0.0,1.0,8.56327739218e-53
80.0,0.0,0.0,1.0,1.79661062774e-52
81.0,0.0,0.0,1.0,1.68056088486e-89
82.0,0.0,0.0,1.0,1.64693309805e-60
83.0,0.0,0.0,1.0,1.13529944182e-135
84.0,0.0,0.0,1.0,1.52967055199e-153
85.0,0.0,0.0,1.0,4.57087777447e-48
86.0,0.0,0.0,1.0,8.3993659117e-158
87.0,1.0,1.0,6.32937118097e-74,1.0
88.0,0.0,0.0,1.0,7.59021352421e-153
89.0,0.0,0.0,1.0,4.6517401136e-147
90.0,0.0,0.0,1.0,1.13033727036e-70
91.0,0.0,0.0,1.0,4.48811948319e-40
92.0,0.0,0.0,1.0,2.45527485201e-47
93.0,0.0,0.0,1.0,1.53122919258e-108
94.0,0.0,0.0,1.0,6.68471693168e-146
95.0,1.0,1.0,1.1418895955e-99,1.0
96.0,0.0,1.0,2.53616277127e-35,1.0
97.0,0.0,0.0,1.0,3.19232227113e-46
98.0,0.0,0.0,1.0,7.76937675142e-59
99.0,0.0,0.0,1.0,1.82795670236e-120
100.0,0.0,0.0,1.0,7.10684456759e-90
101.0,0.0,0.0,1.0,2.40817538845e-88
102.0,0.0,0.0,1.0,5.02072041984e-146
103.0,0.0,0.0,1.0,1.16935622604e-53
104.0,0.0,0.0,1.0,2.71109001982e-57
105.0,0.0,0.0,1.0,1.6235285761e-58
106.0,1.0,1.0,3.3053348495e-96,1.0
107.0,1.0,0.0,1.0,4.21152578158e-90
108.0,0.0,0.0,1.0,6.75692780936e-48
109.0,0.0,1.0,3.41846731761e-28,1.0
110.0,1.0,1.0,4.022280815e-25,1.0
111.0,0.0,0.0,1.0,3.37473815103e-30
112.0,1.0,1.0,1.43651806479e-123,1.0
113.0,0.0,0.0,1.0,4.6298249802e-73
114.0,0.0,0.0,1.0,1.05940225857e-112
115.0,1.0,0.0,1.0,3.74119250394e-76
116.0,0.0,0.0,1.0,5.19864662013e-30
117.0,0.0,0.0,1.0,5.54862977685e-72
118.0,0.0,0.0,1.0,4.51821869183e-83
119.0,1.0,1.0,1.80356242645e-13,1.0
120.0,1.0,1.0,1.02260789683e-100,1.0
121.0,1.0,0.0,1.0,7.61133040905e-71
122.0,0.0,0.0,1.0,2.09833860646e-105
123.0,0.0,0.0,1.0,2.30968483296e-50
124.0,0.0,0.0,1.0,1.21778856439e-108
125.0,0.0,0.0,1.0,5.41806567725e-148
126.0,0.0,1.0,3.92751060911e-21,1.0
127.0,0.0,0.0,1.0,3.31977676423e-77
128.0,0.0,1.0,2.55745791478e-64,1.0
129.0,0.0,0.0,1.0,1.21962102038e-168
130.0,0.0,0.0,1.0,3.1148543422e-141
131.0,0.0,0.0,1.0,7.91638293074e-91
132.0,1.0,0.0,0.999998881449,1.11855056498e-06
133.0,0.0,0.0,1.0,2.9386248884e-83
134.0,1.0,1.0,0.000340182251278,0.999659817749
135.0,0.0,0.0,1.0,6.15027092906e-117
136.0,1.0,1.0,2.6057625013e-94,1.0
137.0,0.0,1.0,3.25794487384e-12,0.999999999997
138.0,0.0,0.0,1.0,1.65396342661e-111
139.0,1.0,0.0,1.0,8.60833037174e-23
140.0,0.0,0.0,1.0,1.21998319815e-68
141.0,1.0,1.0,2.02719626559e-90,1.0
142.0,0.0,0.0,1.0,4.79344608238e-134
143.0,0.0,0.0,1.0,1.4336502848e-85
144.0,0.0,0.0,1.0,5.1694652328e-88
145.0,0.0,0.0,1.0,4.59086369956e-39
146.0,0.0,0.0,1.0,7.12380106704e-91
147.0,0.0,0.0,1.0,1.35205263689e-33
148.0,0.0,0.0,1.0,2.31742952095e-15
149.0,0.0,0.0,1.0,9.19572005407e-42
150.0,0.0,0.0,1.0,1.97993839408e-99
151.0,0.0,0.0,1.0,5.45935253348e-50
152.0,0.0,0.0,1.0,3.25916026793e-80
153.0,0.0,0.0,1.0,2.75704032131e-83
154.0,0.0,0.0,1.0,2.4599163309e-88
155.0,0.0,0.0,1.0,1.81152178023e-51
156.0,0.0,0.0,1.0,2.02657718013e-122
157.0,0.0,0.0,1.0,1.85132386504e-62
158.0,0.0,0.0,1.0,4.21138455399e-37
159.0,0.0,0.0,1.0,8.35787715591e-167
160.0,1.0,1.0,4.16843733842e-115,1.0
161.0,0.0,0.0,1.0,2.50028712319e-80
162.0,1.0,0.0,1.0,4.80875713121e-49
163.0,0.0,0.0,1.0,5.93055694647e-88
164.0,0.0,0.0,1.0,3.00460686861e-112
165.0,1.0,1.0,1.79880153814e-101,1.0
166.0,0.0,0.0,1.0,5.80495679989e-72
167.0,1.0,1.0,1.73514463207e-40,1.0
168.0,0.0,0.0,1.0,1.28569795815e-171
169.0,0.0,0.0,1.0,1.6301034072e-53
170.0,0.0,0.0,1.0,4.54837212215e-57
171.0,1.0,0.0,1.0,4.45245991366e-48
172.0,0.0,0.0,1.0,1.82802970913e-74
173.0,1.0,1.0,2.65029846873e-109,1.0
174.0,1.0,0.0,1.0,1.69995412175e-82
175.0,0.0,1.0,1.57657686944e-15,1.0
176.0,0.0,0.0,1.0,7.17133780435e-140
177.0,0.0,0.0,1.0,6.98381926481e-155
178.0,0.0,0.0,1.0,7.95237795015e-67
179.0,0.0,0.0,1.0,1.51397544694e-68
180.0,0.0,1.0,1.44671535571e-27,1.0
181.0,0.0,0.0,1.0,2.14558297524e-144
182.0,0.0,1.0,8.80746890192e-69,1.0
183.0,0.0,0.0,1.0,1.59081813159e-77
184.0,1.0,0.0,1.0,2.62542925522e-38
185.0,0.0,0.0,1.0,4.23888154274e-68
186.0,0.0,0.0,1.0,3.65159152725e-83
187.0,0.0,0.0,1.0,1.56800555132e-102
188.0,0.0,0.0,1.0,1.95390903238e-49
189.0,0.0,0.0,1.0,7.93196267444e-144
190.0,1.0,1.0,4.60153532814e-79,1.0
191.0,0.0,1.0,2.13545019544e-111,1.0
192.0,0.0,0.0,1.0,1.47567764657e-54
193.0,0.0,0.0,1.0,3.94132324504e-50
194.0,0.0,0.0,1.0,3.32310117673e-68
195.0,1.0,1.0,5.37492036422e-139,1.0
196.0,0.0,1.0,0.000551626440542,0.999448373559
197.0,0.0,1.0,3.12433750908e-20,1.0
198.0,1.0,1.0,2.10706076621e-74,1.0
199.0,1.0,1.0,8.49533415264e-08,0.999999915047
200.0,1.0,1.0,6.00451090433e-99,1.0
201.0,0.0,0.0,1.0,3.05070616109e-124
202.0,1.0,1.0,4.77908689188e-127,1.0
203.0,0.0,0.0,1.0,1.06920754426e-48
204.0,0.0,0.0,1.0,2.36218668775e-120
205.0,0.0,0.0,0.999999030516,9.69483906713e-07
206.0,0.0,1.0,8.80746890192e-69,1.0
207.0,0.0,1.0,1.36766968536e-07,0.999999863233
208.0,0.0,0.0,1.0,1.51227198375e-63
209.0,0.0,0.0,1.0,1.15367515136e-56
210.0,0.0,0.0,1.0,3.56476808379e-100
211.0,0.0,0.0,1.0,5.1607161287e-90
212.0,0.0,0.0,1.0,2.37927551208e-70
213.0,0.0,0.0,1.0,5.42016810643e-110
214.0,0.0,0.0,1.0,1.16694852646e-67
215.0,0.0,1.0,2.53097572512e-09,0.999999997469
216.0,0.0,0.0,1.0,5.38939947077e-66
217.0,0.0,0.0,1.0,2.28619220124e-92
218.0,0.0,0.0,1.0,1.20069422587e-42
219.0,0.0,1.0,1.88071611984e-11,0.999999999981
220.0,0.0,1.0,1.71260207321e-18,1.0
221.0,0.0,0.0,1.0,8.10301830345e-66
222.0,0.0,0.0,1.0,1.1511203937e-69
223.0,0.0,0.0,1.0,2.91073470269e-65
224.0,0.0,0.0,1.0,5.90118720867e-58
225.0,1.0,1.0,2.70792490522e-126,1.0
226.0,1.0,1.0,4.96649059188e-92,1.0
227.0,0.0,0.0,1.0,5.87650097425e-48
228.0,1.0,0.0,1.0,2.17323537734e-29
229.0,1.0,1.0,3.36423341592e-94,1.0
230.0,0.0,0.0,1.0,1.07964790722e-58
231.0,0.0,0.0,1.0,4.97868379142e-58
232.0,0.0,0.0,1.0,1.35182411252e-69
233.0,0.0,0.0,1.0,1.04110282937e-101
234.0,0.0,0.0,1.0,2.56827354573e-16
235.0,0.0,0.0,1.0,5.87698359733e-108
236.0,1.0,0.0,1.0,9.31950367039e-18
237.0,0.0,0.0,1.0,1.90830565136e-145
238.0,0.0,0.0,1.0,4.8264593357e-65
239.0,0.0,1.0,6.27145277408e-12,0.999999999994
240.0,0.0,0.0,1.0,4.80878124323e-98
241.0,0.0,0.0,1.0,5.15810380825e-72
242.0,0.0,0.0,1.0,1.19579164032e-67
243.0,1.0,0.0,1.0,1.23499350946e-46
244.0,0.0,0.0,1.0,7.86007782211e-135
245.0,1.0,1.0,7.06045381532e-133,1.0
246.0,0.0,0.0,1.0,1.25963171164e-62
247.0,0.0,0.0,1.0,1.41401172543e-68
248.0,0.0,0.0,1.0,4.42474374147e-59
249.0,0.0,0.0,1.0,4.22429611638e-85
250.0,1.0,0.0,1.0,6.42370351021e-36
251.0,1.0,1.0,4.56258026848e-72,1.0
252.0,0.0,0.0,1.0,4.33059455869e-160
253.0,0.0,0.0,1.0,2.00604307252e-55
254.0,0.0,0.0,1.0,4.98603394012e-42
255.0,0.0,0.0,1.0,3.5881777283e-94
256.0,1.0,1.0,6.83354663548e-96,1.0
257.0,0.0,0.0,1.0,3.24041754538e-90
258.0,0.0,0.0,1.0,9.25435856912e-72
259.0,0.0,0.0,1.0,1.3123647914e-58
260.0,0.0,1.0,4.03896552678e-23,1.0
261.0,1.0,1.0,1.15285801301e-104,1.0
262.0,0.0,0.0,1.0,4.06416490624e-125
263.0,1.0,1.0,4.98734157152e-85,1.0
264.0,0.0,0.0,1.0,2.21790119661e-126
265.0,1.0,1.0,7.84254570845e-64,1.0
266.0,0.0,0.0,1.0,3.5443263426e-98
267.0,0.0,0.0,1.0,1.60517889326e-63
268.0,0.0,0.0,1.0,2.3939394772e-135
269.0,0.0,1.0,0.00138601065357,0.998613989346
270.0,1.0,1.0,6.52236235804e-138,1.0
271.0,0.0,0.0,1.0,2.40965205239e-139
272.0,1.0,1.0,3.73956251798e-69,1.0
273.0,1.0,1.0,1.49220903168e-126,1.0
274.0,0.0,0.0,1.0,2.24692696978e-103
275.0,0.0,1.0,2.51824233084e-11,0.999999999975
276.0,0.0,0.0,1.0,7.54226105309e-147
277.0,0.0,0.0,1.0,3.12893374906e-76
278.0,1.0,1.0,1.49220903168e-126,1.0
279.0,0.0,1.0,1.20386401417e-05,0.99998796136
280.0,0.0,0.0,1.0,4.17575802852e-48
281.0,0.0,0.0,1.0,9.75819554721e-58
282.0,0.0,0.0,1.0,4.02557170199e-97
283.0,1.0,1.0,1.23036520162e-86,1.0
284.0,1.0,1.0,8.33490905244e-119,1.0
285.0,0.0,0.0,1.0,1.81600194764e-141
286.0,0.0,1.0,0.212859310064,0.787140689936
287.0,0.0,0.0,1.0,2.40292096354e-95
288.0,0.0,0.0,1.0,2.31786407621e-101
289.0,1.0,1.0,8.31511453329e-139,1.0
290.0,1.0,0.0,1.0,6.12305570357e-41
291.0,0.0,0.0,1.0,1.00236450664e-83
292.0,0.0,1.0,5.44881904376e-17,1.0
293.0,0.0,0.0,1.0,2.10734226843e-87
294.0,0.0,0.0,1.0,5.93634594798e-61
295.0,0.0,0.0,1.0,2.14141646582e-92
296.0,0.0,0.0,1.0,1.80877153592e-108
297.0,1.0,1.0,2.28402965926e-58,1.0
298.0,1.0,1.0,1.0282808173e-91,1.0
299.0,1.0,0.0,1.0,6.19192017224e-40
300.0,1.0,1.0,1.07657706357e-125,1.0
301.0,0.0,0.0,1.0,2.90476282755e-48
302.0,0.0,0.0,1.0,1.30376353285e-49
303.0,0.0,0.0,0.999999999999,1.14836514011e-12
304.0,1.0,0.0,1.0,3.53510867603e-44
305.0,0.0,0.0,1.0,1.78556232121e-52
306.0,0.0,0.0,1.0,3.39704939612e-64
307.0,1.0,1.0,1.71124060339e-72,1.0
308.0,0.0,0.0,1.0,1.40123684563e-34
309.0,0.0,0.0,1.0,2.00463163071e-124
310.0,0.0,1.0,3.86486757406e-38,1.0
311.0,0.0,0.0,0.999997582238,2.41776151189e-06
312.0,0.0,0.0,1.0,6.6122260448e-72
313.0,0.0,0.0,1.0,7.72033123758e-70
314.0,0.0,0.0,1.0,4.17789466139e-74
315.0,1.0,0.0,1.0,9.42414681789e-19
316.0,1.0,1.0,6.34634661488e-52,1.0
317.0,1.0,1.0,5.01695359439e-95,1.0
318.0,0.0,0.0,1.0,2.05550241856e-82
319.0,0.0,0.0,1.0,2.375156458e-110
320.0,0.0,0.0,1.0,4.43654221015e-186
321.0,1.0,1.0,9.4428766998e-54,1.0
322.0,0.0,0.0,1.0,2.31299982026e-118
323.0,1.0,0.0,1.0,4.78765633913e-69
324.0,0.0,0.0,1.0,1.68518652957e-168
325.0,1.0,1.0,1.44610636895e-78,1.0
326.0,0.0,0.0,1.0,6.57456822729e-62
327.0,0.0,0.0,1.0,2.57058853813e-155
328.0,1.0,0.0,1.0,5.71608082761e-50
329.0,0.0,0.0,1.0,5.50420702843e-72
330.0,0.0,0.0,1.0,2.45690524e-71
331.0,0.0,1.0,7.92940825342e-28,1.0
332.0,1.0,1.0,6.98720818593e-95,1.0
333.0,0.0,0.0,1.0,9.53367179512e-135
334.0,0.0,0.0,1.0,2.59247899828e-50
335.0,0.0,0.0,1.0,2.83632402343e-64
336.0,0.0,0.0,1.0,1.26143460153e-61
337.0,0.0,0.0,1.0,2.36409153551e-54
338.0,0.0,0.0,1.0,1.10612056768e-70
339.0,0.0,0.0,1.0,5.6450645612e-183
340.0,0.0,0.0,1.0,2.9514656237e-81
341.0,0.0,0.0,1.0,2.49469737431e-17
342.0,0.0,0.0,1.0,5.75001352651e-90
343.0,0.0,0.0,1.0,1.02336831147e-108
344.0,0.0,0.0,1.0,5.88491186629e-151
345.0,0.0,0.0,1.0,9.69822929289e-80
346.0,1.0,1.0,9.95482288637e-100,1.0
347.0,1.0,1.0,6.27834080963e-70,1.0
348.0,0.0,1.0,0.00640004715143,0.993599952849
349.0,0.0,0.0,1.0,3.89382427216e-103
350.0,0.0,1.0,1.05172103856e-31,1.0
351.0,1.0,1.0,7.53202427119e-179,1.0
352.0,0.0,0.0,1.0,2.73091066197e-114
353.0,0.0,0.0,1.0,1.04038705066e-142
354.0,0.0,0.0,0.999975637231,2.43627691676e-05
355.0,1.0,1.0,1.08235183874e-141,1.0
356.0,0.0,0.0,1.0,3.97053943158e-91
357.0,1.0,1.0,1.14602678009e-124,1.0
358.0,0.0,0.0,1.0,1.8227251819e-130
359.0,0.0,0.0,1.0,1.16879400535e-109
360.0,0.0,0.0,1.0,1.12248479285e-83
361.0,1.0,1.0,1.61320676374e-07,0.999999838679
362.0,1.0,1.0,7.96110576498e-117,1.0
363.0,0.0,0.0,1.0,2.86994149122e-70
364.0,0.0,0.0,1.0,5.22743784953e-122
365.0,0.0,1.0,1.32922343024e-31,1.0
366.0,0.0,0.0,1.0,2.23082912693e-64
367.0,0.0,0.0,1.0,3.71958405164e-57
368.0,1.0,1.0,5.46544937054e-177,1.0
369.0,0.0,0.0,1.0,1.88114656338e-59
370.0,1.0,1.0,3.75605235705e-52,1.0
371.0,0.0,0.0,1.0,5.41346682853e-129
372.0,0.0,0.0,1.0,1.86109721305e-65
373.0,0.0,0.0,1.0,1.23731852893e-72
374.0,0.0,0.0,1.0,7.58875678712e-103
375.0,0.0,0.0,1.0,1.47432436744e-69
376.0,0.0,1.0,1.2022205789e-16,1.0
377.0,0.0,0.0,1.0,1.74108896051e-80
378.0,0.0,0.0,1.0,5.81109287371e-42
379.0,1.0,1.0,1.13247225458e-127,1.0
380.0,0.0,1.0,4.55170574346e-93,1.0
381.0,0.0,0.0,1.0,5.80622967313e-31
382.0,0.0,0.0,1.0,3.36236353219e-55
383.0,1.0,0.0,1.0,8.43524504236e-59
384.0,0.0,0.0,1.0,4.08614096804e-84
385.0,1.0,1.0,4.33503693278e-100,1.0
386.0,0.0,0.0,1.0,3.01248626942e-118
387.0,1.0,1.0,1.39619343667e-49,1.0
388.0,1.0,0.0,1.0,4.72067331301e-74
389.0,0.0,0.0,1.0,6.89134312647e-103
390.0,0.0,0.0,1.0,6.07673716738e-48
391.0,0.0,0.0,1.0,3.00436156783e-110
392.0,1.0,1.0,9.97116104494e-134,1.0
393.0,0.0,0.0,1.0,1.69019285808e-132
394.0,0.0,1.0,1.32964926006e-63,1.0
395.0,0.0,0.0,1.0,3.32075547686e-77
396.0,1.0,1.0,2.68838795672e-67,1.0
397.0,0.0,0.0,1.0,8.82660574017e-56
398.0,1.0,0.0,1.0,7.16523186421e-51
399.0,0.0,0.0,1.0,4.09711817871e-94
400.0,1.0,0.0,1.0,2.67691926546e-39
401.0,0.0,0.0,1.0,6.79080041311e-70
402.0,0.0,1.0,3.06250789569e-05,0.999969374921
403.0,0.0,0.0,1.0,7.8286055202e-96
404.0,0.0,0.0,1.0,3.02104664744e-102
405.0,0.0,0.0,1.0,1.51637055252e-41
406.0,1.0,1.0,9.11149060033e-14,1.0
407.0,0.0,0.0,1.0,2.23228089786e-42
408.0,0.0,0.0,1.0,2.17331128034e-28
409.0,0.0,1.0,4.60508681373e-08,0.999999953949
410.0,1.0,1.0,1.1263471935e-97,1.0
411.0,0.0,0.0,1.0,2.32070183068e-29
412.0,0.0,0.0,1.0,3.63073363076e-56
413.0,0.0,0.0,1.0,2.08819082458e-128
