inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,0.0
2.0,0.0,0.0,0.99,0.01
3.0,1.0,1.0,0.05,0.95
4.0,0.0,0.0,1.0,0.0
5.0,0.0,0.0,0.99,0.01
6.0,0.0,0.0,0.58,0.42
7.0,0.0,0.0,1.0,0.0
8.0,0.0,0.0,0.97,0.03
9.0,0.0,0.0,0.85,0.15
10.0,1.0,1.0,0.03,0.97
11.0,0.0,0.0,0.98,0.02
12.0,1.0,1.0,0.07,0.93
13.0,1.0,1.0,0.04,0.96
14.0,0.0,0.0,0.94,0.06
15.0,1.0,1.0,0.06,0.94
16.0,0.0,0.0,0.98,0.02
17.0,1.0,1.0,0.09,0.91
18.0,0.0,0.0,0.99,0.01
19.0,1.0,1.0,0.23,0.77
20.0,0.0,0.0,0.99,0.01
21.0,1.0,1.0,0.25,0.75
22.0,0.0,0.0,0.92,0.08
23.0,0.0,0.0,0.89,0.11
24.0,0.0,0.0,0.99,0.01
25.0,0.0,0.0,1.0,0.0
26.0,0.0,0.0,1.0,0.0
27.0,0.0,0.0,0.98,0.02
28.0,0.0,0.0,1.0,0.0
29.0,1.0,1.0,0.32,0.68
30.0,0.0,0.0,0.77,0.23
31.0,1.0,1.0,0.03,0.97
32.0,0.0,0.0,0.98,0.02
33.0,1.0,1.0,0.03,0.97
34.0,0.0,0.0,0.99,0.01
35.0,0.0,0.0,1.0,0.0
36.0,0.0,0.0,0.99,0.01
37.0,0.0,0.0,0.98,0.02
38.0,0.0,0.0,0.98,0.02
39.0,1.0,1.0,0.01,0.99
40.0,0.0,0.0,1.0,0.0
41.0,0.0,0.0,0.97,0.03
42.0,0.0,0.0,1.0,0.0
43.0,1.0,1.0,0.24,0.76
44.0,1.0,1.0,0.13,0.87
45.0,0.0,0.0,0.99,0.01
46.0,0.0,0.0,0.99,0.01
47.0,1.0,1.0,0.15,0.85
48.0,0.0,0.0,0.99,0.01
49.0,1.0,1.0,0.14,0.86
50.0,0.0,0.0,0.96,0.04
51.0,0.0,0.0,0.97,0.03
52.0,0.0,0.0,1.0,0.0
53.0,0.0,1.0,0.41,0.59
54.0,0.0,0.0,1.0,0.0
55.0,0.0,0.0,0.94,0.06
56.0,1.0,1.0,0.27,0.73
57.0,0.0,0.0,0.94,0.06
58.0,0.0,0.0,0.89,0.11
59.0,0.0,0.0,0.94,0.06
60.0,1.0,1.0,0.06,0.94
61.0,1.0,1.0,0.06,0.94
62.0,0.0,0.0,0.99,0.01
63.0,1.0,1.0,0.12,0.88
64.0,1.0,1.0,0.14,0.86
65.0,0.0,0.0,1.0,0.0
66.0,0.0,0.0,1.0,0.0
67.0,0.0,0.0,0.92,0.08
68.0,0.0,1.0,0.48,0.52
69.0,0.0,0.0,0.95,0.05
70.0,0.0,0.0,1.0,0.0
71.0,0.0,0.0,0.95,0.05
72.0,0.0,0.0,0.97,0.03
73.0,0.0,0.0,0.99,0.01
74.0,0.0,0.0,0.95,0.05
75.0,0.0,0.0,0.99,0.01
76.0,0.0,0.0,0.99,0.01
77.0,0.0,0.0,0.99,0.01
78.0,0.0,0.0,0.99,0.01
79.0,0.0,0.0,1.0,0.0
80.0,0.0,0.0,0.98,0.02
81.0,0.0,0.0,1.0,0.0
82.0,0.0,0.0,1.0,0.0
83.0,0.0,0.0,1.0,0.0
84.0,0.0,0.0,1.0,0.0
85.0,0.0,0.0,1.0,0.0
86.0,0.0,0.0,1.0,0.0
87.0,1.0,1.0,0.03,0.97
88.0,0.0,0.0,1.0,0.0
89.0,0.0,0.0,0.86,0.14
90.0,0.0,0.0,1.0,0.0
91.0,0.0,0.0,0.96,0.04
92.0,0.0,0.0,0.92,0.08
93.0,0.0,0.0,1.0,0.0
94.0,0.0,0.0,0.99,0.01
95.0,1.0,1.0,0.0,1.0
96.0,0.0,0.0,0.77,0.23
97.0,0.0,0.0,1.0,0.0
98.0,0.0,0.0,0.97,0.03
99.0,0.0,0.0,1.0,0.0
100.0,0.0,0.0,1.0,0.0
101.0,0.0,0.0,0.98,0.02
102.0,0.0,0.0,0.99,0.01
103.0,0.0,0.0,1.0,0.0
104.0,0.0,0.0,0.99,0.01
105.0,0.0,0.0,0.92,0.08
106.0,1.0,1.0,0.13,0.87
107.0,1.0,1.0,0.47,0.53
108.0,0.0,0.0,1.0,0.0
109.0,0.0,0.0,0.8,0.2
110.0,1.0,1.0,0.17,0.83
111.0,0.0,0.0,0.96,0.04
112.0,1.0,1.0,0.04,0.96
113.0,0.0,0.0,0.99,0.01
114.0,0.0,0.0,1.0,0.0
115.0,1.0,0.0,0.86,0.14
116.0,0.0,0.0,0.92,0.08
117.0,0.0,0.0,0.99,0.01
118.0,0.0,0.0,1.0,0.0
119.0,1.0,1.0,0.1,0.9
120.0,1.0,1.0,0.02,0.98
121.0,1.0,1.0,0.26,0.74
122.0,0.0,0.0,0.98,0.02
123.0,0.0,0.0,0.55,0.45
124.0,0.0,0.0,1.0,0.0
125.0,0.0,0.0,0.96,0.04
126.0,0.0,0.0,0.82,0.18
127.0,0.0,0.0,0.97,0.03
128.0,0.0,1.0,0.37,0.63
129.0,0.0,0.0,1.0,0.0
130.0,0.0,0.0,1.0,0.0
131.0,0.0,0.0,0.99,0.01
132.0,1.0,1.0,0.18,0.82
133.0,0.0,0.0,1.0,0.0
134.0,1.0,1.0,0.01,0.99
135.0,0.0,0.0,0.98,0.02
136.0,1.0,1.0,0.02,0.98
137.0,0.0,0.0,0.83,0.17
138.0,0.0,0.0,0.99,0.01
139.0,1.0,1.0,0.1,0.9
140.0,0.0,0.0,1.0,0.0
141.0,1.0,1.0,0.02,0.98
142.0,0.0,0.0,1.0,0.0
143.0,0.0,0.0,1.0,0.0
144.0,0.0,0.0,1.0,0.0
145.0,0.0,0.0,0.99,0.01
146.0,0.0,0.0,0.99,0.01
147.0,0.0,0.0,0.98,0.02
148.0,0.0,0.0,0.68,0.32
149.0,0.0,0.0,0.93,0.07
150.0,0.0,0.0,1.0,0.0
151.0,0.0,0.0,1.0,0.0
152.0,0.0,0.0,0.99,0.01
153.0,0.0,0.0,0.99,0.01
154.0,0.0,0.0,0.97,0.03
155.0,0.0,0.0,0.98,0.02
156.0,0.0,0.0,1.0,0.0
157.0,0.0,0.0,0.94,0.06
158.0,0.0,0.0,0.96,0.04
159.0,0.0,0.0,1.0,0.0
160.0,1.0,1.0,0.01,0.99
161.0,0.0,0.0,0.93,0.07
162.0,1.0,0.0,0.95,0.05
163.0,0.0,0.0,0.95,0.05
164.0,0.0,0.0,1.0,0.0
165.0,1.0,1.0,0.04,0.96
166.0,0.0,0.0,1.0,0.0
167.0,1.0,1.0,0.06,0.94
168.0,0.0,0.0,1.0,0.0
169.0,0.0,0.0,1.0,0.0
170.0,0.0,0.0,1.0,0.0
171.0,1.0,1.0,0.05,0.95
172.0,0.0,0.0,0.99,0.01
173.0,1.0,1.0,0.18,0.82
174.0,1.0,1.0,0.36,0.64
175.0,0.0,0.0,0.93,0.07
176.0,0.0,0.0,0.99,0.01
177.0,0.0,0.0,1.0,0.0
178.0,0.0,0.0,0.99,0.01
179.0,0.0,0.0,0.97,0.03
180.0,0.0,0.0,0.95,0.05
181.0,0.0,0.0,0.97,0.03
182.0,0.0,0.0,0.97,0.03
183.0,0.0,0.0,1.0,0.0
