inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,8.08961747339e-140,1.0
2.0,0.0,0.0,1.0,1.04189132777e-134
3.0,0.0,1.0,1.29031674757e-31,1.0
4.0,0.0,0.0,1.0,9.55414763488e-97
5.0,0.0,0.0,1.0,7.11422327796e-62
6.0,0.0,0.0,1.0,6.58569213456e-59
7.0,0.0,0.0,1.0,6.13645984464e-142
8.0,0.0,0.0,1.0,8.74070663326e-127
9.0,0.0,0.0,1.0,4.7851105982e-54
10.0,1.0,0.0,1.0,2.1954947046e-57
11.0,0.0,0.0,1.0,6.39206632085e-224
12.0,0.0,0.0,1.0,7.23699550372e-62
13.0,1.0,1.0,1.91625028089e-123,1.0
14.0,1.0,1.0,2.55407273907e-195,1.0
15.0,0.0,0.0,1.0,6.67280251007e-208
16.0,1.0,1.0,1.15412500221e-132,1.0
17.0,0.0,1.0,2.15140398969e-183,1.0
18.0,0.0,0.0,1.0,2.77573782606e-211
19.0,0.0,0.0,1.0,6.25793932064e-200
20.0,1.0,0.0,1.0,8.9449988424e-33
21.0,0.0,1.0,4.35371814096e-30,1.0
22.0,1.0,1.0,1.76317825008e-163,1.0
23.0,0.0,1.0,3.39566904688e-111,1.0
24.0,0.0,0.0,1.0,1.81048673656e-80
25.0,0.0,0.0,1.0,1.54324208173e-55
26.0,0.0,0.0,1.0,1.67546487644e-220
27.0,0.0,0.0,1.0,1.39959917868e-69
28.0,1.0,1.0,2.78944567544e-187,1.0
29.0,0.0,0.0,1.0,1.8087803609e-81
30.0,0.0,0.0,1.0,2.33620375065e-217
31.0,0.0,0.0,1.0,3.90995896253e-179
32.0,0.0,0.0,1.0,1.46320829238e-174
33.0,0.0,1.0,8.21047581763e-176,1.0
34.0,1.0,0.0,1.0,1.56993509081e-165
35.0,0.0,0.0,1.0,9.38515772106e-115
36.0,0.0,1.0,4.92756923651e-25,1.0
37.0,0.0,0.0,1.0,2.74371903911e-197
38.0,0.0,0.0,1.0,7.65870056317e-89
39.0,0.0,0.0,1.0,6.34685238595e-105
40.0,0.0,0.0,1.0,1.46833937643e-163
41.0,0.0,0.0,1.0,8.03600970545e-109
42.0,0.0,0.0,1.0,3.45015823471e-45
