inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,0.01,0.99
2.0,0.0,0.0,0.89,0.11
3.0,0.0,0.0,0.64,0.36
4.0,0.0,0.0,1.0,0.0
5.0,0.0,0.0,0.78,0.22
6.0,0.0,0.0,0.97,0.03
7.0,0.0,0.0,0.97,0.03
8.0,0.0,0.0,0.99,0.01
9.0,0.0,0.0,1.0,0.0
10.0,1.0,1.0,0.2,0.8
11.0,0.0,0.0,1.0,0.0
12.0,0.0,0.0,0.95,0.05
13.0,1.0,1.0,0.08,0.92
14.0,1.0,1.0,0.04,0.96
15.0,0.0,0.0,1.0,0.0
16.0,1.0,1.0,0.0,1.0
17.0,0.0,0.0,0.53,0.47
18.0,0.0,0.0,1.0,0.0
19.0,0.0,0.0,1.0,0.0
20.0,1.0,1.0,0.11,0.89
21.0,0.0,0.0,0.62,0.38
22.0,1.0,1.0,0.03,0.97
23.0,0.0,1.0,0.11,0.89
24.0,0.0,0.0,0.96,0.04
25.0,0.0,0.0,0.73,0.27
26.0,0.0,0.0,1.0,0.0
27.0,0.0,0.0,0.86,0.14
28.0,1.0,1.0,0.0,1.0
29.0,0.0,0.0,0.97,0.03
30.0,0.0,0.0,1.0,0.0
31.0,0.0,0.0,1.0,0.0
32.0,0.0,0.0,1.0,0.0
33.0,0.0,1.0,0.2,0.8
34.0,1.0,0.0,0.99,0.01
35.0,0.0,0.0,1.0,0.0
36.0,0.0,0.0,0.99,0.01
37.0,0.0,0.0,1.0,0.0
38.0,0.0,0.0,0.92,0.08
39.0,0.0,0.0,1.0,0.0
40.0,0.0,0.0,1.0,0.0
41.0,0.0,0.0,1.0,0.0
42.0,0.0,0.0,0.96,0.04
43.0,0.0,0.0,1.0,0.0
44.0,0.0,0.0,1.0,0.0
45.0,0.0,0.0,0.95,0.05
46.0,0.0,0.0,0.99,0.01
47.0,0.0,0.0,0.99,0.01
48.0,0.0,0.0,0.99,0.01
49.0,0.0,0.0,1.0,0.0
50.0,0.0,0.0,1.0,0.0
51.0,0.0,0.0,1.0,0.0
52.0,0.0,0.0,1.0,0.0
53.0,0.0,0.0,0.98,0.02
54.0,0.0,0.0,1.0,0.0
55.0,0.0,0.0,0.84,0.16
56.0,0.0,0.0,1.0,0.0
57.0,0.0,0.0,1.0,0.0
58.0,0.0,0.0,1.0,0.0
59.0,0.0,0.0,1.0,0.0
60.0,0.0,0.0,0.56,0.44
61.0,0.0,0.0,1.0,0.0
62.0,0.0,0.0,1.0,0.0
63.0,0.0,0.0,1.0,0.0
64.0,0.0,0.0,0.98,0.02
65.0,0.0,0.0,1.0,0.0
66.0,0.0,0.0,1.0,0.0
67.0,0.0,0.0,1.0,0.0
68.0,0.0,0.0,1.0,0.0
69.0,0.0,0.0,0.99,0.01
70.0,0.0,0.0,0.96,0.04
71.0,0.0,0.0,0.87,0.13
72.0,0.0,0.0,0.96,0.04
73.0,0.0,0.0,1.0,0.0
74.0,0.0,0.0,1.0,0.0
75.0,1.0,1.0,0.02,0.98
76.0,0.0,0.0,0.93,0.07
77.0,0.0,0.0,0.97,0.03
78.0,0.0,0.0,0.73,0.27
79.0,1.0,1.0,0.0,1.0
80.0,0.0,0.0,0.97,0.03
81.0,0.0,0.0,1.0,0.0
82.0,1.0,1.0,0.1,0.9
83.0,0.0,0.0,0.6,0.4
84.0,1.0,1.0,0.06,0.94
85.0,1.0,1.0,0.0,1.0
86.0,0.0,0.0,1.0,0.0
87.0,1.0,1.0,0.08,0.92
88.0,0.0,0.0,1.0,0.0
89.0,0.0,0.0,1.0,0.0
90.0,0.0,0.0,1.0,0.0
91.0,0.0,0.0,0.95,0.05
92.0,1.0,1.0,0.13,0.87
93.0,0.0,0.0,0.98,0.02
94.0,0.0,0.0,0.99,0.01
95.0,0.0,0.0,1.0,0.0
96.0,0.0,0.0,1.0,0.0
97.0,0.0,0.0,1.0,0.0
98.0,1.0,1.0,0.0,1.0
99.0,1.0,1.0,0.26,0.74
100.0,0.0,0.0,1.0,0.0
101.0,0.0,0.0,1.0,0.0
102.0,0.0,0.0,0.98,0.02
103.0,1.0,1.0,0.0,1.0
104.0,0.0,0.0,0.97,0.03
105.0,0.0,0.0,0.99,0.01
106.0,0.0,0.0,0.9,0.1
107.0,1.0,1.0,0.0,1.0
108.0,0.0,0.0,1.0,0.0
109.0,0.0,0.0,1.0,0.0
110.0,0.0,0.0,0.98,0.02
111.0,0.0,0.0,0.99,0.01
112.0,0.0,0.0,1.0,0.0
113.0,0.0,0.0,1.0,0.0
114.0,0.0,0.0,0.69,0.31
115.0,0.0,0.0,0.79,0.21
116.0,0.0,0.0,1.0,0.0
117.0,1.0,1.0,0.06,0.94
118.0,1.0,1.0,0.0,1.0
119.0,0.0,0.0,0.95,0.05
120.0,1.0,1.0,0.08,0.92
121.0,0.0,0.0,1.0,0.0
122.0,1.0,1.0,0.24,0.76
123.0,0.0,0.0,0.99,0.01
124.0,0.0,0.0,1.0,0.0
125.0,0.0,0.0,1.0,0.0
126.0,0.0,0.0,1.0,0.0
127.0,0.0,0.0,0.99,0.01
128.0,0.0,0.0,0.99,0.01
129.0,0.0,0.0,1.0,0.0
130.0,0.0,0.0,1.0,0.0
131.0,0.0,0.0,1.0,0.0
132.0,0.0,0.0,1.0,0.0
133.0,0.0,0.0,1.0,0.0
134.0,0.0,0.0,1.0,0.0
135.0,1.0,1.0,0.0,1.0
136.0,0.0,0.0,0.99,0.01
137.0,1.0,0.0,0.68,0.32
138.0,0.0,0.0,0.99,0.01
139.0,1.0,1.0,0.1,0.9
140.0,0.0,0.0,1.0,0.0
141.0,0.0,0.0,0.97,0.03
142.0,1.0,1.0,0.0,1.0
143.0,0.0,0.0,0.64,0.36
144.0,0.0,0.0,1.0,0.0
145.0,0.0,0.0,1.0,0.0
146.0,0.0,0.0,1.0,0.0
147.0,1.0,0.0,0.73,0.27
148.0,0.0,0.0,0.97,0.03
149.0,0.0,0.0,1.0,0.0
150.0,1.0,1.0,0.07,0.93
151.0,1.0,1.0,0.08,0.92
152.0,0.0,0.0,0.74,0.26
153.0,0.0,0.0,0.53,0.47
154.0,0.0,0.0,1.0,0.0
155.0,0.0,0.0,1.0,0.0
156.0,0.0,0.0,0.97,0.03
157.0,1.0,1.0,0.0,1.0
158.0,0.0,0.0,1.0,0.0
159.0,0.0,0.0,1.0,0.0
160.0,0.0,0.0,1.0,0.0
161.0,0.0,0.0,1.0,0.0
162.0,0.0,0.0,1.0,0.0
163.0,0.0,0.0,0.72,0.28
164.0,0.0,0.0,1.0,0.0
165.0,1.0,0.0,0.85,0.15
166.0,0.0,0.0,1.0,0.0
167.0,0.0,0.0,1.0,0.0
168.0,0.0,0.0,1.0,0.0
169.0,0.0,0.0,0.99,0.01
170.0,1.0,1.0,0.24,0.76
171.0,1.0,1.0,0.16,0.84
172.0,1.0,0.0,0.8,0.2
173.0,1.0,1.0,0.0,1.0
174.0,0.0,0.0,0.98,0.02
175.0,1.0,1.0,0.1,0.9
176.0,1.0,1.0,0.18,0.82
177.0,1.0,1.0,0.13,0.87
178.0,1.0,1.0,0.1,0.9
179.0,0.0,0.0,0.97,0.03
180.0,1.0,1.0,0.01,0.99
181.0,1.0,1.0,0.09,0.91
182.0,1.0,1.0,0.34,0.66
183.0,0.0,0.0,0.98,0.02
184.0,0.0,0.0,1.0,0.0
185.0,1.0,1.0,0.08,0.92
186.0,0.0,0.0,0.98,0.02
187.0,1.0,1.0,0.01,0.99
188.0,0.0,0.0,1.0,0.0
189.0,0.0,0.0,1.0,0.0
190.0,0.0,0.0,1.0,0.0
191.0,0.0,0.0,0.94,0.06
192.0,0.0,0.0,1.0,0.0
193.0,0.0,0.0,0.97,0.03
194.0,1.0,1.0,0.0,1.0
195.0,0.0,0.0,1.0,0.0
196.0,1.0,1.0,0.02,0.98
197.0,0.0,0.0,0.96,0.04
198.0,1.0,1.0,0.13,0.87
199.0,0.0,0.0,1.0,0.0
200.0,0.0,1.0,0.15,0.85
201.0,0.0,0.0,1.0,0.0
202.0,0.0,0.0,1.0,0.0
203.0,0.0,0.0,0.81,0.19
204.0,0.0,0.0,0.99,0.01
205.0,0.0,0.0,1.0,0.0
206.0,0.0,0.0,0.95,0.05
207.0,1.0,1.0,0.2,0.8
208.0,0.0,0.0,0.97,0.03
209.0,1.0,1.0,0.07,0.93
210.0,0.0,0.0,0.95,0.05
211.0,1.0,1.0,0.15,0.85
212.0,0.0,0.0,0.98,0.02
213.0,0.0,0.0,0.99,0.01
214.0,0.0,0.0,0.96,0.04
215.0,1.0,1.0,0.07,0.93
216.0,0.0,0.0,0.91,0.09
217.0,0.0,0.0,1.0,0.0
218.0,0.0,0.0,1.0,0.0
219.0,1.0,1.0,0.07,0.93
220.0,0.0,0.0,1.0,0.0
221.0,0.0,0.0,0.94,0.06
222.0,0.0,0.0,1.0,0.0
223.0,0.0,0.0,1.0,0.0
224.0,0.0,0.0,0.85,0.15
225.0,0.0,0.0,1.0,0.0
226.0,0.0,0.0,0.94,0.06
227.0,0.0,1.0,0.0,1.0
228.0,0.0,0.0,1.0,0.0
229.0,0.0,0.0,0.75,0.25
230.0,1.0,1.0,0.02,0.98
231.0,1.0,1.0,0.0,1.0
232.0,1.0,1.0,0.0,1.0
233.0,0.0,0.0,1.0,0.0
234.0,1.0,1.0,0.07,0.93
235.0,0.0,0.0,1.0,0.0
236.0,0.0,0.0,0.99,0.01
237.0,0.0,0.0,1.0,0.0
238.0,0.0,0.0,1.0,0.0
239.0,0.0,0.0,0.92,0.08
240.0,0.0,0.0,1.0,0.0
241.0,0.0,0.0,1.0,0.0
242.0,1.0,1.0,0.27,0.73
243.0,0.0,0.0,1.0,0.0
244.0,0.0,0.0,1.0,0.0
245.0,0.0,1.0,0.42,0.58
246.0,0.0,0.0,1.0,0.0
247.0,1.0,0.0,0.98,0.02
248.0,1.0,1.0,0.0,1.0
249.0,1.0,1.0,0.22,0.78
250.0,0.0,0.0,1.0,0.0
251.0,1.0,0.0,0.55,0.45
252.0,0.0,0.0,1.0,0.0
253.0,0.0,0.0,0.99,0.01
254.0,1.0,1.0,0.0,1.0
255.0,1.0,1.0,0.19,0.81
256.0,0.0,0.0,1.0,0.0
257.0,0.0,0.0,1.0,0.0
258.0,0.0,0.0,0.97,0.03
259.0,0.0,0.0,0.88,0.12
260.0,0.0,0.0,1.0,0.0
261.0,1.0,1.0,0.09,0.91
262.0,0.0,0.0,1.0,0.0
263.0,0.0,0.0,0.99,0.01
264.0,0.0,0.0,1.0,0.0
265.0,1.0,1.0,0.46,0.54
266.0,0.0,0.0,0.98,0.02
267.0,0.0,0.0,0.93,0.07
268.0,0.0,0.0,0.97,0.03
269.0,1.0,1.0,0.0,1.0
270.0,0.0,0.0,0.97,0.03
271.0,0.0,0.0,0.99,0.01
272.0,0.0,0.0,0.77,0.23
273.0,1.0,1.0,0.02,0.98
274.0,0.0,0.0,1.0,0.0
275.0,1.0,1.0,0.07,0.93
276.0,0.0,0.0,1.0,0.0
277.0,0.0,0.0,1.0,0.0
278.0,0.0,0.0,0.99,0.01
279.0,1.0,1.0,0.0,1.0
280.0,0.0,0.0,0.97,0.03
281.0,1.0,1.0,0.09,0.91
282.0,0.0,0.0,0.98,0.02
283.0,0.0,0.0,0.83,0.17
284.0,0.0,0.0,0.84,0.16
285.0,0.0,0.0,0.99,0.01
286.0,0.0,0.0,0.99,0.01
287.0,0.0,0.0,1.0,0.0
288.0,0.0,0.0,1.0,0.0
289.0,0.0,0.0,0.96,0.04
290.0,0.0,0.0,1.0,0.0
291.0,0.0,0.0,0.58,0.42
292.0,1.0,1.0,0.12,0.88
293.0,1.0,1.0,0.02,0.98
294.0,0.0,0.0,1.0,0.0
295.0,1.0,1.0,0.0,1.0
296.0,0.0,0.0,1.0,0.0
297.0,0.0,0.0,0.97,0.03
298.0,1.0,1.0,0.41,0.59
299.0,1.0,1.0,0.37,0.63
300.0,0.0,0.0,1.0,0.0
301.0,0.0,0.0,0.53,0.47
302.0,0.0,0.0,1.0,0.0
303.0,0.0,0.0,1.0,0.0
304.0,0.0,0.0,1.0,0.0
305.0,0.0,0.0,1.0,0.0
306.0,0.0,0.0,1.0,0.0
307.0,0.0,0.0,1.0,0.0
308.0,0.0,0.0,0.96,0.04
309.0,0.0,0.0,0.99,0.01
310.0,1.0,0.0,0.94,0.06
311.0,1.0,0.0,0.55,0.45
312.0,0.0,0.0,0.99,0.01
313.0,0.0,0.0,1.0,0.0
314.0,1.0,1.0,0.1,0.9
315.0,0.0,0.0,1.0,0.0
316.0,0.0,0.0,1.0,0.0
317.0,0.0,0.0,0.99,0.01
318.0,1.0,1.0,0.03,0.97
319.0,0.0,0.0,1.0,0.0
320.0,0.0,0.0,1.0,0.0
321.0,0.0,0.0,0.94,0.06
322.0,0.0,0.0,1.0,0.0
323.0,1.0,1.0,0.05,0.95
324.0,0.0,0.0,1.0,0.0
325.0,1.0,1.0,0.0,1.0
326.0,0.0,0.0,0.98,0.02
327.0,1.0,1.0,0.01,0.99
328.0,0.0,0.0,1.0,0.0
329.0,1.0,1.0,0.07,0.93
330.0,0.0,0.0,1.0,0.0
331.0,1.0,1.0,0.49,0.51
332.0,0.0,0.0,1.0,0.0
333.0,0.0,0.0,1.0,0.0
334.0,0.0,0.0,1.0,0.0
335.0,0.0,0.0,1.0,0.0
336.0,0.0,0.0,0.97,0.03
337.0,1.0,1.0,0.1,0.9
338.0,1.0,1.0,0.16,0.84
339.0,0.0,0.0,1.0,0.0
340.0,0.0,0.0,0.96,0.04
341.0,0.0,1.0,0.16,0.84
342.0,1.0,1.0,0.14,0.86
343.0,0.0,0.0,0.99,0.01
344.0,0.0,0.0,0.91,0.09
345.0,0.0,0.0,0.99,0.01
346.0,0.0,0.0,1.0,0.0
347.0,1.0,1.0,0.03,0.97
348.0,0.0,0.0,1.0,0.0
349.0,0.0,0.0,0.78,0.22
350.0,0.0,0.0,0.87,0.13
351.0,0.0,0.0,0.96,0.04
352.0,0.0,0.0,1.0,0.0
353.0,0.0,0.0,1.0,0.0
354.0,1.0,1.0,0.07,0.93
355.0,1.0,0.0,0.73,0.27
356.0,0.0,0.0,1.0,0.0
357.0,0.0,0.0,1.0,0.0
358.0,0.0,0.0,0.99,0.01
359.0,0.0,0.0,0.9,0.1
360.0,0.0,0.0,1.0,0.0
361.0,0.0,0.0,0.99,0.01
362.0,0.0,0.0,1.0,0.0
363.0,0.0,0.0,1.0,0.0
364.0,0.0,0.0,1.0,0.0
365.0,0.0,0.0,1.0,0.0
366.0,0.0,0.0,1.0,0.0
367.0,0.0,0.0,1.0,0.0
368.0,0.0,0.0,1.0,0.0
369.0,0.0,0.0,0.98,0.02
370.0,1.0,1.0,0.07,0.93
371.0,0.0,0.0,1.0,0.0
372.0,1.0,1.0,0.01,0.99
373.0,0.0,0.0,1.0,0.0
374.0,1.0,1.0,0.16,0.84
375.0,0.0,0.0,0.63,0.37
376.0,0.0,0.0,0.93,0.07
