inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,2.47302412859e-136
2.0,0.0,0.0,1.0,1.01128507088e-102
3.0,1.0,1.0,1.89911934935e-208,1.0
4.0,0.0,0.0,1.0,4.60351550829e-100
5.0,0.0,0.0,1.0,2.36415755441e-52
6.0,0.0,0.0,1.0,4.97903993314e-54
7.0,0.0,0.0,1.0,1.15162446649e-116
8.0,0.0,0.0,1.0,2.01132290995e-111
9.0,0.0,0.0,1.0,8.26256901311e-84
10.0,0.0,0.0,1.0,2.04442188318e-89
11.0,1.0,1.0,1.43369556868e-184,1.0
12.0,0.0,0.0,1.0,1.76846754678e-165
13.0,1.0,1.0,6.59675401003e-211,1.0
14.0,1.0,1.0,1.98285318748e-171,1.0
15.0,1.0,1.0,7.3560900334e-114,1.0
16.0,0.0,0.0,1.0,4.42129451633e-45
17.0,0.0,0.0,1.0,6.65007455712e-159
18.0,0.0,0.0,1.0,3.75852057558e-139
19.0,0.0,0.0,1.0,8.54288633666e-85
20.0,1.0,1.0,1.22819651541e-148,1.0
21.0,0.0,0.0,1.0,4.13294451546e-117
22.0,0.0,0.0,1.0,1.72750633928e-35
23.0,0.0,0.0,1.0,8.00791287949e-99
24.0,0.0,0.0,1.0,3.69689067394e-125
25.0,0.0,0.0,1.0,2.24792325293e-30
26.0,0.0,0.0,1.0,1.7593551771e-128
27.0,0.0,0.0,1.0,2.13273561054e-57
28.0,0.0,0.0,1.0,1.26813424317e-65
29.0,1.0,0.0,1.0,1.88930397421e-81
30.0,0.0,0.0,1.0,2.65478873244e-126
31.0,0.0,0.0,1.0,2.47821811832e-142
32.0,1.0,0.0,1.0,2.39330978607e-29
33.0,1.0,0.0,1.0,3.33504985977e-24
34.0,0.0,0.0,1.0,1.8183436336e-120
35.0,0.0,0.0,1.0,1.30720058216e-73
36.0,0.0,0.0,1.0,1.28539448092e-49
37.0,0.0,0.0,1.0,2.67436450236e-68
38.0,0.0,0.0,1.0,1.14909051948e-147
39.0,1.0,1.0,1.75567152037e-190,1.0
40.0,0.0,0.0,1.0,4.00482521296e-63
41.0,0.0,0.0,1.0,7.2765821653e-150
42.0,1.0,1.0,4.0730087655e-127,1.0
43.0,0.0,0.0,1.0,6.54390797725e-139
44.0,0.0,0.0,1.0,2.9224911345e-41
45.0,0.0,0.0,1.0,6.19971096246e-83
46.0,0.0,0.0,0.999999863324,1.36675513583e-07
47.0,1.0,1.0,2.31227514585e-11,0.999999999977
48.0,0.0,0.0,1.0,4.3173273214e-126
49.0,0.0,0.0,1.0,9.90670633414e-103
50.0,1.0,1.0,2.9387720236e-212,1.0
51.0,0.0,0.0,1.0,8.88287170515e-65
52.0,0.0,0.0,1.0,5.5026255844e-133
53.0,0.0,0.0,1.0,1.2207587001e-96
54.0,0.0,0.0,1.0,1.07295325695e-84
55.0,1.0,1.0,5.33051030248e-174,1.0
