inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,0.0
2.0,0.0,0.0,1.0,0.0
3.0,1.0,1.0,0.02,0.98
4.0,0.0,0.0,0.98,0.02
5.0,0.0,0.0,0.99,0.01
6.0,0.0,0.0,0.93,0.07
7.0,0.0,0.0,1.0,0.0
8.0,0.0,0.0,0.85,0.15
9.0,0.0,0.0,1.0,0.0
10.0,0.0,0.0,1.0,0.0
11.0,1.0,1.0,0.02,0.98
12.0,0.0,0.0,1.0,0.0
13.0,1.0,1.0,0.02,0.98
14.0,1.0,1.0,0.13,0.87
15.0,1.0,1.0,0.15,0.85
16.0,0.0,0.0,0.97,0.03
17.0,0.0,0.0,1.0,0.0
18.0,0.0,0.0,1.0,0.0
19.0,0.0,0.0,0.85,0.15
20.0,1.0,1.0,0.18,0.82
21.0,0.0,0.0,0.98,0.02
22.0,0.0,0.0,0.98,0.02
23.0,0.0,0.0,0.96,0.04
24.0,0.0,0.0,1.0,0.0
25.0,0.0,0.0,0.95,0.05
26.0,0.0,0.0,0.99,0.01
27.0,0.0,0.0,0.96,0.04
28.0,0.0,0.0,0.88,0.12
29.0,1.0,0.0,0.62,0.38
30.0,0.0,0.0,1.0,0.0
31.0,0.0,0.0,1.0,0.0
32.0,1.0,1.0,0.29,0.71
33.0,1.0,1.0,0.08,0.92
34.0,0.0,0.0,0.94,0.06
35.0,0.0,0.0,0.99,0.01
36.0,0.0,0.0,0.97,0.03
37.0,0.0,0.0,1.0,0.0
38.0,0.0,0.0,0.99,0.01
39.0,1.0,1.0,0.07,0.93
40.0,0.0,0.0,0.99,0.01
41.0,0.0,0.0,1.0,0.0
42.0,1.0,1.0,0.01,0.99
43.0,0.0,0.0,0.99,0.01
44.0,0.0,0.0,0.98,0.02
45.0,0.0,0.0,0.96,0.04
46.0,0.0,0.0,0.95,0.05
47.0,1.0,1.0,0.2,0.8
48.0,0.0,0.0,1.0,0.0
49.0,0.0,0.0,1.0,0.0
50.0,1.0,1.0,0.0,1.0
51.0,0.0,0.0,0.99,0.01
52.0,0.0,0.0,1.0,0.0
53.0,0.0,0.0,1.0,0.0
54.0,0.0,0.0,1.0,0.0
55.0,1.0,1.0,0.07,0.93
56.0,0.0,0.0,0.96,0.04
57.0,0.0,0.0,0.97,0.03
58.0,0.0,0.0,0.99,0.01
59.0,0.0,0.0,0.99,0.01
60.0,0.0,0.0,0.94,0.06
61.0,0.0,0.0,0.99,0.01
62.0,0.0,0.0,0.99,0.01
63.0,0.0,0.0,0.89,0.11
64.0,0.0,0.0,0.95,0.05
65.0,1.0,1.0,0.29,0.71
66.0,0.0,0.0,1.0,0.0
67.0,0.0,0.0,0.99,0.01
68.0,1.0,1.0,0.37,0.63
69.0,1.0,1.0,0.05,0.95
70.0,0.0,0.0,1.0,0.0
71.0,0.0,0.0,1.0,0.0
72.0,0.0,0.0,0.99,0.01
73.0,0.0,0.0,1.0,0.0
74.0,0.0,0.0,0.99,0.01
75.0,1.0,1.0,0.05,0.95
76.0,0.0,0.0,1.0,0.0
77.0,0.0,0.0,1.0,0.0
78.0,1.0,1.0,0.03,0.97
79.0,1.0,1.0,0.29,0.71
80.0,0.0,0.0,0.97,0.03
81.0,0.0,0.0,0.98,0.02
82.0,1.0,0.0,0.79,0.21
83.0,1.0,1.0,0.09,0.91
84.0,0.0,0.0,1.0,0.0
85.0,0.0,0.0,1.0,0.0
86.0,0.0,0.0,0.91,0.09
87.0,0.0,0.0,0.99,0.01
88.0,0.0,0.0,0.98,0.02
89.0,0.0,0.0,0.99,0.01
90.0,0.0,0.0,0.97,0.03
91.0,0.0,0.0,0.99,0.01
92.0,0.0,0.0,1.0,0.0
93.0,0.0,0.0,0.99,0.01
94.0,0.0,0.0,0.98,0.02
95.0,0.0,0.0,0.99,0.01
96.0,0.0,0.0,1.0,0.0
97.0,0.0,0.0,1.0,0.0
98.0,1.0,1.0,0.01,0.99
99.0,0.0,0.0,0.96,0.04
100.0,0.0,0.0,1.0,0.0
101.0,1.0,1.0,0.03,0.97
102.0,0.0,0.0,1.0,0.0
103.0,0.0,0.0,0.99,0.01
104.0,0.0,0.0,0.98,0.02
105.0,0.0,0.0,0.99,0.01
106.0,0.0,0.0,1.0,0.0
107.0,0.0,0.0,0.98,0.02
108.0,0.0,0.0,0.94,0.06
109.0,0.0,0.0,1.0,0.0
110.0,0.0,0.0,0.99,0.01
111.0,0.0,0.0,0.97,0.03
112.0,1.0,1.0,0.0,1.0
113.0,1.0,1.0,0.08,0.92
114.0,0.0,0.0,1.0,0.0
115.0,0.0,0.0,0.89,0.11
116.0,1.0,1.0,0.04,0.96
117.0,0.0,0.0,0.87,0.13
118.0,0.0,0.0,0.97,0.03
119.0,0.0,0.0,0.99,0.01
120.0,0.0,0.0,0.9,0.1
121.0,0.0,0.0,0.99,0.01
122.0,1.0,1.0,0.02,0.98
123.0,0.0,0.0,1.0,0.0
124.0,0.0,0.0,0.99,0.01
125.0,0.0,0.0,1.0,0.0
126.0,0.0,0.0,0.99,0.01
127.0,0.0,0.0,1.0,0.0
128.0,0.0,0.0,0.93,0.07
129.0,1.0,1.0,0.36,0.64
130.0,0.0,0.0,0.96,0.04
131.0,0.0,1.0,0.11,0.89
132.0,0.0,0.0,0.99,0.01
133.0,0.0,0.0,1.0,0.0
134.0,0.0,0.0,0.96,0.04
135.0,0.0,0.0,1.0,0.0
136.0,0.0,0.0,0.94,0.06
137.0,0.0,0.0,1.0,0.0
138.0,1.0,1.0,0.4,0.6
139.0,0.0,0.0,0.97,0.03
140.0,0.0,0.0,0.97,0.03
141.0,0.0,0.0,0.94,0.06
142.0,0.0,0.0,0.99,0.01
143.0,1.0,1.0,0.02,0.98
144.0,0.0,0.0,1.0,0.0
145.0,1.0,1.0,0.1,0.9
146.0,0.0,0.0,1.0,0.0
147.0,0.0,0.0,0.99,0.01
148.0,0.0,0.0,0.99,0.01
149.0,0.0,0.0,0.96,0.04
150.0,0.0,0.0,0.99,0.01
151.0,1.0,1.0,0.08,0.92
152.0,0.0,0.0,0.98,0.02
153.0,1.0,1.0,0.44,0.56
154.0,0.0,0.0,1.0,0.0
155.0,0.0,0.0,0.99,0.01
156.0,0.0,0.0,0.99,0.01
157.0,0.0,0.0,1.0,0.0
158.0,0.0,0.0,1.0,0.0
159.0,0.0,0.0,0.9,0.1
160.0,0.0,0.0,0.99,0.01
161.0,1.0,1.0,0.02,0.98
162.0,1.0,0.0,0.93,0.07
163.0,0.0,0.0,0.98,0.02
164.0,0.0,0.0,1.0,0.0
165.0,0.0,0.0,0.99,0.01
166.0,0.0,0.0,0.89,0.11
167.0,0.0,0.0,0.98,0.02
168.0,0.0,0.0,0.91,0.09
169.0,0.0,0.0,1.0,0.0
170.0,0.0,0.0,0.96,0.04
171.0,0.0,0.0,0.85,0.15
172.0,1.0,1.0,0.0,1.0
173.0,0.0,0.0,0.86,0.14
174.0,0.0,0.0,1.0,0.0
175.0,1.0,1.0,0.4,0.6
176.0,0.0,0.0,0.98,0.02
177.0,0.0,0.0,0.94,0.06
178.0,0.0,0.0,0.91,0.09
179.0,0.0,0.0,0.9,0.1
180.0,1.0,1.0,0.22,0.78
181.0,0.0,0.0,0.97,0.03
182.0,1.0,1.0,0.03,0.97
183.0,0.0,0.0,0.77,0.23
184.0,0.0,0.0,0.98,0.02
185.0,0.0,1.0,0.02,0.98
186.0,1.0,1.0,0.43,0.57
187.0,0.0,0.0,0.94,0.06
188.0,0.0,0.0,0.94,0.06
189.0,0.0,0.0,0.97,0.03
190.0,0.0,0.0,0.93,0.07
191.0,0.0,0.0,1.0,0.0
192.0,0.0,0.0,1.0,0.0
193.0,0.0,0.0,1.0,0.0
194.0,1.0,1.0,0.22,0.78
195.0,0.0,0.0,0.97,0.03
196.0,1.0,1.0,0.04,0.96
197.0,0.0,0.0,1.0,0.0
198.0,0.0,0.0,1.0,0.0
199.0,1.0,1.0,0.18,0.82
200.0,0.0,0.0,1.0,0.0
201.0,0.0,0.0,1.0,0.0
202.0,0.0,0.0,0.74,0.26
203.0,0.0,0.0,1.0,0.0
204.0,1.0,1.0,0.3,0.7
205.0,0.0,0.0,0.9,0.1
206.0,0.0,0.0,1.0,0.0
207.0,0.0,0.0,0.99,0.01
208.0,1.0,1.0,0.03,0.97
209.0,1.0,1.0,0.02,0.98
210.0,0.0,0.0,1.0,0.0
211.0,1.0,1.0,0.18,0.82
212.0,0.0,0.0,1.0,0.0
213.0,0.0,0.0,0.99,0.01
214.0,0.0,0.0,0.96,0.04
215.0,1.0,1.0,0.06,0.94
216.0,0.0,0.0,0.99,0.01
217.0,0.0,0.0,1.0,0.0
218.0,0.0,0.0,1.0,0.0
219.0,0.0,1.0,0.3,0.7
220.0,0.0,0.0,0.99,0.01
221.0,0.0,0.0,0.87,0.13
222.0,0.0,0.0,0.97,0.03
223.0,1.0,0.0,0.53,0.47
224.0,0.0,0.0,1.0,0.0
225.0,1.0,1.0,0.13,0.87
226.0,0.0,0.0,0.98,0.02
227.0,0.0,0.0,0.99,0.01
228.0,0.0,0.0,0.98,0.02
229.0,1.0,0.0,0.83,0.17
230.0,0.0,0.0,0.88,0.12
231.0,1.0,1.0,0.02,0.98
232.0,0.0,0.0,0.96,0.04
233.0,0.0,0.0,0.99,0.01
234.0,1.0,0.0,0.99,0.01
235.0,0.0,0.0,0.71,0.29
236.0,1.0,1.0,0.01,0.99
237.0,0.0,0.0,0.73,0.27
238.0,0.0,0.0,0.98,0.02
239.0,0.0,0.0,0.93,0.07
240.0,0.0,0.0,0.99,0.01
241.0,0.0,0.0,1.0,0.0
242.0,0.0,0.0,0.91,0.09
243.0,0.0,0.0,0.95,0.05
244.0,0.0,0.0,0.97,0.03
245.0,0.0,0.0,1.0,0.0
246.0,1.0,1.0,0.23,0.77
247.0,0.0,0.0,0.98,0.02
248.0,0.0,0.0,1.0,0.0
249.0,0.0,0.0,0.99,0.01
250.0,1.0,1.0,0.1,0.9
251.0,0.0,0.0,1.0,0.0
252.0,0.0,0.0,1.0,0.0
253.0,0.0,0.0,0.99,0.01
254.0,0.0,0.0,0.99,0.01
255.0,0.0,1.0,0.12,0.88
256.0,0.0,0.0,0.97,0.03
257.0,0.0,0.0,0.99,0.01
258.0,1.0,1.0,0.38,0.62
259.0,0.0,0.0,1.0,0.0
260.0,1.0,1.0,0.01,0.99
261.0,0.0,0.0,0.99,0.01
262.0,0.0,0.0,1.0,0.0
263.0,0.0,0.0,1.0,0.0
264.0,0.0,0.0,0.96,0.04
265.0,0.0,0.0,0.98,0.02
266.0,0.0,0.0,1.0,0.0
267.0,0.0,0.0,1.0,0.0
268.0,0.0,0.0,1.0,0.0
269.0,0.0,0.0,0.99,0.01
270.0,0.0,0.0,0.98,0.02
271.0,0.0,0.0,0.93,0.07
272.0,0.0,0.0,1.0,0.0
273.0,0.0,0.0,1.0,0.0
274.0,0.0,0.0,1.0,0.0
275.0,0.0,0.0,0.97,0.03
276.0,0.0,0.0,0.89,0.11
277.0,0.0,0.0,0.98,0.02
278.0,0.0,0.0,0.98,0.02
279.0,0.0,0.0,0.99,0.01
280.0,0.0,0.0,0.98,0.02
281.0,0.0,0.0,1.0,0.0
282.0,0.0,0.0,0.9,0.1
283.0,0.0,0.0,0.97,0.03
284.0,0.0,0.0,1.0,0.0
285.0,0.0,0.0,0.93,0.07
286.0,0.0,0.0,0.97,0.03
287.0,0.0,0.0,0.96,0.04
288.0,0.0,0.0,1.0,0.0
289.0,0.0,0.0,1.0,0.0
290.0,0.0,0.0,0.92,0.08
291.0,0.0,0.0,0.98,0.02
292.0,1.0,1.0,0.01,0.99
293.0,0.0,0.0,0.85,0.15
294.0,0.0,0.0,0.93,0.07
295.0,1.0,1.0,0.33,0.67
296.0,0.0,0.0,1.0,0.0
297.0,0.0,0.0,0.99,0.01
298.0,0.0,0.0,1.0,0.0
299.0,0.0,0.0,1.0,0.0
300.0,0.0,0.0,1.0,0.0
301.0,0.0,0.0,0.98,0.02
302.0,0.0,0.0,0.99,0.01
303.0,0.0,0.0,0.95,0.05
304.0,1.0,1.0,0.23,0.77
305.0,1.0,1.0,0.08,0.92
306.0,0.0,0.0,0.87,0.13
307.0,1.0,1.0,0.15,0.85
308.0,0.0,0.0,1.0,0.0
309.0,0.0,0.0,1.0,0.0
310.0,1.0,0.0,0.55,0.45
311.0,0.0,0.0,0.96,0.04
312.0,0.0,0.0,1.0,0.0
313.0,0.0,0.0,1.0,0.0
314.0,0.0,0.0,0.97,0.03
315.0,1.0,1.0,0.08,0.92
316.0,0.0,0.0,1.0,0.0
317.0,0.0,0.0,1.0,0.0
318.0,1.0,1.0,0.06,0.94
319.0,0.0,0.0,0.99,0.01
320.0,0.0,0.0,0.95,0.05
321.0,0.0,0.0,0.96,0.04
322.0,0.0,0.0,1.0,0.0
323.0,1.0,1.0,0.03,0.97
324.0,0.0,0.0,1.0,0.0
325.0,0.0,0.0,0.83,0.17
326.0,0.0,0.0,0.78,0.22
327.0,1.0,1.0,0.34,0.66
328.0,0.0,0.0,1.0,0.0
329.0,1.0,0.0,0.66,0.34
330.0,1.0,1.0,0.0,1.0
331.0,0.0,0.0,1.0,0.0
332.0,1.0,0.0,0.99,0.01
333.0,0.0,0.0,1.0,0.0
334.0,0.0,0.0,0.94,0.06
335.0,1.0,1.0,0.0,1.0
336.0,0.0,0.0,0.99,0.01
337.0,0.0,0.0,0.96,0.04
338.0,1.0,1.0,0.0,1.0
339.0,1.0,0.0,0.72,0.28
340.0,0.0,0.0,0.99,0.01
341.0,0.0,0.0,1.0,0.0
342.0,0.0,0.0,0.89,0.11
343.0,0.0,0.0,0.99,0.01
