inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,4.69916993866e-104
2.0,1.0,1.0,8.77805828961e-81,1.0
3.0,0.0,0.0,1.0,1.11663025329e-122
4.0,0.0,0.0,1.0,8.29529825482e-122
5.0,0.0,0.0,1.0,3.55350416863e-150
6.0,0.0,0.0,1.0,5.88713830609e-229
7.0,0.0,0.0,1.0,6.87542347109e-236
8.0,1.0,0.0,1.0,8.97581783471e-45
9.0,1.0,1.0,4.50070583244e-200,1.0
10.0,1.0,0.0,1.0,5.25133788531e-72
11.0,0.0,0.0,1.0,1.2723365217e-72
12.0,0.0,0.0,1.0,1.67840315104e-199
13.0,0.0,0.0,0.999999999999,9.16296309215e-13
14.0,0.0,0.0,1.0,5.19692542603e-236
15.0,0.0,0.0,1.0,5.66626820227e-217
16.0,0.0,0.0,1.0,5.59215333905e-67
17.0,0.0,0.0,1.0,1.04447379356e-226
18.0,0.0,0.0,1.0,5.6529978456e-83
19.0,0.0,1.0,7.93169401841e-213,1.0
20.0,0.0,0.0,1.0,6.95948076487e-121
21.0,0.0,0.0,1.0,1.12601218159e-179
22.0,0.0,0.0,1.0,3.4430026276e-215
23.0,0.0,0.0,1.0,7.7222532707e-76
24.0,0.0,0.0,1.0,2.19645699194e-41
25.0,0.0,0.0,1.0,2.19066862284e-63
26.0,1.0,1.0,1.01963880109e-68,1.0
27.0,0.0,0.0,1.0,1.83905143949e-36
28.0,0.0,0.0,1.0,1.91656067654e-226
29.0,0.0,0.0,1.0,4.43889101889e-118
30.0,0.0,0.0,1.0,7.32819639403e-96
31.0,1.0,1.0,1.69964333174e-195,1.0
32.0,0.0,0.0,1.0,1.03848317157e-141
33.0,0.0,0.0,1.0,2.28357722772e-101
34.0,0.0,0.0,1.0,1.06334006821e-112
35.0,0.0,0.0,1.0,1.43730320485e-109
36.0,1.0,0.0,1.0,5.10329837563e-99
37.0,0.0,0.0,1.0,2.77754403657e-91
38.0,1.0,1.0,2.49805042719e-166,1.0
39.0,0.0,0.0,1.0,5.93534410555e-191
40.0,0.0,0.0,1.0,1.20263020819e-223
41.0,0.0,0.0,1.0,9.91700552637e-182
42.0,0.0,0.0,1.0,1.33916318831e-212
43.0,1.0,0.0,1.0,8.19000037907e-84
44.0,0.0,0.0,1.0,7.09145817549e-111
45.0,0.0,0.0,1.0,3.45307783802e-102
46.0,0.0,0.0,1.0,1.96750062775e-109
47.0,0.0,0.0,1.0,1.08911141082e-227
48.0,0.0,0.0,1.0,2.22041989025e-78
49.0,0.0,1.0,2.5658088015e-154,1.0
50.0,1.0,1.0,6.6139623365e-201,1.0
51.0,1.0,1.0,7.09650460224e-235,1.0
52.0,0.0,0.0,1.0,1.91813224057e-112
53.0,0.0,0.0,1.0,2.4651294635e-106
54.0,1.0,1.0,0.0370219180343,0.962978081966
