inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.97,0.03
2.0,1.0,1.0,0.1,0.9
3.0,0.0,0.0,0.99,0.01
4.0,0.0,0.0,0.93,0.07
5.0,0.0,0.0,0.99,0.01
6.0,0.0,0.0,0.99,0.01
7.0,0.0,0.0,1.0,0.0
8.0,1.0,0.0,0.59,0.41
9.0,1.0,1.0,0.04,0.96
10.0,1.0,1.0,0.24,0.76
11.0,0.0,0.0,0.92,0.08
12.0,0.0,0.0,0.99,0.01
13.0,0.0,0.0,0.78,0.22
14.0,0.0,0.0,0.99,0.01
15.0,0.0,0.0,1.0,0.0
16.0,0.0,0.0,0.95,0.05
17.0,0.0,0.0,1.0,0.0
18.0,0.0,0.0,0.99,0.01
19.0,0.0,1.0,0.49,0.51
20.0,0.0,0.0,0.92,0.08
21.0,0.0,0.0,0.99,0.01
22.0,0.0,0.0,0.98,0.02
23.0,0.0,0.0,0.92,0.08
24.0,0.0,0.0,0.94,0.06
25.0,0.0,0.0,0.87,0.13
26.0,1.0,0.0,0.63,0.37
27.0,0.0,0.0,0.96,0.04
28.0,0.0,0.0,1.0,0.0
29.0,0.0,0.0,0.99,0.01
30.0,0.0,0.0,0.99,0.01
31.0,1.0,1.0,0.03,0.97
32.0,0.0,0.0,1.0,0.0
33.0,0.0,0.0,0.99,0.01
34.0,0.0,0.0,0.96,0.04
35.0,0.0,0.0,0.96,0.04
36.0,1.0,1.0,0.46,0.54
37.0,0.0,0.0,0.96,0.04
38.0,1.0,1.0,0.02,0.98
39.0,0.0,0.0,1.0,0.0
40.0,0.0,0.0,1.0,0.0
41.0,0.0,0.0,0.99,0.01
42.0,0.0,0.0,0.99,0.01
43.0,1.0,1.0,0.26,0.74
44.0,0.0,0.0,0.99,0.01
45.0,0.0,0.0,0.78,0.22
46.0,0.0,0.0,0.95,0.05
47.0,0.0,0.0,1.0,0.0
48.0,0.0,0.0,1.0,0.0
49.0,0.0,1.0,0.41,0.59
50.0,1.0,1.0,0.05,0.95
51.0,1.0,1.0,0.22,0.78
52.0,0.0,0.0,0.94,0.06
53.0,0.0,0.0,0.91,0.09
54.0,1.0,1.0,0.17,0.83
55.0,0.0,0.0,1.0,0.0
56.0,0.0,0.0,1.0,0.0
57.0,0.0,0.0,0.96,0.04
58.0,0.0,0.0,0.86,0.14
59.0,0.0,1.0,0.13,0.87
60.0,0.0,0.0,0.86,0.14
61.0,1.0,1.0,0.03,0.97
62.0,0.0,1.0,0.22,0.78
63.0,0.0,0.0,0.99,0.01
64.0,0.0,0.0,1.0,0.0
65.0,0.0,0.0,0.98,0.02
66.0,1.0,1.0,0.28,0.72
67.0,0.0,0.0,0.97,0.03
68.0,0.0,0.0,0.99,0.01
69.0,0.0,0.0,0.98,0.02
70.0,0.0,0.0,0.98,0.02
71.0,0.0,0.0,0.75,0.25
72.0,0.0,0.0,1.0,0.0
73.0,0.0,0.0,1.0,0.0
74.0,1.0,0.0,0.61,0.39
75.0,0.0,0.0,0.98,0.02
76.0,0.0,0.0,0.95,0.05
77.0,0.0,0.0,0.98,0.02
78.0,0.0,1.0,0.3,0.7
79.0,1.0,0.0,0.64,0.36
80.0,0.0,0.0,0.98,0.02
81.0,0.0,0.0,0.98,0.02
82.0,0.0,0.0,0.97,0.03
83.0,0.0,0.0,0.99,0.01
84.0,0.0,0.0,1.0,0.0
85.0,0.0,0.0,0.96,0.04
86.0,1.0,1.0,0.12,0.88
87.0,0.0,0.0,0.99,0.01
88.0,1.0,1.0,0.44,0.56
89.0,0.0,0.0,1.0,0.0
90.0,0.0,0.0,0.98,0.02
91.0,1.0,0.0,0.5,0.5
92.0,0.0,0.0,0.94,0.06
93.0,1.0,1.0,0.03,0.97
94.0,0.0,0.0,1.0,0.0
95.0,1.0,1.0,0.4,0.6
96.0,1.0,0.0,0.66,0.34
97.0,1.0,1.0,0.02,0.98
98.0,0.0,0.0,0.99,0.01
99.0,0.0,0.0,0.98,0.02
100.0,0.0,0.0,1.0,0.0
101.0,0.0,0.0,0.98,0.02
102.0,0.0,0.0,0.99,0.01
103.0,1.0,1.0,0.16,0.84
104.0,0.0,0.0,0.97,0.03
105.0,0.0,0.0,0.97,0.03
106.0,0.0,0.0,1.0,0.0
107.0,0.0,0.0,0.93,0.07
108.0,0.0,0.0,0.99,0.01
109.0,0.0,0.0,0.93,0.07
110.0,0.0,0.0,0.99,0.01
111.0,0.0,0.0,0.97,0.03
112.0,0.0,0.0,0.99,0.01
113.0,0.0,0.0,0.97,0.03
114.0,0.0,0.0,1.0,0.0
115.0,0.0,0.0,0.66,0.34
116.0,0.0,0.0,1.0,0.0
117.0,0.0,0.0,0.86,0.14
118.0,0.0,0.0,1.0,0.0
119.0,0.0,0.0,0.96,0.04
120.0,0.0,0.0,1.0,0.0
121.0,0.0,0.0,0.99,0.01
122.0,0.0,0.0,0.53,0.47
123.0,0.0,0.0,0.99,0.01
124.0,0.0,0.0,1.0,0.0
125.0,0.0,0.0,1.0,0.0
126.0,1.0,1.0,0.25,0.75
127.0,1.0,1.0,0.3,0.7
128.0,0.0,0.0,1.0,0.0
129.0,0.0,0.0,0.99,0.01
130.0,0.0,0.0,0.99,0.01
131.0,0.0,0.0,0.99,0.01
132.0,0.0,0.0,0.98,0.02
133.0,1.0,1.0,0.2,0.8
134.0,0.0,0.0,0.97,0.03
135.0,0.0,0.0,0.76,0.24
136.0,0.0,0.0,1.0,0.0
137.0,1.0,1.0,0.04,0.96
138.0,0.0,0.0,1.0,0.0
139.0,0.0,0.0,1.0,0.0
140.0,1.0,1.0,0.02,0.98
141.0,0.0,0.0,0.99,0.01
142.0,0.0,0.0,0.99,0.01
143.0,0.0,0.0,0.8,0.2
144.0,1.0,1.0,0.19,0.81
145.0,0.0,0.0,0.97,0.03
146.0,0.0,0.0,1.0,0.0
147.0,1.0,1.0,0.07,0.93
148.0,0.0,0.0,0.99,0.01
149.0,1.0,1.0,0.04,0.96
150.0,1.0,0.0,0.84,0.16
151.0,0.0,0.0,1.0,0.0
152.0,0.0,0.0,0.88,0.12
153.0,0.0,0.0,0.92,0.08
154.0,0.0,0.0,0.96,0.04
155.0,0.0,0.0,1.0,0.0
156.0,0.0,0.0,0.9,0.1
157.0,0.0,1.0,0.31,0.69
158.0,0.0,0.0,1.0,0.0
159.0,0.0,0.0,1.0,0.0
160.0,0.0,0.0,1.0,0.0
161.0,0.0,0.0,1.0,0.0
162.0,1.0,0.0,0.95,0.05
163.0,1.0,1.0,0.06,0.94
164.0,0.0,0.0,0.88,0.12
165.0,0.0,0.0,1.0,0.0
166.0,0.0,0.0,0.98,0.02
167.0,0.0,0.0,0.98,0.02
168.0,1.0,1.0,0.16,0.84
169.0,1.0,1.0,0.13,0.87
170.0,0.0,0.0,0.96,0.04
171.0,0.0,0.0,0.96,0.04
172.0,1.0,0.0,0.59,0.41
173.0,0.0,0.0,0.9,0.1
174.0,1.0,1.0,0.03,0.97
175.0,0.0,0.0,0.98,0.02
176.0,1.0,1.0,0.14,0.86
177.0,0.0,0.0,0.99,0.01
178.0,0.0,0.0,0.89,0.11
