inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,0.0,1.0,2.49239112021e-21
2.0,1.0,0.0,1.0,2.66511374791e-110
3.0,0.0,0.0,1.0,3.80505640285e-103
4.0,0.0,0.0,1.0,4.15217931892e-66
5.0,1.0,1.0,7.50994904431e-177,1.0
6.0,0.0,0.0,1.0,2.12561549479e-133
7.0,0.0,0.0,1.0,6.34562068401e-81
8.0,1.0,1.0,1.00303359044e-253,1.0
9.0,1.0,0.0,0.948429837541,0.0515701624592
10.0,0.0,1.0,1.19971272919e-156,1.0
11.0,0.0,0.0,1.0,4.15403242977e-109
12.0,0.0,0.0,1.0,2.61246870346e-73
13.0,0.0,0.0,0.999999912763,8.72374064323e-08
14.0,0.0,0.0,1.0,1.30541048228e-109
15.0,0.0,0.0,1.0,3.31791075836e-110
16.0,1.0,0.0,1.0,1.29324470407e-68
17.0,0.0,0.0,1.0,3.4060907936e-146
18.0,0.0,0.0,1.0,9.31563265553e-145
19.0,0.0,0.0,1.0,1.88124891658e-91
20.0,0.0,0.0,1.0,4.0135424135e-125
21.0,1.0,1.0,7.40198334959e-152,1.0
22.0,1.0,0.0,1.0,3.92585271748e-56
23.0,0.0,0.0,1.0,8.02073358617e-76
24.0,0.0,0.0,1.0,6.4283166372e-138
25.0,0.0,0.0,1.0,4.13526926191e-32
26.0,1.0,0.0,1.0,7.0756792474e-25
27.0,0.0,0.0,1.0,1.1432920988e-74
28.0,0.0,0.0,1.0,1.58068028818e-21
29.0,1.0,0.0,1.0,1.76061343293e-16
30.0,1.0,1.0,4.0248860213e-56,1.0
31.0,0.0,0.0,1.0,1.52233151162e-93
32.0,0.0,0.0,1.0,7.07535576759e-84
33.0,0.0,0.0,1.0,4.85498768731e-98
34.0,1.0,1.0,2.36334707925e-218,1.0
35.0,0.0,0.0,1.0,3.11040735411e-98
36.0,0.0,0.0,1.0,2.97242264237e-187
37.0,0.0,0.0,1.0,2.32689304771e-51
38.0,0.0,0.0,1.0,1.37894527472e-89
39.0,1.0,1.0,8.08420007091e-217,1.0
40.0,0.0,0.0,1.0,6.01044274846e-39
41.0,0.0,0.0,1.0,4.9660882414e-80
42.0,1.0,1.0,8.81847026456e-166,1.0
43.0,1.0,1.0,1.02403332958e-138,1.0
44.0,0.0,0.0,1.0,3.67867233203e-143
45.0,0.0,0.0,1.0,4.44080037521e-80
46.0,0.0,0.0,1.0,7.84666127801e-71
47.0,0.0,0.0,1.0,1.04516652229e-77
48.0,0.0,0.0,1.0,4.5291337513e-121
49.0,0.0,0.0,1.0,1.59293638802e-64
50.0,0.0,1.0,1.03272720268e-52,1.0
51.0,0.0,1.0,4.26546474567e-08,0.999999957345
52.0,0.0,0.0,1.0,3.11264468693e-157
53.0,1.0,0.0,1.0,1.15788605099e-66
54.0,1.0,1.0,6.38352274443e-85,1.0
55.0,0.0,0.0,1.0,3.30690034504e-78
56.0,1.0,1.0,0.000174630270333,0.99982536973
57.0,0.0,0.0,1.0,5.54140574184e-96
58.0,0.0,1.0,3.22793391199e-230,1.0
59.0,0.0,0.0,1.0,4.72516822451e-70
60.0,0.0,0.0,1.0,1.27161139582e-74
61.0,0.0,0.0,1.0,1.45346967308e-65
62.0,0.0,0.0,1.0,3.69299339844e-84
63.0,1.0,1.0,1.86649771525e-151,1.0
64.0,0.0,0.0,1.0,2.02326006004e-35
65.0,0.0,0.0,1.0,4.36219950997e-97
66.0,0.0,0.0,1.0,1.30529096528e-199
67.0,0.0,0.0,1.0,1.36411611034e-40
68.0,0.0,0.0,1.0,1.94504875023e-120
69.0,0.0,0.0,1.0,2.07070515817e-75
70.0,0.0,0.0,1.0,2.08196663648e-83
71.0,1.0,1.0,2.28859255252e-190,1.0
72.0,1.0,0.0,1.0,1.39539358058e-30
73.0,0.0,0.0,1.0,1.81070153608e-48
74.0,0.0,0.0,1.0,4.75870729791e-170
75.0,0.0,0.0,1.0,6.2973199546e-143
76.0,0.0,0.0,1.0,2.96268441718e-136
77.0,1.0,1.0,4.63703752359e-220,1.0
78.0,0.0,0.0,1.0,5.004472765e-126
79.0,0.0,0.0,1.0,5.88217872242e-142
