inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,0.11,0.89
2.0,1.0,0.0,0.52,0.48
3.0,0.0,0.0,0.93,0.07
4.0,0.0,0.0,0.93,0.07
5.0,1.0,1.0,0.1,0.9
6.0,0.0,0.0,0.97,0.03
7.0,0.0,0.0,0.98,0.02
8.0,1.0,1.0,0.04,0.96
9.0,1.0,0.0,0.82,0.18
10.0,0.0,0.0,0.75,0.25
11.0,0.0,0.0,0.95,0.05
12.0,0.0,0.0,1.0,0.0
13.0,0.0,0.0,0.77,0.23
14.0,0.0,0.0,0.98,0.02
15.0,0.0,0.0,0.99,0.01
16.0,1.0,1.0,0.21,0.79
17.0,0.0,0.0,1.0,0.0
18.0,0.0,0.0,1.0,0.0
19.0,0.0,0.0,0.95,0.05
20.0,0.0,0.0,0.97,0.03
21.0,1.0,1.0,0.05,0.95
22.0,1.0,1.0,0.18,0.82
23.0,0.0,0.0,0.99,0.01
24.0,0.0,0.0,1.0,0.0
25.0,0.0,0.0,0.66,0.34
26.0,1.0,1.0,0.47,0.53
27.0,0.0,0.0,1.0,0.0
28.0,0.0,0.0,0.96,0.04
29.0,1.0,1.0,0.21,0.79
30.0,1.0,1.0,0.02,0.98
31.0,0.0,0.0,0.98,0.02
32.0,0.0,0.0,0.99,0.01
33.0,0.0,0.0,1.0,0.0
34.0,1.0,1.0,0.07,0.93
35.0,0.0,0.0,0.93,0.07
36.0,0.0,0.0,1.0,0.0
37.0,0.0,0.0,0.94,0.06
38.0,0.0,0.0,0.99,0.01
39.0,1.0,1.0,0.14,0.86
40.0,0.0,0.0,0.97,0.03
41.0,0.0,0.0,1.0,0.0
42.0,1.0,1.0,0.01,0.99
43.0,1.0,1.0,0.15,0.85
44.0,0.0,0.0,1.0,0.0
45.0,0.0,0.0,0.98,0.02
46.0,0.0,0.0,0.97,0.03
47.0,0.0,0.0,1.0,0.0
48.0,0.0,0.0,0.99,0.01
49.0,0.0,0.0,1.0,0.0
50.0,0.0,0.0,0.96,0.04
51.0,0.0,0.0,0.94,0.06
52.0,0.0,0.0,1.0,0.0
53.0,1.0,0.0,0.78,0.22
54.0,1.0,0.0,0.55,0.45
55.0,0.0,0.0,0.98,0.02
56.0,1.0,1.0,0.2,0.8
57.0,0.0,0.0,0.99,0.01
58.0,0.0,1.0,0.26,0.74
59.0,0.0,0.0,0.99,0.01
60.0,0.0,0.0,0.96,0.04
61.0,0.0,0.0,0.9,0.1
62.0,0.0,0.0,1.0,0.0
63.0,1.0,1.0,0.01,0.99
64.0,0.0,0.0,1.0,0.0
65.0,0.0,0.0,0.99,0.01
66.0,0.0,0.0,1.0,0.0
67.0,0.0,0.0,0.99,0.01
68.0,0.0,0.0,0.98,0.02
69.0,0.0,0.0,0.99,0.01
70.0,0.0,0.0,1.0,0.0
71.0,1.0,1.0,0.08,0.92
72.0,1.0,1.0,0.12,0.88
73.0,0.0,0.0,1.0,0.0
74.0,0.0,0.0,1.0,0.0
75.0,0.0,0.0,1.0,0.0
76.0,0.0,0.0,0.99,0.01
77.0,1.0,1.0,0.11,0.89
78.0,0.0,0.0,0.99,0.01
79.0,0.0,0.0,1.0,0.0
80.0,0.0,0.0,0.97,0.03
81.0,1.0,1.0,0.27,0.73
82.0,0.0,0.0,0.76,0.24
83.0,0.0,0.0,1.0,0.0
84.0,0.0,0.0,0.79,0.21
85.0,0.0,0.0,0.99,0.01
86.0,0.0,0.0,0.99,0.01
87.0,0.0,0.0,0.99,0.01
88.0,0.0,0.0,0.87,0.13
89.0,0.0,0.0,1.0,0.0
90.0,0.0,0.0,0.94,0.06
91.0,0.0,0.0,0.76,0.24
92.0,0.0,0.0,0.91,0.09
93.0,0.0,0.0,0.91,0.09
94.0,1.0,1.0,0.04,0.96
95.0,1.0,1.0,0.2,0.8
96.0,0.0,0.0,0.99,0.01
97.0,0.0,0.0,0.97,0.03
98.0,0.0,1.0,0.07,0.93
99.0,0.0,0.0,0.96,0.04
100.0,0.0,0.0,0.84,0.16
101.0,0.0,0.0,1.0,0.0
102.0,0.0,0.0,0.96,0.04
103.0,0.0,0.0,0.6,0.4
104.0,0.0,0.0,0.99,0.01
105.0,0.0,0.0,0.96,0.04
106.0,0.0,0.0,1.0,0.0
107.0,0.0,0.0,1.0,0.0
108.0,1.0,1.0,0.3,0.7
109.0,1.0,1.0,0.41,0.59
110.0,0.0,0.0,0.98,0.02
