inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,1.01173738754e-146,1.0
2.0,1.0,0.0,1.0,6.32100090051e-52
3.0,1.0,1.0,6.60102275525e-164,1.0
4.0,0.0,0.0,1.0,2.30314393934e-148
5.0,0.0,1.0,7.73682749223e-94,1.0
6.0,0.0,0.0,1.0,4.9218997826e-162
7.0,0.0,0.0,1.0,1.99017236388e-77
8.0,1.0,1.0,1.60490681131e-197,1.0
9.0,0.0,0.0,1.0,8.92375093123e-60
10.0,1.0,1.0,1.56887432247e-10,0.999999999843
11.0,1.0,1.0,9.35495251631e-88,1.0
12.0,0.0,0.0,1.0,1.47838944917e-160
13.0,0.0,0.0,1.0,1.25935955936e-156
14.0,1.0,1.0,1.8669101904e-221,1.0
15.0,0.0,0.0,1.0,1.79959877198e-129
16.0,0.0,0.0,1.0,1.99753612595e-57
17.0,1.0,1.0,1.13050564153e-186,1.0
18.0,0.0,0.0,1.0,2.99533182366e-161
19.0,0.0,0.0,1.0,3.41881282417e-146
20.0,1.0,1.0,1.31213427819e-126,1.0
21.0,1.0,0.0,0.835007351951,0.164992648049
22.0,0.0,0.0,1.0,1.94797220748e-129
23.0,0.0,0.0,1.0,1.38446315286e-160
24.0,1.0,1.0,4.93932732764e-228,1.0
25.0,1.0,1.0,1.94672943738e-134,1.0
26.0,0.0,0.0,1.0,4.73458843152e-141
27.0,0.0,0.0,1.0,3.05357327485e-131
28.0,1.0,1.0,1.0528735494e-189,1.0
29.0,1.0,1.0,2.61607976594e-151,1.0
30.0,1.0,1.0,6.61880344449e-228,1.0
31.0,0.0,0.0,1.0,4.58869995672e-93
32.0,1.0,0.0,1.0,4.56755944677e-58
33.0,1.0,1.0,1.02793842224e-37,1.0
34.0,0.0,0.0,1.0,2.77927962187e-59
35.0,0.0,0.0,1.0,4.64299781498e-151
36.0,1.0,1.0,2.42672988288e-165,1.0
37.0,1.0,1.0,3.78616380114e-198,1.0
38.0,1.0,1.0,2.5091120286e-210,1.0
39.0,0.0,0.0,1.0,1.05881455584e-160
40.0,1.0,1.0,2.48267384049e-188,1.0
41.0,0.0,0.0,1.0,1.33504397739e-82
42.0,0.0,0.0,1.0,1.69643728983e-134
43.0,1.0,1.0,2.20943038001e-174,1.0
44.0,1.0,1.0,3.24186549281e-69,1.0
45.0,1.0,1.0,1.31032358015e-148,1.0
46.0,0.0,0.0,1.0,1.1235472061e-142
47.0,1.0,1.0,3.04205911642e-207,1.0
48.0,0.0,1.0,1.66467871137e-47,1.0
49.0,1.0,1.0,4.88129664713e-223,1.0
50.0,0.0,0.0,1.0,6.16260201514e-124
51.0,1.0,0.0,1.0,5.59013059131e-29
52.0,1.0,1.0,1.24534470656e-186,1.0
53.0,1.0,1.0,2.05716251428e-115,1.0
54.0,0.0,0.0,1.0,4.28617323532e-156
55.0,1.0,1.0,9.73352747298e-230,1.0
56.0,1.0,1.0,6.45107400339e-125,1.0
57.0,0.0,0.0,1.0,5.9312092176e-151
58.0,0.0,0.0,1.0,1.33709450829e-72
59.0,0.0,1.0,3.17251729577e-34,1.0
60.0,1.0,0.0,1.0,1.02908202694e-13
61.0,1.0,1.0,1.65437858402e-147,1.0
62.0,0.0,0.0,1.0,2.00825229917e-140
63.0,1.0,1.0,4.03319375953e-16,1.0
64.0,0.0,0.0,0.999999999999,7.04181070595e-13
65.0,0.0,0.0,1.0,7.03691844673e-186
66.0,1.0,0.0,1.0,3.04574150458e-33
67.0,1.0,1.0,1.0757092765e-79,1.0
68.0,0.0,1.0,5.28889328157e-40,1.0
69.0,1.0,0.0,1.0,6.56747601881e-53
70.0,1.0,1.0,2.08439810462e-116,1.0
71.0,1.0,1.0,2.9614354991e-219,1.0
72.0,1.0,1.0,6.04847478324e-192,1.0
73.0,0.0,0.0,1.0,9.94831419579e-58
74.0,1.0,1.0,6.29958972996e-186,1.0
75.0,1.0,0.0,1.0,9.38597945236e-103
76.0,0.0,0.0,1.0,1.93077739741e-91
77.0,1.0,0.0,1.0,1.35996985404e-95
78.0,1.0,1.0,6.03825114358e-214,1.0
79.0,0.0,0.0,1.0,1.8387835076e-143
80.0,1.0,1.0,6.57847143353e-180,1.0
81.0,1.0,1.0,5.61706910193e-173,1.0
82.0,1.0,0.0,1.0,6.01991012914e-70
83.0,1.0,1.0,1.89201325978e-135,1.0
84.0,1.0,1.0,7.61767802855e-173,1.0
85.0,0.0,0.0,1.0,3.50990817517e-30
86.0,0.0,0.0,1.0,1.3168389928e-142
87.0,1.0,1.0,4.57160373509e-169,1.0
88.0,0.0,0.0,1.0,5.25821233029e-160
89.0,1.0,1.0,1.04542916034e-74,1.0
90.0,1.0,1.0,1.21135996365e-41,1.0
91.0,0.0,0.0,1.0,7.51875158971e-156
92.0,0.0,1.0,2.77081705293e-119,1.0
93.0,0.0,0.0,1.0,1.39074718331e-149
94.0,1.0,1.0,2.44877897443e-174,1.0
95.0,0.0,0.0,1.0,7.49952029222e-114
96.0,0.0,0.0,1.0,3.42178796254e-19
97.0,0.0,0.0,1.0,1.55010940041e-95
98.0,0.0,0.0,1.0,6.78971880425e-58
99.0,1.0,1.0,3.94508395798e-73,1.0
100.0,0.0,0.0,1.0,3.46514806313e-174
101.0,1.0,1.0,1.86993343759e-184,1.0
102.0,0.0,0.0,1.0,1.10744159774e-53
103.0,1.0,1.0,1.3094497242e-223,1.0
104.0,1.0,1.0,2.96320582419e-105,1.0
105.0,1.0,1.0,2.50451120783e-179,1.0
106.0,0.0,0.0,1.0,8.44214155065e-90
107.0,1.0,1.0,3.06293375888e-131,1.0
108.0,0.0,0.0,1.0,3.18222066771e-161
109.0,1.0,1.0,1.51839195001e-155,1.0
110.0,1.0,1.0,5.4435760666e-174,1.0
111.0,1.0,1.0,1.46689818813e-191,1.0
112.0,0.0,0.0,1.0,2.13691181184e-122
113.0,1.0,1.0,3.7557691024e-161,1.0
114.0,1.0,1.0,3.96504324612e-152,1.0
115.0,0.0,0.0,1.0,9.32367912707e-171
116.0,0.0,0.0,1.0,2.25806458855e-58
117.0,0.0,0.0,1.0,1.70377346305e-98
118.0,0.0,0.0,1.0,7.1058296109e-97
119.0,1.0,1.0,2.5563882014e-78,1.0
120.0,1.0,1.0,1.53741464941e-119,1.0
121.0,0.0,0.0,1.0,3.34514521026e-100
122.0,0.0,0.0,1.0,2.89864144607e-73
123.0,0.0,0.0,0.999999989304,1.06963781836e-08
124.0,0.0,0.0,1.0,5.04462839343e-147
125.0,1.0,1.0,1.876035941e-129,1.0
126.0,1.0,1.0,1.74320114368e-20,1.0
127.0,0.0,0.0,1.0,1.31918229463e-52
