inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,0.144848969586,0.855151030414
2.0,1.0,1.0,0.36844736913,0.63155263087
3.0,1.0,1.0,0.277803580816,0.722196419184
4.0,0.0,0.0,0.890960595498,0.109039404502
5.0,0.0,1.0,0.247482209835,0.752517790165
6.0,0.0,0.0,0.913672426451,0.0863275735485
7.0,0.0,0.0,0.728169680835,0.271830319165
8.0,1.0,1.0,0.0163169229458,0.983683077054
9.0,0.0,0.0,0.821160259547,0.178839740453
10.0,1.0,1.0,0.351868207555,0.648131792445
11.0,1.0,1.0,0.117188920973,0.882811079027
12.0,0.0,0.0,0.894601589689,0.105398410311
13.0,0.0,0.0,0.966242922454,0.0337570775464
14.0,1.0,1.0,0.0243932509349,0.975606749065
15.0,0.0,0.0,0.810708520562,0.189291479438
16.0,0.0,0.0,0.849632626073,0.150367373927
17.0,1.0,1.0,0.0658042815965,0.934195718403
18.0,0.0,0.0,0.942576005824,0.0574239941758
19.0,0.0,0.0,0.934180154662,0.0658198453383
20.0,1.0,1.0,0.119942937793,0.880057062207
21.0,1.0,1.0,0.423606076315,0.576393923685
22.0,0.0,0.0,0.763640709515,0.236359290485
23.0,0.0,0.0,0.952981796015,0.0470182039848
24.0,1.0,1.0,0.0677714938107,0.932228506189
25.0,1.0,1.0,0.180701140466,0.819298859534
26.0,0.0,0.0,0.925960733939,0.0740392660612
27.0,0.0,0.0,0.927519961083,0.0724800389173
28.0,1.0,1.0,0.0820227019891,0.917977298011
29.0,1.0,1.0,0.235057722915,0.764942277085
30.0,1.0,1.0,0.0376624724188,0.962337527581
31.0,0.0,0.0,0.922353011063,0.0776469889366
32.0,1.0,0.0,0.654037584485,0.345962415515
33.0,1.0,1.0,0.298316984428,0.701683015572
34.0,0.0,0.0,0.889879534523,0.110120465477
35.0,0.0,0.0,0.955060665461,0.0449393345394
36.0,1.0,1.0,0.0479098127802,0.95209018722
37.0,1.0,1.0,0.0425809299285,0.957419070072
38.0,1.0,1.0,0.0505498148346,0.949450185165
39.0,0.0,0.0,0.941401034647,0.0585989653531
40.0,1.0,1.0,0.011491626444,0.988508373556
41.0,0.0,0.0,0.805473981919,0.194526018081
