inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,3.55137712271e-73
2.0,1.0,1.0,2.2980579343e-146,1.0
3.0,0.0,0.0,1.0,1.04479162155e-267
4.0,0.0,0.0,1.0,2.05379376222e-89
5.0,1.0,1.0,3.94953075531e-151,1.0
6.0,1.0,1.0,8.31764240133e-186,1.0
7.0,1.0,1.0,6.95955904131e-150,1.0
8.0,0.0,0.0,1.0,3.6722218856e-126
9.0,0.0,1.0,4.59718655026e-24,1.0
10.0,0.0,0.0,1.0,6.00018161007e-190
11.0,1.0,1.0,7.05021927988e-75,1.0
12.0,0.0,0.0,1.0,3.3729983142e-70
13.0,0.0,0.0,1.0,3.88794060046e-47
14.0,0.0,0.0,1.0,2.17961647482e-123
15.0,0.0,0.0,1.0,7.65620006366e-28
16.0,1.0,1.0,9.33592344198e-40,1.0
17.0,0.0,0.0,1.0,3.13705285959e-162
18.0,1.0,1.0,2.29591349113e-229,1.0
19.0,1.0,1.0,1.3635042578e-172,1.0
20.0,0.0,1.0,7.10312076177e-44,1.0
21.0,0.0,0.0,1.0,1.07577564106e-261
22.0,1.0,1.0,9.0053027168e-38,1.0
23.0,0.0,0.0,1.0,4.76464548262e-197
24.0,0.0,0.0,1.0,9.1071473954e-82
25.0,0.0,0.0,1.0,3.32584169911e-51
26.0,1.0,1.0,2.63263640158e-43,1.0
27.0,0.0,0.0,1.0,9.60990376656e-197
28.0,0.0,0.0,1.0,1.29802984062e-190
29.0,1.0,1.0,0.107796335521,0.892203664479
30.0,1.0,1.0,2.89654232885e-116,1.0
31.0,0.0,0.0,1.0,1.15324872872e-160
32.0,0.0,0.0,0.999999999881,1.18531719623e-10
33.0,0.0,0.0,1.0,5.96268988263e-89
34.0,1.0,0.0,1.0,3.25215301402e-15
35.0,1.0,1.0,2.39260210061e-173,1.0
36.0,0.0,0.0,1.0,1.76182757571e-36
37.0,1.0,1.0,7.67158708865e-84,1.0
38.0,0.0,0.0,1.0,5.38378268013e-36
39.0,0.0,0.0,1.0,8.56145140361e-139
40.0,0.0,0.0,1.0,1.24812040273e-48
41.0,1.0,1.0,1.4462973872e-83,1.0
42.0,1.0,1.0,3.10695593464e-145,1.0
43.0,1.0,1.0,7.52723228486e-86,1.0
44.0,1.0,1.0,4.0370762575e-224,1.0
45.0,0.0,0.0,1.0,1.48189400238e-182
46.0,0.0,0.0,1.0,1.05736601177e-269
47.0,0.0,0.0,1.0,2.6109748091e-32
48.0,1.0,1.0,5.15240603786e-79,1.0
49.0,0.0,0.0,1.0,8.15647057688e-205
50.0,1.0,1.0,7.47755839474e-22,1.0
51.0,1.0,0.0,1.0,8.81763518672e-154
52.0,0.0,1.0,2.86658022129e-79,1.0
53.0,0.0,0.0,1.0,1.19075694458e-154
54.0,0.0,0.0,1.0,1.16315686579e-185
55.0,1.0,1.0,1.55432792189e-151,1.0
56.0,1.0,0.0,1.0,1.49982064468e-80
57.0,1.0,1.0,4.04292302393e-76,1.0
58.0,0.0,0.0,1.0,1.12532512214e-200
59.0,1.0,1.0,5.05594087312e-155,1.0
60.0,1.0,1.0,2.78177133711e-43,1.0
61.0,0.0,0.0,1.0,1.06773714494e-91
62.0,1.0,1.0,1.42792792616e-82,1.0
63.0,0.0,0.0,1.0,1.21222460736e-92
64.0,0.0,0.0,1.0,8.04168322788e-206
65.0,1.0,1.0,1.63410252742e-221,1.0
66.0,1.0,1.0,2.36336301688e-319,1.0
67.0,0.0,0.0,1.0,4.76299847189e-20
68.0,1.0,1.0,2.74117672946e-131,1.0
69.0,1.0,1.0,2.07460326267e-169,1.0
70.0,0.0,0.0,1.0,6.16384306055e-34
71.0,1.0,1.0,3.0817125943e-182,1.0
72.0,1.0,1.0,1.62211236794e-202,1.0
73.0,0.0,0.0,1.0,2.15259176443e-260
74.0,0.0,0.0,1.0,2.05393245365e-194
75.0,0.0,0.0,1.0,1.24408196928e-61
76.0,0.0,0.0,1.0,6.9409486417e-189
77.0,0.0,0.0,1.0,9.57622272692e-202
78.0,0.0,0.0,1.0,4.28665960645e-262
79.0,0.0,0.0,1.0,3.78494330935e-153
80.0,1.0,1.0,5.09670948995e-200,1.0
81.0,0.0,0.0,1.0,2.2516815851e-73
82.0,1.0,1.0,6.45888668615e-163,1.0
83.0,0.0,0.0,1.0,9.39980393817e-139
84.0,0.0,0.0,1.0,8.98308954901e-186
85.0,0.0,0.0,1.0,4.59321561287e-42
86.0,0.0,0.0,1.0,8.83438065806e-71
87.0,1.0,1.0,7.4074436801e-73,1.0
88.0,1.0,1.0,1.15180381708e-223,1.0
89.0,1.0,1.0,2.41274494173e-149,1.0
90.0,0.0,1.0,1.98520948027e-112,1.0
91.0,1.0,1.0,1.23157768149e-20,1.0
92.0,0.0,0.0,1.0,8.46073637737e-74
93.0,0.0,0.0,1.0,8.55797322817e-114
94.0,0.0,0.0,1.0,4.18245510826e-127
95.0,1.0,1.0,3.80741292526e-70,1.0
96.0,1.0,1.0,1.17835352894e-171,1.0
97.0,0.0,0.0,1.0,1.36971850194e-209
98.0,0.0,0.0,1.0,1.54166806801e-149
99.0,1.0,1.0,1.16085756807e-138,1.0
100.0,1.0,1.0,4.4957033983e-73,1.0
101.0,0.0,0.0,1.0,4.93649497368e-194
102.0,0.0,1.0,2.58421208287e-16,1.0
103.0,0.0,0.0,1.0,2.4673935977e-84
104.0,1.0,0.0,1.0,3.315750203e-49
105.0,1.0,1.0,1.83743192816e-85,1.0
106.0,0.0,0.0,0.999997682899,2.31710090274e-06
107.0,1.0,1.0,4.44268726113e-161,1.0
108.0,1.0,1.0,1.0940298557e-253,1.0
109.0,0.0,0.0,1.0,1.49038092074e-37
110.0,0.0,0.0,1.0,2.04020585651e-89
111.0,1.0,1.0,2.48585588374e-179,1.0
112.0,0.0,0.0,1.0,4.49148015751e-267
113.0,1.0,1.0,5.74728630944e-138,1.0
114.0,1.0,1.0,2.97682602078e-57,1.0
115.0,1.0,1.0,9.6826168896e-74,1.0
116.0,1.0,1.0,1.23563759218e-88,1.0
117.0,0.0,0.0,1.0,5.48453108724e-75
118.0,1.0,1.0,1.88337489518e-60,1.0
119.0,1.0,1.0,3.79110966636e-288,1.0
120.0,0.0,1.0,2.18786934811e-180,1.0
121.0,1.0,1.0,3.10021215959e-147,1.0
122.0,1.0,0.0,1.0,1.15895279117e-19
123.0,0.0,0.0,0.999999999879,1.21101792217e-10
124.0,0.0,0.0,1.0,1.31593845889e-198
125.0,0.0,0.0,1.0,3.7529559735e-53
126.0,0.0,0.0,1.0,3.05432472354e-268
127.0,0.0,0.0,1.0,1.53486325051e-77
128.0,0.0,1.0,4.86759332889e-42,1.0
129.0,0.0,0.0,1.0,1.5486989829e-78
130.0,0.0,0.0,1.0,1.63178546495e-51
131.0,1.0,1.0,7.32442575106e-89,1.0
132.0,1.0,1.0,1.62504800992e-94,1.0
133.0,1.0,1.0,2.4989410297e-150,1.0
134.0,1.0,1.0,1.16929354433e-188,1.0
135.0,0.0,0.0,1.0,9.53489337666e-264
136.0,1.0,1.0,8.04113964291e-293,1.0
137.0,0.0,0.0,1.0,8.39931145562e-161
138.0,1.0,1.0,3.34998811359e-162,1.0
139.0,1.0,1.0,1.73707200948e-29,1.0
140.0,0.0,0.0,1.0,3.22139718418e-207
141.0,0.0,1.0,3.73522468559e-72,1.0
142.0,1.0,1.0,1.85086378125e-58,1.0
143.0,0.0,0.0,1.0,1.61616494955e-51
144.0,0.0,0.0,1.0,4.51892448572e-260
145.0,1.0,1.0,8.63028873379e-141,1.0
146.0,1.0,1.0,5.03611486085e-223,1.0
147.0,1.0,1.0,5.35120466485e-175,1.0
148.0,1.0,1.0,1.46569038398e-96,1.0
149.0,1.0,1.0,9.69508930897e-280,1.0
150.0,0.0,0.0,1.0,6.32988168005e-187
151.0,1.0,0.0,1.0,1.26909284545e-68
152.0,1.0,1.0,3.84158415943e-193,1.0
153.0,0.0,0.0,1.0,1.07253806242e-47
154.0,0.0,0.0,1.0,5.10948082009e-32
155.0,1.0,1.0,5.59896823726e-99,1.0
156.0,1.0,0.0,1.0,3.41966592336e-85
157.0,0.0,0.0,1.0,1.8903994893e-100
158.0,1.0,1.0,6.09625863447e-178,1.0
159.0,1.0,0.0,1.0,2.75179490984e-74
160.0,0.0,0.0,1.0,2.04779682702e-266
161.0,1.0,1.0,5.94101991208e-134,1.0
162.0,1.0,1.0,1.1383060032e-317,1.0
163.0,1.0,1.0,6.34791305385e-119,1.0
164.0,1.0,1.0,2.89198826973e-92,1.0
165.0,1.0,1.0,1.80978849755e-130,1.0
166.0,1.0,1.0,2.26645193079e-49,1.0
167.0,1.0,0.0,1.0,2.10692433987e-87
168.0,1.0,1.0,8.37615273335e-67,1.0
169.0,0.0,0.0,1.0,4.5819063839e-209
170.0,0.0,1.0,3.12493334901e-16,1.0
171.0,0.0,0.0,1.0,2.8902260512e-74
