inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.952912707531,0.0470872924691
2.0,1.0,1.0,0.0395240184302,0.96047598157
3.0,0.0,0.0,0.931700987462,0.0682990125383
4.0,0.0,0.0,0.936723141129,0.0632768588706
5.0,1.0,1.0,0.0366733126892,0.963326687311
6.0,1.0,1.0,0.0845948521958,0.915405147804
7.0,1.0,0.0,0.526256268874,0.473743731126
8.0,0.0,0.0,0.835156686457,0.164843313543
9.0,0.0,0.0,0.726970162032,0.273029837968
10.0,0.0,0.0,0.898626362785,0.101373637215
11.0,1.0,1.0,0.0299166542072,0.970083345793
12.0,0.0,0.0,0.960665162406,0.0393348375941
13.0,0.0,0.0,0.826542801414,0.173457198586
14.0,0.0,0.0,0.97888692922,0.0211130707798
15.0,0.0,1.0,0.358654748803,0.641345251197
16.0,1.0,0.0,0.720151370184,0.279848629816
17.0,0.0,0.0,0.990294631563,0.0097053684367
18.0,1.0,1.0,0.0217118929681,0.978288107032
19.0,1.0,1.0,0.0121470821742,0.987852917826
20.0,0.0,0.0,0.559979721779,0.440020278221
21.0,0.0,0.0,0.934770982238,0.0652290177622
22.0,1.0,1.0,0.346037881814,0.653962118186
23.0,0.0,0.0,0.885715875302,0.114284124698
24.0,0.0,0.0,0.922560243209,0.0774397567905
25.0,0.0,0.0,0.773427672175,0.226572327825
26.0,1.0,0.0,0.596974050857,0.403025949143
27.0,0.0,0.0,0.910458152596,0.0895418474043
28.0,0.0,0.0,0.906904580182,0.0930954198181
29.0,1.0,0.0,0.70978343572,0.29021656428
30.0,1.0,1.0,0.182305702207,0.817694297793
31.0,0.0,0.0,0.995374005825,0.0046259941751
32.0,0.0,0.0,0.666047649842,0.333952350158
33.0,0.0,0.0,0.875823064914,0.124176935086
34.0,1.0,0.0,0.637377702388,0.362622297612
35.0,1.0,1.0,0.0579624699379,0.942037530062
36.0,0.0,0.0,0.938772182024,0.0612278179763
37.0,1.0,1.0,0.361285115759,0.638714884241
38.0,0.0,0.0,0.855864544737,0.144135455263
39.0,0.0,0.0,0.924293105941,0.0757068940588
40.0,0.0,0.0,0.924242483948,0.0757575160524
41.0,1.0,1.0,0.0807338274215,0.919266172579
42.0,1.0,1.0,0.0824875327454,0.917512467255
43.0,1.0,1.0,0.291143546714,0.708856453286
44.0,1.0,1.0,0.0356405573128,0.964359442687
45.0,0.0,0.0,0.970901734284,0.0290982657156
46.0,0.0,0.0,0.954721464412,0.0452785355876
47.0,0.0,0.0,0.816944067211,0.183055932789
48.0,1.0,1.0,0.213695215865,0.786304784135
49.0,0.0,0.0,0.907577310354,0.092422689646
50.0,1.0,0.0,0.670640812903,0.329359187097
51.0,1.0,0.0,0.99445629611,0.0055437038896
52.0,0.0,1.0,0.264596947366,0.735403052634
53.0,0.0,0.0,0.99282974628,0.0071702537196
54.0,0.0,0.0,0.894953096239,0.105046903761
55.0,1.0,1.0,0.103831576099,0.896168423901
56.0,1.0,0.0,0.95889503705,0.0411049629499
57.0,1.0,1.0,0.186345895243,0.813654104757
58.0,0.0,0.0,0.949778093003,0.050221906997
59.0,1.0,1.0,0.0430939914923,0.956906008508
60.0,1.0,1.0,0.115529615288,0.884470384712
61.0,0.0,0.0,0.962682313025,0.037317686975
62.0,1.0,1.0,0.176909705083,0.823090294917
63.0,0.0,0.0,0.980367138724,0.0196328612762
64.0,0.0,0.0,0.961826808725,0.038173191275
65.0,1.0,1.0,0.0440263149795,0.95597368502
66.0,1.0,1.0,0.0547953316334,0.945204668367
67.0,0.0,0.0,0.765355402727,0.234644597273
68.0,1.0,1.0,0.0612785205369,0.938721479463
69.0,1.0,1.0,0.0311694480535,0.968830551946
70.0,0.0,0.0,0.946582614797,0.0534173852025
71.0,1.0,1.0,0.0403136636659,0.959686336334
72.0,1.0,1.0,0.0761213262764,0.923878673724
73.0,0.0,0.0,0.923840534224,0.0761594657758
74.0,0.0,0.0,0.896077569773,0.103922430227
75.0,0.0,0.0,0.912895944944,0.0871040550562
76.0,0.0,0.0,0.900665515821,0.0993344841785
77.0,0.0,0.0,0.931506237754,0.0684937622462
78.0,0.0,0.0,0.934636890932,0.0653631090682
79.0,0.0,0.0,0.994327835625,0.00567216437499
80.0,1.0,1.0,0.0484543847506,0.951545615249
81.0,0.0,0.0,0.942671139727,0.0573288602733
82.0,1.0,1.0,0.0350871654761,0.964912834524
83.0,0.0,0.0,0.961140669628,0.0388593303722
84.0,0.0,0.0,0.92820266158,0.0717973384201
85.0,0.0,0.0,0.672645766421,0.327354233579
86.0,0.0,0.0,0.955604087333,0.044395912667
