inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.64,0.36
2.0,1.0,1.0,0.0,1.0
3.0,0.0,0.0,1.0,0.0
4.0,0.0,0.0,1.0,0.0
5.0,1.0,1.0,0.0,1.0
6.0,1.0,1.0,0.01,0.99
7.0,1.0,1.0,0.0,1.0
8.0,0.0,0.0,0.83,0.17
9.0,0.0,0.0,0.92,0.08
10.0,0.0,0.0,0.98,0.02
11.0,1.0,1.0,0.05,0.95
12.0,0.0,0.0,0.98,0.02
13.0,0.0,0.0,0.92,0.08
14.0,0.0,0.0,1.0,0.0
15.0,0.0,0.0,0.66,0.34
16.0,1.0,1.0,0.26,0.74
17.0,0.0,0.0,1.0,0.0
18.0,1.0,1.0,0.01,0.99
19.0,1.0,1.0,0.02,0.98
20.0,0.0,0.0,0.8,0.2
21.0,0.0,0.0,0.98,0.02
22.0,1.0,1.0,0.48,0.52
23.0,0.0,0.0,1.0,0.0
24.0,0.0,0.0,0.98,0.02
25.0,0.0,0.0,0.96,0.04
26.0,1.0,1.0,0.32,0.68
27.0,0.0,0.0,1.0,0.0
28.0,0.0,0.0,0.98,0.02
29.0,1.0,1.0,0.46,0.54
30.0,1.0,1.0,0.19,0.81
31.0,0.0,0.0,1.0,0.0
32.0,0.0,0.0,0.82,0.18
33.0,0.0,0.0,0.99,0.01
34.0,1.0,0.0,0.5,0.5
35.0,1.0,1.0,0.03,0.97
36.0,0.0,0.0,0.98,0.02
37.0,1.0,1.0,0.0,1.0
38.0,0.0,0.0,0.96,0.04
39.0,0.0,0.0,0.99,0.01
40.0,0.0,0.0,0.94,0.06
41.0,1.0,1.0,0.02,0.98
42.0,1.0,1.0,0.13,0.87
43.0,1.0,1.0,0.02,0.98
44.0,1.0,1.0,0.08,0.92
45.0,0.0,0.0,0.99,0.01
46.0,0.0,0.0,1.0,0.0
47.0,0.0,0.0,0.97,0.03
48.0,1.0,1.0,0.07,0.93
49.0,0.0,0.0,1.0,0.0
50.0,1.0,0.0,0.7,0.3
51.0,1.0,0.0,1.0,0.0
52.0,0.0,1.0,0.47,0.53
53.0,0.0,0.0,1.0,0.0
54.0,0.0,0.0,0.98,0.02
