inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,3.21327638908e-74,1.0
2.0,0.0,0.0,1.0,4.08004858549e-46
3.0,1.0,0.0,1.0,1.00071429999e-17
4.0,0.0,0.0,1.0,1.66732445598e-175
5.0,1.0,1.0,2.82421380952e-74,1.0
6.0,0.0,0.0,1.0,5.80710769257e-117
7.0,0.0,1.0,3.36259897595e-175,1.0
8.0,1.0,1.0,2.47695468102e-211,1.0
9.0,0.0,0.0,1.0,5.05558207387e-34
10.0,1.0,1.0,5.73360940389e-205,1.0
11.0,1.0,1.0,8.94003460317e-26,1.0
12.0,0.0,1.0,6.04063351287e-27,1.0
13.0,1.0,1.0,1.89920304936e-32,1.0
14.0,1.0,0.0,1.0,4.77730661347e-30
15.0,0.0,0.0,1.0,4.41976896832e-115
16.0,1.0,1.0,2.89181194531e-43,1.0
17.0,0.0,0.0,1.0,1.86856780032e-114
18.0,1.0,1.0,1.664197482e-190,1.0
19.0,0.0,0.0,1.0,1.36060808288e-35
20.0,1.0,1.0,1.00151595329e-219,1.0
21.0,0.0,0.0,1.0,1.90697390425e-38
22.0,0.0,0.0,1.0,4.37657275515e-138
23.0,1.0,0.0,1.0,2.58198514761e-16
24.0,0.0,0.0,1.0,5.94461496049e-108
25.0,0.0,0.0,1.0,4.3179556268e-17
26.0,0.0,0.0,1.0,6.79314109396e-98
27.0,0.0,0.0,1.0,2.60109920358e-68
28.0,0.0,0.0,1.0,9.73845959459e-116
29.0,0.0,0.0,1.0,3.50145284597e-133
30.0,0.0,0.0,1.0,1.62984496629e-92
31.0,0.0,0.0,1.0,1.04233770425e-117
32.0,1.0,1.0,1.07065195244e-185,1.0
33.0,1.0,1.0,3.2692014817e-132,1.0
34.0,1.0,0.0,1.0,2.54841257173e-48
35.0,0.0,0.0,1.0,1.41246584122e-173
36.0,0.0,0.0,1.0,8.39037104757e-94
37.0,1.0,1.0,0.00349295001619,0.996507049984
38.0,0.0,0.0,1.0,2.9621511435e-48
39.0,1.0,0.0,1.0,1.77431259541e-51
40.0,1.0,1.0,4.75297669415e-195,1.0
